operator,halo,v_lab_kms,f_s,E_max_keV,R_lo,R_hi,N_lo_per_hi
O1,monochromatic stream,800,1,1383.6,1.6307e+11,1.3797e+08,1181.9
O1,SHM + stream (sigma 20),800,0.01,1599,5.0757e+08,1.9847e+05,2557.4
O1,SHM + stream (sigma 20),800,0.05,1599,4.953e+08,1.9742e+05,2508.9
O1,SHM + stream (sigma 20),800,0.2,1599,4.4928e+08,1.9348e+05,2322.1
O1,monochromatic stream,900,1,1751.1,1.6307e+11,1.3797e+08,1181.9
O1,SHM + stream (sigma 20),900,0.01,1992.4,5.0735e+08,1.9828e+05,2558.8
O1,SHM + stream (sigma 20),900,0.05,1992.4,4.9417e+08,1.9646e+05,2515.3
O1,SHM + stream (sigma 20),900,0.2,1992.4,4.4475e+08,1.8965e+05,2345.1
O1,monochromatic stream,1000,1,2161.9,1.6307e+11,1.3797e+08,1181.9
O1,SHM + stream (sigma 20),1000,0.01,2429.1,5.0716e+08,1.9812e+05,2559.8
O1,SHM + stream (sigma 20),1000,0.05,2429.1,4.9326e+08,1.9569e+05,2520.6
O1,SHM + stream (sigma 20),1000,0.2,2429.1,4.4113e+08,1.8658e+05,2364.3
O4,SHM (16 June),,0,1418.4,475.36,17.704,26.85
O4,monochromatic stream,300,1,194.57,1.5289e+05,0,inf
O4,SHM + stream (sigma 20),300,0.01,280.18,475.7,17.589,27.045
O4,SHM + stream (sigma 20),300,0.05,280.18,477.07,17.13,27.85
O4,SHM + stream (sigma 20),300,0.2,280.18,482.21,15.408,31.296
O4,monochromatic stream,500,1,540.48,1.5289e+05,13096,11.675
O4,SHM + stream (sigma 20),500,0.01,677.98,473.66,17.789,26.626
O4,SHM + stream (sigma 20),500,0.05,677.98,466.88,18.129,25.754
O4,SHM + stream (sigma 20),500,0.2,677.98,441.44,19.402,22.753
O4,monochromatic stream,555,1,665.92,1.5289e+05,13096,11.675
O4,SHM + stream (sigma 20),555,0.01,817.69,473.36,17.763,26.648
O4,SHM + stream (sigma 20),555,0.05,817.69,465.36,17.999,25.855
O4,SHM + stream (sigma 20),555,0.2,817.69,435.38,18.883,23.057
O4,monochromatic stream,600,1,778.29,1.5289e+05,13096,11.675
O4,SHM + stream (sigma 20),600,0.01,941.73,473.15,17.745,26.663
O4,SHM + stream (sigma 20),600,0.05,941.73,464.33,17.91,25.925
O4,SHM + stream (sigma 20),600,0.2,941.73,431.25,18.529,23.275
O4,monochromatic stream,700,1,1059.3,1.5289e+05,13096,11.675
O4,SHM + stream (sigma 20),700,0.01,1248.7,472.79,17.714,26.69
O4,SHM + stream (sigma 20),700,0.05,1248.7,462.51,17.754,26.05
O4,SHM + stream (sigma 20),700,0.2,1248.7,423.97,17.905,23.679
O4,monochromatic stream,800,1,1383.6,1.5289e+05,13096,11.675
O4,SHM + stream (sigma 20),800,0.01,1599,472.51,17.691,26.709
O4,SHM + stream (sigma 20),800,0.05,1599,461.14,17.637,26.146
O4,SHM + stream (sigma 20),800,0.2,1599,418.51,17.437,24.001
O4,monochromatic stream,900,1,1751.1,1.5289e+05,13096,11.675
O4,SHM + stream (sigma 20),900,0.01,1992.4,472.3,17.673,26.725
O4,SHM + stream (sigma 20),900,0.05,1992.4,460.08,17.547,26.221
O4,SHM + stream (sigma 20),900,0.2,1992.4,414.26,17.074,24.263
O4,monochromatic stream,1000,1,2161.9,1.5289e+05,13096,11.675
O4,SHM + stream (sigma 20),1000,0.01,2429.1,472.13,17.658,26.737
