delta_keV,v_lab_kms,N_SHM,N_stream_pure,N_f0.01,N_f0.05,N_f0.2,boost_f0.01,boost_f0.05,boost_f0.2
400,775,0.0013982,66.816,0.66954,3.3421,13.364,478.85,2390.2,9558
400,800,0.0013982,973.21,9.7335,48.662,194.64,6961.3,34802,1.3921e+05
400,825,0.0013982,7945.3,79.454,397.27,1589.1,56825,2.8412e+05,1.1365e+06
400,850,0.0013982,36530,365.3,1826.5,7305.9,2.6126e+05,1.3063e+06,5.2251e+06
400,875,0.0013982,95390,953.9,4769.5,19078,6.8222e+05,3.4111e+06,1.3644e+07
400,900,0.0013982,1.6479e+05,1647.9,8239.4,32957,1.1785e+06,5.8927e+06,2.3571e+07
400,925,0.0013982,2.1918e+05,2191.8,10959,43835,1.5675e+06,7.8376e+06,3.135e+07
400,950,0.0013982,2.4838e+05,2483.8,12419,49677,1.7764e+06,8.8821e+06,3.5528e+07
400,975,0.0013982,2.5678e+05,2567.8,12839,51356,1.8365e+06,9.1823e+06,3.6729e+07
400,1000,0.0013982,2.5581e+05,2558.1,12790,51162,1.8295e+06,9.1476e+06,3.659e+07
405,600,5.0547e-06,0,5.0042e-06,4.802e-06,4.0438e-06,0.99,0.95,0.8
405,625,5.0547e-06,0,5.0042e-06,4.802e-06,4.0438e-06,0.99,0.95,0.8
405,650,5.0547e-06,1.1162e-13,5.0042e-06,4.802e-06,4.0438e-06,0.99,0.95,0.8
405,675,5.0547e-06,1.6981e-09,5.0042e-06,4.8021e-06,4.0441e-06,0.99,0.95002,0.80007
405,700,5.0547e-06,5.2686e-06,5.0569e-06,5.0654e-06,5.0975e-06,1.0004,1.0021,1.0085
405,725,5.0547e-06,0.0037768,4.2772e-05,0.00019364,0.0007594,8.4618,38.309,150.24
405,750,5.0547e-06,0.65674,0.0065724,0.032842,0.13135,1300.2,6497.2,25986
405,775,5.0547e-06,31.003,0.31004,1.5502,6.2007,61337,3.0668e+05,1.2267e+06
405,800,5.0547e-06,524.25,5.2425,26.212,104.85,1.0371e+06,5.1857e+06,2.0743e+07
405,825,5.0547e-06,4723.3,47.233,236.16,944.65,9.3443e+06,4.6721e+07,1.8689e+08
405,850,5.0547e-06,24983,249.83,1249.2,4996.7,4.9426e+07,2.4713e+08,9.8852e+08
405,875,5.0547e-06,74747,747.47,3737.3,14949,1.4788e+08,7.3938e+08,2.9575e+09
405,900,5.0547e-06,1.4241e+05,1424.1,7120.6,28482,2.8174e+08,1.4087e+09,5.6348e+09
405,925,5.0547e-06,2.0205e+05,2020.5,10102,40409,3.9972e+08,1.9986e+09,7.9944e+09
