panel,x_lo,x_hi,continuous_ERs,internal_gamma_IC_EC,total,MSSI,accidentals,NRs
S1c>500,-6.0,-5.5,,,4.550206307061907e-05,1.6309296686593878e-05,2.961437631046706e-05,
S1c>500,-5.5,-5.0,,,4.772615822190869e-05,1.6703132547319785e-05,3.106189728678748e-05,
S1c>500,-5.0,-4.5,,,4.1359979124029354e-05,1.413380409436498e-05,2.6918559364464438e-05,
S1c>500,-4.5,-4.0,,,4.442918981624884e-05,1.3475152186759221e-05,3.032950238906006e-05,
S1c>500,-4.0,-3.5,,,4.338161337134749e-05,1.447510629812038e-05,2.823431151551064e-05,
S1c>500,-3.5,-3.0,,,4.442918981624884e-05,1.5182634958570046e-05,2.8916111877070985e-05,
S1c>500,-3.0,-2.5,,,4.442918981624884e-05,1.5924746909466617e-05,2.756858702663332e-05,1.2395505680249337e-06
S1c>500,-2.5,-2.0,,,3.6708516977343586e-05,1.5182634958570046e-05,1.973952907728265e-05,1.611587484455653e-06
S1c>500,-2.0,-1.5,,,4.03847702563651e-05,1.6309296686593878e-05,1.973952907728265e-05,4.2867124504654955e-06
S1c>500,-1.5,-1.0,,,4.772615822190869e-05,1.6309296686593878e-05,2.5664122812420237e-05,5.84573842286055e-06
S1c>500,-1.0,-0.5,,,4.338161337134749e-05,1.6309296686593878e-05,2.120434542841506e-05,5.84573842286055e-06
S1c>500,-0.5,0.0,,,3.8502792425769566e-05,1.7106478731401406e-05,1.5924746909466617e-05,5.707904311994009e-06
S1c>500,0.0,0.5,,,4.660084400020706e-05,2.3891220797594244e-05,1.7942626234056414e-05,4.946528528199383e-06
S1c>500,0.5,1.0,,,5.250579684818936e-05,3.032950238906006e-05,1.9274099350107126e-05,2.4761809802357082e-06
S1c>500,1.0,1.5,0.00031434700466778334,,0.0003896490081928869,2.8916111877070985e-05,1.3800549306075056e-05,1.7729833746196925e-06
S1c>500,1.5,2.0,0.0007971763467548976,0.00013315342183435215,0.0009881403934360738,2.823431151551064e-05,1.6703132547319785e-05,
S1c>500,2.0,2.5,0.0007075236032164136,0.0002926316145878886,0.00103643970361073,2.823431151551064e-05,1.5182634958570046e-05,
S1c>500,2.5,3.0,0.0001430343723245368,0.00029969806423446154,0.0004829896494358451,2.961437631046706e-05,1.3157427463875638e-05,
S1c>500,3.0,3.5,0.0002305124042851935,0.00032193783617504945,0.0005986900943083647,3.181197800999717e-05,1.413380409436498e-05,
S1c>500,3.5,4.0,0.0007246088382581969,0.00032193783617504945,0.0010870998355662215,3.258017163487981e-05,1.3157427463875638e-05,
S1c>500,4.0,4.5,0.002120434542841504,0.0004496242650475462,0.002628385842038877,3.3366915550634796e-05,1.447510629812038e-05,
S1c>500,4.5,5.0,0.0019274099350107125,0.0005065976984987223,0.0025058999679440828,2.120434542841506e-05,8.361415260872856e-06,
S1c>500,5.0,5.5,0.00018596450216023535,0.00013001385550760663,0.00031434700466778334,2.0952870234188473e-06,,
S1c>500,5.5,6.0,,,,,,
S1c>500,6.0,6.5,,,,,,
S1c>500,6.5,7.0,,,,,,
S1c>500,7.0,7.5,,,,,,
S1c>500,7.5,8.0,,,,,,
