variant,k,s,S1c,p10,p50,p90,halfwidth,upper,lower,drawn_p10,drawn_p50,drawn_p90,drawn_halfwidth,drawn_upper,drawn_lower,asym_model,asym_drawn
k=0.5 NEST skew (baseline),0.5,1.0,450,4.5475311318867195,4.649579649931867,4.764639147095394,0.10855400760433742,0.1150594971635277,0.10204851804514714,4.551120166979303,4.661208471619821,4.772681429642206,0.11078063133145122,0.111472958022385,0.11008830464051744,1.127497972215769,1.012577661054814
k=0.5 NEST skew (baseline),0.5,1.0,500,4.607658218662425,4.717916813493446,4.838507037479812,0.11542440940869358,0.12059022398636632,0.11025859483102085,4.617101540714544,4.73375165615276,4.849009331837001,0.11595389556122848,0.11525767568424072,0.11665011543821624,1.0937036171300698,0.9880631086497894
k=0.5 NEST skew (baseline),0.5,1.0,540,4.657450458847545,4.773516512321491,4.897556022605929,0.12005278187919233,0.12403951028443849,0.11606605347394616,4.666872541827879,4.7889961275947,4.909901394571213,0.12151442637166676,0.1209052669765125,0.12212358576682103,1.0686975784205686,0.9900238861915277
k=0.5 NEST skew (baseline),0.5,1.0,600,4.733466143028948,4.8564448973588,4.983476771659955,0.12500531431550366,0.1270318743011547,0.12297875432985261,4.746016227291908,4.871079037028247,4.995002333180317,0.12449305294420432,0.12392329615206954,0.1250628097363391,1.0329578876724579,0.9908884696683857
k=0.5 Gaussian,0.5,0.0,300,4.370502316052516,4.45984218162567,4.546856925244956,0.0881773045962202,0.08701474361928607,0.08933986557315432,4.375949924151315,4.464545504965075,4.5525245769789615,0.08828732641382331,0.08797907201388622,0.0885955808137604,0.9739744184866233,0.9930413143160022
k=0.5 Gaussian,0.5,0.0,350,4.4285564111564835,4.524403738992279,4.617784033019643,0.09461381093157994,0.09338029402736403,0.09584732783579586,4.438795261585473,4.5306420406722765,4.6223319500455515,0.09176834423003921,0.09168990937327504,0.09184677908680339,0.9742607972059658,0.9982920499217496
k=0.5 Gaussian,0.5,0.0,400,4.485668078878195,4.588405906392341,4.688910984774917,0.10162145294836078,0.10050507838257605,0.10273782751414551,4.4920427014968505,4.596142292994932,4.698517739487003,0.10323751899507627,0.1023754464920712,0.10409959149808135,0.9782675068609754,0.9834375430181979
k=0.5 Gaussian,0.5,0.0,450,4.544132953252696,4.653905163565794,4.761879948656196,0.10887349770175003,0.10797478509040204,0.10977221031309803,4.551120166979303,4.661208471619821,4.772681429642206,0.11078063133145122,0.111472958022385,0.11008830464051744,0.9836258628885282,1.012577661054814
k=0.5 Gaussian,0.5,0.0,500,4.604990083320339,4.7214544795239854,4.836462005500512,0.11573596109008655,0.11500752597652664,0.11646439620364646,4.617101540714544,4.73375165615276,4.849009331837001,0.11595389556122848,0.11525767568424072,0.11665011543821624,0.9874908532168717,0.9880631086497894
k=0.5 Gaussian,0.5,0.0,540,4.6552541739948525,4.776421336144172,4.896124444550175,0.12043513527766114,0.11970310840600273,0.12116716214931955,4.666872541827879,4.7889961275947,4.909901394571213,0.12151442637166676,0.1209052669765125,0.12212358576682103,0.9879170749124866,0.9900238861915277
