variant,S1c_lo,S1c_hi,N_ER_in_bin,frac_below_NR_median,N_below_NR_median,frac_below_event_depth(-1.5sig_LZ),N_below_event_depth(-1.5sig_LZ),frac_in_ROI(<4.15),N_in_ROI(<4.15),frac_NR_pm1hw,N_NR_pm1hw,frac_event_region_V(3.90-4.00),N_event_region_V(3.90-4.00),frac_gap_G(-1hw..ROI_top),N_gap_G(-1hw..ROI_top),frac_tail_+1..+5hw,N_tail_+1..+5hw
Gaussian (s=0),450,500,806.3691569280805,8.619746352724899e-10,6.950697599380674e-07,1.998018780683622e-10,1.6111407197063235e-07,1.4272174887359798e-07,0.00011508641631450441,1.7009209226261745e-09,1.3715701703794012e-06,8.321287568299474e-10,6.710029641005764e-07,1.4235257659491698e-07,0.0001147887271753832,9.160071468515986e-08,7.3863991074682e-05
Gaussian (s=0),500,550,856.4190354587835,5.493505456230376e-10,4.704742644112383e-07,1.425112969387465e-10,1.2204938746626158e-07,3.9438828092601134e-08,3.3776163114690235e-05,9.657868081629974e-10,8.271182067057713e-07,3.654557720037518e-10,3.1298327976229823e-07,3.918462728896234e-08,3.355846070762505e-05,3.555895543275555e-08,3.0453366313642374e-05
Gaussian (s=0),550,600,907.4063379876642,2.7951144252322197e-10,2.536304544856463e-07,7.910727902916692e-11,7.178244637202468e-08,1.0182113559141519e-08,9.239314377675147e-06,4.1169248261874126e-10,3.7357236803012207e-07,1.370991893362792e-10,1.2440467333671054e-07,1.004346637787572e-08,9.113505046650437e-06,9.631773895256978e-09,8.739932678620314e-06
Gaussian (s=0),500,600,1763.8253734464477,4.105308438113754e-10,7.241047188968845e-07,1.0989287077753406e-10,1.9383183383828623e-07,2.4387605564554715e-08,4.3015477492365384e-05,6.807309798417229e-10,1.2006905747358932e-06,2.4797690274994137e-10,4.3738795309900874e-07,2.4192851739566538e-08,4.2671965754275486e-05,2.22206231877028e-08,3.9193298992262686e-05
Gaussian (s=0),480,600,2092.1394651517653,4.675607370953098e-10,9.782022704325465e-07,1.2262886036244726e-10,2.5655667833086095e-07,3.513477722598735e-08,7.35068540338036e-05,8.038952098136256e-10,1.6818608942975446e-06,3.113517993052871e-10,6.513913868726031e-07,3.4917103793532186e-08,7.30514508552491e-05,2.9166375624338445e-08,6.102012549911892e-05
skew x0.5,300,350,704.6639420280703,1.0570848593917422e-13,7.448895840771735e-11,4.279550163933855e-15,3.0156446886245045e-12,2.515682210681772e-07,0.0001772710543468908,8.604492699680508e-13,6.063275744908619e-10,2.5932820996365697e-12,1.827392387120736e-09,2.5156820582100873e-07,0.00017727104360276095,6.4284736454453104e-09,4.529913580223052e-06
skew x0.5,350,400,728.2903505283406,1.2959118878605152e-12,9.438001230637782e-10,8.820056648718996e-14,6.423562148375378e-11,6.31426105459719e-08,4.598615396780037e-05,6.425923075225759e-12,4.679937768924321e-09,5.9918952114840865e-12,4.363839463900831e-09,6.314234207089305e-08,4.598595843999109e-05,6.812508181622718e-09,4.961483971571198e-06
skew x0.5,400,450,762.4933301097041,6.8289194734121634e-12,5.207005550333047e-09,7.210470146697713e-13,5.497935393812146e-10,2.5678143715540495e-08,1.957941331269804e-05,2.4555328891173862e-11,1.8723274498170185e-08,1.1905481398815561e-11,9.077850158342015e-09,2.5676277072300085e-08,1.9577990009677535e-05,8.460624272867701e-09,6.451169576625888e-06
skew x0.5,450,500,806.3375777583311,1.6947385817840312e-11,1.366531402969325e-08,2.652542935101686e-12,2.1388450451898674e-09,1.1267690822303778e-08,9.085562524586206e-06,4.608179045708615e-11,3.715747929593382e-08,1.637688416979593e-11,1.3205297112702007e-08,1.1261939588914996e-08,9.080925088986374e-06,6.621859341760879e-09,5.339454021891843e-06
skew x0.5,500,550,856.3846195092423,2.4075561715758068e-11,2.0617940759420753e-08,4.564080597280873e-12,3.9086084257118966e-09,4.459100570844848e-09,3.818705145716411e-06,5.474113153502735e-11,4.687946310112978e-08,1.5032176659938375e-11,1.2873324889317037e-08,4.449749158837431e-09,3.8106967403025642e-06,4.0589979981807986e-09,3.4760634562608396e-06
skew x0.5,550,600,907.432425094194,2.1932177823961202e-11,1.9901969310394213e-08,4.904499168037445e-12,4.450501573924675e-09,1.5429132401924177e-09,1.400089503257746e-06,3.959969095283112e-11,3.5934043594308154e-08,9.822216584773564e-12,8.912997815321487e-09,1.533357796008187e-09,1.3914185833687974e-06,1.493758105055356e-09,1.3554845397744894e-06
skew x0.5,500,600,1763.8170446034364,2.2972853218415953e-11,4.051991006981497e-08,4.739216023119887e-12,8.359109999636571e-09,2.9588072441762303e-09,5.218794648974157e-06,4.695130197818057e-11,8.281350669543794e-08,1.2351804157520656e-11,2.178632270463852e-08,2.9493508635647453e-09,5.202115323671362e-06,2.739256892214475e-09,4.831547996035329e-06
skew x0.5,480,600,2092.112319286676,2.24996745518118e-11,4.7071846309786396e-08,4.526369812944903e-12,9.46967404730936e-09,3.820986969030469e-09,7.993933909742501e-06,4.7653893851656296e-11,9.969729838902973e-08,1.3048882244383024e-11,2.7299727296394896e-08,3.811908276764364e-09,7.974940265809569e-06,3.2035907540886722e-09,6.702271682581804e-06
skew x1.5,300,350,704.7254371209533,3.2736039334534865e-35,2.3069919629638803e-32,6.49902916699348e-38,4.5800311705713057e-35,8.780695279489032e-16,6.1879793190638e-13,2.612755587119271e-33,1.841275323222841e-30,1.3283200421889056e-32,9.361009223680996e-30,8.780695279489032e-16,6.1879793190638e-13,5.465221135866034e-22,3.8514803539358635e-19
skew x1.5,350,400,728.3391380513943,1.599512071472354e-30,1.1649872434389745e-27,5.6577922305180066e-33,4.120791516449361e-30,9.744180843153412e-19,7.097068276319266e-16,6.599266023642472e-29,4.80650372743161e-26,2.884688784030638e-29,2.1010317425073994e-26,9.744180843152782e-19,7.097068276318807e-16,1.6637116457106417e-21,1.2117463060029555e-18
skew x1.5,400,450,762.5043153864775,5.126279952980279e-27,3.908810586026652e-24,4.2570988796801304e-29,3.246056266783039e-26,1.7247246653259369e-18,1.315110000164525e-15,1.1219064063873525e-25,8.554584763300914e-23,1.2282826221445779e-26,9.365707998994589e-24,1.7247246649862972e-18,1.3151099999055485e-15,1.295938007704345e-19,9.881583233479173e-17
skew x1.5,450,500,806.1210406879552,1.903646967655887e-24,1.5345698746692337e-21,3.6483757072367336e-26,2.94103242193833e-23,5.594242701847727e-18,4.509636748674488e-15,2.223577101420534e-23,1.7924722870470278e-20,1.4031909507499705e-24,1.1311417495024874e-21,5.594242517647257e-18,4.509636600186613e-15,1.8069410829396804e-18,1.456613226241156e-15
skew x1.5,500,550,855.9055602612141,1.422469886574774e-22,1.2174998852234878e-19,3.99258467364931e-24,3.4172754219901495e-21,1.5018624211809974e-17,1.285452397036185e-14,1.1698986139406957e-21,1.001322728613729e-18,4.535660711893048e-23,3.882097222767597e-20,1.501860524388601e-17,1.2854507735610265e-14,1.3645204915411197e-17,1.1679006758004093e-14
skew x1.5,550,600,906.9300793082957,3.2137973930886875e-21,2.9146895245947175e-18,1.5192546995044479e-22,1.3778577851110701e-19,2.7323351826108654e-17,2.478036963862119e-14,1.76405660656514e-20,1.5998759980964456e-17,6.026561808342863e-22,5.465670178796739e-19,2.732275446162786e-17,2.4779827870805248e-14,2.730511389556221e-17,2.4763829110824284e-14
skew x1.5,500,600,1762.83563956951,1.7224745432640417e-21,3.0364395131170665e-18,8.009995416678744e-23,1.4120305393309717e-19,2.1349065542022735e-17,3.763489360898304e-14,9.643600530863818e-21,1.7000082709578186e-17,3.3207179215545215e-22,5.853879901073499e-19,2.134874900510063e-17,3.763433560641551e-14,2.0672849499303198e-17,3.644283586882838e-14
skew x1.5,480,600,2090.996119675765,1.4528016721577495e-21,3.0378026591403167e-18,6.754190182794499e-23,1.4122985463775442e-19,1.918478519789462e-17,4.01153114056107e-14,8.137599940524955e-21,1.7015689899111414e-17,2.804073271126258e-22,5.863306329211534e-19,1.918451827414973e-17,4.011475326909588e-14,1.789461235001122e-17,3.741756498697548e-14
mirrored skew (s=-1),300,350,704.6868817957086,2.2379773029991605e-06,0.0015770732471800484,7.455152780165657e-07,0.0005253548365965545,0.00031331446315358165,0.2207885920611939,3.4592424329567424e-06,0.002437682763455687,6.277653667762926e-06,0.00442378018812925,0.0003121753842304832,0.21998589808675645,8.518758580380986e-05,0.06003057420779114
mirrored skew (s=-1),350,400,728.2917261788001,2.040993142063571e-06,0.001486438418552571,7.549965011899741e-07,0.0005498577051106008,0.00011363422720221672,0.08275886748209638,2.6215902143752584e-06,0.0019092824625608074,3.266071992024476e-06,0.0023786532088957376,0.00011250281321197394,0.08193486803411963,4.512570642596727e-05,0.032864678628005475
mirrored skew (s=-1),400,450,762.5123724654462,1.513529837929294e-06,0.0011540852275167082,6.154543367913144e-07,0.0004692915464908929,4.2988867658987365e-05,0.032779543468257545,1.7103724546812536e-06,0.0013041801582185516,1.637085809861044e-06,0.001248298184806661,4.2094420046023545e-05,0.03209751609685045,2.4444444344422204e-05,0.018639191250664933
mirrored skew (s=-1),450,500,806.5055457668013,8.950141407778858e-07,0.0007218338680770736,3.9869964358474434e-07,0.0003215534736463434,1.5481695808273113e-05,0.012486073527246908,8.920117351130865e-07,0.0007194124112577713,7.295260404477566e-07,0.0005883667974024116,1.4921252162109886e-05,0.012034072618526499,1.0767279730952606e-05,0.00868387081583575
mirrored skew (s=-1),500,550,856.6871016231604,4.399261875044681e-07,0.00037687909050132973,2.0416272527115553e-07,0.00017490357337203178,5.108859892313816e-06,0.004376694373745134,4.094713477855046e-07,0.000350788822132093,2.839044746141571e-07,0.00024321730149504835,4.825211724874401e-06,0.004133696647300741,4.218275573842538e-06,0.0036137422752029373
mirrored skew (s=-1),550,600,907.4464484230117,1.8005745485062975e-07,0.00016339249791629074,8.56267203190712e-08,7.77016632436517e-05,1.5072204572606049e-06,0.0013677218509316436,1.489264106034663e-07,0.00013514274237850265,9.492088908601143e-08,8.613562368225569e-05,1.38804470390939e-06,0.0012595762368149469,1.2391182933059234e-06,0.001124433494436444
mirrored skew (s=-1),500,600,1764.1335500461723,3.062532246515464e-07,0.0005402715884176204,1.4318940683888252e-07,0.00025260523661568347,3.2562252583011246e-06,0.005744416224676778,2.75450554465039e-07,0.0004859315645105957,1.8669387313034432e-07,0.000329352925177304,3.0571794771288893e-06,0.005393272884115688,2.685837344636051e-06,0.004738175769639382
mirrored skew (s=-1),480,600,2092.530401200301,3.7301400712869417e-07,0.0007805431499903384,1.7337416816017798e-07,0.00036279071765798565,4.449992997353256e-06,0.009311745632090139,3.4375521234099746e-07,0.0007193182323946022,2.4320095493097643e-07,0.0005089053917940124,4.209478858509488e-06,0.008808462484641046,3.5101992945792745e-06,0.007345198738178983
k=0.35 NEST skew,300,350,703.2983293947713,7.21269779272572e-42,5.0726783080533535e-39,3.492379603550352e-45,2.456184740789336e-42,7.103584172541976e-18,4.9959388812639105e-15,1.611558125884342e-39,1.1334061376570265e-36,1.5671943049314087e-38,1.1022051364952597e-35,7.103584172541976e-18,4.9959388812639105e-15,2.3885290508528808e-24,1.6798484911757099e-21
k=0.35 NEST skew,350,400,726.3423143432633,2.451797201132938e-37,1.7808440533712335e-34,1.9993689802393894e-40,1.4522262923332087e-37,2.4775085815833878e-22,1.7995193169525735e-19,2.532266085943178e-35,1.839292009396925e-32,9.295443704667905e-36,6.751674093296003e-33,2.4775085815833878e-22,1.7995193169525735e-19,4.4433307342886587e-26,3.227379128935776e-23
k=0.35 NEST skew,400,450,759.7675706269167,4.413532118196953e-34,3.353258575326369e-31,9.206266448781802e-37,6.994622694335041e-34,4.030957116967234e-23,3.0625904960594756e-20,2.3349692922891123e-32,1.7740339466909498e-29,1.4100119432912867e-33,1.0712813487093588e-30,4.0309571169659016e-23,3.062590496058463e-20,1.255317898393246e-24,9.537498300267232e-22
k=0.35 NEST skew,450,500,802.7040246465314,9.448030906651469e-32,7.583972433753951e-29,5.295397737571172e-34,4.250637076052516e-31,3.3033736835621124e-23,2.651631350706745e-20,2.3841396786644977e-30,1.9137585153834802e-27,6.562825377114661e-32,5.268006343262328e-29,3.303373683119247e-23,2.651631350351255e-20,6.696995130107317e-24,5.3757049439753636e-21
k=0.35 NEST skew,500,550,851.8635763459996,3.858385306250507e-30,3.286817905903412e-27,3.04771059577642e-32,2.5962336477856986e-29,2.6032388197752259e-23,2.2176043310964632e-20,6.811799557841281e-29,5.802723932694773e-26,8.647879618330002e-31,7.3668136594802745e-28,2.6032387946614926e-23,2.2176043097029884e-20,2.159135530155809e-23,1.8392889145342433e-20
k=0.35 NEST skew,550,600,902.405830796656,4.20905273973104e-29,3.7982737344639304e-26,5.919426683986518e-31,5.341725154602749e-28,1.3891309635388258e-23,1.2535598812376134e-20,4.60614324915524e-28,4.156610525522343e-25,4.283711092551769e-30,3.86564586736703e-27,1.3891305657390778e-23,1.2535595222608013e-20,1.3890845043065862e-23,1.2535179561555461e-20
k=0.35 NEST skew,500,600,1754.2694071426554,2.352520945899772e-29,4.126955525054272e-26,3.1929807910774466e-31,5.601348519381319e-28,1.9786950614318075e-23,3.471164212334077e-20,2.7002026595830737e-28,4.73688291879182e-25,2.6235008229501664e-30,4.602327233315057e-27,1.9786948446063385e-23,3.4711638319637904e-20,1.7630170474940544e-23,3.0928068706897895e-20
k=0.35 NEST skew,480,600,2080.9974682329635,1.9863100500450617e-29,4.133506185269464e-26,2.693491295521884e-31,5.605148566688565e-28,2.1592984921657464e-23,4.4934946953561735e-20,2.283980135023757e-28,4.752956878478819e-25,2.231185055836021e-30,4.643090452353982e-27,2.1592983092324153e-23,4.4934943146723745e-20,1.6286701614861735e-23,3.3892584826392986e-20
k=0.75 NEST skew,300,350,708.1514354152027,1.8923625509322435e-11,1.340079256768643e-08,1.2029274009737452e-12,8.518547656998368e-10,6.542834779129021e-06,0.004633317840524728,1.1367608756216417e-10,8.049988457953083e-08,2.7530344395752336e-10,1.94956529013269e-07,6.542831166399424e-06,0.004633315282165078,2.7550466838073527e-07,0.0001950990263774071
k=0.75 NEST skew,350,400,733.269939679752,5.910128810387969e-10,4.333719796292751e-07,6.575451627165179e-11,4.821581018018538e-08,3.8469604776534566e-06,0.00282086047739934,2.100730627676455e-09,1.540402620639722e-06,1.958507747474972e-09,1.4361148578532996e-06,3.846796176558366e-06,0.0028207400003452537,6.471319453731514e-07,0.00047452240254861137
k=0.75 NEST skew,400,450,769.386875142119,6.658213634534639e-09,5.1227421823032564e-06,1.177087856769481e-09,9.056359478876051e-07,3.540088740161554e-06,0.0027236978135186988,1.6427854309684837e-08,1.263937549261841e-05,9.686822954642697e-09,7.452914443127493e-06,3.5376253974871044e-06,0.002721802549996,1.545883179181088e-06,0.0011893822285649017
k=0.75 NEST skew,450,500,815.0689781753141,3.1618421284004685e-08,2.5771194327470305e-05,8.205577100407036e-09,6.68811134256752e-06,3.391194558174576e-06,0.0027640574833250374,5.685933160984334e-08,4.6344277314966355e-05,2.8799541730895802e-08,2.347361305051856e-05,3.376799960486523e-06,0.0027523248932961914,2.2940766491668736e-06,0.0018698307102922923
k=0.75 NEST skew,500,550,866.4950033184896,8.463743532663966e-08,7.333791480422508e-05,2.6748752085330563e-08,2.3177660026943963e-05,2.9535589361358472e-06,0.0025592440601683855,1.2189294921359232e-07,0.00010561963143333215,5.531113758797057e-08,4.7926824347838e-05,2.909469283520718e-06,0.002521040596479328,2.662315226515899e-06,0.0023068828410347593
k=0.75 NEST skew,550,600,915.5125252333809,1.4565320877637232e-07,0.00013334733697520148,5.4509526113711616e-08,4.990415390163904e-05,2.293631150612365e-06,0.0020998480466510715,1.6314388373476389e-07,0.00014936026897439478,7.48573226443216e-08,6.853281648631282e-05,2.2090319101023862e-06,0.0020223963823389544,2.045888026367622e-06,0.0018730361133645597
k=0.75 NEST skew,500,600,1782.0075285518706,1.1598449976661273e-07,0.00020668525177942656,4.1010945665292534e-08,7.3081813928583e-05,2.6145187560490377e-06,0.004659092106819456,1.4308575935980113e-07,0.0002549799004077269,6.535305769936366e-08,0.0001164596408341508,2.5496171626785766e-06,0.004543436978818283,2.345623622474865e-06,0.0041799189543993195
k=0.75 NEST skew,480,600,2113.9978985836697,1.0457801797343518e-07,0.00022107771023388716,3.6453088284806805e-08,7.706175203096657e-05,2.721156642986315e-06,0.005752519424990063,1.322003366993603e-07,0.0002794712339745012,6.07571295397461e-08,0.00012844044417099904,2.663241270848913e-06,0.005630086449995904,2.357354091456227e-06,0.004983441595556078
k=1.0 literal NEST skew,300,350,713.4312686543285,7.670102480853175e-07,0.0005472090943623795,1.432578825644662e-07,0.00010220465290269994,0.0009374518256771546,0.6688074452951689,1.9938124889330973e-06,0.001422448173438384,3.8553297019785384e-06,0.0027505127603632633,0.0009371739010625043,0.6686091651847486,0.00017458264565409193,0.1245527183740279
k=1.0 literal NEST skew,350,400,740.8439567057453,4.7729633643448715e-06,0.0035360210640528206,1.3111336895446942e-06,0.0009713454703324936,0.0006478689601543287,0.4799698038675697,8.154668193291464e-06,0.00604133664994054,9.250645288391043e-06,0.0068532846575329815,0.0006456313035291644,0.4783120494796342,0.00023677119423793903,0.1754105083731793
k=1.0 literal NEST skew,400,450,779.4376716495276,1.6517436989889242e-05,0.012874312629017053,6.074042228641077e-06,0.0047343373321929085,0.0005496648261831214,0.4284294723078145,2.062627571515104e-05,0.01607689631821852,1.8399294579844965e-05,0.014341103327308133,0.0005403893969398667,0.42119985333490206,0.0003206206011795529,0.24990377486626247
k=1.0 literal NEST skew,450,500,826.3623260129015,3.588833907187848e-05,0.029656771352177196,1.6595488586050442e-05,0.0137138865492892,0.00048136535950909663,0.3977821981459736,3.376949320554944e-05,0.027905836953614708,2.832483675407939e-05,0.023406577984036767,0.000458416270115515,0.3788179352548155,0.00033799219776117957,0.2793040187161409
k=1.0 literal NEST skew,500,550,874.399833567056,5.615319038742989e-05,0.04910034032902791,2.9152063467596912e-05,0.025490559444202993,0.0004057738973201167,0.3548086282825657,4.329958899136149e-05,0.03786115340756842,3.437388968622671e-05,0.030056523420688985,0.00036701243420266157,0.3209156113838474,0.0003139886808535988,0.27455165028032624
k=1.0 literal NEST skew,550,600,910.5274251347817,7.003335836276664e-05,0.06376729346359133,3.975490032132683e-05,0.036197927026067625,0.00032811653816366954,0.29875910663830435,4.33323027189903e-05,0.03945525001988314,3.52948440175131e-05,0.03213692344379995,0.0002768376533460699,0.2520682756815523,0.0002335053506270796,0.21261302566166915
k=1.0 literal NEST skew,500,600,1784.9272587018377,6.323374425617035e-05,0.11286763379261923,3.456078457512948e-05,0.061688486470270615,0.0003661593108260357,0.6535677349208701,4.331627692418296e-05,0.07731640342745157,3.484368708096357e-05,0.06219344686448894,0.00032101245822315806,0.5729838870653997,0.0002729325094717339,0.48716467594199536
k=1.0 literal NEST skew,480,600,2121.3992602413978,5.988802426487658e-05,0.12704641037282807,3.231527143536703e-05,0.0685535929174876,0.0003809501344415084,0.808147333393077,4.237518073650765e-05,0.08989467706702287,3.419720159405408e-05,0.07254591816395228,0.00033858773936819666,0.7182797798224997,0.0002821986906218062,0.5986560935261908
k=1.0 literal Gaussian,300,350,713.4751932665356,0.0006475839392395376,0.46203507620523354,0.00034096885308806404,0.2432728183548755,0.010162560704814801,7.2507349629506415,0.0005403122486545483,0.38549938603308026,0.0009086235219322887,0.64828034291716,0.009724895798811847,6.938471909554203,0.004178696376162984,2.9813962045850575
k=1.0 literal Gaussian,350,400,741.0486472413161,0.0007464445688114164,0.5531517379583276,0.0004227252692936337,0.3132599889647683,0.006613678002089884,4.901057136738359,0.0005151345636812895,0.38173977156326516,0.0007156395056398622,0.5303236875668641,0.006079611853343434,4.505288139672422,0.003193574279683857,2.3665938998243825
k=1.0 literal Gaussian,400,450,780.3446336941824,0.000767330806303235,0.5987824769669595,0.00046305874601882394,0.36134540754094663,0.004508399456026743,3.51810532206024,0.0004598110619168477,0.3588110946800355,0.0005618426936327643,0.43843093095661223,0.00393557898655974,3.071107942641482,0.0025334387157421394,1.9769553066224597
k=1.0 literal Gaussian,450,500,828.2479024388746,0.0007082582010176263,0.5866133693779798,0.0004543546807943382,0.37631831133119503,0.003087101908826617,2.556885680600691,0.0003692253539768561,0.30581012495858206,0.0004262370258466713,0.3530299225992899,0.002538490055805265,2.1024990640826524,0.0018340282160738295,1.5190300229768605
k=1.0 literal Gaussian,500,550,876.0817807286364,0.0006061808175094839,0.5310639700472493,0.00039957589426084283,0.3500611609802765,0.002091620161690337,1.832430315861589,0.0002903732996725764,0.25439075745320067,0.00031105609749927144,0.2725105798036621,0.0016124970218916142,1.4126792623584283,0.0012890790454508192,1.1293386656385245
k=1.0 literal Gaussian,550,600,910.9458157203668,0.0004910048934989088,0.44727885323105526,0.0003310431424442658,0.30156236543252524,0.0014049730895997045,1.2798543571705667,0.00020771743068481827,0.18921932433452052,0.00022056958729960518,0.2009269426257435,0.0010094131083295613,0.9195206473661031,0.0008016956776447428,0.7303013230315825
k=1.0 literal Gaussian,500,600,1787.027596449003,0.0005474693425117587,0.9783428232783044,0.0003646409981063755,0.6516235264128017,0.0017415985512571638,3.1122846730321556,0.0002482390773758712,0.44361008178772127,0.0002649301686052145,0.4734375224294057,0.0013050721289133073,2.332199909724531,0.0010406330558998596,1.8596399886701072
k=1.0 literal Gaussian,480,600,2124.3296747765735,0.0005688404015658338,1.2084045452581234,0.0003773892284545567,0.8016991369470504,0.0019003845790127637,4.0370433546846,0.00026368433031289827,0.5601524476572778,0.0002846293932559066,0.6046466664071735,0.0014486922627001762,3.077499963273204,0.001135011191842567,2.4111379560346915
alpha1 x0.5,300,350,704.6629815016848,3.032492483104593e-23,2.13688519452593e-20,2.168271911426546e-25,1.527900949812187e-22,1.8728628055372936e-11,1.3197370884935196e-08,9.212974031427782e-22,6.492041749483498e-19,3.7118441807345884e-21,2.615599187266114e-18,1.872862805537136e-11,1.3197370884934086e-08,8.663671547785432e-15,6.1049686236137996e-12
alpha1 x0.5,350,400,728.2784753106796,2.760746047690701e-20,2.0105919223321686e-17,4.257882779802908e-22,3.1009243789264605e-19,2.481182626221547e-12,1.8069918999919761e-09,3.849929129078281e-19,2.803820516179303e-16,2.4337642221875025e-19,1.7724580970003965e-16,2.4811826237247295e-12,1.8069918981735978e-09,4.631515460473564e-14,3.3730330179315275e-11
alpha1 x0.5,400,450,762.4658564260792,3.4680967890382434e-18,2.6443053884225797e-15,1.0390634600443937e-19,7.922504109437939e-17,2.2594301280476778e-12,1.7227383276167584e-09,2.9918182484442426e-17,2.2811592630712116e-14,7.125586632790774e-18,5.433016514509039e-15,2.259429655749413e-12,1.7227379675054576e-09,3.818756262263685e-13,2.911671263989334e-10
alpha1 x0.5,450,500,806.197144939955,8.924312431185298e-17,7.194755202573736e-14,5.329710240162234e-18,4.296797178976035e-15,2.5079358334252085e-12,2.02189070860001e-09,4.872707355576778e-16,3.928362758193917e-13,7.792716437371561e-17,6.28246574313561e-14,2.5079188059291957e-12,2.0218769810813387e-09,1.1225749533006717e-12,9.05016722332105e-10
