fig,S1c,ER_p10,ER_p50,ER_p90,NR_p10,NR_p50,NR_p90,ER_halfwidth,ER_upper,ER_lower,NR_halfwidth
Fig4,310,4.388763463008457,4.477661627611413,4.567933214136091,3.917751193553159,3.9478953690098315,3.977462724666837,0.08958487556381689,0.09027158652467815,0.08889816460295563,0.029855765556838998
Fig2,310,4.388374532223453,4.477436046284458,4.567449505088861,3.9173255287069937,3.947455811140941,3.9770595213088935,0.08953748643270432,0.09001345880440326,0.08906151406100538,0.02986699630094991
Fig4,320,4.400707137999303,4.489731041108895,4.580218478896505,3.9209664298438955,3.9515877278509093,3.981032019715779,0.08975567044860089,0.09048743778761015,0.08902390310959163,0.030032794935941798
Fig2,320,4.400451017100837,4.489617761437511,4.579652668788288,3.92082944548547,3.951677520579862,3.981764429286697,0.08960082584372575,0.0900349073507769,0.0891667443366746,0.030467491900613375
Fig4,330,4.41204303447522,4.503104645401884,4.594481879508172,3.9251877944977194,3.9549169038551604,3.984845859852972,0.09121942251647619,0.09137723410628773,0.09106161092666465,0.029829032677626266
Fig2,330,4.411452857273559,4.503068689792835,4.594550997323679,3.925308808914603,3.9547425972957915,3.9846270952761023,0.09154907002505963,0.09148230753084352,0.09161583251927574,0.02965914318074958
Fig4,340,4.422796505778461,4.515897029142095,4.60871599850362,3.9289060949699994,3.9589334370061477,3.9881716730531784,0.09295974636257975,0.09281896936152556,0.09310052336363395,0.029632789041589502
Fig2,340,4.422484870473839,4.515449225584337,4.608600134359834,3.9287679310023096,3.9587908118262645,3.9880247038998924,0.09305763194299788,0.09315090877549714,0.09296435511049861,0.0296283864487914
Fig4,350,4.438795261585473,4.5306420406722765,4.6223319500455515,3.933368055536736,3.9626186859186747,3.990955234101177,0.09176834423003921,0.09168990937327504,0.09184677908680339,0.028793589282220644
Fig2,350,4.43858134253548,4.530414475793416,4.622090762644218,3.933429415080962,3.962298854265893,3.9907887159217488,0.09175471005436897,0.09167628685080231,0.09183313325793563,0.028679650420393443
Fig4,360,4.447260420183825,4.542511010939874,4.63887034757861,3.93727227103263,3.9670835288888777,3.995690902897123,0.09580496369739278,0.09635933663873608,0.09525059075604947,0.029209315932246405
Fig2,360,4.446774157656675,4.542322281027406,4.638558321037819,3.9371328640882353,3.9667285115028843,3.9955428165993414,0.09589208169057217,0.09623604001041297,0.09554812337073137,0.029204976255553072
Fig4,370,4.459760416796513,4.5560904271318785,4.651820260026306,3.9415483165757528,3.9701792302123113,3.9988492838538408,0.09602992161489654,0.0957298328944276,0.09633001033536548,0.02865048363904399
Fig2,370,4.459569407154776,4.555859081343877,4.651162353029297,3.9412730834944005,3.9701061251460903,3.9984137442510543,0.09579647293726046,0.09530327168541941,0.0962896741891015,0.028570330378326902
Fig4,380,4.4711487130737675,4.571012471103474,4.66902347536497,3.944646900302653,3.9730299272410594,4.001493786798428,0.09893738114560113,0.09801100426149567,0.0998637580297066,0.028423443247887592
Fig2,380,4.470722651269344,4.570778908322559,4.669045920366548,3.9443237714778907,3.972831327315804,4.001344838356525,0.09916163454860216,0.0982670120439888,0.10005625705321552,0.0285105334393172
Fig4,390,4.482994837014301,4.583106634359641,4.683497992814563,3.9482412574258574,3.9763144259915735,4.005379141349898,0.10025157790013095,0.10039135845492186,0.10011179734534004,0.02856894196202009
Fig2,390,4.482774351159807,4.582871274728757,4.683470782754722,3.9481002208008933,3.976169218489222,4.005396437681756,0.10034821579745756,0.10059950802596518,0.10009692356894995,0.028648108440431308
Fig4,400,4.4920427014968505,4.596142292994932,4.698517739487003,3.9510397677813103,3.9792353575847983,4.00810589502957,0.10323751899507627,0.1023754464920712,0.10409959149808135,0.028533063624129884
Fig2,400,4.491671254696726,4.595904996634545,4.698639194750534,3.950898315377004,3.9790897161147774,4.007568025290016,0.1034839700269039,0.10273419811598927,0.10423374193781854,0.028334854956506117
Fig4,410,4.507332609473382,4.608697228236813,4.711781865073708,3.954004623157892,3.9828214518180642,4.011886167176389,0.10222462780016306,0.10308463683689517,0.10136461876343095,0.028940772009248494
Fig2,410,4.507108507715518,4.608458066568796,4.711597870256147,3.953862730260087,3.982675277556053,4.01157587677924,0.10224468127031461,0.10313980368735098,0.10134955885327823,0.028856573259576468
Fig4,420,4.516476442630608,4.621093371336509,4.724622396037983,3.9574440510947513,3.98542426214866,4.014380527076543,0.10407297670368765,0.10352902470147374,0.10461692870590156,0.02846823799089604
Fig2,420,4.516250982358229,4.620852367952876,4.724366011174803,3.9572633762597245,3.9851199785387412,4.014057444819592,0.10405751440828714,0.1035136432219268,0.10460138559464749,0.028397034279933786
Fig4,430,4.5304720254520285,4.636172508136845,4.741997913650341,3.9602095370710098,3.9881510158283326,4.01650487962578,0.1057629440991561,0.10582540551349595,0.10570048268481624,0.028147671277384934
Fig2,430,4.530244485832612,4.635929264420755,4.741738947277585,3.960066722298815,3.9881114513541167,4.016095875709881,0.10574723072248648,0.10580968285683046,0.10568477858814251,0.028014576705532868
Fig4,440,4.5397577923073875,4.648537346229105,4.756940624309553,3.9625195312394137,3.9914307475269593,4.019632626493639,0.10859141600108257,0.10840327808044758,0.10877955392171756,0.028556547627112572
Fig2,440,4.5392602896220895,4.648398203835628,4.756679437873398,3.9623763732675403,3.990600840419284,4.019480983134127,0.1087095741256543,0.10828123403777035,0.10913791421353825,0.028552304933293193
Fig4,450,4.551120166979303,4.661208471619821,4.772681429642206,3.96528672959089,3.994100296583981,4.022169819757077,0.11078063133145122,0.111472958022385,0.11008830464051744,0.02844154508309371
Fig2,450,4.550889559631127,4.661067061115357,4.7724179045684,3.9649787968942727,3.9938770140363364,4.021856211047414,0.11076417246863635,0.11135084345304236,0.11017750148423033,0.02843870707657059
Fig4,460,4.56437604001761,4.673489767285302,4.784410480396678,3.9694169786154934,3.996985582454332,4.024466417107603,0.11001722018953419,0.1109207131113763,0.10911372726769208,0.02752471924605482
Fig2,460,4.564143463222309,4.673240979281898,4.783985170623583,3.969272795878381,3.9966127018681092,4.024314055583773,0.10992085370063709,0.11074419134168512,0.10909751605958906,0.027520629852695766
Fig4,470,4.57780762582779,4.688338443071164,4.802263674410235,3.971542607052147,3.9995951183930174,4.027213828012122,0.11222802429122236,0.11392523133907151,0.11053081724337321,0.027835610479987283
Fig2,470,4.577155581355971,4.6880874489752795,4.8019957542530785,3.9714375391678907,3.9994464520394404,4.027061058300879,0.11242008644855384,0.11390830527779894,0.11093186761930873,0.027811759566493954
Fig4,480,4.593219910863035,4.703544735909821,4.814791182490779,3.9748828803097456,4.002251733588329,4.029908656889759,0.11078563581387213,0.11124644658095839,0.11032482504678587,0.027512888290006865
Fig2,480,4.592983048685825,4.703291482589695,4.814583363568196,3.9747378854945192,4.00210267253701,4.029755486803304,0.11080015744118521,0.1112918809785004,0.11030843390387002,0.02750880065439243
Fig4,490,4.603951678796086,4.717349837761317,4.830872832033392,3.9772440011096437,4.004759424604518,4.032274848099392,0.11346057661865272,0.11352299427207502,0.11339815896523042,0.027515423494874014
Fig2,490,4.60371322218225,4.717094533394228,4.830390677449089,3.977357281449252,4.004855024374796,4.032214270164925,0.11333872763341946,0.11329614405486144,0.11338131121197748,0.027428494357836453
Fig4,500,4.617101540714544,4.73375165615276,4.849009331837001,3.9799446614526683,4.007457354249521,4.034357096363869,0.11595389556122848,0.11525767568424072,0.11665011543821624,0.027206217455600257
Fig2,500,4.616968431261845,4.733493914940208,4.848704028896465,3.979798914600191,4.007398302010012,4.034203265365356,0.11586779881731024,0.11521011395625713,0.11652548367836335,0.027202175382582627
Fig4,510,4.627302682945203,4.744419529158578,4.86267145164922,3.9826768512441424,4.009221385171254,4.037254137427489,0.11768438435200856,0.11825192249064198,0.11711684621337515,0.027288643091673226
Fig2,510,4.627060757033807,4.744160203002375,4.862394556608036,3.982530698465679,4.0091836856609095,4.037000870764093,0.11766689978711442,0.11823435360566137,0.11709944596856747,0.027235086149206778
Fig4,520,4.6422000689024365,4.759660227411393,4.877042968997697,3.984610883920349,4.0125678555963065,4.039959335742105,0.11742145004763005,0.11738274158630357,0.11746015850895652,0.02767422591087798
Fig2,520,4.641955929661609,4.759398636919279,4.877008166204304,3.984464443799432,4.012417261861567,4.039804672409561,0.11752611827134718,0.11760952928502455,0.11744270725766981,0.027670114305064608
Fig4,530,4.653416941993815,4.772639759033464,4.891900572162886,3.9867256673139586,4.013570932002782,4.041644965289539,0.11924181508453513,0.11926081312942127,0.11922281703964899,0.027459648987790075
Fig2,530,4.65317113624348,4.77237624015073,4.891855326638867,3.9868680711769,4.013312901161676,4.041490051520206,0.11934209519769334,0.11947908648813677,0.11920510390724992,0.027310990171653282
Fig4,540,4.666872541827879,4.7889961275947,4.909901394571213,3.9888946759227886,4.01629648468101,4.043727213554015,0.12151442637166676,0.1209052669765125,0.12212358576682103,0.02741626881561321
Fig2,540,4.666624736956678,4.78873017861906,4.909617482498785,3.988747599351762,4.01614533697764,4.043571990421593,0.12149637277105363,0.12088730387972468,0.12210544166238257,0.027412195534915362
Fig4,550,4.677771810087251,4.798894138711052,4.921741898408468,3.992117202998765,4.018196010402076,4.045288899752373,0.12198504416060851,0.12284775969741624,0.12112232862380079,0.026585848376804222
Fig2,550,4.677522385893619,4.798667091532238,4.921605513489247,3.9919696476515263,4.018044580483008,4.045133444597632,0.12204156379781406,0.12293842195700933,0.12114470563861879,0.026581898473053034
Fig4,560,4.693783037272434,4.816812258715229,4.942050016154573,3.993976353234905,4.020652997320916,4.047617730048169,0.1241334894410695,0.1252377574393435,0.12302922144279549,0.02682068840663221
Fig2,560,4.693531234264125,4.816542177050683,4.941761327707918,3.993828521670621,4.020554999234048,4.047461928895235,0.12411504672189677,0.12521915065723555,0.123010942786558,0.026816703612306814
Fig4,570,4.706008358522204,4.829792200958636,4.953464220104349,3.995965643987575,4.023074216233098,4.049493439517182,0.1237279307910728,0.12367201914571346,0.12378384243643215,0.02676389776480348
Fig2,570,4.705897198339928,4.829520190842462,4.953569711568241,3.9958175168710524,4.022922061550869,4.0493373596869695,0.12383625661415643,0.12404952072577835,0.1236229925025345,0.026759921407958576
Fig4,580,4.720067477959439,4.842629812103629,4.967312021345988,3.9983200042411595,4.025677026563694,4.051695817489225,0.12362227169327422,0.12468220924235851,0.12256233414418993,0.026687906624032864
Fig2,580,4.719811769828022,4.842355894682196,4.96669757594642,3.9981715273334144,4.025524485177602,4.051539410448051,0.12344290305919925,0.12434168126422396,0.12254412485417454,0.026683941557318125
Fig4,590,4.728786892566936,4.856484125850929,4.980507571650374,4.000941016042599,4.027480197490399,4.054169076174407,0.12586033954171905,0.12402344579944558,0.12769723328399252,0.026614030065903904
Fig2,590,4.728529888977576,4.85620815007104,4.980213169500679,4.0007921497267676,4.027034771193538,4.054012301677073,0.12584164026155165,0.1240050194296396,0.1276782610934637,0.026610075975152636
Fig4,600,4.746016227291908,4.871079037028247,4.995002333180317,4.002642853566451,4.029052321023416,4.055700141074758,0.12449305294420432,0.12392329615206954,0.1250628097363391,0.026528643754153425
Fig2,600,4.745966127276683,4.870969208814065,4.994705777519771,4.002493734405785,4.029164026888138,4.055543139104562,0.12436982512154415,0.12373656870570571,0.1250030815373826,0.026524702349388196
Fig4,610,,,,4.004883367953594,4.031683300296984,4.058094726578906,,,,0.026605679312655894
Fig2,610,,,,4.004733915915976,4.031529866548803,4.057937368841156,,,,0.02660172646258996
Fig4,620,,,,4.007439699528287,4.03357625326469,4.059959285252097,,,,0.02625979286190505
Fig2,620,,,,4.007289867692231,4.033422538277336,4.05980165049376,,,,0.026255891400764675
Fig4,630,,,,4.009500257706675,4.035361902212425,4.06142632380207,,,,0.025963033047697426
Fig2,630,,,,4.009350119730061,4.035207921928234,4.061268471083373,,,,0.025959175676656177
Fig4,640,,,,4.011322224938093,4.037988334190945,4.064419555682255,,,,0.026548665372081004
Fig2,640,,,,4.0111718162687735,4.037833963693383,4.064261258254116,,,,0.026544720992671245
Fig4,650,,,,4.01301405165298,4.038781873925883,4.065070258264904,,,,0.02602810330596217
Fig2,650,,,,4.01286339162615,4.038627385530801,4.064911864160798,,,,0.02602423626732442
Fig4,660,,,,4.015356580950517,4.041384684256479,4.0674995479067935,,,,0.02607148347813837
Fig2,660,,,,4.015205572890209,4.041229809157533,4.067340792879083,,,,0.026067609994437024
Fig4,670,,,,4.015681932241841,4.042686089421776,4.069408275482564,,,,0.02686317162036156
Fig2,670,,,,4.015530875843551,4.0425310209709,4.06924923687202,,,,0.026859180514234637
Fig4,680,,,,4.018935445155087,4.044078290296282,4.071010790078265,,,,0.026037672461589167
Fig2,680,,,,4.018783905376966,4.043923015003803,4.070851513379459,,,,0.02603380400124644
Fig4,690,,,,4.0200044565408675,4.046590304917671,4.072130381286646,,,,0.02606296237288941
Fig2,690,,,,4.0198527579379455,4.046434656410998,4.0719709382483105,,,,0.026059090155182485
Fig4,700,,,,4.022137586811807,4.048483257885378,4.074532239349072,,,,0.02619732626863236
Fig2,700,,,,4.021985571286169,4.048327328139531,4.074372439462685,,,,0.026193434088257916
Fig4,710,,,,4.023653038879292,4.049283910957474,4.07522121855423,,,,0.025784089837468827
Fig2,710,,,,4.023500798200419,4.049412985672703,4.075061316305056,,,,0.0257802590523184
Fig4,720,,,,4.025507541239842,4.0517051298696565,4.076933593771727,,,,0.02571302626594285
Fig2,720,,,,4.025355025034465,4.051548721444926,4.0767734371121165,,,,0.02570920603882554
Fig4,730,,,,4.026965115024976,4.053234320761561,4.078672771383933,,,,0.025853828179478455
Fig2,730,,,,4.026812382265436,4.053077685142394,4.078512356331809,,,,0.02584998703318675
Fig4,740,,,,4.029346686477471,4.0543987359094595,4.079917593715957,,,,0.02528545361924328
Fig2,740,,,,4.029193599883896,4.054241927291196,4.079756993718507,,,,0.02528169691730575
Fig4,750,,,,4.0299612389166395,4.056291688877166,4.0818283524703585,,,,0.02593355677685949
Fig2,750,,,,4.029808061017985,4.056134599019728,4.081667468588299,,,,0.02592970378515691
Fig4,760,,,,4.032048516766297,4.057576585731699,4.083646104624317,,,,0.025798793929010078
Fig2,760,,,,4.031895028757297,4.057419304974998,4.083484950675794,,,,0.025794960959248492
Fig4,770,,,,4.034424995763797,4.059604356570652,4.084851616777435,,,,0.025213310506818853
Fig2,770,,,,4.0342711546773575,4.059446774544661,4.084690283723965,,,,0.025209564523303918
Fig4,780,,,,4.036110568586587,4.0612775917831785,4.08678926446799,,,,0.025339347940701806
Fig2,780,,,,4.035956477071786,4.061119761161846,4.086627643534977,,,,0.02533558323159557
Fig4,790,,,,4.036439344628346,4.062207166901248,4.087934945938295,,,,0.02574780065497473
Fig2,790,,,,4.037052234388305,4.062049198171393,4.087773154789479,,,,0.02536046020058702
Fig4,800,,,,,,,,,,
Fig2,800,,,,,,,,,,
