S1c,log10S2c,resid_dex,z_halfwidths,blob_px,n_est
737.2040946896992,4.821197856952807,-0.04977135186125814,-0.40018832391713655,24.0,1.0
669.4282015801456,4.819021605412235,-0.05194760340183002,-0.41768655179069897,43.0,2.0
780.42226487524,4.819354473550538,-0.05161473526352722,-0.4150101136918474,24.0,1.0
531.1788599741107,4.814361451475993,0.04005731097732479,0.3349383990325765,43.0,2.0
774.506619420247,4.812781685672765,-0.05818752314130027,-0.46785884827316243,39.0,2.0
374.5305849954102,4.811038032830328,0.2484193970620776,2.552575214147397,23.0,1.0
427.6698656429942,4.811807445033014,0.1793913000579419,1.7027558936789624,25.0,1.0
393.9334822692804,4.804614516779456,0.2166164506487842,2.132436627164364,61.0,2.0
782.1322631303437,4.780745790165133,-0.09022341864893235,-0.7254446049173005,143.0,6.0
708.2162095226302,4.7780514921198165,-0.09291771669424875,-0.747108204127827,186.0,7.0
791.9306373684559,4.782875673403409,-0.08809353541065601,-0.7083192030266502,145.0,6.0
341.65067178502875,4.7953904893210435,0.2774709921091043,2.9886184226955788,24.0,1.0
359.12476007677543,4.795464224657135,0.25418416228360563,2.660779465190233,25.0,1.0
625.8294488620784,4.793664834606651,-0.0773043742074142,-0.6215685688378687,35.0,1.0
649.8491911159857,4.798720971938588,-0.07224823687547755,-0.5809145168843872,7.0,1.0
728.911637164996,4.795306151518325,-0.07566305729574019,-0.608371501863866,27.0,1.0
767.2315922734513,4.792859586201783,-0.07810962261228216,-0.6280431972622553,47.0,2.0
651.8234165067179,4.799836296350045,-0.07113291246402031,-0.5719467113064084,1.0,1.0
757.7037166288607,4.7943948651305135,-0.07657434368355176,-0.6156987324595591,22.0,1.0
373.12859884836854,4.792029025469848,0.23150212877563447,2.3903335999257047,21.0,1.0
384.53901648024356,4.790862421775105,0.21459476841225822,2.152400025522594,29.0,1.0
641.7197696737045,4.7899470865684615,-0.08102212224560379,-0.6514612540977884,25.0,1.0
551.2476007677543,4.793330237283214,-0.007566951290672641,-0.06187191920146135,2.0,1.0
632.0537428023033,4.793980843189897,-0.07698836562416833,-0.6190276905907774,4.0,1.0
744.1586692258477,4.786737430762158,-0.08423177805190729,-0.6772686057055178,30.0,1.0
620.6525911708253,4.786928275161452,-0.08404093365261289,-0.6757341145288366,25.0,1.0
