line,E_keV,variant,f,N_decays,Ne_mean,S1c_mean,log10S2c_mean,P_below_NR_median_S1c480_600,N_below_NR_median_S1c480_600,P_below_event_depth(-1.5sig_LZ)_S1c480_600,N_below_event_depth(-1.5sig_LZ)_S1c480_600,P_in_ROI(<4.15)_S1c480_600,N_in_ROI(<4.15)_S1c480_600,P_NR_pm1hw_S1c480_600,N_NR_pm1hw_S1c480_600,P_event_region_V(3.90-4.00)_S1c480_600,N_event_region_V(3.90-4.00)_S1c480_600,P_gap_G(-1hw..ROI_top)_S1c480_600,N_gap_G(-1hw..ROI_top)_S1c480_600,P_tail_+1..+5hw_S1c480_600,N_tail_+1..+5hw_S1c480_600,P_in_ROI_anyS1c,N_in_ROI_anyS1c
I125_K_67.3,67.3,Gaussian (s=0),0.2,1000.0,942.7870659368888,447.09673054318915,4.5122327108954705,4.905796275678001e-06,0.004905796275678001,1.7874408176913953e-06,0.0017874408176913952,0.0001186662369655739,0.1186662369655739,6.056470403782797e-06,0.0060564704037827976,3.286379704489822e-06,0.003286379704489822,0.00011590392981645908,0.11590392981645907,9.922336342067571e-05,0.09922336342067571,0.00013815339393477788,0.13815339393477788
I125_K_67.3,67.3,Gaussian (s=0),0.2,10000.0,942.7870659368888,447.09673054318915,4.5122327108954705,4.905796275678001e-06,0.04905796275678,1.7874408176913953e-06,0.017874408176913954,0.0001186662369655739,1.186662369655739,6.056470403782797e-06,0.060564704037827974,3.286379704489822e-06,0.03286379704489822,0.00011590392981645908,1.1590392981645907,9.922336342067571e-05,0.9922336342067571,0.00013815339393477788,1.3815339393477788
I125_K_67.3,67.3,Gaussian (s=0),0.3,1000.0,824.9386826947776,460.06005269982137,4.454240763917784,0.00014794357339305625,0.14794357339305625,6.35573546416868e-05,0.0635573546416868,0.0019998730530139193,1.9998730530139193,0.00014915292054884486,0.14915292054884485,9.75497600104193e-05,0.0975497600104193,0.0019082958385157704,1.9082958385157704,0.0016140859764762752,1.6140859764762752,0.0023087226028338913,2.308722602833891
I125_K_67.3,67.3,Gaussian (s=0),0.3,10000.0,824.9386826947776,460.06005269982137,4.454240763917784,0.00014794357339305625,1.4794357339305626,6.35573546416868e-05,0.635573546416868,0.0019998730530139193,19.998730530139195,0.00014915292054884486,1.4915292054884486,9.75497600104193e-05,0.9754976001041931,0.0019082958385157704,19.082958385157703,0.0016140859764762752,16.14085976476275,0.0023087226028338913,23.087226028338915
I125_K_67.3,67.3,mirrored skew (s=-1),0.0,1000.0,1178.483832421111,421.17008622992466,4.609142723903527,6.292169038725258e-07,0.0006292169038725258,2.8402336338140686e-07,0.00028402336338140683,8.394444562624831e-06,0.008394444562624831,6.032563284876053e-07,0.0006032563284876053,4.0696033153870853e-07,0.00040696033153870854,7.994630755612448e-06,0.007994630755612447,6.757943022719631e-06,0.0067579430227196315,9.679353685707425e-06,0.009679353685707425
I125_K_67.3,67.3,mirrored skew (s=-1),0.0,10000.0,1178.483832421111,421.17008622992466,4.609142723903527,6.292169038725258e-07,0.0062921690387252585,2.8402336338140686e-07,0.0028402336338140687,8.394444562624831e-06,0.08394444562624831,6.032563284876053e-07,0.006032563284876053,4.0696033153870853e-07,0.004069603315387085,7.994630755612448e-06,0.07994630755612447,6.757943022719631e-06,0.06757943022719631,9.679353685707425e-06,0.09679353685707426
I125_K_67.3,67.3,mirrored skew (s=-1),0.1,1000.0,1060.6354491789998,434.1334083865569,4.563385233342852,1.0155690522041396e-05,0.010155690522041395,4.969980052401944e-06,0.0049699800524019445,0.00010114293193907448,0.10114293193907448,8.648490812816948e-06,0.008648490812816947,6.422714040765779e-06,0.006422714040765779,9.438202344580214e-05,0.09438202344580214,7.897470280498021e-05,0.0789747028049802,0.00011610041355956077,0.11610041355956077
I125_K_67.3,67.3,mirrored skew (s=-1),0.1,10000.0,1060.6354491789998,434.1334083865569,4.563385233342852,1.0155690522041396e-05,0.10155690522041395,4.969980052401944e-06,0.04969980052401944,0.00010114293193907448,1.0114293193907449,8.648490812816948e-06,0.08648490812816947,6.422714040765779e-06,0.0642271404076578,9.438202344580214e-05,0.9438202344580213,7.897470280498021e-05,0.7897470280498021,0.00011610041355956077,1.1610041355956078
I125_K_67.3,67.3,mirrored skew (s=-1),0.2,1000.0,942.7870659368888,447.09673054318915,4.5122327108954705,0.00011965506748533995,0.11965506748533995,6.335159699038516e-05,0.06335159699038516,0.0008948747169365455,0.8948747169365455,8.963575585017973e-05,0.08963575585017973,7.335131683599004e-05,0.07335131683599004,0.0008115135697207936,0.8115135697207936,0.0006697941969994815,0.6697941969994815,0.001021720039947976,1.021720039947976
I125_K_67.3,67.3,mirrored skew (s=-1),0.2,10000.0,942.7870659368888,447.09673054318915,4.5122327108954705,0.00011965506748533995,1.1965506748533996,6.335159699038516e-05,0.6335159699038516,0.0008948747169365455,8.948747169365456,8.963575585017973e-05,0.8963575585017973,7.335131683599004e-05,0.7335131683599004,0.0008115135697207936,8.115135697207936,0.0006697941969994815,6.697941969994815,0.001021720039947976,10.21720039947976
I125_K_67.3,67.3,mirrored skew (s=-1),0.3,1000.0,824.9386826947776,460.06005269982137,4.454240763917784,0.0010303964301730793,1.0303964301730792,0.0005886185058592338,0.5886185058592338,0.005834559401577463,5.8345594015774624,0.0006715703266655406,0.6715703266655405,0.0006061883962020036,0.6061883962020036,0.00508446606675802,5.08446606675802,0.004123038695754437,4.1230386957544365,0.00661969071038777,6.61969071038777
I125_K_67.3,67.3,mirrored skew (s=-1),0.3,10000.0,824.9386826947776,460.06005269982137,4.454240763917784,0.0010303964301730793,10.303964301730792,0.0005886185058592338,5.886185058592338,0.005834559401577463,58.34559401577463,0.0006715703266655406,6.715703266655406,0.0006061883962020036,6.061883962020036,0.00508446606675802,50.8446606675802,0.004123038695754437,41.23038695754437,0.00661969071038777,66.1969071038777
I125_K_67.3,67.3,k=0.75 NEST skew,0.0,1000.0,1178.483832421111,421.17008622992466,4.609142723903527,1.1557985740934744e-07,0.00011557985740934745,3.710586485618992e-08,3.7105864856189924e-05,4.325065413422773e-06,0.004325065413422773,1.6346896011605816e-07,0.00016346896011605816,7.730299571705605e-08,7.730299571705606e-05,4.264513865353407e-06,0.004264513865353407,3.6623450474984663e-06,0.003662345047498466,5.050655327561605e-06,0.005050655327561605
I125_K_67.3,67.3,k=0.75 NEST skew,0.0,10000.0,1178.483832421111,421.17008622992466,4.609142723903527,1.1557985740934744e-07,0.0011557985740934743,3.710586485618992e-08,0.0003710586485618992,4.325065413422773e-06,0.043250654134227726,1.6346896011605816e-07,0.0016346896011605815,7.730299571705605e-08,0.0007730299571705605,4.264513865353407e-06,0.042645138653534066,3.6623450474984663e-06,0.036623450474984665,5.050655327561605e-06,0.050506553275616047
I125_K_67.3,67.3,k=0.75 NEST skew,0.1,1000.0,1060.6354491789998,434.1334083865569,4.563385233342852,5.511126223772554e-06,0.005511126223772554,2.1004041422280478e-06,0.0021004041422280476,0.00011339757086916048,0.11339757086916048,6.4543662698971205e-06,0.006454366269897121,3.6816447545259007e-06,0.0036816447545259005,0.0001102131637128291,0.11021316371282909,9.417103334260428e-05,0.09417103334260428,0.00013154004278475824,0.13154004278475825
I125_K_67.3,67.3,k=0.75 NEST skew,0.1,10000.0,1060.6354491789998,434.1334083865569,4.563385233342852,5.511126223772554e-06,0.055111262237725535,2.1004041422280478e-06,0.02100404142228048,0.00011339757086916048,1.133975708691605,6.4543662698971205e-06,0.0645436626989712,3.6816447545259007e-06,0.03681644754525901,0.0001102131637128291,1.102131637128291,9.417103334260428e-05,0.9417103334260427,0.00013154004278475824,1.3154004278475824
I125_K_67.3,67.3,k=0.75 NEST skew,0.2,1000.0,942.7870659368888,447.09673054318915,4.5122327108954705,0.0001402333122486665,0.1402333122486665,6.299407627614051e-05,0.06299407627614051,0.0016242515419617742,1.6242515419617742,0.00013305168329987322,0.1330516832998732,9.163394302505438e-05,0.09163394302505437,0.0015351885664668778,1.5351885664668778,0.0012918093195301832,1.2918093195301832,0.001868207357441504,1.868207357441504
I125_K_67.3,67.3,k=0.75 NEST skew,0.2,10000.0,942.7870659368888,447.09673054318915,4.5122327108954705,0.0001402333122486665,1.402333122486665,6.299407627614051e-05,0.6299407627614051,0.0016242515419617742,16.242515419617742,0.00013305168329987322,1.3305168329987322,9.163394302505438e-05,0.9163394302505438,0.0015351885664668778,15.351885664668778,0.0012918093195301832,12.918093195301832,0.001868207357441504,18.68207357441504
I125_K_67.3,67.3,k=0.75 NEST skew,0.3,1000.0,824.9386826947776,460.06005269982137,4.454240763917784,0.0019371592121535824,1.9371592121535823,0.0010154613819826895,1.0154613819826894,0.01308955909006401,13.08955909006401,0.0014500466838647651,1.4500466838647652,0.0012050994951995487,1.2050994951995488,0.01174494256468857,11.74494256468857,0.009613381203418845,9.613381203418845,0.014896894638522357,14.896894638522358
