m_chi_GeV,delta_keV,N_unit,kappa_N1,G_N1_GeV2,G_N3p65,G_N0p105,sigma_n_N1_cm2,gg_at_mZp_1TeV,gg_at_mZp_3TeV,gg_at_mZp_10TeV,mZp_max_TeV_gg1,mZp_max_TeV_gg4pi
1000.0,360.0,62.974854049146145,0.01587935399135012,2.0789321618184115e-06,3.971794318323502e-06,6.736510135162806e-07,4.707275669335889e-40,2.0789321618184116,18.710389456365704,207.89321618184115,0.6935532976300769,2.4585824263852984
1000.0,366.0,21.36016585824812,0.04681611587832569,3.5696167639050285e-06,6.8197432517803846e-06,1.156688031977914e-06,1.3878169308833127e-39,3.5696167639050285,32.126550875145256,356.9616763905029,0.5292845338823695,1.8762648206090737
1000.0,370.0,9.434334882008896,0.10599581343110702,5.371162092505355e-06,1.0261590769343598e-05,1.7404554385322489e-06,3.142139874755028e-39,5.3711620925053545,48.340458832548194,537.1162092505355,0.431485166848118,1.5295750911771118
1000.0,380.0,0.6840030790078221,1.4619817230216945,1.9947793992638676e-05,3.811020691206679e-05,6.463824018577465e-06,4.3338985940753967e-38,19.947793992638676,179.5301459337481,1994.7793992638676,0.22389921079230554,0.7937020367670556
3000.0,250.0,52716.05630123586,1.8969552545541162e-05,7.185424761258333e-08,1.3727734731153603e-07,2.328343734281723e-08,5.6303690785703005e-43,0.07185424761258333,0.64668822851325,7.185424761258333,3.7305578317119497,13.224483189687154
3000.0,280.0,18058.425866193404,5.5375812233560606e-05,1.2276765417462822e-07,2.3454727397078197e-07,3.9781266642878746e-08,1.6436142083585437e-42,0.12276765417462822,1.104908887571654,12.276765417462823,2.8540266312878173,10.117260986425979
3000.0,300.0,8421.208203971577,0.00011874780622671032,1.797780644540304e-07,3.4346550987654776e-07,5.825475094941131e-08,3.5245637698717456e-42,0.17977806445403038,1.6180025800862734,17.97780644540304,2.3584770243152025,8.360583368039325
3000.0,320.0,3314.712210028089,0.00030168531583968974,2.865503800394408e-07,5.474537323808561e-07,9.285293550329217e-08,8.954347603532498e-42,0.2865503800394408,2.578953420354967,28.65503800394408,1.8680973553306248,6.622232702644353
3000.0,340.0,970.1513368448032,0.0010307670174967472,5.296685169175038e-07,1.0119302807108778e-06,1.7163221571262996e-07,3.059428380606671e-41,0.5296685169175038,4.767016652257534,52.96685169175038,1.3740353948903061,4.870828653907609
3000.0,350.0,445.33799014383885,0.002245485501196545,7.817700536815817e-07,1.4935695904247502e-06,2.533224501845362e-07,6.664844677786932e-41,0.7817700536815817,7.035930483134235,78.17700536815816,1.1309944787034893,4.009271038261752
3000.0,360.0,174.1760789840118,0.005741316521953588,1.2500565153866896e-06,2.388229619312515e-06,4.0506460672882154e-07,1.704085056191296e-40,1.2500565153866896,11.250508638480207,125.00565153866896,0.8944069721260937,3.1705901640432748
3000.0,366.0,90.1988990522302,0.011086609820159158,1.7370938570267812e-06,3.318713154015974e-06,5.628827428093873e-07,3.2906261213984363e-40,1.737093857026781,15.63384471324103,173.7093857026781,0.7587319242999604,2.689634642060834
3000.0,370.0,55.89095614784384,0.017891982333506348,2.2067499892779047e-06,4.215989934807697e-06,7.150687233362212e-07,5.3105345443996275e-40,2.2067499892779048,19.86074990350114,220.67499892779045,0.6731679541779506,2.3863182653777932
3000.0,380.0,13.339852343651785,0.07496334848682815,4.516982329186715e-06,8.629682622899604e-06,1.4636695607374734e-06,2.2249935433797872e-39,4.516982329186715,40.65284096268043,451.69823291867147,0.4705175253497259,1.667941199449311
