m_chi_GeV,model,mZp_GeV,feasible,gchi,gN,G_max,Omega_h2,sigv_ff_cm3s,sigv_ZZ_cm3s,Gamma_over_M,Nmax_250,Nmax_280,Nmax_300,Nmax_320,Nmax_340,Nmax_350,Nmax_360,Nmax_366,Nmax_370,Nmax_380,delta_Nmax1_keV
300.0,B-L,1000.0,True,1.7897850816221241,0.05,8.948925408110621e-08,0.12,4.631487386526283e-26,0.0,0.08064353074902438,1.6074300051903965,0.203390745074641,0.013810105769176918,1.0809176435232656e-05,,,,,,,258.33568262814777
300.0,B-L,1178.7686347935867,True,2.460252459933439,0.05893843173967933,1.0435688511360212e-07,0.12,4.5052428942362144e-26,0.0,0.15670312866267236,2.1859111726453615,0.2765869124227659,0.018780080251570474,1.4699177855692292e-05,,,,,,,263.34275764085083
300.0,B-L,1389.4954943731375,True,3.197122551121552,0.06947477471865687,1.1504616474355373e-07,0.12,4.440172189662e-26,0.0,0.26818719174446076,2.656651487169653,0.33615045360254237,0.02282440785053554,1.786467501478463e-05,,,,,,,266.31107248757826
300.0,B-L,1637.8937069540646,False,3.5449077018110318,0.08189468534770322,1.0821543811910042e-07,0.15276016085926897,,,,0.0,0.0,0.0,0.0,,,,,,,
300.0,B-L,1930.6977288832495,False,3.5449077018110318,0.09653488644416247,9.180379840870974e-08,0.22782130962577485,,,,0.0,0.0,0.0,0.0,,,,,,,
300.0,B-L,2275.8459260747863,False,3.5449077018110318,0.11379229630373931,7.78811004118594e-08,0.3310061887459225,,,,0.0,0.0,0.0,0.0,,,,,,,
300.0,B-L,2682.6957952797247,False,3.5449077018110318,0.13413478976398624,6.606987844183437e-08,0.4724881477203341,,,,0.0,0.0,0.0,0.0,,,,,,,
300.0,B-L,3162.2776601683795,False,3.5449077018110318,0.15811388300841897,5.604991216397928e-08,0.6662388093980643,,,,0.0,0.0,0.0,0.0,,,,,,,
300.0,B-L,3727.593720314938,False,3.5449077018110318,0.1863796860157469,4.754954493151589e-08,0.931408433196816,,,,0.0,0.0,0.0,0.0,,,,,,,
300.0,B-L,4393.97056076079,False,3.5449077018110318,0.21969852803803952,4.03383187573889e-08,1.294219347739988,,,,0.0,0.0,0.0,0.0,,,,,,,
300.0,B-L,5179.474679231213,False,3.5449077018110318,0.25897373396156065,3.4220726244936495e-08,1.7905729655577478,,,,0.0,0.0,0.0,0.0,,,,,,,
300.0,B-L,6105.402296585326,False,3.5449077018110318,0.3052701148292663,2.9030910082646422e-08,2.46964671634696,,,,0.0,0.0,0.0,0.0,,,,,,,
300.0,B-L,7196.856730011514,False,3.5449077018110318,0.3598428365005757,2.4628166398175336e-08,3.3988962544903596,,,,0.0,0.0,0.0,0.0,,,,,,,
300.0,B-L,8483.428982440717,False,3.5449077018110318,0.42417144912203586,2.0893130060665326e-08,4.671114118609348,,,,0.0,0.0,0.0,0.0,,,,,,,
