kind,true,test,xe_window,expo_Xe_tyr,Z_at_CaWO4_0p01,Z_at_0p1,Z_at_1,CaWO4_tyr_for_3sigma,CaWO4_tyr_for_5sigma,N_Xe_true
true inelastic vs L10 (WimPyDD W Sigma-prime),delta=380,L10,Xe_5_1000,20,30.952,94.316,266.2,9.2784e-05,0.00025779,244.95
true L10 vs inelastic,L10,delta=380,Xe_5_1000,20,2.5545,6.1313,9.9884,0.014369,0.05267,15.745
inelastic delta pair,delta=300,delta=380,Xe_5_1000,30,1.7709,4.4368,7.1104,0.033456,0.15128,12.391
inelastic delta pair,delta=380,delta=300,Xe_5_1000,30,17.541,50.877,112.31,0.00028543,0.00079392,367.42
inelastic delta pair,delta=300,delta=350,Xe_5_1000,30,0.4643,1.3961,3.1947,0.78252,inf,12.391
inelastic delta pair,delta=350,delta=300,Xe_5_1000,30,0.82383,2.5275,6.4165,0.14496,0.48614,22.752
inelastic delta pair,delta=350,delta=380,Xe_5_1000,30,2.0068,4.8429,7.0081,0.025176,0.11256,22.752
inelastic delta pair,delta=380,delta=350,Xe_5_1000,30,11.637,31.452,54.374,0.00063674,0.0017786,367.42
inelastic delta pair,delta=366,delta=380,Xe_5_1000,30,2.2676,5.2296,7.0188,0.019089,0.083802,58.763
inelastic delta pair,delta=380,delta=366,Xe_5_1000,30,6.9587,17.285,25.207,0.0017495,0.0049779,367.42
inelastic delta pair,delta=330,delta=366,Xe_5_1000,30,0.89328,2.5123,4.6541,0.16269,1.8301,14.844
inelastic delta pair,delta=366,delta=330,Xe_5_1000,30,2.436,7.2025,15.623,0.015299,0.044501,58.763
true inelastic vs L10 (WimPyDD W Sigma-prime),delta=300,L10,Xe_5_1000,30,0.64994,2.052,6.3933,0.21458,0.60404,12.391
true L10 vs inelastic,L10,delta=300,Xe_5_1000,30,0.40409,1.2678,3.7382,0.60828,2.0386,23.617
true inelastic vs L10 (WimPyDD W Sigma-prime),delta=350,L10,Xe_5_1000,30,2.3052,7.2462,21.963,0.016954,0.047277,22.752
true L10 vs inelastic,L10,delta=350,Xe_5_1000,30,0.91858,2.7969,6.9612,0.11657,0.38814,23.617
true inelastic vs L10 (WimPyDD W Sigma-prime),delta=366,L10,Xe_5_1000,30,6.539,20.414,60.296,0.0020995,0.0058385,58.763
true L10 vs inelastic,L10,delta=366,Xe_5_1000,30,1.5015,4.3346,9.1353,0.042945,0.14288,23.617
true inelastic vs L10 (WimPyDD W Sigma-prime),delta=380,L10,Xe_5_1000,30,31.014,95.372,273.32,9.278e-05,0.00025776,367.42
true L10 vs inelastic,L10,delta=380,Xe_5_1000,30,2.5972,6.6268,11.473,0.013671,0.045466,23.617
inelastic delta pair,delta=300,delta=380,Xe_5_1000,50,1.7977,4.8338,8.584,0.030409,0.11011,20.652
inelastic delta pair,delta=380,delta=300,Xe_5_1000,50,17.628,52.633,126.12,0.00028535,0.00079334,612.37
inelastic delta pair,delta=300,delta=350,Xe_5_1000,50,0.46541,1.4266,3.5898,0.58088,4.7443,20.652
inelastic delta pair,delta=350,delta=300,Xe_5_1000,50,0.82498,2.561,6.9787,0.13938,0.43088,37.92
inelastic delta pair,delta=350,delta=380,Xe_5_1000,50,2.0418,5.3508,8.6711,0.023069,0.08199,37.92
inelastic delta pair,delta=380,delta=350,Xe_5_1000,50,11.742,33.449,65.245,0.00063597,0.0017721,612.37
inelastic delta pair,delta=366,delta=380,Xe_5_1000,50,2.3145,5.8695,8.7975,0.017598,0.061614,97.939
inelastic delta pair,delta=380,delta=366,Xe_5_1000,50,7.0597,18.955,31.237,0.0017402,0.004903,612.37
inelastic delta pair,delta=330,delta=366,Xe_5_1000,50,0.89872,2.6361,5.508,0.13675,0.64558,24.741
inelastic delta pair,delta=366,delta=330,Xe_5_1000,50,2.4441,7.4094,17.792,0.015141,0.043222,97.939
true inelastic vs L10 (WimPyDD W Sigma-prime),delta=300,L10,Xe_5_1000,50,0.64998,2.0534,6.4338,0.21398,0.59915,20.652
true L10 vs inelastic,L10,delta=300,Xe_5_1000,50,0.40424,1.2722,3.8489,0.58403,1.8104,39.362
true inelastic vs L10 (WimPyDD W Sigma-prime),delta=350,L10,Xe_5_1000,50,2.3058,7.265,22.32,0.016938,0.047158,37.92
true L10 vs inelastic,L10,delta=350,Xe_5_1000,50,0.92023,2.8427,7.585,0.11206,0.3462,39.362
true inelastic vs L10 (WimPyDD W Sigma-prime),delta=366,L10,Xe_5_1000,50,6.5432,20.524,61.708,0.0020989,0.005834,97.939
true L10 vs inelastic,L10,delta=366,Xe_5_1000,50,1.5087,4.4991,10.37,0.041302,0.12749,39.362
true inelastic vs L10 (WimPyDD W Sigma-prime),delta=380,L10,Xe_5_1000,50,31.066,96.399,281.47,9.2777e-05,0.00025773,612.37
true L10 vs inelastic,L10,delta=380,Xe_5_1000,50,2.6337,7.1679,13.511,0.013149,0.040588,39.362
true inelastic vs L10 (zero-q spin estimate W/Xe),delta=300,L10,Xe_5_1000,20,0.62163,1.9606,6.0573,0.23593,0.67072,8.2608
true inelastic vs L10 (zero-q spin estimate W/Xe),delta=350,L10,Xe_5_1000,20,2.2296,6.9852,20.804,0.018138,0.050722,15.168
true inelastic vs L10 (zero-q spin estimate W/Xe),delta=366,L10,Xe_5_1000,20,6.35,19.697,56.937,0.0022232,0.0061877,39.175
true inelastic vs L10 (zero-q spin estimate W/Xe),delta=380,L10,Xe_5_1000,20,30.192,91.82,257.34,9.7454e-05,0.00027076,244.95
