delta_keV,expo_Xe_tyr,expo_CaWO4_tyr,xe_window,mu_Xe,mu_W,p_W,sigma_delta_keV
380,10,0.3,Xe_LZ270,3.5211,1693.5,0.99793,1.9678
380,10,0.3,Xe_5_1000,122.47,1693.5,0.93256,0.94038
380,10,1,Xe_LZ270,3.5211,5644.9,0.99938,1.9664
380,10,1,Xe_5_1000,122.47,5644.9,0.97876,0.91792
380,20,0.01,Xe_LZ270,7.0423,56.449,0.88908,1.4742
380,20,0.01,Xe_5_1000,244.95,56.449,0.18729,1.4838
380,20,0.03,Xe_LZ270,7.0423,169.35,0.96008,1.4186
380,20,0.03,Xe_5_1000,244.95,169.35,0.40876,1.0044
380,20,0.1,Xe_LZ270,7.0423,564.49,0.98768,1.3987
380,20,0.1,Xe_5_1000,244.95,564.49,0.69739,0.76894
380,20,0.3,Xe_LZ270,7.0423,1693.5,0.99586,1.3929
380,20,0.3,Xe_5_1000,244.95,1693.5,0.87364,0.68701
380,20,1,Xe_LZ270,7.0423,5644.9,0.99875,1.3909
380,20,1,Xe_5_1000,244.95,5644.9,0.95841,0.65592
380,30,0.01,Xe_LZ270,10.563,56.449,0.84237,1.2366
380,30,0.01,Xe_5_1000,367.42,56.449,0.13318,1.4367
380,30,0.03,Xe_LZ270,10.563,169.35,0.94129,1.1698
380,30,0.03,Xe_5_1000,367.42,169.35,0.31549,0.93344
380,30,0.1,Xe_LZ270,10.563,564.49,0.98163,1.1455
380,30,0.1,Xe_5_1000,367.42,564.49,0.60573,0.67366
380,30,0.3,Xe_LZ270,10.563,1693.5,0.9938,1.1385
380,30,0.3,Xe_5_1000,367.42,1693.5,0.82172,0.57839
380,30,1,Xe_LZ270,10.563,5644.9,0.99813,1.136
380,30,1,Xe_5_1000,367.42,5644.9,0.93889,0.5411
380,50,0.01,Xe_LZ270,17.606,56.449,0.76226,1.0069
380,50,0.01,Xe_5_1000,612.37,56.449,0.084402,1.3979
380,50,0.03,Xe_LZ270,17.606,169.35,0.90583,0.92369
380,50,0.03,Xe_5_1000,612.37,169.35,0.21664,0.87255
380,50,0.1,Xe_LZ270,17.606,564.49,0.96975,0.89273
380,50,0.1,Xe_5_1000,612.37,564.49,0.47966,0.5864
380,50,0.3,Xe_LZ270,17.606,1693.5,0.98971,0.88368
380,50,0.3,Xe_5_1000,612.37,1693.5,0.73443,0.4739
380,50,1,Xe_LZ270,17.606,5644.9,0.99689,0.88049
380,50,1,Xe_5_1000,612.37,5644.9,0.90214,0.42758
