name,class4,cls,op,tau,mass,delta,f_lo,f_L2,f_M,f_hi,N_lo,N_M,rho,B_logu,B_logu_rho,post_uniform,post_classes,s_hat,s_mean_logu,s_med_logu,s_mean_flat,s_mean_jeff,g_lo,g_L2M,g_X_raw,g_X
O3v_m1000,elastic-isovector,elastic,O3,v,1000,0,0.307917,0.314365,0.317542,0.0601754,5.11699,5.27694,0.54683,17.0548,9.50334,0.00348028,0.00159624,0.09816726270141228,0.09546708136486429,0.06535192254705374,0.19183760430265334,0.14388634000393424,5.116991328682485,10.501085161045877,0.3967758982773982,0.5081663107495991
O3v_m4000,elastic-isovector,elastic,O3,v,4000,0,0.292879,0.311111,0.330184,0.0658262,4.44928,5.01599,0.556159,18.3116,10.3608,0.00373675,0.00171387,0.10567977235342439,0.10280005994101327,0.07038676542605189,0.20658497412136745,0.15493970037942803,4.449277035587653,9.742245488878288,0.4440559190045733,0.5687196704909606
O4s_m100,elastic-isoscalar,elastic,O4,s,100,0,0.888984,0.0984278,0.01159,0.000997709,891.026,11.6166,0.500052,0.357391,0.213702,7.2931e-05,2.11622e-05,0.0014458589877932213,0.0029932256555899135,0.0023059987592278235,0.004429484172359209,0.0036431861781765283,891.0253390517676,110.27042955410846,0.04703892050223274,0.060244573314661244
O4s_m200,elastic-isoscalar,elastic,O4,s,200,0,0.797995,0.152333,0.0404038,0.00926837,86.0987,4.35932,0.713388,3.87845,2.83906,0.000791456,0.000229654,0.021490563963615497,0.02086625122865163,0.014576401682152778,0.040013174506366635,0.030353343658350802,86.09874228154466,20.795112840769196,0.28918796830584326,0.37037426820822467
O4s_m400,elastic-isoscalar,elastic,O4,s,400,0,0.747209,0.173566,0.0606307,0.0185948,40.1838,3.26063,0.778803,7.46182,5.88062,0.0015227,0.000441836,0.041732509679169055,0.040439916484117516,0.028262761862063848,0.07846964698065699,0.05953549849073331,40.18376105147676,12.59474154064577,0.43964928810191833,0.5630759270620899
O4s_m1000,elastic-isoscalar,elastic,O4,s,1000,0,0.718223,0.183274,0.0729019,0.0256007,28.0548,2.84765,0.808873,9.99692,8.15148,0.00204002,0.000591947,0.05688271166651104,0.054555468741108136,0.038129615319089274,0.10617866229422981,0.08055868889690684,28.054818813548064,10.00659747585027,0.5325494730166157,0.6820568037761594
O4s_m4000,elastic-isoscalar,elastic,O4,s,4000,0,0.704631,0.187392,0.0787209,0.0292555,24.0855,2.69081,0.82178,11.2754,9.32881,0.00230092,0.000667652,0.06400598597681487,0.06173059838651189,0.043139922483157976,0.12027548662020798,0.09124633449368619,24.08541983558647,9.096166532788706,0.578560054263542,0.7409843430475815
O5s_m100,elastic-isoscalar,elastic,O5,s,100,0,0.87984,0.104849,0.0133358,0.00197472,445.552,6.75327,0.62023,0.812238,0.549465,0.000165749,4.8095e-05,0.00405955629473866,0.005111780687588485,0.0037216721615974334,0.008633845590874044,0.006751723399697092,445.5517744287797,59.848889969210816,0.09059709056985137,0.11603121429351994
O5s_m200,elastic-isoscalar,elastic,O5,s,200,0,0.787464,0.148215,0.0460116,0.0183098,43.0077,2.51294,0.862409,7.49347,6.50564,0.00152915,0.00044371,0.042352547708197914,0.04064657563523803,0.02850848698760638,0.07850468723038209,0.05966391625656889,43.00778817900796,10.607794732875291,0.5747086296858351,0.7360516739331504
O5s_m400,elastic-isoscalar,elastic,O5,s,400,0,0.732961,0.162483,0.0683063,0.0362493,20.22,1.88435,0.930564,14.0079,13.0612,0.00285852,0.000829449,0.07985390438613986,0.07704738618948927,0.0539937132913401,0.14975137099837788,0.11376296285465728,20.2200042483579,6.366724322952443,0.8660780111828001,1.109219762780092
O5s_m1000,elastic-isoscalar,elastic,O5,s,1000,0,0.700983,0.168053,0.0815291,0.0494344,14.1801,1.64924,0.960938,18.4376,17.733,0.00376246,0.00109174,0.10567977235342439,0.10216673268721721,0.07151477915986781,0.19910943526193178,0.15115371645337333,14.180064894081854,5.048753499587332,1.0433140351046561,1.3362128256130814
O5s_m4000,elastic-isoscalar,elastic,O5,s,4000,0,0.685922,0.170176,0.0877123,0.0561896,12.2073,1.561,0.973587,20.6071,20.0737,0.00420519,0.00122021,0.11891377589280033,0.1145519031046986,0.08013262374232566,0.22351390526589032,0.1696128497343272,12.207276791434715,4.589609109158991,1.1307975015673675,1.4482563005241045
O5v_m100,elastic-isovector,elastic,O5,v,100,0,0.5197,0.371857,0.0920461,0.0163972,31.6944,5.61352,0.651479,6.34258,4.23581,0.0012943,0.000593632,0.035482898556461084,0.034253142607180244,0.023750354350556974,0.06699193135734742,0.05063098186628098,31.694435635352377,28.29160466421096,0.09470750568233705,0.12129558264963647
O5v_m200,elastic-isovector,elastic,O5,v,200,0,0.318657,0.37341,0.206882,0.101052,3.15341,2.04729,0.899576,30.6489,27.6161,0.00625437,0.00286858,0.17707945786477386,0.1738849902722007,0.12044720915256525,0.3441760480293608,0.25959740263490777,3.153396271226695,5.742508807346713,0.5859834137497465,0.7504917279967431
O5v_m400,elastic-isovector,elastic,O5,v,400,0,0.244679,0.342413,0.249252,0.163656,1.49508,1.52303,0.968306,44.5365,43.1403,0.00908833,0.00416838,0.25983590327313305,0.25546257969418446,0.17645042328536742,0.5078834539589955,0.3822565806850818,1.4950811458180575,3.615296719949162,0.8752187071590121,1.1209266073038686
O5v_m1000,elastic-isovector,elastic,O5,v,1000,0,0.211207,0.321725,0.266408,0.20066,1.05256,1.32766,0.998794,51.8355,51.7736,0.0105778,0.00485153,0.30112688795013975,0.2985267014156074,0.20595042452689907,0.5945676986925073,0.4470952272901001,1.0525615468952456,2.9309927240107645,1.0501949054851112,1.345025423684594
O5v_m4000,elastic-isovector,elastic,O5,v,4000,0,0.197434,0.312171,0.272793,0.217602,0.907318,1.25364,1.01161,55.0049,55.6378,0.0112246,0.00514817,0.31942557564285756,0.3172490736581272,0.21876965884519248,0.6322840335165401,0.47529300179070444,0.9073170283361367,2.6882289684837457,1.1361615632562179,1.4551262627644788
O6s_m100,elastic-isoscalar,elastic,O6,s,100,0,0.325247,0.48121,0.166833,0.0267106,12.1767,6.24594,0.617936,9.28494,5.86489,0.00189473,0.000549789,0.05283906252807266,0.05082962998531353,0.03504619994057886,0.1006624962275457,0.0758381426487075,12.176701384469087,24.26164144571818,0.09103410530410672,0.11659091604509784
O6s_m200,elastic-isoscalar,elastic,O6,s,200,0,0.165848,0.401039,0.30273,0.130383,1.272,2.32185,0.863431,34.8442,30.1484,0.00711047,0.00206323,0.20221507170156394,0.19940613666177814,0.13747052197274104,0.3974249223983752,0.2988239108952965,1.2720063198423106,5.397705222306589,0.6646793722238342,0.8512806999637907
O6s_m400,elastic-isoscalar,elastic,O6,s,400,0,0.119722,0.345572,0.33927,0.195436,0.61259,1.73596,0.932994,47.5119,44.3612,0.00969552,0.00281332,0.27562544660390853,0.27399553287352035,0.18863348707556554,0.5473352362183992,0.41103634567060554,0.6125892875417016,3.5041752798870216,1.0353739299108966,1.3260436243566693
O6s_m1000,elastic-isoscalar,elastic,O6,s,1000,0,0.100668,0.31618,0.351389,0.231763,0.434357,1.51615,0.964026,54.0018,52.0772,0.0110199,0.00319761,0.3147492098736109,0.31225921039930865,0.21486563555896876,0.624286991150434,0.4686099020412262,0.43435751176848764,2.8803950587453566,1.266528641979512,1.6220924462590793
O6s_m4000,elastic-isoscalar,elastic,O6,s,4000,0,0.0931281,0.303612,0.355313,0.247946,0.375598,1.43302,0.977113,56.7901,55.502,0.0115889,0.00336271,0.3289877758523697,0.32870318354428596,0.22614257304716115,0.6573548313515827,0.49334958612493274,0.3755983157623031,2.6575343018237843,1.3820778098727675,1.7700807555627103
O7s_m100,elastic-isoscalar,elastic,O7,s,100,0,0.963362,0.0295388,0.00650779,0.000591063,1629.88,11.0103,0.445973,0.16922,0.0972467,3.45319e-05,1.002e-05,0.001,0.002161661254694351,0.0017646985427845234,0.0028295640347280825,0.0024616878998708017,1629.8804019199308,60.98603702143427,0.02061595888840195,0.026403659638520423
O7s_m200,elastic-isoscalar,elastic,O7,s,200,0,0.906571,0.0559834,0.0294029,0.00804232,112.725,3.65602,0.680798,3.42076,2.40562,0.000698058,0.000202554,0.01881925706062912,0.018358460264822532,0.012824917881813452,0.03507259695506841,0.02661291544047043,112.72505943558575,10.617122919754499,0.17444976036022175,0.2234245868216218
O7s_m400,elastic-isoscalar,elastic,O7,s,400,0,0.864578,0.0690921,0.0484438,0.0178858,48.3387,2.7085,0.746267,7.30173,5.52808,0.00149003,0.000432357,0.04112154895902114,0.039412760608539585,0.027552040493433957,0.0764305608100612,0.05800821304707558,48.33879390354359,6.571464513748336,0.28098855071723233,0.3598729554914257
O7s_m1000,elastic-isoscalar,elastic,O7,s,1000,0,0.837245,0.0759145,0.0610221,0.0258185,32.4281,2.3635,0.776328,10.2335,8.02139,0.00208829,0.000605953,0.057727842829210445,0.05568214383444635,0.038936609192103705,0.1083315390000805,0.08222968071789175,32.42810387900149,5.30381703042392,0.3480348874028869,0.44574180415572817
O7s_m4000,elastic-isoscalar,elastic,O7,s,4000,0,0.823607,0.0789296,0.0672961,0.0301674,27.3012,2.23075,0.789135,11.7805,9.37175,0.002404,0.000697561,0.06690147681770486,0.06434616078876283,0.044991009348836895,0.12533638631680327,0.09513010134564687,27.301225826554493,4.847142942381511,0.38116476358523343,0.48817252393549626
O7v_m100,elastic-isovector,elastic,O7,v,100,0,0.970465,0.0232871,0.00571591,0.000531958,1824.33,10.745,0.453535,0.142545,0.0832998,2.90885e-05,1.33415e-05,0.001,0.002046441176068969,0.0016906297441078022,0.0026154510648554977,0.002302198294911039,1824.3263565920618,54.521240398678096,0.0250404900720307,0.03207032865279925
O7v_m200,elastic-isovector,elastic,O7,v,200,0,0.920792,0.0455759,0.0262409,0.00739115,124.58,3.55031,0.696018,3.15895,2.26958,0.000644631,0.000295661,0.017225516350929546,0.01700008239213748,0.011894930115212038,0.0323370923336369,0.0245562477184141,124.58034270715655,9.716593493570013,0.2595113626118689,0.33236628612929775
O7v_m400,elastic-isovector,elastic,O7,v,400,0,0.882812,0.057016,0.0435816,0.0165906,53.2115,2.62688,0.763505,6.83187,5.28835,0.00139415,0.000639427,0.038198321300778326,0.03685311667869595,0.025785922981437233,0.07131843466329986,0.05414968029438355,53.21157764035056,6.063529950694972,0.434727268069849,0.556772104748307
O7v_m1000,elastic-isovector,elastic,O7,v,1000,0,0.857684,0.063098,0.0551453,0.0240723,35.6296,2.29082,0.794476,9.64139,7.72932,0.00196747,0.000902383,0.05442083222124618,0.05239649112314092,0.036671296303087804,0.1017646598336113,0.07727749407541722,35.62949946619143,4.912006746343307,0.5468867334999815,0.7004190903911451
O7v_m4000,elastic-isovector,elastic,O7,v,4000,0,0.845043,0.0658196,0.060943,0.0281944,29.9721,2.16153,0.807671,11.1343,9.06052,0.00227212,0.00104211,0.06306894328307791,0.06073258861336321,0.042502912198644625,0.11810500476756529,0.08968133405190476,29.972015719433646,4.496020486337712,0.602706063646707,0.7719090755246276
O8s_m100,elastic-isoscalar,elastic,O8,s,100,0,0.96672,0.0312194,0.00187297,0.000187903,5144.77,9.96772,0.559286,0.0126618,0.00875878,2.58382e-06,7.4974e-07,0.001,0.0013642002553294432,0.0012414782327378553,0.001464167065192213,0.0014103115760057076,5144.782148236058,176.11411206846086,0.07106035981960764,0.09100976406793518
O8s_m200,elastic-isoscalar,elastic,O8,s,200,0,0.94169,0.0491415,0.00720774,0.00196029,480.383,3.67688,0.79164,0.813436,0.669049,0.000165994,4.8166e-05,0.004243201744302566,0.0052029414245685374,0.003820506678677624,0.008719520785646692,0.006846406429622452,480.38300455544845,28.745359105030378,0.4215657788012354,0.5399156740158992
O8s_m400,elastic-isoscalar,elastic,O8,s,400,0,0.926948,0.0574532,0.0114337,0.00416468,222.574,2.7454,0.859612,1.80688,1.57901,0.000368721,0.000106991,0.00983514623955935,0.010154203471704619,0.007231282657888172,0.018514439745431543,0.014194930319404728,222.57364311303633,16.540742626084118,0.6274896813589496,0.8036504177647598
O8s_m1000,elastic-isoscalar,elastic,O8,s,1000,0,0.91806,0.0618052,0.0142082,0.00592636,154.911,2.39746,0.890343,2.57544,2.31659,0.000525558,0.0001525,0.0140120514501137,0.014134782412338408,0.010005631830666733,0.02634381873959292,0.020114993617640534,154.9112777489049,12.826321721933867,0.7516538535683461,0.9626722978559102
O8v_m100,elastic-isovector,elastic,O8,v,100,0,0.797905,0.176627,0.0227298,0.00273766,291.456,8.30264,0.589884,1.14499,0.735294,0.000233651,0.000107165,0.005869545955200439,0.006675213401407401,0.004755082232543838,0.01183550772140815,0.009110662347116404,291.4551112994309,72.82014567185115,0.07446442421177316,0.09536948160932539
O8v_m200,elastic-isovector,elastic,O8,v,200,0,0.662201,0.243308,0.0708834,0.0236071,28.051,3.00263,0.829872,9.27171,7.75117,0.00189203,0.000867783,0.05283906252807266,0.05056824528108572,0.035361494379696316,0.09827976589241158,0.07457966551033077,28.050925357201862,13.309190879015212,0.4325996554195962,0.5540471885528498
O8v_m400,elastic-isovector,elastic,O8,v,400,0,0.592936,0.261362,0.100511,0.0451905,13.1208,2.22416,0.899069,16.5633,14.9309,0.00337999,0.00155024,0.09531398033388766,0.09176232757266717,0.06408902582830983,0.17929894638418714,0.13594990858390824,13.120810789878403,8.007722862105974,0.6388194651974672,0.8181609121768593
O8v_m1000,elastic-isovector,elastic,O8,v,1000,0,0.555319,0.267057,0.117095,0.0605288,9.17446,1.93454,0.930218,21.3046,19.8468,0.00434752,0.001994,0.12247353259189256,0.11891600936674068,0.08294636362576473,0.232959261540239,0.17648440189526438,9.174459100461268,6.346598643951309,0.7625476357378759,0.9766243879884853
O8v_m4000,elastic-isovector,elastic,O8,v,4000,0,0.538228,0.268923,0.124589,0.0682604,7.88493,1.8252,0.943376,23.5802,22.269,0.00481189,0.00220698,0.13579303894655623,0.13202616989382518,0.09202931992600757,0.2589410476768905,0.19608037599598288,7.884923030043774,5.764865134104108,0.8230611582720723,1.0541264077184398
O9s_m100,elastic-isoscalar,elastic,O9,s,100,0,0.771195,0.147858,0.0693822,0.0115645,66.6864,5.99959,0.550188,4.64134,2.67435,0.000947134,0.000274827,0.025651234047207493,0.02469708803784459,0.017042312152994496,0.04827653400603512,0.036424272230825984,66.68641099917852,18.785092308357473,0.04270776743047782,0.05469749727672423
O9s_m200,elastic-isoscalar,elastic,O9,s,200,0,0.526983,0.193212,0.197638,0.0821665,6.4136,2.40533,0.757211,25.7128,19.5748,0.00524708,0.00152253,0.14835689420952305,0.14489159433559146,0.10030540997279745,0.28699354025260193,0.2164881427312954,6.41359921622559,4.75680478053708,0.2722698261068593,0.34870654609274426
O9s_m400,elastic-isoscalar,elastic,O9,s,400,0,0.414386,0.191726,0.255201,0.138688,2.98791,1.84011,0.819215,38.4786,31.6072,0.00785213,0.00227843,0.22420680228643028,0.2198188713077847,0.1517337823797625,0.4374290905818691,0.3292080102661644,2.9879008998615593,3.2225354753114908,0.4253140130689979,0.5447161832906396
O9s_m1000,elastic-isoscalar,elastic,O9,s,1000,0,0.360237,0.186263,0.280741,0.172759,2.0852,1.62504,0.847419,45.2254,38.3989,0.00922891,0.00267793,0.2636963981864506,0.25963931794294626,0.17899674468380058,0.5176563420120719,0.38920070453711414,2.0851996133341824,2.703210831273624,0.5225380007864726,0.6692347222675515
O9s_m4000,elastic-isoscalar,elastic,O9,s,4000,0,0.337418,0.183212,0.290731,0.188638,1.7887,1.54121,0.859678,48.1958,41.5019,0.00983507,0.00285382,0.279720533623029,0.2771945013982081,0.19100940358725615,0.5530497215434861,0.4156545764262431,1.788706411221493,2.512447120940638,0.5711465361067296,0.7314895622713847
O9v_m100,elastic-isovector,elastic,O9,v,100,0,0.797876,0.126401,0.0646632,0.01106,72.1407,5.84658,0.560148,4.46976,2.62027,0.000912122,0.000418346,0.02454105058379015,0.023790883806742474,0.016434110905127707,0.04640377220346257,0.03502804790816147,72.14068716094033,17.275244122965642,0.053154417549570065,0.06807692801775059
O9v_m200,elastic-isovector,elastic,O9,v,200,0,0.556144,0.172544,0.189982,0.0813299,6.83812,2.33595,0.774128,25.6879,19.9832,0.00524201,0.00240425,0.14835689420952305,0.14469442457565393,0.10023438704245713,0.28633632095177597,0.21607049360685143,6.838124724117453,4.4574750491516655,0.41724752347861976,0.5343851166264627
O9v_m400,elastic-isovector,elastic,O9,v,400,0,0.439902,0.173618,0.247698,0.138782,3.16972,1.78479,0.8379,38.786,32.5751,0.00791487,0.00363017,0.22420680228643028,0.22155375460490867,0.15299531660763982,0.4406067016921099,0.331678709397254,3.1697338271533777,3.0358115605770206,0.6734753742189348,0.8625460815119194
O9v_m1000,elastic-isovector,elastic,O9,v,1000,0,0.383172,0.169649,0.273517,0.173661,2.20643,1.575,0.866798,45.7302,39.7037,0.00933194,0.00428011,0.26761425015007567,0.2625447119950788,0.1810604243894393,0.5231952879424138,0.39343580098782993,2.2064366783561074,2.551902845198404,0.8385118938684009,1.0739147651777543
O9v_m4000,elastic-isovector,elastic,O9,v,4000,0,0.359129,0.167255,0.283682,0.189935,1.8908,1.49358,0.879341,48.782,42.9555,0.00995469,0.00456573,0.283876463129303,0.2805867001982107,0.19340206961966042,0.5595768209650155,0.42062571987103914,1.8907994840340117,2.3741648458683233,0.9215694490927608,1.1802898035847895
O10s_m100,elastic-isoscalar,elastic,O10,s,100,0,0.600938,0.330836,0.061518,0.00670852,89.5783,9.17013,0.558022,2.73264,1.62197,0.000557636,0.000161808,0.014645926016948434,0.014658540644722932,0.010135897312630836,0.028127080622785718,0.02124363533776588,89.5783272614526,58.48592536058624,0.07134374507153236,0.0913727065717935
O10s_m200,elastic-isoscalar,elastic,O10,s,200,0,0.420097,0.378541,0.155386,0.0459756,9.13739,3.37976,0.793636,15.7703,12.5952,0.00321817,0.000933808,0.08985380152582095,0.08771082320912621,0.06090711598565222,0.17270101278606584,0.13052713327604792,9.137390267881225,11.613268777351466,0.4798748356517329,0.6145943488841248
O10s_m400,elastic-isoscalar,elastic,O10,s,400,0,0.346904,0.373236,0.200273,0.0795869,4.3588,2.51641,0.863073,24.9092,21.5571,0.0050831,0.00147495,0.14404482419045492,0.14060947397812154,0.09744247526656181,0.27803441535943973,0.20980026508058683,4.35880779374495,7.206072858724237,0.7368162642788323,0.9436692206972301
O10s_m1000,elastic-isoscalar,elastic,O10,s,1000,0,0.311622,0.364901,0.222167,0.10131,3.07591,2.19293,0.894512,30.2313,27.0894,0.00616914,0.00179008,0.17448702827134188,0.17168390416938684,0.1188267259923738,0.34018876724157093,0.2564586965535436,3.075925377554042,5.794768532227815,0.8956696375204662,1.1471189084952869
O10s_m4000,elastic-isoscalar,elastic,O10,s,4000,0,0.296518,0.360409,0.23136,0.111713,2.65429,2.07103,0.907827,32.6501,29.6825,0.00666275,0.00193331,0.19063093215237317,0.18585629740828039,0.12856762895551224,0.36859087860493206,0.27775658573513873,2.6542837449535863,5.297225927152614,0.9747251452944511,1.248368369221996
O11s_m100,elastic-isoscalar,elastic,O11,s,100,0,0.94431,0.0521962,0.00334612,0.000147481,6402.94,22.6885,0.251218,0.00519442,0.00251703,1.06e-06,3.07577e-07,0.001,0.0012699167576364623,0.0011760845867859518,0.001330085182889321,0.0012979222784191616,6402.926478665048,376.6066137332944,0.011656815065036161,0.014929336011605229
O11s_m200,elastic-isoscalar,elastic,O11,s,200,0,0.913613,0.0725588,0.0126031,0.00122462,746.038,10.2914,0.347298,0.463569,0.215852,9.45983e-05,2.74493e-05,0.0015565071743916731,0.003349943237493229,0.0025040665619566883,0.005218942749639985,0.004194635703815104,746.0379546308243,69.54149042151852,0.26867418396532045,0.34410146748344794
O11s_m400,elastic-isoscalar,elastic,O11,s,400,0,0.896911,0.0808815,0.0197841,0.00242307,370.155,8.16491,0.380542,1.00804,0.46797,0.000205706,5.9689e-05,0.004635791622108949,0.0057712845504947026,0.004056899802986109,0.010247770574321299,0.007855899396658579,370.15480361689924,41.544652032339144,0.4902733991618131,0.6279121932364512
O11s_m1000,elastic-isoscalar,elastic,O11,s,1000,0,0.887247,0.0849813,0.0244422,0.00332963,266.47,7.34081,0.396838,1.40551,0.655764,0.000286816,8.32245e-05,0.006802285923173248,0.007647118740662704,0.005289823874175808,0.01413893116002665,0.010720943838646111,266.47014833479994,32.86356141673399,0.6418800398245413,0.8220807090288513
O11v_m100,elastic-isovector,elastic,O11,v,100,0,0.969423,0.0249973,0.00494957,0.000630457,1537.65,7.85076,1.06217,0.188043,0.197072,3.8373e-05,1.75999e-05,0.001092522086260339,0.002338722021260157,0.0019063022251752948,0.0031112086636614768,0.0026889146632327293,1537.6512593245855,47.50025774953725,0.16767268923540007,0.21474492849020635
O11v_m200,elastic-isovector,elastic,O11,v,200,0,0.927644,0.0488819,0.0155949,0.00787916,117.734,1.97926,1.24354,3.41658,4.19007,0.000697205,0.000319774,0.019098862939723522,0.01879683489236866,0.013367752405957455,0.03514919293048842,0.02687951447551708,117.73387010798106,8.183207346976074,0.6626150840456888,0.8486368858804092
O11v_m400,elastic-isovector,elastic,O11,v,400,0,0.898764,0.0610919,0.0227655,0.0173786,51.7167,1.30997,1.28382,7.34905,9.34619,0.00149968,0.000687832,0.041732509679169055,0.04011518269093726,0.028384555351691036,0.07654722321342997,0.05840921014785274,51.71670905596538,4.825325400204849,0.8759280035491107,1.1218350307523424
O11v_m1000,elastic-isovector,elastic,O11,v,1000,0,0.880382,0.0675642,0.0270697,0.0249837,35.2383,1.08349,1.301,10.3686,13.3856,0.00211586,0.000970444,0.059455961154379726,0.05676201407378005,0.040110262279960444,0.10885629520309961,0.08302589804844743,35.2382553424833,3.7878256623318403,0.9937324022878117,1.272711701832972
O12s_m200,elastic-isoscalar,elastic,O12,s,200,0,0.830211,0.163601,0.00345771,0.00273036,304.067,1.26639,0.769007,1.17537,0.938115,0.000239851,6.9597e-05,0.006226222800178998,0.006931177524615661,0.004993064577000301,0.012170011864657387,0.009416760451027508,304.06649672570654,61.18559823613004,0.12810461634461012,0.16406856001198186
O12s_m400,elastic-isoscalar,elastic,O12,s,400,0,0.806593,0.182145,0.00565747,0.00560417,143.927,1.00951,0.827002,2.46429,2.07448,0.000502876,0.000145918,0.013405610926439833,0.01347862067267793,0.009534408750225008,0.025093786334229328,0.019160320698188623,143.92728985737406,33.51120148032626,0.17030469980840746,0.2181158467051127
O12s_m1000,elastic-isoscalar,elastic,O12,s,1000,0,0.793803,0.191258,0.00711764,0.00782096,101.497,0.910073,0.853623,3.43206,2.96497,0.000700362,0.000203222,0.01881925706062912,0.01855496051786081,0.013090008963594335,0.03503708967622098,0.02670646035116254,101.49687506393077,25.36461508561609,0.1934513159681651,0.24776061744675104
