k,E_tyr,Pge1_200-270 keV,Pge1_55-270 keV,Pge1_55-420 keV (1000 phd),Pge1_P038,Pge1_flat,Pge1_plugin
0.9799404669103597,2.7830309260254213,0.24725269875926958,0.49966994504267404,0.5862208394875379,0.16766003961788134,0.41483298231054944,0.2928878338752111
1.0119527883393233,2.873945918883678,0.2526950751840801,0.5075706744077779,0.5935345650828894,0.17199988292204327,0.42247276717979987,0.30008903626963157
1.0450108760754,2.9678308880541358,0.25820773204789116,0.5154658606556315,0.6008108477359284,0.17642413102317778,0.4301548618786565,0.30740381686961493
1.07914889281346,3.0647828555902263,0.2637897283031144,0.5233515918649893,0.6080466171947998,0.1809330728186338,0.43787622742147025,0.314830667605172
1.1144021172622622,3.1649020130248244,0.26944005508449165,0.5312239782572157,0.6152388739742443,0.18552693065338377,0.4456337625606045,0.322367892105479
1.1508069806019656,3.268291824909582,0.275157635907746,0.5390791598423359,0.6223846940486664,0.19020585783088018,0.4534243076075317,0.33001360272415925
1.1884011041326306,3.3750591357366706,0.28094132698354257,0.5469133139344848,0.6294812332781632,0.19496993618723157,0.461244648380417,0.33776571812604717
1.2272233381525963,3.485314280353373,0.28678991764745765,0.5547226625062298,0.6365257315553232,0.1998191737388333,0.46909152027049716,0.3456219614799678
1.2673138021069343,3.5991711979836936,0.2927021309064851,0.5625034793523696,0.6435155166621372,0.20475350241375556,0.47696161241965007,0.3535798593004853
1.308713926047443,3.716747549974738,0.2986766241023844,0.5702520970351032,0.6504480078278962,0.2097727758772936,0.48485157200162354,0.3616367409793737
1.3514664934470544,3.8381648413896343,0.3047119896920034,0.5779649135839595,0.6573207189805172,0.214876767462155,0.49275800859950813,0.3697897390447549
1.3956156854128747,3.963548546572564,0.31080675614450437,0.5856383989255165,0.6641312616852977,0.2200651682137671,0.500677498672123,0.3780357901823411
1.441207126343569,4.0930282388157355,0.31695938895522235,0.5932691010197396,0.6708773477666539,0.22533758506114543,0.5086065901020884,0.38637163704904187
1.4882879310782542,4.226737724262241,0.3231682917756916,0.6008536516816976,0.6775567916099405,0.23069353912366464,0.5165418068184136,0.3947938309042991
1.536906753585645,4.364815180183232,0.3294318076591578,0.6083887720694616,0.6841675121419718,0.23613246416391465,0.5244796534864762,0.4032987350789111
1.5871138372437472,4.507403297772242,0.3357482204206833,0.6158712778211419,0.6907075344903437,0.24165370519660256,0.5324166202582634,0.41188252929479197
1.6389610667620795,4.654649429604306,0.3421157561107202,0.6232980838262414,0.6971749913231183,0.2472565172631811,0.540349187575702,0.4205412148421275
1.692502021800059,4.806705741912167,0.3485325846007894,0.6306662086188023,0.7035681238718273,0.25294006438153604,0.5482738310198002,0.4292706206127421
1.7477920323369858,4.963729371837039,0.35499682127965226,0.6379727783821589,0.709885282642112,0.2587034186796584,0.5561870261981745,0.43806640998027013
1.804888235850817,5.12588258981632,0.3615065288580931,0.6452150305574643,0.7161249278176095,0.2645455597217473,0.5640852536633159,0.4469240885089639
1.8638496363648513,5.293332967276178,0.36805971928015857,0.6523903170505364,0.7222856293639341,0.2704653740346584,0.5719650038536821,0.45583901246381076
1.924737165423314,5.466253549802212,0.37465435573840555,0.6594961070339103,0.728366066840765,0.2764616548420076,0.5798227820493671,0.4648063980851198
1.987613745058881,5.644823035967222,0.38128835479041123,0.6665299893433111,0.734365028931149,0.28253310201257953,0.5876551133337233,0.473821331581082
2.05254435281719,5.829225962000819,0.387959588573486,0.673489674470017,0.7402814126981444,0.2886783222289714,0.5954585475518848,0.48287877978208427
2.1195960889055607,6.019652892491792,0.3946658871142157,0.6803729961527767,0.7461142225798723,0.2948958293816252,0.6032296642566739,0.4919736013910109
2.188838245535292,6.216300617320229,0.40140504072913175,0.6871779125750388,0.7518625691348892,0.3011840451925717,0.6109650776318838,0.501100558754511
2.2603423785292134,6.419372355022966,0.4081748025124876,0.6939025071752427,0.7575256675505718,0.3075413000723325,0.618661441382432,0.5102543300715332
2.3341823812684868,6.629077962802502,0.41497289090679246,0.7005449890797724,0.7631028359278733,0.313965834212506,0.6263154535803641,0.5194295219474675
2.410434561055063,6.845634153396378,0.421796992351434,0.7071036931698993,0.7685934933564019,0.3204557989155967,0.6339238614552072,0.5286206821952788
2.489177717968733,7.069264719031201,0.42864476400440976,0.7135770797955974,0.7739971577942617,0.3270092581626589,0.6414834661166997,0.5378223127792625
2.5704932263002385,7.300200762692677,0.4355138365318828,0.7199637341505114,0.7793134437674911,0.3336241904182967,0.6489911271975102,0.5470288827927334
2.6544651186446178,7.538680936950714,0.44240181695998926,0.726262365323582,0.7845420599042378,0.3402984906715234,0.6564437674031928,0.556234841358308
2.7411801727416703,7.784951690586343,0.44930629158305047,0.7324718050438648,0.789682806319008,0.34702997270991887,0.663838376956331,0.5654346303386398
2.830728001153308,8.039267523275393,0.4562248289220924,0.7385910061359479,0.7947355718624449,0.3538163716234639,0.6711720179216185,0.574622696746726
2.9232011438704313,8.301891248592025,0.4631549827273359,0.7446190407040378,0.7997003312520939,0.36065534653335485,0.6784418283985055,0.5837935047483291
3.0186951639450763,8.573094265604016,0.4700942950181177,0.7505550980632836,0.804577142099547,0.36754448354005254,0.6856450265680294,0.5929415471548136
