exposure_tyr,placement,regions_examined,P_DM,P_DM_P038wt,P_B,P_Usteady,BF_DM_vs_B,BF_DM_vs_Usteady,postDM_med,postDM_16,postDM_84
2.8,200-270 + 270-420,L2M + H + X,0.018353285648600785,0.012930734352594285,1.3725102994371507e-06,0.0006114144093476908,13372.056775185758,30.017751246951537,0.5711975412897897,0.1019012587371815,0.9402292483698307
2.8,both 270-420,L2M + H + X,0.012797872070348779,0.007436235699148286,3.3739712780954013e-06,1.6999042873976642e-06,3793.1182619827005,7528.583912180539,0.9864666987078679,0.885668976456223,0.9985835909477405
2.8,55-200 + 270-420,L2M + H + X,0.02085312819076018,0.019785840452661175,0.0002891975381224631,0.0001457060817769427,72.10686621381178,143.11776101895074,0.5808300403682005,0.12835871821487976,0.9305661450162686
2.8,"one 200-270 only (N=1, nothing elsewhere)",L2M + H,0.09219867190935387,0.06957159202601135,0.0004985592598622666,0.22209400943549573,184.93021659015005,0.41513353801707,0.01808884860218745,0.0015666940266282519,0.17867701318649595
2.8,nothing anywhere 55-420,L2M + H + X,0.41274564795416224,0.5040893386063521,0.8854742405705395,0.4461275256544995,0.4661294807268667,0.9251741356883018,0.008878017187598399,0.000951052075700872,0.07972990349181315
5.6,both 200-270,L2M + H,0.03225518031965143,0.018410946225378595,4.971226711888221e-07,0.11692420244467332,64883.744373428395,0.2758640182721287,0.012147127928391985,0.0010462800791283624,0.12699878247803537
5.6,200-270 + 55-200,L2M + H,0.044470867712092806,0.04339670642251105,0.00020949446093282786,0.04169747613942434,212.27705741753195,1.0665122167920917,0.04496010407503821,0.00400208233853394,0.35644450312544723
5.6,both 55-200,L2M + H,0.06803736586637657,0.07765016486023689,0.02207097548809346,0.007435071097536793,3.0826623817819203,9.150869571229395,0.0604030487126416,0.0068649847071576495,0.38335188269556125
5.6,200-270 + 270-420,L2M + H + X,0.016841681675374334,0.015257887489102019,4.861290060277417e-06,0.0009675841804725949,3464.446981469202,17.405908462815493,0.43448839203330475,0.06154222398145756,0.9003918498753871
5.6,both 270-420,L2M + H + X,0.01078743335578707,0.008796792549852396,1.1950258620713358e-05,4.025695308614151e-06,902.6945523245191,2679.644764148992,0.9495583215044866,0.6693303277399925,0.9945368158465798
5.6,55-200 + 270-420,L2M + H + X,0.021214397008542815,0.023059275928273754,0.00102430788177543,0.0003450595978812128,20.7109575021252,61.48038524013437,0.3016312197556586,0.044380334685160075,0.8068271397654465
5.6,"one 200-270 only (N=1, nothing elsewhere)",L2M + H,0.081825565920357,0.0702902811064434,0.000885363495608975,0.17622147654161477,92.42030683010637,0.46433367558938743,0.020084397746213695,0.0017463562403200318,0.19428949517403354
5.6,nothing anywhere 55-420,L2M + H + X,0.2673819190237993,0.34017130172296456,0.7840646307139736,0.2641286189442411,0.341020253369062,1.0123171055547184,0.007061449263929125,0.0007641058350053269,0.06434712811219985
10.0,both 200-270,L2M + H,0.028594099958969717,0.020391063124358923,1.3151105048876025e-06,0.08792625142171245,21742.735574463033,0.3252054932016436,0.01428858195693607,0.0012331676545881307,0.14638570707503373
10.0,200-270 + 55-200,L2M + H,0.03948324541858784,0.04249635741468306,0.0005542059983498135,0.04770308739104738,71.24290523045929,0.8276874218836789,0.03481111005857376,0.0030754453482875416,0.2969548728913259
10.0,both 55-200,L2M + H,0.06127771328976817,0.07421765961174279,0.058387543758758924,0.01294030229790947,1.0494997621915836,4.735415902893374,0.02272692507127534,0.002525303606796194,0.18220789323499254
10.0,200-270 + 270-420,L2M + H + X,0.012711047621340867,0.013558040569332927,1.2804606324358063e-05,0.001102152009031961,992.6933557621978,11.532935127982208,0.3344646276796075,0.041213648003826334,0.8547665164008266
10.0,both 270-420,L2M + H + X,0.007749021133110862,0.00780136222120968,3.147690329421907e-05,6.976156519140326e-06,246.18117801105353,1110.7865931405129,0.8450820836994372,0.3725923969724696,0.9812253441895088
10.0,55-200 + 270-420,L2M + H + X,0.017378753317932236,0.02059817897042173,0.002698020282361635,0.0005979562730691711,6.441298248032531,29.063585584161732,0.1249027825218876,0.015300530171994689,0.5776067757035894
