model,operator,isospin,m_chi_GeV,N_lo,N_L2,N_M,Z_joint,s_hat,lo_events_hat,theta_hat,P_ge1_event_at_shat,s_total_hat,Z_analytic,Z_LZ_table,Z_Nmax3,Z_only2024_Nmax3,Z_Nmax5,Z_only2024_Nmax5,Z_Nmax10,Z_only2024_Nmax10,Z_Nmax20,Z_only2024_Nmax20,B10_flat,B10_exp_penalty,B10_loguniform,w_B10_flat,w_B10_exp_penalty
O4v_4000,O4,v,4000,25.164627298075153,6.892573363081332,2.7664336415104054,2.7300757288895428,0.06150837419191556,1.5478353122500994,0.9904361281359112,0.05965492892363533,2.203453503602777,3.000839363619649,2.7,2.6702866855812446,3.0037673174857815,2.7046869904197006,3.150049760944935,2.7231189758819916,3.321036247360371,2.7282903323904706,3.452642346037254,1.6552344860210078,1.2564889311693248,12.642675095856154,,
O5s_200,O5,s,200,42.99020929308492,8.078614428534902,2.5142726205028696,2.5948680113646465,0.04234842727688399,1.8205677518662289,0.9896193414821418,0.04146425761665895,2.3115082859915352,2.921535934158429,,2.514280958277901,2.8345253283318095,2.559363510209838,2.996305173459757,2.584869011157962,3.19191306746631,2.592278088226741,3.3547635726051808,1.3116977025719043,1.0907372633940247,8.496378642286238,,
O5s_1000,O5,s,1000,14.188271828332262,3.395849681329815,1.6515730883960236,2.9186030808453394,0.10585149936312199,1.501849846400514,0.9909117873375374,0.10044177687326827,2.141978613858678,3.1448771496514705,,2.8652852547253094,3.166764756241141,2.896102970459746,3.2939599403457898,2.9124648295522304,3.433063668936684,2.9170299751942386,3.5259615090554366,2.931258064567378,1.761168857065735,22.33542806774037,0.013063618252938973,0.0032475013469502666
O5s_4000,O5,s,4000,12.200100402122832,3.020355872884245,1.5617114601979967,2.9565661637450233,0.11863193095166974,1.447321468508074,0.9911523117428864,0.11186536452054141,2.109532894933858,3.164311776370883,,2.90694834512141,3.2062736720950347,2.935785053313799,3.32780097180281,2.9509261347631095,3.4574385240297247,2.9551231167264462,3.5398108526902843,3.426091107664001,2.0077278575937996,25.132169036458244,,
O5v_200,O5,v,200,3.1436783047089745,3.685406651964891,2.0403029188275488,3.0858249250625915,0.1779506610522435,0.5594196324585582,0.9937380932000066,0.16301628163400972,1.7562640966264735,2.998295156840642,,3.0770361146353538,3.479678238183257,3.0825570823217188,3.5372105136746383,3.084996122704176,3.5779077538472657,3.0856169615322773,3.592159649768117,6.511923076512733,11.226468157207334,38.070977571603976,,
O5v_1000,O5,v,1000,1.0501294992503776,1.6006120135289688,1.3235599646281386,3.2503672262734526,0.30221613545248377,0.31736607898810104,0.9955917290872485,0.2608217150099891,1.5033141690776706,2.606038066653187,,3.24758861949091,3.5738455731459218,3.2493557565431663,3.5881647413226814,3.250113148669347,3.595111826065107,3.2503036304685327,3.5969571145948915,16.981066367436412,42.77679627389272,65.28278812458541,0.07567882583710715,0.0788781285566979
O5v_4000,O5,v,4000,0.9041424871656553,1.4297246681657862,1.2487738878239678,3.2686860020961563,0.32106126031492543,0.2902851264336766,0.9958258949332388,0.2746211873055028,1.4713085088863804,2.494243797846374,,3.2663679206164407,3.579325737133242,3.267843658231026,3.590488216796592,3.2684745710163257,3.595742998231937,3.268633091056965,3.5971185022711802,19.04756904441955,49.42825265502534,69.41140633151441,,
O6s_200,O6,s,200,1.2709959742821608,3.0747700877974093,2.322004318735269,3.12515118141295,0.2021926150631601,0.2569859997748591,0.995241891046184,0.18306244169254915,1.5503665450007953,2.620360211087375,3.1,3.1232449532709476,3.5648300774697685,3.1244598846460634,3.58416055175971,3.1249778146021825,3.593991346425843,3.1251078055707047,3.5966680305004024,8.15679544262959,35.045914430914664,43.35641829524972,,
O6s_1000,O6,s,1000,0.43447411968345223,1.3653343872305088,1.5171224482732202,3.26166538898258,0.31429515685406045,0.13655311159494046,0.9966607449282937,0.2696965577213677,1.3567904916887041,1.6172150340579288,3.1,3.2611454399842796,3.5929534300858785,3.2614778113421456,3.5958817951341517,3.261618452593386,3.597153851106219,3.2616536522566064,3.5974754492399263,18.342229920688826,86.33130221709169,67.91464062829549,0.08174506792423226,0.15919031222314614
O6s_4000,O6,s,4000,0.3752268973342414,1.2232524828577185,1.4327851054596863,3.2772463283173345,0.3308755994385867,0.12415342458094815,0.9968287504193823,0.2817054802756688,1.3338470531854743,1.297096535066102,3.0,3.276818321095779,3.5941021259163257,3.2770919758877533,3.5963102932067788,3.2772077116309726,3.5972626604060984,3.2772366723567448,3.5975027595276954,20.22563505626419,93.84150938985864,71.54805912223227,,
