ref_m,ref_delta,halo,m,ceiling,delta_b,KL_min,at_ceiling,delta_Estar,delta_vminstar,delta_onset,delta_endpoint,E_star_b,E_minus_b,E_plus_b,R_unit_b,R_unit_ref
1000.0,300.0,sunframe,767.451491850993,370.8577322930516,299.2075237704267,0.0018358360262759066,False,309.9076663364383,290.4090791426091,296.38879117674463,272.8174533685061,258.07380213302804,100.47489315514949,662.872935277004,5163.298057462315,5417.295767625446
1000.0,300.0,sunframe,867.2488792828036,376.8189314781034,299.60848920170986,0.00041646949599696067,False,305.0049898154912,295.07713973612147,298.17574969036554,286.26837396114325,262.5735042804687,98.93378601969086,696.8786692991125,5348.838889160398,5417.295767625446
1000.0,300.0,sunframe,980.023658307396,382.25629194193874,299.8585579666102,5.327839199339707e-06,False,300.66648157414835,299.33499580266584,299.7570765850027,298.1714496781457,266.5846644908748,97.53230615423497,728.6548031513602,5435.725310829654,5417.295767625446
1000.0,300.0,sunframe,1000.0,383.1055145258773,299.89267476696415,-1.0792061091932067e-06,False,300.0,300.0,300.00000000000006,300.0,267.20730878339566,97.3186385032328,733.6697981537546,5441.5812343486805,5417.295767625446
1000.0,300.0,sunframe,1107.463375030799,387.2005204114854,299.9706766588863,0.00014333127823406568,False,296.8272207785855,303.20669298431477,301.1564346163409,308.70479648879024,270.13372479609166,96.23864485353914,758.2424854720626,5445.382910172073,5417.295767625446
1000.0,300.0,sunframe,1251.4750196468315,391.6837045747796,299.99507241063844,0.0005824472391049655,False,293.4297572643098,306.71735831799634,302.3947635833063,318.0260339295334,273.28367979272093,95.06613650648563,785.6001346594675,5369.64678049975,5417.295767625446
1000.0,300.0,sunframe,1414.213562373095,395.7384734925075,299.9541507857614,0.0011632524390160289,False,290.4232518598907,309.892542775531,303.49059366830545,326.2746437008268,276.07508986248587,94.00494561214977,810.7813343889522,5232.818857123194,5417.295767625446
1000.0,300.0,sunframe,1598.1142001255478,399.3973093542676,299.8522427463336,0.001821147332133109,False,287.76271563666995,312.75768231779637,304.4603227202972,333.5740568518832,278.53290465318725,93.03315145437674,833.9025149823811,5042.290239788309,5417.295767625446
1000.0,300.0,sunframe,1805.928796466411,402.6920015244417,299.7639000278477,0.0024754350132916002,False,285.4083367006914,315.33767037219826,305.3184616299234,340.03350078572583,280.74782851602924,92.19797362169074,854.892359563991,4805.273586481091,5417.295767625446
1000.0,300.0,sunframe,2000.0,405.1861781051765,299.6689409051226,0.0030195261053487243,False,283.6514683083037,317.2907954143853,305.95881612153096,344.8536224349419,282.39722640766934,91.56197007347085,870.9750720605197,4586.135150364849,5417.295767625446
1000.0,300.0,sunframe,2040.7670601077232,405.6532294352893,299.64473270976555,0.0031260785845517404,False,283.3248844530581,317.65653120706173,306.07785146845805,345.7496337228533,282.6999017387378,91.43913488715108,874.0156448518873,4541.402029163542,5417.295767625446
1000.0,300.0,sunframe,2306.143078159937,408.3102585264276,299.51894772870224,0.003740159539023298,False,281.48118240415045,319.7371818297185,306.7498556398121,350.8079910814064,284.43213722629923,90.76336994152145,891.3468146813512,4259.650919017575,5417.295767625446
1000.0,300.0,sunframe,2606.0279004426206,410.69073263379045,299.4162157425557,0.004318043217996652,False,279.849641652973,321.60126941168045,307.34452992092736,355.28426541726645,285.99226808324414,90.18377026851103,906.9434240759045,3964.9019521048435,5417.295767625446
1000.0,300.0,sunframe,2944.9089617215736,412.8205465599367,299.359319876542,0.004838685015941154,False,278.4058480506771,323.26907150175117,307.87077293502597,359.24543907693266,287.42077749740514,89.70859101441127,920.8783952915028,3661.2897386019413,5417.295767625446
1000.0,300.0,sunframe,3327.8572310584464,414.72378363366056,299.21477566000823,0.0053301943003428555,False,277.12819687063376,324.7594471305744,308.33645930936876,362.75078651203773,288.60646125567496,89.21243860261627,933.655561748995,3374.140541813505,5417.295767625446
1000.0,300.0,sunframe,3760.6030930863935,416.42270458522484,299.15043015919525,0.005772470942471654,False,275.99756951830983,326.0898280991179,308.74855751008323,365.8527612539966,289.72642263202755,88.8333576675031,944.9310729122598,3088.3152453898133,5417.295767625446
1000.0,300.0,sunframe,4000.0,417.2093128956,299.1512716681692,0.005953433612595516,False,275.4772024624556,326.7058006815136,308.93822418229655,367.2804336524128,290.274522518401,88.68631563582608,950.0822964535005,2943.6702781704826,5417.295767625446
1000.0,300.0,sunframe,4249.622096688611,417.93777579182637,299.08074375257274,0.006153993245723284,False,274.9970474432786,327.2762410969651,309.1132341173208,368.59778082135443,290.7127979511541,88.4905936270987,955.0611814034392,2815.037575734845,5417.295767625446
1000.0,300.0,sunframe,4802.231854211057,419.2877267192124,299.059960970403,0.00650473992034061,False,274.11165897238476,328.3333526833567,309.43594610110466,371.02692130507717,291.6315420202182,88.22469287663323,964.0039939840462,2552.9942619552367,5417.295767625446
1000.0,300.0,sunframe,5426.701541195695,420.489628087637,298.9864364235793,0.006837133747778604,False,273.32815527571,329.2745304969249,309.72152247866984,373.17653202546256,292.3956091678187,87.94485057549787,972.1455173458377,2314.544492294743,5417.295767625446
1000.0,300.0,sunframe,6132.375635173039,421.55898385477906,298.88251814302754,0.0071195940274808266,False,272.63481211292486,330.111915285133,309.97423657520585,375.0787794583136,293.03732045013584,87.66651528257354,979.5173322426456,2093.868822839097,5417.295767625446
1000.0,300.0,sunframe,6929.813745124076,422.50983149850913,298.85589791792256,0.007379228845361421,False,272.0212543933874,330.8564994331113,310.19786996930003,376.7621285696075,293.6721224846896,87.47635453805444,985.9043164303841,1884.9617348692161,5417.295767625446
1000.0,300.0,sunframe,7830.948624000185,423.35484628522505,298.8695841693748,0.007624841449816979,False,271.47830092473015,331.5182086134881,310.3957690799535,378.2517687612868,294.2729390958142,87.339948498068,991.4885934012689,1691.5093502004006,5417.295767625446
1000.0,300.0,sunframe,8849.264728778422,424.1054462270946,298.7635040931907,0.0078092281478899924,False,270.99782702677453,332.1059839756871,310.57089524192963,379.5699908019667,294.69004557769955,87.12187165044547,996.7901437083336,1521.563579292224,5417.295767625446
1000.0,300.0,sunframe,10000.0,424.77189527583005,298.7385692537861,0.008008474410455546,False,270.5726429549468,332.6278629542971,310.7258690187558,380.7365203828953,295.1284947734989,86.9867545384718,1001.3113937794848,1363.2900151184963,5417.295767625446
