mu,FC,asym,cowan,flipflop_classical,baxter_FC_UL_below_3sigma,flipflop_FC_vs_1sidedUL
0.84,0.9606303849167901,0.9606303849167901,0.9606303849167901,0.9885433532125908,0.9885433532125908,0.9885433532125908
0.85,0.9598674258059112,0.9598674258059112,0.9598674258059112,0.9882618198154269,0.9882618198154269,0.9882618198154269
0.86,0.9590955481554272,0.9590955481554272,0.9590955481554272,0.9879754517195215,0.9879754517195215,0.9879754517195215
0.87,0.9583147384831077,0.9583147384831077,0.9583147384831077,0.9876842082220029,0.9876842082220029,0.9876842082220029
0.88,0.957524984257343,0.957524984257343,0.957524984257343,0.987388048895588,0.987388048895588,0.987388048895588
0.89,0.9567262738947577,0.9567262738947577,0.9567262738947577,0.9870869335952885,0.9870869335952885,0.9870869335952885
0.9,0.9559185967576446,0.9559185967576446,0.9559185967576446,0.9867808224650235,0.9867808224650235,0.9867808224650235
0.91,0.9551019431512244,0.9551019431512244,0.9551019431512244,0.9864696759441409,0.9864696759441409,0.9864696759441409
0.92,0.9542763043207358,0.9542763043207358,0.9542763043207358,0.9861534547738464,0.9861534547738464,0.9861534547738464
0.93,0.9534416724483542,0.9534416724483542,0.9534416724483542,0.9858321200035369,0.9858321200035369,0.9858321200035369
0.9400000000000001,0.9525980406499496,0.9525980406499496,0.9525980406499496,0.9855056329970422,0.9855056329970422,0.9855056329970422
0.9500000000000001,0.9517454029716802,0.9517454029716802,0.9517454029716802,0.9851739554387684,0.9851739554387684,0.9851739554387684
0.96,0.9508837543864299,0.9508837543864299,0.9508837543864299,0.9848370493397475,0.9848370493397475,0.9848370493397475
0.97,0.9500130907900907,0.9500130907900907,0.9500130907900907,0.9844948770435907,0.9844948770435907,0.9844948770435907
0.98,0.949133408997693,0.949133408997693,0.949133408997693,0.9841474012323439,0.9841474012323439,0.9841474012323439
0.99,0.948244706739389,0.948244706739389,0.948244706739389,0.9837945849322454,0.9837945849322454,0.9837945849322454
1.0,0.9473469826562888,0.9473469826562888,0.9473469826562888,0.9834363915193856,0.9834363915193856,0.9834363915193856
1.01,0.9464402362961588,0.9464402362961588,0.9464402362961588,0.9830727847252705,0.9830727847252705,0.9830727847252705
1.02,0.9455244681089776,0.9455244681089776,0.9455244681089776,0.9827037286422836,0.9827037286422836,0.9827037286422836
1.03,0.9445996794423588,0.9445996794423588,0.9445996794423588,0.9823291877290494,0.9823291877290494,0.9823291877290494
1.04,0.9436658725368404,0.9436658725368404,0.9436658725368404,0.9819491268156972,0.9819491268156972,0.9819491268156972
1.05,0.9427230505210468,0.9427230505210468,0.9427230505210468,0.9815635111090266,0.9815635111090266,0.9815635111090266
1.06,0.941771217406723,0.941771217406723,0.941771217406723,0.9811723061975706,0.9811723061975706,0.9811723061975706
1.07,0.9408103780836465,0.9408103780836465,0.9408103780836465,0.9807754780565587,0.9807754780565587,0.9807754780565587
1.08,0.939840538314421,0.939840538314421,0.939840538314421,0.9803729930527819,0.9803729930527819,0.9803729930527819
1.09,0.9388617047291495,0.9388617047291495,0.9388617047291495,0.9799648179493525,0.9799648179493525,0.9799648179493525
1.1,0.9378738848199972,0.9378738848199972,0.9378738848199972,0.9795509199103666,0.9795509199103666,0.9795509199103666
1.11,0.9368770869356431,0.9368770869356431,0.9368770869356431,0.979131266505465,0.979131266505465,0.979131266505465
1.12,0.9358713202756209,0.9358713202756209,0.9358713202756209,0.978705825714291,0.978705825714291,0.978705825714291
1.1300000000000001,0.9348565948845582,0.9348565948845582,0.8160193010321486,0.9782745659308488,0.9782745659308488,0.9782745659308488
1.1400000000000001,0.9338329216463123,0.9338329216463123,0.8161780786245331,0.9778374559677612,0.9778374559677612,0.9778374559677612
1.1500000000000001,0.932800312278006,0.932800312278006,0.816316154504509,0.977394465060423,0.977394465060423,0.977394465060423
1.16,0.9317587793239682,0.9317587793239682,0.8164336582859058,0.9769455628710572,0.9769455628710572,0.9769455628710572
1.17,0.9307083361495812,0.9764907194926676,0.8165307192387448,0.9764907194926676,0.9764907194926676,0.9764907194926676
1.18,0.929648996935036,0.9760299054528916,0.8166074662945861,0.9760299054528916,0.9760299054528916,0.9760299054528916
1.19,0.9285807766690001,0.9755630917177501,0.8166640280516712,0.9755630917177501,0.9755630917177501,0.9755630917177501
1.2,0.9275036911422003,0.9750902496952997,0.8167005327798664,0.9750902496952997,0.9750902496952997,0.9750902496952997
1.21,0.9264177569409229,0.9746113512391812,0.8167171084254115,0.9746113512391812,0.9746113512391812,0.9746113512391812
1.22,0.9253229914404335,0.9741263686520705,0.8167138826154754,0.9741263686520705,0.9741263686520705,0.9741263686520705
1.23,0.9242194127983201,0.9736352746890273,0.8166909826625252,0.9736352746890273,0.9736352746890273,0.9736352746890273
1.24,0.9231070399477612,0.9731380425607444,0.8166485355685085,0.9731380425607444,0.9731380425607444,0.9731380425607444
1.25,0.9726346459366985,0.9726346459366985,0.816586668028858,0.9726346459366985,0.9726346459366985,0.9726346459366985
1.26,0.9721250589481988,0.9721250589481988,0.8165055064363171,0.9721250589481988,0.9721250589481988,0.9721250589481988
1.27,0.9716092561913403,0.9716092561913403,0.8164051768845919,0.9716092561913403,0.9716092561913403,0.9716092561913403
1.28,0.9710872127298548,0.9710872127298548,0.8162858051718342,0.9710872127298548,0.9710872127298548,0.9710872127298548
1.29,0.970558904097866,0.970558904097866,0.8161475168039585,0.970558904097866,0.970558904097866,0.970558904097866
1.3,0.9700243063025451,0.9700243063025451,0.8159904369977946,0.9700243063025451,0.9700243063025451,0.9700243063025451
1.31,0.9694833958266701,0.9694833958266701,0.8158146906840822,0.8702221442670244,0.9694833958266701,0.8702221442670244
1.32,0.9689361496310855,0.9689361496310855,0.870662564026724,0.870662564026724,0.9689361496310855,0.870662564026724
1.33,0.9683825451570696,0.9683825451570696,0.8710867980675367,0.8710867980675367,0.9683825451570696,0.8710867980675367
1.34,0.9678225603285993,0.9678225603285993,0.8714949220981062,0.8714949220981062,0.9678225603285993,0.8714949220981062
1.35,0.9672561735545249,0.9672561735545249,0.8718870113389752,0.8718870113389752,0.9672561735545249,0.8718870113389752
1.36,0.9666833637306468,0.8722631405343445,0.8722631405343445,0.8722631405343445,0.9666833637306468,0.8722631405343445
1.37,0.9661041102416966,0.8726233839636381,0.8726233839636381,0.8726233839636381,0.9661041102416966,0.8726233839636381
1.3800000000000001,0.9655183929632261,0.8729678154528828,0.8729678154528828,0.8729678154528828,0.9655183929632261,0.8729678154528828
1.3900000000000001,0.9649261922633997,0.8732965083858948,0.8732965083858948,0.8732965083858948,0.9649261922633997,0.8732965083858948
1.4000000000000001,0.9643274890046969,0.8736095357152844,0.8736095357152844,0.8736095357152844,0.9643274890046969,0.8736095357152844
1.41,0.9637222645455199,0.8739069699732722,0.8739069699732722,0.8739069699732722,0.9637222645455199,0.8739069699732722
1.42,0.963110500741709,0.8741888832823227,0.8741888832823227,0.8741888832823227,0.963110500741709,0.8741888832823227
1.43,0.9624921799479672,0.8744553473655946,0.8744553473655946,0.8744553473655946,0.9624921799479672,0.8744553473655946
1.44,0.9618672850191943,0.874706433557213,0.874706433557213,0.874706433557213,0.9618672850191943,0.874706433557213
1.45,0.9612357993117309,0.8749422128123603,0.8749422128123603,0.8749422128123603,0.9612357993117309,0.8749422128123603
1.46,0.9605977066845104,0.875162755717189,0.875162755717189,0.875162755717189,0.9605977066845104,0.875162755717189
1.47,0.9599529915001258,0.875368132498561,0.875368132498561,0.875368132498561,0.9599529915001258,0.875368132498561
1.48,0.9593016386258053,0.8755584130336092,0.8755584130336092,0.8755584130336092,0.9593016386258053,0.8755584130336092
1.49,0.9586436334343017,0.875733666859129,0.875733666859129,0.875733666859129,0.9586436334343017,0.875733666859129
1.5,0.9579789618046939,0.8758939631807952,0.8758939631807952,0.8758939631807952,0.9579789618046939,0.8758939631807952
1.51,0.9573076101231044,0.8760393708822125,0.8760393708822125,0.8760393708822125,0.9573076101231044,0.8760393708822125
1.52,0.9566295652833275,0.8761699585337951,0.8761699585337951,0.8761699585337951,0.9566295652833275,0.8761699585337951
1.53,0.9559448146873772,0.8762857944014792,0.8762857944014792,0.8762857944014792,0.9559448146873772,0.8762857944014792
1.54,0.9552533462459478,0.8763869464552728,0.8763869464552728,0.8763869464552728,0.9552533462459478,0.8763869464552728
1.55,0.9545551483787923,0.8764734823776391,0.8764734823776391,0.8764734823776391,0.9545551483787923,0.8764734823776391
1.56,0.9538502100150178,0.8765454695717181,0.8765454695717181,0.8765454695717181,0.9538502100150178,0.8765454695717181
1.57,0.9531385205933015,0.87660297516939,0.87660297516939,0.87660297516939,0.9531385205933015,0.87660297516939
1.58,0.9524200700620222,0.8766460660391767,0.8766460660391767,0.8766460660391767,0.9524200700620222,0.8766460660391767
1.59,0.9516948488793137,0.8766748087939866,0.8766748087939866,0.8766748087939866,0.9516948488793137,0.8766748087939866
1.6,0.9509628480130375,0.8766892697987037,0.8766892697987037,0.8766892697987037,0.9509628480130375,0.8766892697987037
1.61,0.9089746013432141,0.8766895151776233,0.8766895151776233,0.8766895151776233,0.9089746013432141,0.9089746013432141
1.62,0.909381330411498,0.8766756108217324,0.8766756108217324,0.909381330411498,0.909381330411498,0.909381330411498
1.6300000000000001,0.909776559860837,0.8766476223958414,0.8766476223958414,0.909776559860837,0.909776559860837,0.909776559860837
1.6400000000000001,0.9101603363808951,0.8766056153455638,0.8766056153455638,0.9101603363808951,0.9101603363808951,0.9101603363808951
1.6500000000000001,0.910532706129699,0.8765496549041504,0.8765496549041504,0.910532706129699,0.910532706129699,0.910532706129699
1.6600000000000001,0.9108937147439835,0.8764798060991732,0.8764798060991732,0.9108937147439835,0.9108937147439835,0.9108937147439835
1.67,0.9112434073494313,0.8763961337590686,0.8763961337590686,0.9112434073494313,0.9112434073494313,0.9112434073494313
1.68,0.9115818285708019,0.8762987025195323,0.8762987025195323,0.9115818285708019,0.9115818285708019,0.9115818285708019
1.69,0.9119090225419569,0.8761875768297781,0.8761875768297781,0.9119090225419569,0.9119090225419569,0.9119090225419569
1.7,0.9122250329157734,0.876062820958649,0.876062820958649,0.9122250329157734,0.9122250329157734,0.9122250329157734
1.71,0.9125299028739556,0.8759244990005965,0.8759244990005965,0.9125299028739556,0.9125299028739556,0.9125299028739556
