m_GeV,halo,eff_sigma_keV,delta_max_248keV_june,delta_max_270keV_june,delta_max_absolute_june_136Xe,N_delta0,N_delta300,N_delta350,N_delta370,N_delta380,delta_N3.65,delta_N3,delta_N1,delta_N0.3,delta_N0.105
500.0,dec16,15.0,356.2631874924752,357.74203781236633,368.1247099195674,239889888.25208488,168.87187390061547,0.0,0.0,0.0,321.7609544869139,322.44285882885595,326.26280606516553,330.3476876576271,333.1737130615121
500.0,annual_vesc528,8.0,356.2631874924752,357.74203781236633,368.1247099195674,234974558.7029415,215.73071355394865,0.0018444239593481,0.0,0.0,325.82442976800934,326.70951358363374,331.29222932153095,335.5026520623659,339.17399325125234
500.0,annual_vesc528,11.5,356.2631874924752,357.74203781236633,368.1247099195674,234974808.40800276,216.184709130008,0.0019859401988482,0.0,0.0,325.8881236687081,326.77800183490535,331.37408044641245,335.63200603300584,339.3447680399329
500.0,annual_vesc528,15.0,356.2631874924752,357.74203781236633,368.1247099195674,234975109.04199317,216.73709486648616,0.002155616172153,0.0,0.0,325.96568085909865,326.8613707218865,331.4735974335563,335.78615167225837,339.54654795083115
500.0,annual_vesc560,8.0,356.2631874924752,357.74203781236633,368.1247099195674,234123409.5309313,708.0819501009514,1.217337984116411,0.0,0.0,345.6132938978571,346.47742992857667,350.6912611029704,355.20581377319473,357.5918613785763
500.0,annual_vesc560,11.5,356.2631874924752,357.74203781236633,368.1247099195674,234123661.53422797,709.1279554069197,1.2649923079377234,0.0,0.0,345.70359020445613,346.57878849970194,350.85052416156867,355.66386914894235,357.6054732341215
500.0,annual_vesc560,15.0,356.2631874924752,357.74203781236633,368.1247099195674,234123965.04520875,710.4083942162215,1.3243287556603296,0.0,0.0,345.81602012607635,346.70467935084446,351.0510142043846,356.21489578192677,357.62073721903175
1000.0,sun,8.0,386.6151128700423,390.77423401964603,409.5163055939531,119668782.15290011,725.728194700863,5.973605676436054,0.182118816900148,0.0204691236958758,352.9076945672082,354.01523898853117,360.0508677203872,366.98740283580213,373.02653359770665
1000.0,sun,11.5,386.6151128700423,390.77423401964603,409.5163055939531,119668956.69019143,727.0885314031465,6.126472334437835,0.2052984285092442,0.0240839912934527,353.10288877938444,354.23406216181075,360.4416195116189,367.6540501978997,373.69921927609846
1000.0,sun,15.0,386.6151128700423,390.77423401964603,409.5163055939531,119669168.17591847,728.7710979114713,6.3193179809298305,0.2351118387344246,0.0288318709916852,353.35171979105655,354.51211447806287,360.9378998571056,368.4544440907184,374.4801647764898
1000.0,annual,8.0,386.6151128700423,390.77423401964603,409.5163055939531,119343060.52356902,789.0286419429248,10.943764293846408,0.4528355290384943,0.0858409568790934,357.6056133582346,358.8451567697851,365.44240905753423,372.38669835862004,378.749227502863
1000.0,annual,11.5,386.6151128700423,390.77423401964603,409.5163055939531,119343236.10775016,790.4667887665875,11.124193774548116,0.4915290019754997,0.0978015865609742,357.7956919749437,359.0572084302163,365.7825311450479,372.97632484535717,379.5498700306408
1000.0,annual,15.0,386.6151128700423,390.77423401964603,409.5163055939531,119343448.8940766,792.245650435275,11.351456840098692,0.5410274879544316,0.1133219187167413,358.0378435375619,359.32631820312645,366.2154839770928,373.7086790705899,380.4673820692652
1000.0,june16,8.0,386.6151128700423,390.77423401964603,409.5163055939531,116480943.3545664,1152.4640207152709,27.09379676083051,1.3086765736384007,0.2656430541466084,364.01731651509294,365.1982295606827,371.5640633335928,379.1605332996898,385.7472382846632
1000.0,june16,11.5,386.6151128700423,390.77423401964603,409.5163055939531,116481128.18630037,1154.3909621610946,27.410466084092008,1.400914051596944,0.3009985960206553,364.2553301241593,365.4552982631819,372.0383168459823,380.02306961295443,386.4696598412356
1000.0,june16,15.0,386.6151128700423,390.77423401964603,409.5163055939531,116481352.42349409,1156.7746859166518,27.808426453836216,1.5185884533176215,0.346734725117431,364.5589876130305,365.7857902232547,372.6466816417762,381.0277831924324,387.3404353922483
1000.0,dec16,8.0,386.6151128700423,390.77423401964603,409.5163055939531,122256683.96684054,462.82408354092,1.08928141732747,0.0162263920204069,6.246012744716313e-08,343.67100141933696,344.76699986167415,350.4392256010771,356.8315204899346,362.5261942290153
1000.0,dec16,11.5,386.6151128700423,390.77423401964603,409.5163055939531,122256850.12496924,463.8089220211291,1.155048820143293,0.0190194627823826,1.4807127388832429e-06,343.84656321505855,344.9599575284854,350.7643340350156,357.3885516846588,363.095349582658
1000.0,dec16,15.0,386.6151128700423,390.77423401964603,409.5163055939531,122257051.24788174,465.0268513447006,1.2384183857494984,0.0226078697276001,8.089778722483893e-06,344.0680303269401,345.1910245991383,351.17618207167743,358.0642094011605,363.7578257970069
1000.0,annual_vesc528,8.0,386.6151128700423,390.77423401964603,409.5163055939531,119588986.05964328,553.1200384344857,2.340215278315328,0.0607527147023087,0.004725589259333,347.4070373235805,348.55357218778136,354.69472398227714,361.1864661515723,367.0380305691266
1000.0,annual_vesc528,11.5,386.6151128700423,390.77423401964603,409.5163055939531,119589161.11593115,554.2834884448517,2.4251147275668545,0.0689386496682799,0.0056829614327238,347.57903792556044,348.7403161909837,354.9954884009335,361.6872866339842,367.69232801211234
1000.0,annual_vesc528,15.0,386.6151128700423,390.77423401964603,409.5163055939531,119589373.23688178,555.7223198630625,2.5324727143207686,0.079477403999277,0.006950263275397,347.79143758479427,348.9763766700335,355.3726600194472,362.30506106652155,368.4419900826149
1000.0,annual_vesc560,8.0,386.6151128700423,390.77423401964603,409.5163055939531,119145196.97893684,1021.8136795815616,31.28145450912271,2.1300659679427993,0.3829420572717676,366.6510140065402,367.8951270615084,374.32737154303726,381.7418655954698,388.3083022289859
1000.0,annual_vesc560,11.5,386.6151128700423,390.77423401964603,409.5163055939531,119145372.97997127,1023.4977966311172,31.573449869039862,2.225381833160495,0.4266110477138813,366.8615932064921,368.12126922854776,374.7238589259758,382.6277851117243,388.98717064975
1000.0,annual_vesc560,15.0,386.6151128700423,390.77423401964603,409.5163055939531,119145586.2917823,1025.581152486777,31.94011471040582,2.3465705477273593,0.4827241603777396,367.130014035364,368.4114079399779,375.23446900083445,383.80319311053546,389.9093629767588
2000.0,sun,8.0,401.79107555882587,407.2903321232859,433.91055252293955,60325358.286691055,601.3733185649897,15.330725538995528,0.9539193255627398,0.2219505782726716,361.1407944673859,362.50047650990626,369.69675040282266,377.7901193346191,385.3202532891498
2000.0,sun,11.5,401.79107555882587,407.2903321232859,433.91055252293955,60325459.85469576,602.5258428884473,15.536312670966389,1.0209778608442237,0.2515225483610094,361.3644824256619,362.74168207548996,370.1390258169105,378.6589173780001,386.2832554088598
2000.0,sun,15.0,401.79107555882587,407.2903321232859,433.91055252293955,60325583.271289185,603.954982015521,15.79589965221012,1.1069906987042428,0.2899270477483393,361.6507543232043,363.0525221286574,370.7124437030873,379.72952187312967,387.42315307408796
2000.0,annual,8.0,401.79107555882587,407.2903321232859,433.91055252293955,60157504.00997461,642.549743700526,21.034776474708803,1.8993450550275723,0.4452781923322352,365.1586308585439,366.6435935436527,374.5015789631092,382.7135671753872,390.1761725510333
2000.0,annual,11.5,401.79107555882587,407.2903321232859,433.91055252293955,60157606.08156346,643.755294254209,21.26125390758822,1.9795209170687431,0.4848737125290215,365.38093436827563,366.8923548798131,374.91659832320806,383.4345745183658,391.1988907548968
2000.0,annual,15.0,401.79107555882587,407.2903321232859,433.91055252293955,60157730.12641711,645.2501596978165,21.546972603879855,2.0820335454922803,0.535978348463411,365.66601882532865,367.2103076731739,375.44097622343816,384.3430329838648,392.4215360198417
2000.0,june16,8.0,401.79107555882587,407.2903321232859,433.91055252293955,58676173.462867945,891.0791028165511,43.189359352313495,4.857294998029131,1.1700071207490663,372.1155163736841,373.52739099940214,381.07693310663655,389.7554976944474,398.05691563438404
2000.0,june16,11.5,401.79107555882587,407.2903321232859,433.91055252293955,58676280.098780975,892.6296768389944,43.53355710521141,5.000960197686467,1.251448855755141,372.3777096810741,373.81305479596205,381.60169631767576,390.8009511772757,399.1401457564323
2000.0,june16,15.0,401.79107555882587,407.2903321232859,433.91055252293955,58676409.818455726,894.5522335657529,43.96688141819622,5.183869521043672,1.3560214355437037,372.707434727891,374.1808200343875,382.27817523771853,392.0842706825855,
2000.0,dec16,8.0,401.79107555882587,407.2903321232859,433.91055252293955,61666927.621489026,415.2957246087098,4.972156129975356,0.2161936593397422,0.0435213649215315,352.09602886190373,353.3789904938101,360.23029087557956,367.79713515481114,374.9405054912641
2000.0,dec16,11.5,401.79107555882587,407.2903321232859,433.91055252293955,61667025.01462951,416.1775084273915,5.093743422065263,0.2434773515684899,0.0509916512060326,352.29697365187695,353.5948505510639,360.61533660104993,368.54274210499807,375.80121980474013
2000.0,dec16,15.0,401.79107555882587,407.2903321232859,433.91055252293955,61667143.24704154,417.271022403905,5.2478207078144035,0.2787936333788377,0.0608293080176853,352.5506434756263,353.8711663785701,361.1108794446933,369.46688133540414,376.8099838660537
2000.0,annual_vesc528,8.0,401.79107555882587,407.2903321232859,433.91055252293955,60282858.49988345,492.44077277533887,7.478954171567848,0.3957246508251633,0.0874986546816829,355.343734600051,356.7234540290631,364.06407093033965,371.7814311895876,378.76783212291235
2000.0,annual_vesc528,11.5,401.79107555882587,407.2903321232859,433.91055252293955,60282960.34452063,493.4777637299832,7.624962120859683,0.4317413061085675,0.1003236672241254,355.55034960163806,356.95346399515057,364.4412098685197,372.43093426208077,379.68359989355065
2000.0,annual_vesc528,15.0,401.79107555882587,407.2903321232859,433.91055252293955,60283084.10200891,494.7637466226308,7.80987918256377,0.478163113047746,0.1170702808744732,355.81433500216883,357.24672247884706,364.9229778963442,373.27107241635866,380.7384583574546
2000.0,annual_vesc560,8.0,401.79107555882587,407.2903321232859,433.91055252293955,60056719.87041633,783.3766762800046,43.70776325486366,6.061344121701803,1.6443216019281273,374.1364377903838,375.64691100352223,383.48129334569535,391.86630098087096,
2000.0,annual_vesc560,11.5,401.79107555882587,407.2903321232859,433.91055252293955,60056822.121080905,784.7285960999286,44.0145672402672,6.194586895439039,1.7232209208220892,374.37077309601807,375.90023864096844,383.9171216808748,392.78247540506703,
2000.0,annual_vesc560,15.0,401.79107555882587,407.2903321232859,433.91055252293955,60056946.39275883,786.404830316668,44.400625414632216,6.363962295257882,1.8242322266270796,374.6708647226333,376.22602432775955,384.48108169321404,393.9688035045487,
4000.0,sun,8.0,409.37905690321764,415.5483811751058,447.23097806419685,30281602.183768243,377.00958634484095,14.03354931536027,1.2815782647122542,0.3081373045291677,362.12763373511973,363.6736648346444,371.7401360965246,380.19875816606105,388.3540446261574
4000.0,sun,11.5,409.37905690321764,415.5483811751058,447.23097806419685,30281656.742020752,377.7370400249909,14.184966514189425,1.3404332192469504,0.3394017444580575,362.3265739995354,363.88938899321477,372.1155351109933,380.9594948160768,389.5073763847446
4000.0,sun,15.0,409.37905690321764,415.5483811751058,447.23097806419685,30281723.120788302,378.641679331892,14.37636570827246,1.4157677752092712,0.3798293964910346,362.577613844666,364.1658853832009,372.5997156237724,381.92964803588063,390.83540702506593
4000.0,annual,8.0,409.37905690321764,415.5483811751058,447.23097806419685,30196454.91808241,400.3370658548647,17.901031055787083,2.1682527324583347,0.5906025192534528,365.62460964245474,367.3086537334768,376.0641626834982,385.0006003926783,392.8424041740432
4000.0,annual,11.5,409.37905690321764,415.5483811751058,447.23097806419685,30196509.719864126,401.0950927955299,18.065046283724904,2.235274335818853,0.6282610770361559,365.82229536653836,367.5282464267469,376.43017001369833,385.65013818504536,393.85639356700324
4000.0,annual,15.0,409.37905690321764,415.5483811751058,447.23097806419685,30196576.403155148,402.03769705997934,18.272221881521777,2.320883076626071,0.6767617559486312,366.0752076119773,367.8010850675127,376.90157034101713,386.48343726665377,395.10861613590413
4000.0,june16,8.0,409.37905690321764,415.5483811751058,447.23097806419685,29443463.85775036,543.8348375915837,34.10881104780001,5.123771125835358,1.486170276482668,372.905777472695,374.52174983508104,382.9616543467079,391.8692266629305,
4000.0,june16,11.5,409.37905690321764,415.5483811751058,447.23097806419685,29443520.898026288,544.7945802614996,34.34674896437843,5.233749570683741,1.5544251235750663,373.124762902112,374.7689616412561,383.39120284104007,392.74004456710384,
4000.0,june16,15.0,409.37905690321764,415.5483811751058,447.23097806419685,29443590.370441735,545.987728158168,34.64669354972944,5.373675997496944,1.641873562298003,373.40648304711755,375.0832066038525,383.9489908914444,393.87756088158494,
4000.0,dec16,8.0,409.37905690321764,415.5483811751058,447.23097806419685,30964074.41805556,268.2371943566778,5.499680050422753,0.321451580160454,0.0815702853303526,353.2730983433213,354.772945897783,362.46908992158563,370.48065882207305,378.1035409058704
4000.0,dec16,11.5,409.37905690321764,415.5483811751058,447.23097806419685,30964126.918547377,268.80507594055877,5.5967945013334255,0.3512788852836682,0.0938840182252031,353.4475982377937,354.9685637843579,362.79951194132923,371.14560918858535,379.1332992646632
4000.0,dec16,15.0,409.37905690321764,415.5483811751058,447.23097806419685,30964190.7366332,269.51148977596245,5.71994669545281,0.389752621027798,0.1099915154108135,353.67053246766835,355.2069399089988,363.2271052756884,371.9928915321333,380.34827821765697
4000.0,annual_vesc528,8.0,409.37905690321764,415.5483811751058,447.23097806419685,30259712.114215028,317.2670621388376,7.556098062139768,0.565091839751635,0.1345156643684736,356.2008238862254,357.7658971200625,365.98305997531696,374.36179209265515,381.7759368861373
4000.0,annual_vesc528,11.5,409.37905690321764,415.5483811751058,447.23097806419685,30259766.812729094,317.9333585330269,7.671789302905405,0.601845040080476,0.151001189717403,356.3885436472452,357.97097329636097,366.32882672485374,374.96826936906746,382.7148058514994
4000.0,annual_vesc528,15.0,409.37905690321764,415.5483811751058,447.23097806419685,30259833.364878625,318.76216847698464,7.818451714719507,0.6491419997680634,0.1724542129236951,356.62823880846105,358.23346896056205,366.7731453269772,375.75988392290975,383.8842875246593
4000.0,annual_vesc560,8.0,409.37905690321764,415.5483811751058,447.23097806419685,30145613.97500821,476.8804830901449,33.25892129139722,5.839425963550539,1.8952001795971376,374.3748973015452,376.112135249949,385.0963646745841,393.91331643693707,
4000.0,annual_vesc560,11.5,409.37905690321764,415.5483811751058,447.23097806419685,30145668.858334273,477.7172726112163,33.469168771961044,5.93913246671317,1.958708634799821,374.57913901628035,376.33692796800165,385.45437799767404,394.6329908610602,
4000.0,annual_vesc560,15.0,409.37905690321764,415.5483811751058,447.23097806419685,30145735.645253684,478.7575633199309,33.73410084410214,6.065846501573107,2.0399156590154335,374.8404143568324,376.62506905107915,385.9205723179162,395.60497267964473,
