mu_GeV,tanb,hierarchy,delta_target_keV,M1_TeV,M2_TeV,leading_order_delta_keV,tree_charged_neutral_MeV
300.0,10.0,M2=2M1,385.0,13294.182066868821,26588.364133737643,385.0001213918611,0.1825115726887816
300.0,10.0,wino_only(M1=1e9),300.0,inf,21452.813154397973,298.0825281456871,0.12007908730993222
300.0,10.0,wino_only(M1=1e9),350.0,inf,18371.230729253064,348.08276457589267,0.14002583753836007
300.0,10.0,wino_only(M1=1e9),370.0,inf,17373.033560469117,368.08245138319563,0.14800565901396112
300.0,10.0,wino_only(M1=1e9),385.0,inf,16693.00114008301,383.0772386126009,0.15399182848341297
300.0,10.0,M2=-2M1,300.0,4254.633523353364,-8509.267046706727,-300.0134005299582,0.2706139381416506
300.0,10.0,M2=-2M1,350.0,3646.8285127800104,-7293.657025560021,-350.0156552129601,0.3157166942173717
300.0,10.0,M2=-2M1,370.0,3449.6982087653078,-6899.3964175306155,-370.01702586814315,0.3337578130526708
300.0,10.0,M2=-2M1,385.0,3315.281595483737,-6630.563190967474,-385.0192011106531,0.34728940028116995
1000.0,2.0,bino_only(M2=1e9),300.0,6543.850352375436,inf,293.5438947503904,0.26482827604468184
1000.0,2.0,bino_only(M2=1e9),350.0,5591.66357575796,inf,343.5305599263664,0.3098320288472678
1000.0,2.0,bino_only(M2=1e9),370.0,5284.122772413898,inf,363.5243543409362,0.3278323607673883
1000.0,2.0,bino_only(M2=1e9),385.0,5074.797307042117,inf,378.51902310155816,0.34133364840727154
1000.0,2.0,M2=2M1,300.0,17061.529618964974,34123.05923792995,299.98844323200234,0.11856153355438437
1000.0,2.0,M2=2M1,350.0,14624.203488541028,29248.406977082057,349.98567365125047,0.13831832893629326
1000.0,2.0,M2=2M1,370.0,13833.727131747626,27667.454263495252,369.98428990289085,0.1462214958110053
1000.0,2.0,M2=2M1,385.0,13294.700432146758,26589.400864293515,384.9851100949952,0.1521505230357434
