m_GeV,delta_keV,halo,eff_sigma_keV,N_events,N_noeff_all_E
300.0,290.0,sun,15.0,71.17661623312532,76.2186426821819
300.0,290.0,annual,8.0,125.12440066970738,135.53169161184573
300.0,290.0,annual,11.5,125.19604054231426,135.53169161184573
300.0,290.0,annual,15.0,125.27826313624136,135.53169161184573
300.0,290.0,june16,8.0,306.5941112564072,333.5707038738423
300.0,290.0,june16,11.5,306.7953146463223,333.5707038738423
300.0,290.0,june16,15.0,307.0287003043863,333.5707038738423
300.0,290.0,dec16,8.0,7.672754230500905,8.082598866377406
300.0,290.0,dec16,11.5,7.670061267607057,8.082598866377406
300.0,290.0,dec16,15.0,7.667283839051447,8.082598866377406
300.0,290.0,annual_vesc528,8.0,24.752803901680565,26.41634516436848
300.0,290.0,annual_vesc528,11.5,24.75868557633019,26.41634516436848
300.0,290.0,annual_vesc528,15.0,24.765002790879386,26.41634516436848
300.0,290.0,annual_vesc560,8.0,328.86737802727725,358.749527480564
300.0,290.0,annual_vesc560,11.5,329.09057218018023,358.749527480564
300.0,290.0,annual_vesc560,15.0,329.3525114178211,358.749527480564
300.0,300.0,sun,8.0,4.874407767420263,5.216899946789137
300.0,300.0,sun,11.5,4.872765922497343,5.216899946789137
300.0,300.0,sun,15.0,4.871129120769375,5.216899946789137
300.0,300.0,annual,8.0,23.15346050068739,25.296239811668197
300.0,300.0,annual,11.5,23.168817867073678,25.296239811668197
300.0,300.0,annual,15.0,23.186024628258526,25.296239811668197
300.0,300.0,june16,8.0,73.15227759553541,80.24690055859915
300.0,300.0,june16,11.5,73.21034553625694,80.24690055859915
300.0,300.0,june16,15.0,73.27582597810637,80.24690055859915
300.0,300.0,dec16,8.0,0.024838382309194995,0.025874073544266345
300.0,300.0,dec16,11.5,0.02483351674843656,0.025874073544266345
300.0,300.0,dec16,15.0,0.02482316044682785,0.025874073544266345
300.0,300.0,annual_vesc528,8.0,1.1819971370814644,1.2603648796478972
300.0,300.0,annual_vesc528,11.5,1.181281101191437,1.2603648796478972
300.0,300.0,annual_vesc528,15.0,1.1805511796842987,1.2603648796478972
300.0,300.0,annual_vesc560,8.0,103.26809981306442,114.10414234456348
300.0,300.0,annual_vesc560,11.5,103.35817629490978,114.10414234456348
300.0,300.0,annual_vesc560,15.0,103.46302636699465,114.10414234456348
300.0,310.0,sun,8.0,0.011945287091959267,0.012450419704383636
300.0,310.0,sun,11.5,0.011924326756048575,0.012450419704383636
300.0,310.0,sun,15.0,0.011892919502950197,0.012450419704383636
300.0,310.0,annual,8.0,1.5366745196456215,1.7057533639038376
300.0,310.0,annual,11.5,1.5369272177794415,1.7057533639038376
300.0,310.0,annual,15.0,1.5372769067515994,1.7057533639038376
300.0,310.0,june16,8.0,6.347423914722806,7.070492735255532
300.0,310.0,june16,11.5,6.350506755588044,7.070492735255532
300.0,310.0,june16,15.0,6.35405736621991,7.070492735255532
300.0,310.0,dec16,8.0,0.0,0.0
300.0,310.0,dec16,11.5,0.0,0.0
300.0,310.0,dec16,15.0,0.0,0.0
300.0,310.0,annual_vesc528,8.0,0.001375609425174451,0.0014332010218086613
300.0,310.0,annual_vesc528,11.5,0.0013742123968968217,0.0014332010218086613
300.0,310.0,annual_vesc528,15.0,0.0013716125423623021,0.0014332010218086613
300.0,310.0,annual_vesc560,8.0,19.266862251059564,21.9245812816327
300.0,310.0,annual_vesc560,11.5,19.29259687220808,21.9245812816327
300.0,310.0,annual_vesc560,15.0,19.32230495206804,21.9245812816327
300.0,320.0,sun,8.0,0.0,0.0
300.0,320.0,sun,11.5,0.0,0.0
300.0,320.0,sun,15.0,0.0,0.0
300.0,320.0,annual,8.0,0.0,0.0
300.0,320.0,annual,11.5,0.0,0.0
300.0,320.0,annual,15.0,0.0,0.0
300.0,320.0,june16,8.0,0.0,0.0
300.0,320.0,june16,11.5,0.0,0.0
300.0,320.0,june16,15.0,0.0,0.0
300.0,320.0,dec16,8.0,0.0,0.0
300.0,320.0,dec16,11.5,0.0,0.0
300.0,320.0,dec16,15.0,0.0,0.0
300.0,320.0,annual_vesc528,8.0,0.0,0.0
300.0,320.0,annual_vesc528,11.5,0.0,0.0
300.0,320.0,annual_vesc528,15.0,0.0,0.0
300.0,320.0,annual_vesc560,8.0,0.0,0.0
300.0,320.0,annual_vesc560,11.5,0.0,0.0
300.0,320.0,annual_vesc560,15.0,0.0,0.0
300.0,330.0,sun,8.0,0.0,0.0
300.0,330.0,sun,11.5,0.0,0.0
300.0,330.0,sun,15.0,0.0,0.0
300.0,330.0,annual,8.0,0.0,0.0
300.0,330.0,annual,11.5,0.0,0.0
300.0,330.0,annual,15.0,0.0,0.0
300.0,330.0,june16,8.0,0.0,0.0
300.0,330.0,june16,11.5,0.0,0.0
300.0,330.0,june16,15.0,0.0,0.0
300.0,330.0,dec16,8.0,0.0,0.0
300.0,330.0,dec16,11.5,0.0,0.0
300.0,330.0,dec16,15.0,0.0,0.0
300.0,330.0,annual_vesc528,8.0,0.0,0.0
300.0,330.0,annual_vesc528,11.5,0.0,0.0
300.0,330.0,annual_vesc528,15.0,0.0,0.0
300.0,330.0,annual_vesc560,8.0,0.0,0.0
300.0,330.0,annual_vesc560,11.5,0.0,0.0
300.0,330.0,annual_vesc560,15.0,0.0,0.0
300.0,340.0,sun,8.0,0.0,0.0
300.0,340.0,sun,11.5,0.0,0.0
300.0,340.0,sun,15.0,0.0,0.0
300.0,340.0,annual,8.0,0.0,0.0
300.0,340.0,annual,11.5,0.0,0.0
300.0,340.0,annual,15.0,0.0,0.0
300.0,340.0,june16,8.0,0.0,0.0
300.0,340.0,june16,11.5,0.0,0.0
300.0,340.0,june16,15.0,0.0,0.0
300.0,340.0,dec16,8.0,0.0,0.0
300.0,340.0,dec16,11.5,0.0,0.0
300.0,340.0,dec16,15.0,0.0,0.0
300.0,340.0,annual_vesc528,8.0,0.0,0.0
300.0,340.0,annual_vesc528,11.5,0.0,0.0
300.0,340.0,annual_vesc528,15.0,0.0,0.0
300.0,340.0,annual_vesc560,8.0,0.0,0.0
300.0,340.0,annual_vesc560,11.5,0.0,0.0
300.0,340.0,annual_vesc560,15.0,0.0,0.0
300.0,345.0,sun,8.0,0.0,0.0
300.0,345.0,sun,11.5,0.0,0.0
300.0,345.0,sun,15.0,0.0,0.0
300.0,345.0,annual,8.0,0.0,0.0
300.0,345.0,annual,11.5,0.0,0.0
300.0,345.0,annual,15.0,0.0,0.0
300.0,345.0,june16,8.0,0.0,0.0
300.0,345.0,june16,11.5,0.0,0.0
300.0,345.0,june16,15.0,0.0,0.0
300.0,345.0,dec16,8.0,0.0,0.0
300.0,345.0,dec16,11.5,0.0,0.0
300.0,345.0,dec16,15.0,0.0,0.0
300.0,345.0,annual_vesc528,8.0,0.0,0.0
300.0,345.0,annual_vesc528,11.5,0.0,0.0
300.0,345.0,annual_vesc528,15.0,0.0,0.0
300.0,345.0,annual_vesc560,8.0,0.0,0.0
300.0,345.0,annual_vesc560,11.5,0.0,0.0
300.0,345.0,annual_vesc560,15.0,0.0,0.0
300.0,347.5,sun,8.0,0.0,0.0
300.0,347.5,sun,11.5,0.0,0.0
300.0,347.5,sun,15.0,0.0,0.0
300.0,347.5,annual,8.0,0.0,0.0
300.0,347.5,annual,11.5,0.0,0.0
300.0,347.5,annual,15.0,0.0,0.0
300.0,347.5,june16,8.0,0.0,0.0
300.0,347.5,june16,11.5,0.0,0.0
300.0,347.5,june16,15.0,0.0,0.0
300.0,347.5,dec16,8.0,0.0,0.0
300.0,347.5,dec16,11.5,0.0,0.0
300.0,347.5,dec16,15.0,0.0,0.0
300.0,347.5,annual_vesc528,8.0,0.0,0.0
300.0,347.5,annual_vesc528,11.5,0.0,0.0
300.0,347.5,annual_vesc528,15.0,0.0,0.0
300.0,347.5,annual_vesc560,8.0,0.0,0.0
300.0,347.5,annual_vesc560,11.5,0.0,0.0
300.0,347.5,annual_vesc560,15.0,0.0,0.0
300.0,350.0,sun,8.0,0.0,0.0
300.0,350.0,sun,11.5,0.0,0.0
300.0,350.0,sun,15.0,0.0,0.0
300.0,350.0,annual,8.0,0.0,0.0
300.0,350.0,annual,11.5,0.0,0.0
300.0,350.0,annual,15.0,0.0,0.0
300.0,350.0,june16,8.0,0.0,0.0
300.0,350.0,june16,11.5,0.0,0.0
300.0,350.0,june16,15.0,0.0,0.0
300.0,350.0,dec16,8.0,0.0,0.0
300.0,350.0,dec16,11.5,0.0,0.0
300.0,350.0,dec16,15.0,0.0,0.0
300.0,350.0,annual_vesc528,8.0,0.0,0.0
300.0,350.0,annual_vesc528,11.5,0.0,0.0
300.0,350.0,annual_vesc528,15.0,0.0,0.0
300.0,350.0,annual_vesc560,8.0,0.0,0.0
300.0,350.0,annual_vesc560,11.5,0.0,0.0
300.0,350.0,annual_vesc560,15.0,0.0,0.0
300.0,352.5,sun,8.0,0.0,0.0
300.0,352.5,sun,11.5,0.0,0.0
300.0,352.5,sun,15.0,0.0,0.0
300.0,352.5,annual,8.0,0.0,0.0
300.0,352.5,annual,11.5,0.0,0.0
300.0,352.5,annual,15.0,0.0,0.0
300.0,352.5,june16,8.0,0.0,0.0
300.0,352.5,june16,11.5,0.0,0.0
300.0,352.5,june16,15.0,0.0,0.0
300.0,352.5,dec16,8.0,0.0,0.0
300.0,352.5,dec16,11.5,0.0,0.0
300.0,352.5,dec16,15.0,0.0,0.0
300.0,352.5,annual_vesc528,8.0,0.0,0.0
300.0,352.5,annual_vesc528,11.5,0.0,0.0
300.0,352.5,annual_vesc528,15.0,0.0,0.0
300.0,352.5,annual_vesc560,8.0,0.0,0.0
300.0,352.5,annual_vesc560,11.5,0.0,0.0
300.0,352.5,annual_vesc560,15.0,0.0,0.0
300.0,355.0,sun,8.0,0.0,0.0
300.0,355.0,sun,11.5,0.0,0.0
300.0,355.0,sun,15.0,0.0,0.0
300.0,355.0,annual,8.0,0.0,0.0
300.0,355.0,annual,11.5,0.0,0.0
300.0,355.0,annual,15.0,0.0,0.0
300.0,355.0,june16,8.0,0.0,0.0
300.0,355.0,june16,11.5,0.0,0.0
300.0,355.0,june16,15.0,0.0,0.0
300.0,355.0,dec16,8.0,0.0,0.0
300.0,355.0,dec16,11.5,0.0,0.0
300.0,355.0,dec16,15.0,0.0,0.0
300.0,355.0,annual_vesc528,8.0,0.0,0.0
300.0,355.0,annual_vesc528,11.5,0.0,0.0
300.0,355.0,annual_vesc528,15.0,0.0,0.0
300.0,355.0,annual_vesc560,8.0,0.0,0.0
300.0,355.0,annual_vesc560,11.5,0.0,0.0
300.0,355.0,annual_vesc560,15.0,0.0,0.0
300.0,357.5,sun,8.0,0.0,0.0
300.0,357.5,sun,11.5,0.0,0.0
300.0,357.5,sun,15.0,0.0,0.0
300.0,357.5,annual,8.0,0.0,0.0
300.0,357.5,annual,11.5,0.0,0.0
300.0,357.5,annual,15.0,0.0,0.0
300.0,357.5,june16,8.0,0.0,0.0
300.0,357.5,june16,11.5,0.0,0.0
300.0,357.5,june16,15.0,0.0,0.0
300.0,357.5,dec16,8.0,0.0,0.0
300.0,357.5,dec16,11.5,0.0,0.0
300.0,357.5,dec16,15.0,0.0,0.0
300.0,357.5,annual_vesc528,8.0,0.0,0.0
300.0,357.5,annual_vesc528,11.5,0.0,0.0
300.0,357.5,annual_vesc528,15.0,0.0,0.0
300.0,357.5,annual_vesc560,8.0,0.0,0.0
300.0,357.5,annual_vesc560,11.5,0.0,0.0
300.0,357.5,annual_vesc560,15.0,0.0,0.0
300.0,360.0,sun,8.0,0.0,0.0
300.0,360.0,sun,11.5,0.0,0.0
300.0,360.0,sun,15.0,0.0,0.0
300.0,360.0,annual,8.0,0.0,0.0
300.0,360.0,annual,11.5,0.0,0.0
300.0,360.0,annual,15.0,0.0,0.0
300.0,360.0,june16,8.0,0.0,0.0
300.0,360.0,june16,11.5,0.0,0.0
300.0,360.0,june16,15.0,0.0,0.0
300.0,360.0,dec16,8.0,0.0,0.0
300.0,360.0,dec16,11.5,0.0,0.0
300.0,360.0,dec16,15.0,0.0,0.0
300.0,360.0,annual_vesc528,8.0,0.0,0.0
300.0,360.0,annual_vesc528,11.5,0.0,0.0
300.0,360.0,annual_vesc528,15.0,0.0,0.0
300.0,360.0,annual_vesc560,8.0,0.0,0.0
300.0,360.0,annual_vesc560,11.5,0.0,0.0
300.0,360.0,annual_vesc560,15.0,0.0,0.0
300.0,362.5,sun,8.0,0.0,0.0
300.0,362.5,sun,11.5,0.0,0.0
300.0,362.5,sun,15.0,0.0,0.0
300.0,362.5,annual,8.0,0.0,0.0
