tag,m_GeV,cfg,delta_peak_keV,Z_peak,kappa_hat_peak,sigma_n_peak_cm2,S_tot_unit_peak,mu_hat_peak,Z_300,Z_350,delta_last_keV,Z_last,delta_248_median_keV,ceiling_june,dmax248_june,peak_minus_dmax248,peak_minus_ceiling
s,1000,bH_x2,380.0,3.386925178691128,2.1940883486518437,6.504155462248778e-38,0.45577016103952667,1.0,2.4052050082390646,2.8917179592235613,395.0,0.0,380.7645473598143,397.14218013402126,386.6151128700423,-6.61511287004231,-17.14218013402126
s,1000,baseline,380.0,3.585577826369484,2.1940883486518437,6.504155462248778e-38,0.45577016103952667,1.0,2.674021695590583,3.1213293475899477,395.0,0.0,380.7645473598143,397.14218013402126,386.6151128700423,-6.61511287004231,-17.14218013402126
s,1000,gauss3,380.0,3.5855778263695046,2.1940883486518437,6.504155462248778e-38,0.45577016103952667,1.0,2.6782206421636503,3.1213297964865374,395.0,0.0,380.7645473598143,397.14218013402126,386.6151128700423,-6.61511287004231,-17.14218013402126
s,1000,june,380.0,3.6057274646005686,0.5800400152210191,1.7194706109445277e-38,1.7240189879295809,1.0,2.6545034348126375,3.062198064494396,395.0,0.0,381.30124812602327,397.14218013402126,386.6151128700423,-6.61511287004231,-17.14218013402126
s,1000,obscut,380.0,3.5682256796655003,1.8268109699052066,5.415398407136039e-38,0.5474020117428406,1.0,2.682360307827809,3.129228303048356,395.0,1.7967492327898151,379.6688064990673,397.14218013402126,386.6151128700423,-6.61511287004231,-17.14218013402126
s,1000,sig15,380.0,3.6000813907382265,2.236282034933115,6.629234425120701e-38,0.44717078811121824,1.0,2.747125158924568,3.167324106920808,395.0,2.225321554623384,380.75425991251507,397.14218013402126,386.6151128700423,-6.61511287004231,-17.14218013402126
s,1000,sig8,380.0,3.5614934323421217,2.161783293831963,6.408390358307509e-38,0.462581056507013,1.0,2.6209092454628005,3.085839593540271,395.0,0.0,380.8178132348817,397.14218013402126,386.6151128700423,-6.61511287004231,-17.14218013402126
s,1000,sun,370.0,3.492466257099198,0.7876520664426365,2.3349157719433875e-38,1.2695961105217624,1.0,2.6801578420099927,3.2090270369469245,395.0,0.0,373.2924058406588,397.14218013402126,386.6151128700423,-16.61511287004231,-27.14218013402126
s,4000,E246,400.0,3.617911405375213,4.661899431325249,1.383918687648684e-37,0.21450484179915644,1.0,2.7364941393554933,3.0553677182371817,430.0,0.0,399.79770095476096,432.5136491453222,409.37905690321764,-9.379056903217645,-32.51364914532218
s,4000,E262,410.0,3.6824914110479745,51.06750691592838,1.5159760135042477e-36,0.019581923230485562,1.0,2.149923537450206,2.5725788140544266,430.0,0.0,402.9515583668247,432.5136491453222,409.37905690321764,0.620943096782355,-22.513649145322177
s,4000,bH_half,400.0,3.7884344718207235,4.661899431325249,1.383918687648684e-37,0.21450484179915644,1.0,2.9233358575104162,3.2275056786208367,430.0,0.0,400.31073016766396,432.5136491453222,409.37905690321764,-9.379056903217645,-32.51364914532218
