tag,m_GeV,cfg,delta_keV,S_tot_unit,S_H_unit,S_L_unit,f_ev_unit,f_ev_norm,pct_ev,q0,Z,mu_hat,kappa_hat,kappa_68lo,kappa_68hi,kappa_90lo,kappa_90hi,mu_68lo,mu_68hi,mu_90lo,mu_90hi,lowE_events_at_fit,sigma_n_hat_cm2,sigma_n_68lo_cm2,sigma_n_68hi_cm2,sigma_n_90lo_cm2,sigma_n_90hi_cm2,companion_free,p_exact_bH,Z_exact_bH,p_exact_bHpois,Z_exact_bHpois
s,400,baseline,330.0,28.978449218061925,16.904411223056595,2.574911181323673e-07,0.07683724347887816,0.0026515305529526546,0.9678745294653226,9.577635006009587,3.0947754370890284,1.0,0.03450840286431586,0.010305754446048265,0.08124820850279037,0.003540941995680185,0.12573587738851957,0.29864478186862553,2.3544470841566176,0.1026110078059211,3.643630737791675,8.885607238494878e-09,1.0200963796400789e-39,3.04646460782586e-40,2.401762946602306e-39,1.0467311757403999e-40,3.716854524366598e-39,True,0.0003908571428571429,3.359189550123065,0.00023103721074986118,3.5018299577462724
s,400,baseline,335.0,5.4842250779419315,4.04290242052539,7.83358913303444e-12,0.01948969792964555,0.003553774262116802,0.9499676922607143,10.161826153531365,3.1877619348896435,1.0,0.1823411668536534,0.05459748406599538,0.4294524186232458,0.018852493862373185,0.664523987787694,0.29942489130726685,2.355213723996421,0.10339131962177336,3.644399118719249,1.4283857831695988e-12,5.390152795483397e-39,1.6139459149171767e-39,1.269496183836017e-38,5.572950104880191e-40,1.9643868097621785e-38,True,0.0003908571428571429,3.359189550123065,0.00023103721074986118,3.5018299577462724
s,400,baseline,340.0,0.41440307133110166,0.40549989941012576,6.612080894840825e-20,0.0029068024027719464,0.0070144325751134605,0.8569719247508881,11.51948836330348,3.3940371776548766,1.0,2.413109528334107,0.7252696445847645,5.686077318232121,0.2522220199505856,8.797027189629077,0.30055396825914293,2.3563279045015046,0.10452157972485705,3.645515085965499,1.5955675409456306e-19,7.133347501498178e-38,2.1439558985467197e-38,1.6808505770286243e-37,7.455887495829515e-39,2.60047259301459e-37,True,0.0003664285714285715,3.3769824935694728,0.00021659738507799484,3.518988937836729
s,1000,baseline,100.0,104953542.792113,199137.10927011017,103057585.50771962,634.2112634442099,6.042780896881446e-06,0.9999385819170816,0.3672762420130766,0.6060332020715339,1.2302687708123812,1.1722031844596605e-08,0.0,4.254997036630452e-08,0.0,6.977003769537948e-08,0.0,4.465770135643082,0.0,7.322612636869348,1.208044299148727,3.4748790994461974e-46,0.0,1.2613513140734423e-45,0.0,2.0682629852008457e-45,False,,,,
s,1000,baseline,110.0,69845327.45449322,173849.97095989186,68206404.99667631,555.2980927799587,7.950397156370347e-06,0.9999191298709131,0.6546463155856372,0.8091021663459055,1.513561248436207,2.1670186161305455e-08,0.0,6.732910203621916e-08,0.0,1.078387993987879e-07,0.0,4.702623178936713,0.0,7.532036256307748,1.4780454936713703,6.4239099476375735e-46,0.0,1.9959038889489537e-45,0.0,3.1967733504576134e-45,False,,,,
s,1000,baseline,120.0,45879175.929327875,150893.13143057944,44473462.9389177,483.4578409794569,1.0537631315003862e-05,0.9998926926360628,1.0041538756665886,1.0020747854659295,1.7378008287493762,3.78777690215334e-08,4.949150404036422e-11,1.0612978704999382e-07,0.0,1.6717481562431898e-07,0.0022706294208749114,4.86914717140877,0.0,7.66984277698108,1.6845555567880506,1.1228485782287736e-45,1.467126137089393e-48,3.1461113886898036e-45,0.0,4.955730205036896e-45,False,,,,
s,1000,baseline,130.0,29760228.921718422,130211.6668128014,28562634.93540559,418.8277508763093,1.4073404877966418e-05,0.9998565184319803,1.4046302761121296,1.185170990242391,1.8620871366628695,6.256965097818705e-08,6.074777315916656e-09,1.6709067992277982e-07,0.0,2.601553597056672e-07,0.18078676357014187,4.972656885187508,0.0,7.742283060052656,1.7871540989257,1.854814722619684e-45,1.8008069768722842e-46,4.9532360863152313e-45,0.0,7.712045437471173e-45,False,,,,
s,1000,baseline,140.0,19062669.373420663,111707.57356923819,18050519.091121737,361.0460217234154,1.893995088782407e-05,0.9998066724790977,1.8455460242080335,1.3585087501404007,1.9498445997580456,1.0228602099539848e-07,1.6370723792637596e-08,2.632920060566848e-07,0.0,4.066234692547065e-07,0.31206969506264165,5.019048460123254,0.0,7.751328753875753,1.8463157747323191,3.0321667884417585e-45,4.852937332367451e-46,7.805028181350423e-45,0.0,1.2053946051245421e-44,False,,,,
s,1000,baseline,150.0,12063224.710110338,95199.02573143611,11214211.95816933,308.99942476443067,2.5614993684520724e-05,0.9997381984647709,2.3123199247334014,1.52063142303893,2.041737944669532,1.6925308064255206e-07,3.347881243607128e-08,4.152004152871946e-07,0.0,6.378769660903193e-07,0.40386243744396433,5.00865590934056,0.0,7.694853179350954,1.8980399208987053,5.017338292872772e-45,9.924459099811207e-46,1.2308201037927692e-44,0.0,1.8909224670867462e-44,False,,,,
s,1000,baseline,160.0,7533742.4298653295,80585.14128201481,6827655.461023638,263.0605022776891,3.491763950342426e-05,0.9996424556297058,2.8001033431389715,1.6733509324522968,2.041737944669532,2.7101244350691577e-07,6.16092420370067e-08,6.559700723183789e-07,1.6614439905795635e-09,1.0050090835705742e-06,0.46414816080604004,4.9419095665468005,0.01251689108667403,7.571479575295705,1.8503795899153537,8.033892827770536e-45,1.8263443601358346e-45,1.944557670871767e-44,4.925184536524426e-47,2.97924890970397e-44,False,,,,
