set,model,mu_best,mu_lo68,mu_hi68,exposure_tyr,P0_best,P1_best,P2_best,P3_best,Pge4_best,P_ge1_best,P_ge1_lo68,P_ge1_FC,P_ge2_best,P_ge3_best,PG_J_P0,PG_J_P1,PG_J_P2,PG_J_P3,PG_J_Pge4,PG_J_mean,PG_flat_P0,PG_flat_mean
core three (270 window),L10,5.789741122218627,1.736922336665588,13.663789048435959,16.9,0.0030587739225429373,0.017709509162916817,0.05126673672742352,0.09894037794423996,0.8290246022428768,0.996941226077457,0.8239385745625057,0.4555193191836414,0.9792317169145403,0.9279649801871167,0.056522345594491985,0.07229651529904364,0.07706076345279088,0.07666303818479943,0.7174573374688741,8.68461168332794,0.021691698938299864,11.579482244437253
core three (270 window),d300,5.9506795189199035,1.785203855675971,14.043603664650972,16.9,0.002604070401955911,0.01549598840674456,0.04610583041871755,0.09145367359181891,0.844340437180763,0.9973959295980441,0.8322371418967645,0.4646429382097841,0.9818999411912995,0.935794110772582,0.05457064703096074,0.07007928449385775,0.07499614998127609,0.07490745730534981,0.7254464611885556,8.926019278379854,0.02069881442289175,11.901359037839807
core three (270 window),d350,5.950704225352113,1.7852112676056338,14.043661971830986,16.9,0.002604006065461822,0.015495669896586196,0.046105074164138504,0.09145255321290385,0.8443426966609097,0.9973959939345381,0.8322383853386606,0.4646443270180929,0.981900324037952,0.9357952498738135,0.05457035607235791,0.07007895270690342,0.07499583971293496,0.0749071921482624,0.7254476593595414,8.92605633802817,0.02069866727436409,11.901408450704226
core three (270 window),d366,5.950704225352114,1.7852112676056342,14.043661971830987,16.9,0.00260400606546182,0.015495669896586182,0.04610507416413848,0.09145255321290385,0.8443426966609096,0.9973959939345381,0.8322383853386607,0.464644327018093,0.981900324037952,0.9357952498738135,0.0545703560723579,0.07007895270690344,0.07499583971293496,0.0749071921482624,0.7254476593595414,8.926056338028172,0.020698667274364087,11.901408450704228
core three (270 window),d380,5.950704225352114,1.7852112676056342,14.043661971830987,16.9,0.00260400606546182,0.015495669896586182,0.04610507416413848,0.09145255321290385,0.8443426966609096,0.9973959939345381,0.8322383853386607,0.464644327018093,0.981900324037952,0.9357952498738135,0.0545703560723579,0.07007895270690344,0.07499583971293496,0.0749071921482624,0.7254476593595414,8.926056338028172,0.020698667274364087,11.901408450704228
all hidden (200-400 keV window),L10,4.199977943555892,1.2599933830667676,9.911947946791903,19.122,0.01499590757322732,0.0629824810511575,0.13226251562264416,0.18516654945810737,0.6045925462948634,0.9850040924267727,0.7163440965742653,0.3566058033750148,0.9220216113756152,0.789759095752971,0.08433303841941892,0.10217261643779244,0.10315494126420237,0.09720359648536317,0.6131358073932232,6.299966915333838,0.0369825622522821,8.399955887111783
all hidden (200-400 keV window),d300,2.1479752488833217,0.6443925746649964,5.069221587364639,19.122,0.11672024813347752,0.25071220403422945,0.269261804429255,0.19278923046123375,0.17051651294180428,0.8832797518665225,0.475018667762205,0.20191278947602187,0.6325675478322932,0.36330574340303823,0.17904122327103647,0.18324927248986447,0.1562968537569232,0.12442137287404456,0.3569912776081313,3.2219628733249825,0.10091073790061815,4.295950497766643
all hidden (200-400 keV window),d350,9.865040761045364,2.959512228313609,23.281496196067057,19.122,5.195977164235573e-05,0.0005125852651864483,0.00252833726728778,0.008314050066487997,0.9885930676293954,0.9999480402283576,0.9481558008612455,0.6450680790644157,0.9994354549631712,0.9969071176958834,0.027922413876238953,0.03802872309832553,0.04316077957117965,0.04571972337375297,0.8451683600805029,14.797561141568046,0.008471050681689945,19.730081522090728
all hidden (200-400 keV window),d366,31.252538999433142,9.375761699829942,73.75599203866221,19.122,2.6742054347422554e-14,8.357570964177845e-13,1.305976562492489e-11,1.3605027817214092e-10,0.9999999998500274,0.9999999999999732,0.9999152463461899,0.9624287667649564,0.9999999999991375,0.9999999999860777,0.005459515916098083,0.00793536289137795,0.00961165562197301,0.010865917125991123,0.9661275484445598,46.87880849914971,0.0009613293059440832,62.505077998866284
all hidden (200-400 keV window),d380,200.66100292317287,60.19830087695186,473.55996689868795,19.122,7.145517666294761e-88,1.4338267413239643e-85,1.4385655596606623e-83,9.622133599074602e-82,1.0,1.0,1.0,0.9999999992925862,1.0,1.0,0.0003491942758082742,0.0005211940279703999,0.0006482619027360482,0.0007525551723934424,0.9977287946210919,300.9915043847593,2.458986557068421e-05,401.32200584634575
