year,cum_LUX,cum_PandaX-II,cum_XENON1T,cum_LZ,cum_XENONnT,cum_PandaX-4T,cum_all_xenon,cum_LZ_HE_track
2014.149999999999,0.0252258064515821,0.0,0.0,0.0,0.0,0.0,0.0252258064515821,0.0
2014.199999999999,0.026709677419322626,0.0,0.0,0.0,0.0,0.0,0.026709677419322626,0.0
2014.2499999999989,0.028193548387063144,0.0,0.0,0.0,0.0,0.0,0.028193548387063144,0.0
2014.2999999999988,0.029677419354803666,0.0,0.0,0.0,0.0,0.0,0.029677419354803666,0.0
2014.3499999999988,0.031161290322544184,0.0,0.0,0.0,0.0,0.0,0.031161290322544184,0.0
2014.3999999999987,0.032645161290284705,0.0,0.0,0.0,0.0,0.0,0.032645161290284705,0.0
2014.4499999999987,0.03412903225802523,0.0,0.0,0.0,0.0,0.0,0.03412903225802523,0.0
2014.4999999999986,0.03561290322576575,0.0,0.0,0.0,0.0,0.0,0.03561290322576575,0.0
2014.5499999999986,0.037096774193506266,0.0,0.0,0.0,0.0,0.0,0.037096774193506266,0.0
2014.5999999999985,0.038580645161246784,0.0,0.0,0.0,0.0,0.0,0.038580645161246784,0.0
2014.6499999999985,0.04006451612898731,0.0,0.0,0.0,0.0,0.0,0.04006451612898731,0.0
2014.6999999999985,0.04154838709672783,0.0,0.0,0.0,0.0,0.0,0.04154838709672783,0.0
2014.7499999999984,0.04303225806446835,0.0,0.0,0.0,0.0,0.0,0.04303225806446835,0.0
2014.7999999999984,0.04451612903220887,0.0,0.0,0.0,0.0,0.0,0.04451612903220887,0.0
2014.8499999999983,0.04599999999994939,0.0,0.0,0.0,0.0,0.0,0.04599999999994939,0.0
2014.8999999999983,0.04748387096768991,0.0,0.0,0.0,0.0,0.0,0.04748387096768991,0.0
2014.9499999999982,0.04896774193543043,0.0,0.0,0.0,0.0,0.0,0.04896774193543043,0.0
2014.9999999999982,0.050451612903170955,0.0,0.0,0.0,0.0,0.0,0.050451612903170955,0.0
2015.0499999999981,0.05193548387091148,0.0,0.0,0.0,0.0,0.0,0.05193548387091148,0.0
2015.099999999998,0.05341935483865199,0.0,0.0,0.0,0.0,0.0,0.05341935483865199,0.0
2015.149999999998,0.054903225806392515,0.0,0.0,0.0,0.0,0.0,0.054903225806392515,0.0
2015.199999999998,0.05638709677413303,0.0,0.0,0.0,0.0,0.0,0.05638709677413303,0.0
2015.249999999998,0.05787096774187356,0.0,0.0,0.0,0.0,0.0,0.05787096774187356,0.0
2015.299999999998,0.05935483870961408,0.0,0.0,0.0,0.0,0.0,0.05935483870961408,0.0
2015.3499999999979,0.060838709677354594,0.0,0.0,0.0,0.0,0.0,0.060838709677354594,0.0
2015.3999999999978,0.06232258064509512,0.0,0.0,0.0,0.0,0.0,0.06232258064509512,0.0
