E_keV,"central (g1=1, Eb=100, g2=2.5)|helm","central (g1=1, Eb=100, g2=2.5)|wimpydd","soft high-E (g1=1, Eb=100, g2=3)|helm","soft high-E (g1=1, Eb=100, g2=3)|wimpydd","hard high-E (g1=1, Eb=100, g2=2)|helm","hard high-E (g1=1, Eb=100, g2=2)|wimpydd","Honda-like (g1=1.5, Eb=1000, g2=2.7)|helm","Honda-like (g1=1.5, Eb=1000, g2=2.7)|wimpydd","steep low-E (g1=2, Eb=100, g2=2.5)|helm","steep low-E (g1=2, Eb=100, g2=2.5)|wimpydd","low break (g1=1, Eb=50, g2=2.5)|helm","low break (g1=1, Eb=50, g2=2.5)|wimpydd","high break (g1=1, Eb=150, g2=2.5)|helm","high break (g1=1, Eb=150, g2=2.5)|wimpydd",single power law E^-2 above 10 MeV|helm,single power law E^-2 above 10 MeV|wimpydd
5.5,0.0031987581181311727,0.003492531749672128,0.003327042041580382,0.0036199145816961644,0.003016968250781856,0.003311102408426576,0.0030868481435236627,0.003392409464347894,0.004064710998423726,0.004388041109170763,0.003817117421242608,0.004121048625985891,0.0029947123399273238,0.003287213999066759,0.003797378812863362,0.00412233861771335
6.0,0.0030487321865487887,0.0033160797541790478,0.0031640083957354226,0.0034294493311714065,0.002885201097003574,0.0031544575795648196,0.0029374475337076837,0.0032159541548162597,0.00377937636546332,0.004064507107965557,0.003596372455379256,0.0038679745816576887,0.0028656182313638984,0.00313355936451934,0.003546091914704042,0.003834921316715694
6.5,0.0029096030443474916,0.00315450830132129,0.0030132237052617177,0.0032554451295394027,0.0027624448768793185,0.0030104711134629806,0.002800434639320907,0.0030560285870160847,0.003526671590698369,0.003780463111535915,0.0033944784671702715,0.0036390183675092808,0.0027452281424171837,0.0029921976560051333,0.003322763077558579,0.0035817732295547974
7.0,0.0027799816555543516,0.0030037014551934247,0.002873107092020369,0.003093482910305693,0.0026475773840724547,0.00287545389811009,0.0026739840005427376,0.0029080888989455257,0.003300891179646641,0.003526371762489509,0.003208880931712388,0.003428322703537876,0.002632465157044844,0.002859508358268111,0.003122532679749678,0.003354459904691413
7.5,0.002658748134134552,0.00286238056214356,0.002742384640407188,0.002942114808090619,0.0025396930015485564,0.0027483643696978905,0.002556659647232108,0.002770493477886542,0.0030976588732326126,0.003297355851776851,0.0030375258355932323,0.003233578538924911,0.002526459944806139,0.002734490991382858,0.002941672469463885,0.003148801401102813
8.0,0.0025449841751002786,0.00272949380022563,0.0026200123201575026,0.0028001508714259413,0.0024380483484699286,0.0026283442773326776,0.0024473109292540455,0.002641923360534505,0.0029135512522041386,0.0030895963355622646,0.00287873387688951,0.0030528945385940357,0.0024264986742990337,0.0026163207657078163,0.0027772652160506094,0.002961523334536219
8.5,0.002437925678016787,0.0026062309031538345,0.0025051219433432624,0.0026687160754496537,0.002342024169645056,0.0025166725523666778,0.0023450009547249717,0.0025233035088834334,0.0027458443246753794,0.0029023540715562702,0.0027311122627617893,0.0028869897239101002,0.0023319864916753127,0.002506296009571554,0.0026269890313963006,0.002792231781123995
9.0,0.002336928694643488,0.002489758743623701,0.0023969823206835415,0.002544823742634117,0.0022510979427814953,0.002410732970677411,0.0022489561319370965,0.0024117196868740443,0.002592338191528779,0.0027307724726598815,0.002593491316096922,0.0027321834767883037,0.002242421269922645,0.002401833583438577,0.0024889681428222534,0.0026365251655720468
9.5,0.002241444418918612,0.0023794510579268203,0.0022949707327717603,0.0024277671228165273,0.0021648237593180474,0.002310012125205831,0.0021585297752700285,0.0023064332239494554,0.002451232815625691,0.002572855630409892,0.00246487791860019,0.0025873636586481747,0.002157374328349861,0.002302439422349002,0.0023616671600846803,0.002492689997040636
10.0,0.002151000465828173,0.002274766593065063,0.002198551575247629,0.00231693615922108,0.002082817263984875,0.0022140652592573923,0.002073175326426774,0.0022068174431944805,0.0023210381421789133,0.002426949098508812,0.0023444206634600246,0.0024515747243261327,0.0020764759998067152,0.002207685254293431,0.002243814578419146,0.0023593049594807015
