m_GeV,epoch,delta_keV,N_std,spread_gaia_dex,spread_shape_dex,spread_single_dex,spread_envelope_dex,spread_envelope_plus_rho_dex,lr_std,lr_vesc500,lr_vesc528,lr_vesc560,lr_vesc600,lr_v0_220,lr_v0_250,lr_king1,lr_king2,lr_king3,lr_shmpp,lr_shmpp_iso,lr_shmpp_evans,lr_env_low,lr_env_high
1000,annual,125,2.463e+06,0.3063,1.234,1.342,1.882,2.104,0,-0.04064,-0.01227,0.009945,0.02695,-0.1988,0.1075,-0.06175,-0.6857,-1.234,-0.04345,0.1038,-0.1091,-1.744,0.1378
1000,annual,150,7.784e+05,0.387,1.634,1.77,2.467,2.689,0,-0.07171,-0.02182,0.01785,0.04885,-0.2504,0.1366,-0.09646,-0.9111,-1.634,-0.05902,0.1403,-0.1483,-2.278,0.1895
1000,annual,175,2.281e+05,0.4616,1.963,2.127,2.962,3.184,0,-0.1166,-0.03586,0.02965,0.08223,-0.2975,0.1641,-0.1375,-1.108,-1.963,-0.07239,0.1734,-0.1874,-2.711,0.2508
1000,annual,200,6.393e+04,0.5193,2.194,2.381,3.371,3.593,0,-0.1645,-0.0518,0.04376,0.1239,-0.3329,0.1864,-0.1728,-1.239,-2.194,-0.07864,0.1958,-0.218,-3.056,0.3155
1000,annual,225,1.885e+04,0.5475,2.423,2.621,3.826,4.048,0,-0.1817,-0.05971,0.05259,0.1548,-0.3498,0.1977,-0.1859,-1.329,-2.423,-0.08234,0.2035,-0.2347,-3.465,0.3612
1000,annual,250,6539,0.5691,2.777,2.98,4.478,4.7,0,-0.1877,-0.05922,0.05214,0.1577,-0.3662,0.2029,-0.201,-1.489,-2.777,-0.09,0.2139,-0.2455,-4.107,0.3712
1000,annual,260,4447,0.5899,2.963,3.172,4.827,5.049,0,-0.2116,-0.06325,0.05352,0.1588,-0.3813,0.2086,-0.2201,-1.587,-2.963,-0.09277,0.224,-0.2559,-4.452,0.3751
1000,annual,270,3022,0.6224,3.171,3.39,5.245,5.467,0,-0.2581,-0.07316,0.05878,0.1674,-0.404,0.2184,-0.2491,-1.703,-3.171,-0.09471,0.237,-0.274,-4.858,0.3878
1000,annual,280,2016,0.6681,3.397,3.63,5.746,5.967,0,-0.3324,-0.09061,0.06952,0.1885,-0.435,0.2331,-0.2875,-1.834,-3.397,-0.09586,0.2517,-0.3018,-5.33,0.4154
1000,annual,290,1294,0.7287,3.638,3.891,6.347,6.569,0,-0.4414,-0.1172,0.08706,0.2266,-0.4756,0.253,-0.3346,-1.977,-3.638,-0.09646,0.2667,-0.3417,-5.885,0.4624
1000,annual,300,783.7,0.8069,3.89,4.175,7.077,7.299,0,-0.595,-0.1549,0.1127,0.2851,-0.5279,0.279,-0.3894,-2.131,-3.89,-0.09673,0.2811,-0.3967,-6.544,0.5328
1000,annual,310,439,0.9076,4.154,4.523,7.959,8.181,0,-0.8092,-0.2069,0.1483,0.3687,-0.5954,0.3122,-0.4517,-2.294,-4.154,-0.09684,0.2945,-0.4715,-7.328,0.6311
1000,annual,320,221.7,1.038,4.427,4.911,8.97,9.192,0,-1.105,-0.2781,0.1967,0.4832,-0.6837,0.3548,-0.5212,-2.466,-4.427,-0.09688,0.3065,-0.5729,-8.206,0.7635
1000,annual,330,97.98,1.21,4.707,5.344,10.14,10.36,0,-1.509,-0.3748,0.2619,0.637,-0.8002,0.4098,-0.5974,-2.646,-4.707,-0.0969,0.3171,-0.7099,-9.202,0.9388
1000,annual,340,36.42,1.434,4.984,5.825,12.04,12.26,0,-1.988,-0.5037,0.3491,0.8417,-0.9524,0.4816,-0.6788,-2.828,-4.984,-0.09691,0.326,-0.8915,-10.87,1.169
1000,annual,342.5,27.56,1.499,5.05,5.953,12.86,13.09,0,-2.095,-0.5414,0.375,0.9022,-0.9965,0.5026,-0.6995,-2.873,-5.05,-0.09691,0.328,-0.9443,-11.63,1.237
1000,annual,345,20.51,1.568,5.115,6.082,14.07,14.29,0,-2.19,-0.5815,0.4029,0.9676,-1.043,0.5251,-0.7203,-2.917,-5.115,-0.09691,0.3298,-1,-12.76,1.31
1000,annual,347.5,15.05,1.641,5.178,6.215,16.4,16.62,0,-2.29,-0.6236,0.4326,1.037,-1.092,0.549,-0.7409,-2.96,-5.178,-0.09691,0.3315,-1.057,-15.01,1.387
1000,annual,350,10.88,1.714,5.236,6.347,inf,inf,0,-2.395,-0.6661,0.4636,1.111,-1.14,0.5738,-0.7606,-3,-5.236,-0.09691,0.3331,-1.114,-inf,1.47
1000,annual,352.5,7.731,1.788,5.291,6.481,inf,inf,0,-2.529,-0.7086,0.4967,1.19,-1.188,0.6001,-0.7798,-3.038,-5.291,-0.09691,0.3346,-1.167,-inf,1.557
1000,annual,355,5.409,1.859,5.342,6.615,inf,inf,0,-2.706,-0.7488,0.5309,1.273,-1.232,0.6273,-0.7976,-3.074,-5.342,-0.09691,0.3358,-1.215,-inf,1.649
1000,annual,357.5,3.731,1.925,5.39,6.75,inf,inf,0,-2.959,-0.7848,0.5667,1.36,-1.269,0.6555,-0.8141,-3.105,-5.39,-0.09691,0.337,-1.253,-inf,1.746
1000,annual,360,2.53,1.981,5.432,6.883,inf,inf,0,-3.37,-0.8118,0.6029,1.451,-1.297,0.6837,-0.828,-3.133,-5.432,-0.09691,0.3379,-1.28,-inf,1.847
1000,annual,362.5,1.693,2.027,5.474,7.019,inf,inf,0,-4.134,-0.8299,0.639,1.545,-1.316,0.7116,-0.8393,-3.157,-5.474,-0.09691,0.3386,-1.301,-inf,1.952
1000,annual,365,1.121,2.066,5.514,7.698,inf,inf,0,-6.058,-0.8396,0.6734,1.641,-1.329,0.7376,-0.8475,-3.177,-5.514,-0.09691,0.3391,-1.323,-inf,2.059
1000,annual,367.5,0.7392,2.116,5.557,inf,inf,inf,0,-inf,-0.8485,0.704,1.735,-1.345,0.7598,-0.8534,-3.197,-5.557,-0.09691,0.3395,-1.356,-inf,2.165
1000,annual,370,0.4856,2.195,5.609,inf,inf,inf,0,-inf,-0.8682,0.7301,1.827,-1.378,0.7777,-0.8595,-3.221,-5.609,-0.09691,0.3399,-1.417,-inf,2.27
1000,annual,372.5,0.3231,2.305,5.677,inf,inf,inf,0,-inf,-0.9108,0.7483,1.91,-1.44,0.789,-0.8691,-3.255,-5.677,-0.09691,0.3405,-1.516,-inf,2.367
1000,annual,375,0.2156,2.461,5.76,inf,inf,inf,0,-inf,-0.9831,0.7587,1.988,-1.539,0.7934,-0.8834,-3.301,-5.76,-0.09691,0.3413,-1.668,-inf,2.459
1000,annual,377.5,0.1447,2.696,5.864,inf,inf,inf,0,-inf,-1.096,0.7643,2.059,-1.688,0.7953,-0.9067,-3.362,-5.864,-0.09691,0.3426,-1.901,-inf,2.545
1000,annual,380,0.09668,3.079,5.99,inf,inf,inf,0,-inf,-1.264,0.7726,2.129,-1.912,0.8024,-0.9398,-3.44,-5.99,-0.09691,0.3443,-2.277,-inf,2.63
1000,annual,382.5,0.06292,3.727,6.137,inf,inf,inf,0,-inf,-1.519,0.7934,2.206,-2.271,0.823,-0.9819,-3.533,-6.137,-0.09691,0.3462,-2.904,-inf,2.723
1000,annual,385,0.03936,4.96,6.299,inf,inf,inf,0,-inf,-1.905,0.8318,2.295,-2.825,0.8619,-1.03,-3.637,-6.299,-0.09691,0.3482,-4.098,-inf,2.83
1000,annual,387.5,0.02314,8.227,6.485,inf,inf,inf,0,-inf,-2.566,0.9017,2.407,-3.941,0.9292,-1.087,-3.758,-6.485,-0.09691,0.3502,-7.298,-inf,2.959
1000,annual,390,0.01264,inf,6.693,inf,inf,inf,0,-inf,-3.915,1.003,2.547,-6.473,1.023,-1.15,-3.893,-6.693,-0.09691,0.3522,-inf,-inf,3.117
1000,annual,392.5,0.006299,inf,6.936,inf,inf,inf,0,-inf,-7.399,1.143,2.722,-inf,1.148,-1.226,-4.053,-6.936,-0.09691,0.3541,-inf,-inf,3.309
1000,annual,395,0.002698,inf,7.227,inf,inf,inf,0,-inf,-inf,1.339,2.96,-inf,1.32,-1.321,-4.246,-7.227,-0.09691,0.3561,-inf,-inf,3.565
