m_GeV,epoch,delta_keV,N_std,spread_gaia_dex,spread_shape_dex,spread_single_dex,spread_envelope_dex,spread_envelope_plus_rho_dex,lr_std,lr_vesc500,lr_vesc528,lr_vesc560,lr_vesc600,lr_v0_220,lr_v0_250,lr_king1,lr_king2,lr_king3,lr_shmpp,lr_shmpp_iso,lr_shmpp_evans,lr_env_low,lr_env_high
1000,annual,397.5,0.0009025,inf,7.574,inf,inf,inf,0,-inf,-inf,1.626,3.301,-inf,1.574,-1.437,-4.479,-7.574,-0.09691,0.358,-inf,-inf,3.922
1000,annual,400,0.0002017,inf,8.006,inf,inf,inf,0,-inf,-inf,2.067,3.814,-inf,1.972,-1.581,-4.768,-8.006,-0.09691,0.3597,-inf,-inf,4.452
1000,annual,405,4.729e-07,inf,9.302,inf,inf,inf,0,-inf,-inf,4.177,6.165,-inf,3.95,-2.035,-5.654,-9.302,-0.09691,0.3625,-inf,-inf,6.829
4000,june16,100,2.196e+06,0.1999,0.6908,0.7606,1.089,1.31,0,-0.01688,-0.005063,0.004065,0.01088,-0.1301,0.0698,-0.02931,-0.3903,-0.6908,-0.0259,0.05829,-0.06587,-1.006,0.08251
4000,june16,125,8.024e+05,0.2763,1.051,1.148,1.613,1.835,0,-0.03221,-0.00973,0.007891,0.0213,-0.1793,0.09708,-0.05072,-0.5893,-1.051,-0.04078,0.0897,-0.09872,-1.492,0.1213
4000,june16,150,2.728e+05,0.3512,1.406,1.53,2.124,2.346,0,-0.05614,-0.0171,0.01394,0.03812,-0.2272,0.124,-0.07928,-0.7921,-1.406,-0.05582,0.1231,-0.1342,-1.958,0.1662
4000,june16,175,8.716e+04,0.4194,1.693,1.842,2.543,2.765,0,-0.0901,-0.02771,0.02289,0.06333,-0.2702,0.1492,-0.113,-0.9673,-1.693,-0.06893,0.1542,-0.1686,-2.326,0.2174
4000,june16,200,2.7e+04,0.471,1.89,2.059,2.882,3.104,0,-0.1273,-0.03995,0.03364,0.09483,-0.3018,0.1692,-0.1429,-1.081,-1.89,-0.07518,0.176,-0.1942,-2.612,0.2701
4000,june16,225,8714,0.4965,2.079,2.259,3.249,3.471,0,-0.1448,-0.04727,0.04124,0.1202,-0.317,0.1795,-0.1547,-1.154,-2.079,-0.07728,0.1837,-0.2085,-2.94,0.3089
4000,june16,250,3223,0.5102,2.366,2.549,3.749,3.971,0,-0.1392,-0.04574,0.041,0.1242,-0.3274,0.1828,-0.1581,-1.27,-2.366,-0.08459,0.188,-0.2174,-3.43,0.319
4000,june16,260,2256,0.522,2.519,2.705,4.007,4.229,0,-0.1432,-0.04561,0.04032,0.1221,-0.3363,0.1856,-0.1661,-1.343,-2.519,-0.0884,0.1942,-0.2227,-3.688,0.319
4000,june16,270,1599,0.541,2.692,2.883,4.306,4.527,0,-0.158,-0.04807,0.04105,0.1221,-0.35,0.1909,-0.1813,-1.434,-2.692,-0.09165,0.2039,-0.2312,-3.984,0.3218
4000,june16,280,1133,0.5684,2.883,3.083,4.652,4.874,0,-0.1872,-0.0544,0.04443,0.1275,-0.369,0.1994,-0.2041,-1.538,-2.883,-0.09398,0.2165,-0.2445,-4.321,0.3316
4000,june16,290,792.9,0.6047,3.089,3.3,5.054,5.275,0,-0.2336,-0.06554,0.05138,0.1413,-0.3935,0.2112,-0.2343,-1.654,-3.089,-0.09543,0.2308,-0.2637,-4.702,0.3518
4000,june16,300,541.2,0.6503,3.305,3.532,5.517,5.739,0,-0.3004,-0.08233,0.06266,0.166,-0.4237,0.2266,-0.2712,-1.78,-3.305,-0.09622,0.2458,-0.2901,-5.132,0.3849
4000,june16,310,355.5,0.7065,3.532,3.777,6.055,6.277,0,-0.3927,-0.1058,0.07904,0.204,-0.4608,0.2457,-0.3146,-1.915,-3.532,-0.09661,0.2606,-0.3254,-5.622,0.4333
4000,june16,320,221.9,0.7753,3.767,4.036,6.672,6.894,0,-0.5183,-0.1376,0.1014,0.2575,-0.5062,0.269,-0.3641,-2.058,-3.767,-0.09678,0.2748,-0.3718,-6.173,0.4994
4000,june16,330,129.8,0.8602,4.009,4.339,7.352,7.573,0,-0.6893,-0.1798,0.1312,0.3296,-0.5627,0.2975,-0.4195,-2.207,-4.009,-0.09686,0.2879,-0.4327,-6.765,0.5861
4000,june16,340,69.93,0.9671,4.256,4.68,8.067,8.289,0,-0.923,-0.2361,0.1704,0.4246,-0.6342,0.3329,-0.4811,-2.364,-4.256,-0.09689,0.2999,-0.5132,-7.369,0.698
4000,june16,342.5,58.99,0.9983,4.318,4.771,8.256,8.478,0,-0.9941,-0.2531,0.182,0.4527,-0.6553,0.343,-0.4976,-2.404,-4.318,-0.09689,0.3027,-0.5374,-7.526,0.7307
4000,june16,345,49.42,1.031,4.379,4.862,8.452,8.674,0,-1.069,-0.2713,0.1943,0.4827,-0.6776,0.3538,-0.5142,-2.444,-4.379,-0.0969,0.3054,-0.5633,-7.687,0.7653
4000,june16,347.5,41.09,1.067,4.441,4.956,8.665,8.887,0,-1.149,-0.291,0.2078,0.5148,-0.7017,0.3653,-0.5315,-2.484,-4.441,-0.0969,0.3081,-0.5914,-7.862,0.8024
4000,june16,350,33.89,1.105,4.502,5.052,8.889,9.111,0,-1.232,-0.3124,0.2221,0.5492,-0.7275,0.3775,-0.549,-2.525,-4.502,-0.0969,0.3106,-0.6217,-8.047,0.8419
4000,june16,352.5,27.77,1.145,4.562,5.147,9.143,9.365,0,-1.314,-0.3348,0.2373,0.5856,-0.7545,0.3904,-0.5665,-2.565,-4.562,-0.0969,0.313,-0.6535,-8.26,0.8836
4000,june16,355,22.5,1.188,4.62,5.245,9.418,9.64,0,-1.395,-0.359,0.2536,0.6247,-0.7835,0.4041,-0.5843,-2.604,-4.62,-0.0969,0.3154,-0.6877,-8.49,0.9282
4000,june16,357.5,18.06,1.233,4.678,5.344,9.729,9.951,0,-1.47,-0.3851,0.2714,0.6669,-0.8144,0.4188,-0.6024,-2.644,-4.678,-0.0969,0.3176,-0.7243,-8.753,0.9762
4000,june16,360,14.37,1.281,4.733,5.444,10.1,10.32,0,-1.534,-0.4128,0.2904,0.7117,-0.8468,0.4346,-0.6204,-2.682,-4.733,-0.09691,0.3197,-0.7624,-9.069,1.027
4000,june16,362.5,11.32,1.332,4.784,5.544,10.52,10.74,0,-1.586,-0.4418,0.3104,0.7592,-0.8805,0.4511,-0.6381,-2.718,-4.784,-0.09691,0.3217,-0.8021,-9.436,1.081
4000,june16,365,8.817,1.384,4.834,5.644,11.03,11.25,0,-1.629,-0.4718,0.3318,0.81,-0.915,0.4686,-0.6555,-2.754,-4.834,-0.09691,0.3236,-0.8422,-9.894,1.138
4000,june16,367.5,6.789,1.436,4.88,5.744,11.66,11.88,0,-1.666,-0.5017,0.3546,0.864,-0.9489,0.4871,-0.6722,-2.786,-4.88,-0.09691,0.3252,-0.881,-10.46,1.198
4000,june16,370,5.164,1.488,4.923,5.844,12.49,12.72,0,-1.708,-0.5313,0.379,0.9217,-0.9816,0.5068,-0.6878,-2.816,-4.923,-0.09691,0.3267,-0.9167,-11.23,1.263
4000,june16,372.5,3.878,1.538,4.962,5.944,13.65,13.88,0,-1.762,-0.5589,0.404,0.9826,-1.011,0.5269,-0.7022,-2.843,-4.962,-0.09691,0.3281,-0.9479,-12.32,1.331
4000,june16,375,2.883,1.582,4.997,6.043,15.4,15.63,0,-1.837,-0.5809,0.4302,1.046,-1.034,0.5476,-0.714,-2.865,-4.997,-0.09691,0.3291,-0.9697,-14,1.403
4000,june16,377.5,2.117,1.615,5.026,6.139,18.2,18.43,0,-1.932,-0.5954,0.4564,1.113,-1.047,0.5681,-0.7229,-2.881,-5.026,-0.09691,0.3299,-0.9797,-16.73,1.478
4000,june16,380,1.543,1.642,5.056,6.238,23.71,23.93,0,-2.07,-0.6034,0.4832,1.182,-1.053,0.5889,-0.7301,-2.896,-5.056,-0.09691,0.3305,-0.9816,-22.16,1.555
4000,june16,382.5,1.117,1.658,5.087,6.336,inf,inf,0,-2.268,-0.6019,0.507,1.25,-1.051,0.6067,-0.7337,-2.909,-5.087,-0.09691,0.3308,-0.9775,-inf,1.631
4000,june16,385,0.8044,1.663,5.116,6.435,inf,inf,0,-2.547,-0.5924,0.5285,1.319,-1.041,0.6221,-0.7342,-2.918,-5.116,-0.09691,0.3309,-0.9693,-inf,1.71
4000,june16,387.5,0.5834,1.666,5.152,6.534,inf,inf,0,-2.986,-0.5823,0.544,1.382,-1.034,0.632,-0.7339,-2.931,-5.152,-0.09691,0.3309,-0.9694,-inf,1.782
4000,june16,390,0.4238,1.674,5.199,6.64,inf,inf,0,-3.71,-0.5777,0.5534,1.441,-1.038,0.6364,-0.7343,-2.949,-5.199,-0.09691,0.331,-0.9863,-inf,1.852
4000,june16,392.5,0.3125,1.695,5.261,6.753,inf,inf,0,-4.963,-0.5884,0.5556,1.492,-1.06,0.635,-0.7393,-2.978,-5.261,-0.09691,0.3315,-1.029,-inf,1.913
4000,june16,395,0.2321,1.734,5.335,8.61,inf,inf,0,-7.075,-0.6191,0.5511,1.536,-1.105,0.6282,-0.7497,-3.018,-5.335,-0.09691,0.3324,-1.099,-inf,1.968
4000,june16,397.5,0.1746,1.828,5.431,13.56,inf,inf,0,-11.98,-0.6773,0.5414,1.571,-1.183,0.6186,-0.7691,-3.073,-5.431,-0.09691,0.3339,-1.209,-inf,2.015
4000,june16,400,0.1318,1.97,5.541,inf,inf,inf,0,-inf,-0.7623,0.532,1.603,-1.291,0.6114,-0.796,-3.141,-5.541,-0.09691,0.3359,-1.359,-inf,2.059
4000,june16,405,0.07243,2.449,5.798,inf,inf,inf,0,-inf,-1.019,0.5395,1.67,-1.613,0.6268,-0.871,-3.306,-5.798,-0.09691,0.3407,-1.823,-inf,2.152
4000,june16,410,0.035,3.492,6.103,inf,inf,inf,0,-inf,-1.476,0.6215,1.782,-2.221,0.7102,-0.966,-3.507,-6.103,-0.09691,0.3455,-2.781,-inf,2.291
4000,june16,415,0.01365,5.8,6.457,inf,inf,inf,0,-inf,-2.4,0.7972,1.974,-3.523,0.8683,-1.076,-3.739,-6.457,-0.09691,0.3498,-4.932,-inf,2.51
4000,june16,420,0.003927,inf,6.877,inf,inf,inf,0,-inf,-4.537,1.074,2.288,-6.5,1.104,-1.212,-4.018,-6.877,-0.09691,0.3538,-inf,-inf,2.849
4000,june16,425,0.0006019,inf,7.443,inf,inf,inf,0,-inf,-inf,1.558,2.871,-inf,1.523,-1.401,-4.399,-7.443,-0.09691,0.3575,-inf,-inf,3.451
4000,june16,430,2.567e-05,inf,8.122,inf,inf,inf,0,-inf,-inf,2.501,4.014,-inf,2.369,-1.626,-4.854,-8.122,-0.09691,0.3602,-inf,-inf,4.6
4000,june16,435,6.528e-08,inf,8.955,inf,inf,inf,0,-inf,-inf,4.514,6.392,-inf,4.201,-1.94,-5.44,-8.955,-0.09691,0.3622,-inf,-inf,6.973
4000,june16,440,8.612e-14,inf,10.91,inf,inf,inf,0,-inf,-inf,9.546,12.07,-inf,8.874,-2.5,-6.67,-10.91,-0.09691,0.3635,-inf,-inf,12.64
4000,annual,100,2.001e+06,0.2112,0.7591,0.8328,1.185,1.407,0,-0.01914,-0.005735,0.004611,0.01236,-0.1375,0.07376,-0.03275,-0.4275,-0.7591,-0.0267,0.06388,-0.06907,-1.097,0.08815
4000,annual,125,7.109e+05,0.2892,1.132,1.234,1.727,1.949,0,-0.03631,-0.01096,0.008893,0.02408,-0.1876,0.1016,-0.05605,-0.6339,-1.132,-0.04042,0.09663,-0.1016,-1.599,0.1289
4000,annual,150,2.347e+05,0.3653,1.494,1.623,2.25,2.472,0,-0.06306,-0.01921,0.01571,0.04301,-0.2363,0.1291,-0.08689,-0.8413,-1.494,-0.05483,0.1309,-0.1376,-2.074,0.1762
4000,annual,175,7.272e+04,0.4339,1.781,1.935,2.674,2.896,0,-0.1006,-0.03098,0.02564,0.07111,-0.2794,0.1544,-0.1226,-1.017,-1.781,-0.06755,0.1619,-0.1729,-2.444,0.2305
4000,annual,200,2.191e+04,0.4845,1.978,2.152,3.022,3.244,0,-0.1394,-0.04395,0.03716,0.1052,-0.3103,0.1742,-0.1525,-1.128,-1.978,-0.07351,0.1825,-0.1988,-2.737,0.2856
4000,annual,225,6968,0.5079,2.179,2.362,3.41,3.631,0,-0.1534,-0.05038,0.04427,0.13,-0.3243,0.1836,-0.1624,-1.203,-2.179,-0.07574,0.1889,-0.212,-3.086,0.3232
4000,annual,250,2575,0.5241,2.489,2.676,3.947,4.168,0,-0.1501,-0.04861,0.04334,0.1315,-0.3368,0.1873,-0.1694,-1.336,-2.489,-0.08356,0.1956,-0.2219,-3.616,0.3305
4000,annual,260,1797,0.5392,2.652,2.843,4.224,4.446,0,-0.1604,-0.04982,0.04329,0.1302,-0.3481,0.1912,-0.1815,-1.418,-2.652,-0.08757,0.2036,-0.2296,-3.893,0.3316
4000,annual,270,1263,0.5628,2.834,3.032,4.546,4.768,0,-0.1845,-0.05461,0.04549,0.1329,-0.3647,0.1982,-0.2013,-1.516,-2.834,-0.09101,0.2148,-0.2417,-4.209,0.3377
4000,annual,280,881.3,0.5958,3.032,3.241,4.92,5.142,0,-0.2259,-0.06421,0.05115,0.1433,-0.3871,0.2086,-0.229,-1.628,-3.032,-0.09353,0.2283,-0.2595,-4.567,0.3534
4000,annual,290,602.6,0.6385,3.243,3.466,5.35,5.572,0,-0.2874,-0.0795,0.06116,0.1644,-0.4156,0.2228,-0.264,-1.75,-3.243,-0.09513,0.2429,-0.2844,-4.968,0.3819
4000,annual,300,398.2,0.6916,3.464,3.704,5.845,6.067,0,-0.3727,-0.1013,0.07624,0.1986,-0.4508,0.2408,-0.3053,-1.88,-3.464,-0.09605,0.2576,-0.3176,-5.42,0.4257
4000,annual,310,250.8,0.7569,3.692,3.955,6.413,6.635,0,-0.4877,-0.131,0.09725,0.2484,-0.4938,0.2631,-0.3527,-2.018,-3.692,-0.09652,0.2716,-0.3612,-5.926,0.4872
4000,annual,320,148.4,0.837,3.927,4.243,7.054,7.276,0,-0.6404,-0.1703,0.1253,0.3163,-0.5467,0.2903,-0.4057,-2.163,-3.927,-0.09674,0.2848,-0.4177,-6.485,0.5692
4000,annual,330,81.31,0.9358,4.165,4.571,7.749,7.971,0,-0.8407,-0.2216,0.1619,0.4059,-0.6122,0.3235,-0.4638,-2.312,-4.165,-0.09684,0.2967,-0.4907,-7.074,0.675
4000,annual,340,40.42,1.059,4.403,4.925,8.483,8.705,0,-1.096,-0.2882,0.2092,0.5219,-0.6941,0.3645,-0.5265,-2.465,-4.403,-0.09688,0.3073,-0.5847,-7.674,0.8099
4000,annual,342.5,33.33,1.094,4.462,5.018,8.681,8.902,0,-1.169,-0.3079,0.2231,0.5559,-0.7178,0.3763,-0.543,-2.503,-4.462,-0.09688,0.3097,-0.6122,-7.832,0.849
4000,annual,345,27.27,1.131,4.519,5.111,8.885,9.107,0,-1.243,-0.3284,0.2377,0.5919,-0.7425,0.3887,-0.5594,-2.541,-4.519,-0.09689,0.312,-0.6409,-7.995,0.8903
4000,annual,347.5,22.12,1.171,4.577,5.207,9.109,9.331,0,-1.32,-0.3505,0.2535,0.6304,-0.7688,0.4018,-0.5762,-2.579,-4.577,-0.09689,0.3143,-0.6717,-8.175,0.9344
4000,annual,350,17.78,1.212,4.633,5.304,9.345,9.567,0,-1.397,-0.3738,0.2703,0.6713,-0.7964,0.4157,-0.593,-2.617,-4.633,-0.0969,0.3164,-0.7039,-8.364,0.981
4000,annual,352.5,14.2,1.255,4.687,5.401,9.613,9.835,0,-1.471,-0.3977,0.2878,0.7142,-0.8245,0.4301,-0.6094,-2.653,-4.687,-0.0969,0.3184,-0.7368,-8.583,1.03
4000,annual,355,11.2,1.299,4.739,5.499,9.902,10.12,0,-1.541,-0.4227,0.3064,0.7599,-0.8537,0.4453,-0.6259,-2.689,-4.739,-0.0969,0.3203,-0.771,-8.82,1.082
4000,annual,357.5,8.745,1.345,4.79,5.599,10.23,10.45,0,-1.605,-0.4489,0.3262,0.8088,-0.884,0.4615,-0.6423,-2.724,-4.79,-0.0969,0.3221,-0.8064,-9.091,1.137
4000,annual,360,6.772,1.392,4.838,5.698,10.61,10.83,0,-1.661,-0.4751,0.347,0.8601,-0.9141,0.4783,-0.6581,-2.757,-4.838,-0.0969,0.3238,-0.8413,-9.416,1.195
4000,annual,362.5,5.19,1.44,4.883,5.797,11.05,11.27,0,-1.708,-0.5013,0.3685,0.9137,-0.944,0.4956,-0.6731,-2.787,-4.883,-0.0969,0.3253,-0.8756,-9.795,1.256
4000,annual,365,3.935,1.487,4.926,5.896,11.58,11.81,0,-1.753,-0.5273,0.3908,0.9701,-0.9733,0.5134,-0.6877,-2.817,-4.926,-0.0969,0.3267,-0.909,-10.27,1.32
4000,annual,367.5,2.954,1.532,4.965,5.994,12.23,12.45,0,-1.798,-0.5515,0.4138,1.029,-1,0.5316,-0.7009,-2.843,-4.965,-0.09691,0.328,-0.9392,-10.85,1.386
4000,annual,370,2.194,1.575,5.002,6.092,13.08,13.3,0,-1.854,-0.5738,0.4373,1.09,-1.025,0.55,-0.713,-2.867,-5.002,-0.09691,0.329,-0.9656,-11.62,1.455
4000,annual,372.5,1.613,1.614,5.037,6.19,14.23,14.46,0,-1.925,-0.5935,0.4605,1.153,-1.046,0.5681,-0.7237,-2.889,-5.037,-0.09691,0.33,-0.9877,-12.71,1.527
4000,annual,375,1.18,1.647,5.07,6.288,15.97,16.2,0,-2.021,-0.6086,0.4832,1.217,-1.062,0.5854,-0.7326,-2.908,-5.07,-0.09691,0.3307,-1.004,-14.37,1.599
4000,annual,377.5,0.856,1.672,5.1,6.382,18.75,18.98,0,-2.14,-0.6179,0.5042,1.282,-1.071,0.6013,-0.7391,-2.924,-5.1,-0.09691,0.3313,-1.012,-17.08,1.673
4000,annual,380,0.6183,1.695,5.134,6.481,24.19,24.41,0,-2.308,-0.6243,0.5248,1.346,-1.078,0.6166,-0.745,-2.94,-5.134,-0.09691,0.3318,-1.019,-22.44,1.747
4000,annual,382.5,0.4462,1.713,5.172,6.58,inf,inf,0,-2.541,-0.6284,0.5416,1.408,-1.084,0.6286,-0.7499,-2.957,-5.172,-0.09691,0.3322,-1.028,-inf,1.818
4000,annual,385,0.3215,1.727,5.211,6.679,inf,inf,0,-2.863,-0.63,0.5555,1.468,-1.089,0.6379,-0.7536,-2.974,-5.211,-0.09691,0.3325,-1.039,-inf,1.889
4000,annual,387.5,0.2335,1.745,5.258,6.78,inf,inf,0,-3.342,-0.6366,0.5649,1.522,-1.101,0.6438,-0.7586,-2.996,-5.258,-0.09691,0.3329,-1.062,-inf,1.953
4000,annual,390,0.1695,1.773,5.316,6.889,inf,inf,0,-4.089,-0.6527,0.5709,1.573,-1.126,0.647,-0.7662,-3.026,-5.316,-0.09691,0.3336,-1.103,-inf,2.016
4000,annual,392.5,0.124,1.819,5.388,7.006,inf,inf,0,-5.344,-0.684,0.5748,1.618,-1.17,0.6489,-0.7785,-3.065,-5.388,-0.09691,0.3345,-1.169,-inf,2.072
4000,annual,395,0.09059,1.908,5.468,9.112,inf,inf,0,-7.451,-0.7321,0.5771,1.66,-1.233,0.65,-0.7949,-3.111,-5.468,-0.09691,0.3357,-1.258,-inf,2.126
4000,annual,397.5,0.0662,2.038,5.565,14.05,inf,inf,0,-12.35,-0.8047,0.5808,1.7,-1.326,0.6536,-0.8182,-3.17,-5.565,-0.09691,0.3374,-1.385,-inf,2.178
4000,annual,400,0.04805,2.211,5.674,inf,inf,inf,0,-inf,-0.9006,0.5891,1.739,-1.445,0.6621,-0.8467,-3.237,-5.674,-0.09691,0.3392,-1.549,-inf,2.23
4000,annual,405,0.02388,2.747,5.918,inf,inf,inf,0,-inf,-1.174,0.6356,1.833,-1.787,0.7078,-0.9183,-3.394,-5.918,-0.09691,0.3432,-2.04,-inf,2.349
4000,annual,410,0.01028,3.82,6.208,inf,inf,inf,0,-inf,-1.653,0.7466,1.981,-2.415,0.809,-1.007,-3.584,-6.208,-0.09691,0.3473,-3.011,-inf,2.522
4000,annual,415,0.003546,6.099,6.547,inf,inf,inf,0,-inf,-2.582,0.938,2.216,-3.703,0.9752,-1.113,-3.806,-6.547,-0.09691,0.351,-5.124,-inf,2.778
4000,annual,420,0.0008915,14.52,6.949,inf,inf,inf,0,-inf,-4.676,1.228,2.584,-6.613,1.221,-1.242,-4.072,-6.949,-0.09691,0.3545,-13.3,-inf,3.163
4000,annual,425,0.0001167,inf,7.486,inf,inf,inf,0,-inf,-inf,1.73,3.237,-inf,1.656,-1.421,-4.433,-7.486,-0.09691,0.3578,-inf,-inf,3.825
4000,annual,430,4.375e-06,inf,8.132,inf,inf,inf,0,-inf,-inf,2.676,4.438,-inf,2.499,-1.631,-4.861,-8.132,-0.09691,0.3602,-inf,-inf,5.029
4000,annual,435,1.077e-08,inf,8.956,inf,inf,inf,0,-inf,-inf,4.644,6.826,-inf,4.281,-1.941,-5.442,-8.956,-0.09691,0.3622,-inf,-inf,7.418
4000,annual,440,1.397e-14,inf,10.93,inf,inf,inf,0,-inf,-inf,9.621,12.49,-inf,8.901,-2.509,-6.685,-10.93,-0.09691,0.3635,-inf,-inf,13.09
