m_GeV,delta_keV,epoch,halo,family,N_unit,N_std,ratio,log10_ratio,c2_one_event,log10_c2_shift
4000,350,annual,shmpp_iso,shmpp,786.59,381.37,2.0626,0.31441,0.0012713,-0.31441
4000,350,annual,shmpp_evans,shmpp,81.8,381.37,0.21449,-0.66859,0.012225,0.66859
4000,350,annual,env_low,env,2.6644e-07,381.37,6.9865e-10,-9.1557,3.7532e+06,9.1557
4000,350,annual,env_high,env,3050,381.37,7.9976,0.90296,0.00032787,-0.90296
4000,380,june16,std,std,36.995,36.995,1,0,0.027031,-0
4000,380,june16,vesc500,vesc,0.03472,36.995,0.00093852,-3.0276,28.802,3.0276
4000,380,june16,vesc528,vesc,6.3144,36.995,0.17068,-0.76781,0.15837,0.76781
4000,380,june16,vesc560,vesc,111.39,36.995,3.0109,0.47869,0.0089778,-0.47869
4000,380,june16,vesc600,vesc,480.42,36.995,12.986,1.1135,0.0020815,-1.1135
4000,380,june16,v0_220,v0,1.9694,36.995,0.053236,-1.2738,0.50776,1.2738
4000,380,june16,v0_250,v0,144.14,36.995,3.8963,0.59065,0.0069376,-0.59065
4000,380,june16,king1,king,5.8297,36.995,0.15758,-0.8025,0.17154,0.8025
4000,380,june16,king2,king,0.028227,36.995,0.000763,-3.1175,35.427,3.1175
4000,380,june16,king3,king,0.00013167,36.995,3.5593e-06,-5.4486,7594.5,5.4486
4000,380,june16,shmpp,shmpp,29.596,36.995,0.8,-0.09691,0.033789,0.09691
4000,380,june16,shmpp_iso,shmpp,80.241,36.995,2.169,0.33626,0.012462,-0.33626
4000,380,june16,shmpp_evans,shmpp,1.8863,36.995,0.050989,-1.2925,0.53013,1.2925
4000,380,june16,env_low,env,1.0251e-21,36.995,2.7709e-23,-22.557,9.7552e+20,22.557
4000,380,june16,env_high,env,1092.6,36.995,29.534,1.4703,0.00091525,-1.4703
4000,380,annual,std,std,13.383,13.383,1,0,0.074721,-0
4000,380,annual,vesc500,vesc,0.0084511,13.383,0.00063147,-3.1996,118.33,3.1996
4000,380,annual,vesc528,vesc,1.8552,13.383,0.13862,-0.85816,0.53902,0.85816
4000,380,annual,vesc560,vesc,49.025,13.383,3.6632,0.56386,0.020398,-0.56386
4000,380,annual,vesc600,vesc,290.3,13.383,21.692,1.3363,0.0034447,-1.3363
4000,380,annual,v0_220,v0,0.56991,13.383,0.042585,-1.3707,1.7547,1.3707
4000,380,annual,v0_250,v0,60.505,13.383,4.521,0.65523,0.016528,-0.65523
4000,380,annual,king1,king,1.938,13.383,0.14481,-0.83919,0.51598,0.83919
4000,380,annual,king2,king,0.0087068,13.383,0.00065059,-3.1867,114.85,3.1867
4000,380,annual,king3,king,3.8385e-05,13.383,2.8681e-06,-5.5424,26052,5.5424
4000,380,annual,shmpp,shmpp,10.706,13.383,0.8,-0.096909,0.093402,0.096909
4000,380,annual,shmpp_iso,shmpp,29.189,13.383,2.181,0.33866,0.03426,-0.33866
4000,380,annual,shmpp_evans,shmpp,0.5258,13.383,0.039289,-1.4057,1.9018,1.4057
4000,380,annual,env_low,env,2.1252e-22,13.383,1.588e-23,-22.799,4.7054e+21,22.799
4000,380,annual,env_high,env,702.3,13.383,52.476,1.72,0.0014239,-1.72
