vmin_kms,eta_std_june16,eta_std_annual,eta_vesc500_june16,eta_vesc500_annual,eta_vesc528_june16,eta_vesc528_annual,eta_vesc560_june16,eta_vesc560_annual,eta_vesc600_june16,eta_vesc600_annual,eta_v0_220_june16,eta_v0_220_annual,eta_v0_250_june16,eta_v0_250_annual,eta_king1_june16,eta_king1_annual,eta_king2_june16,eta_king2_annual,eta_king3_june16,eta_king3_annual,eta_shmpp_june16,eta_shmpp_annual,eta_shmpp_iso_june16,eta_shmpp_iso_annual,eta_shmpp_evans_june16,eta_shmpp_evans_annual,eta_env_low_june16,eta_env_low_annual,eta_env_high_june16,eta_env_high_annual,eta_std_dec16,eta_std_wimpydd_june16,eta_std_wimpydd_annual
1.050000e+01,3.353611e-03,3.458612e-03,3.378050e-03,3.484848e-03,3.360944e-03,3.466464e-03,3.347733e-03,3.452334e-03,3.337928e-03,3.441895e-03,3.594006e-03,3.714882e-03,3.215040e-03,3.311477e-03,3.395796e-03,3.505083e-03,3.670925e-03,3.841797e-03,3.737370e-03,3.934759e-03,3.300290e-03,3.410191e-03,3.262210e-03,3.356281e-03,3.368392e-03,3.482968e-03,4.009303e-03,4.236834e-03,3.193866e-03,3.288899e-03,3.566424e-03,3.353737e-03,3.458756e-03
1.100000e+01,3.353349e-03,3.458314e-03,3.377783e-03,3.484545e-03,3.360681e-03,3.466164e-03,3.347472e-03,3.452037e-03,3.337669e-03,3.441600e-03,3.593685e-03,3.714512e-03,3.214809e-03,3.311216e-03,3.395526e-03,3.504775e-03,3.670717e-03,3.841524e-03,3.737261e-03,3.934594e-03,3.300078e-03,3.409947e-03,3.261964e-03,3.356005e-03,3.368166e-03,3.482708e-03,4.009175e-03,4.236631e-03,3.193639e-03,3.288641e-03,3.566088e-03,3.353481e-03,3.458464e-03
1.150000e+01,3.353075e-03,3.458002e-03,3.377504e-03,3.484228e-03,3.360406e-03,3.465851e-03,3.347199e-03,3.451726e-03,3.337398e-03,3.441291e-03,3.593348e-03,3.714125e-03,3.214567e-03,3.310943e-03,3.395243e-03,3.504453e-03,3.670499e-03,3.841238e-03,3.737148e-03,3.934422e-03,3.299855e-03,3.409691e-03,3.261707e-03,3.355715e-03,3.367930e-03,3.482436e-03,4.009041e-03,4.236419e-03,3.193401e-03,3.288372e-03,3.565736e-03,3.353213e-03,3.458159e-03
1.200000e+01,3.352788e-03,3.457677e-03,3.377213e-03,3.483896e-03,3.360118e-03,3.465524e-03,3.346914e-03,3.451402e-03,3.337114e-03,3.440968e-03,3.592997e-03,3.713721e-03,3.214315e-03,3.310657e-03,3.394948e-03,3.504116e-03,3.670271e-03,3.840939e-03,3.737029e-03,3.934242e-03,3.299622e-03,3.409424e-03,3.261438e-03,3.355413e-03,3.367683e-03,3.482151e-03,4.008900e-03,4.236198e-03,3.193152e-03,3.288091e-03,3.565369e-03,3.352933e-03,3.457841e-03
1.250000e+01,3.352490e-03,3.457337e-03,3.376910e-03,3.483551e-03,3.359818e-03,3.465182e-03,3.346616e-03,3.451063e-03,3.336819e-03,3.440632e-03,3.592630e-03,3.713300e-03,3.214052e-03,3.310360e-03,3.394640e-03,3.503764e-03,3.670034e-03,3.840628e-03,3.736905e-03,3.934054e-03,3.299379e-03,3.409146e-03,3.261158e-03,3.355097e-03,3.367426e-03,3.481855e-03,4.008754e-03,4.235967e-03,3.192893e-03,3.287798e-03,3.564986e-03,3.352640e-03,3.457508e-03
1.300000e+01,3.352179e-03,3.456984e-03,3.376594e-03,3.483192e-03,3.359506e-03,3.464827e-03,3.346307e-03,3.450711e-03,3.336511e-03,3.440282e-03,3.592249e-03,3.712861e-03,3.213778e-03,3.310050e-03,3.394319e-03,3.503399e-03,3.669786e-03,3.840304e-03,3.736776e-03,3.933858e-03,3.299127e-03,3.408856e-03,3.260866e-03,3.354769e-03,3.367158e-03,3.481547e-03,4.008601e-03,4.235726e-03,3.192623e-03,3.287493e-03,3.564588e-03,3.352336e-03,3.457162e-03
1.350000e+01,3.351856e-03,3.456616e-03,3.376265e-03,3.482818e-03,3.359181e-03,3.464458e-03,3.345985e-03,3.450346e-03,3.336191e-03,3.439919e-03,3.591853e-03,3.712405e-03,3.213493e-03,3.309729e-03,3.393986e-03,3.503019e-03,3.669529e-03,3.839967e-03,3.736642e-03,3.933654e-03,3.298865e-03,3.408555e-03,3.260563e-03,3.354428e-03,3.366880e-03,3.481226e-03,4.008442e-03,4.235475e-03,3.192342e-03,3.287176e-03,3.564173e-03,3.352019e-03,3.456801e-03
1.400000e+01,3.351522e-03,3.456235e-03,3.375925e-03,3.482430e-03,3.358845e-03,3.464075e-03,3.345652e-03,3.449966e-03,3.335860e-03,3.439541e-03,3.591442e-03,3.711932e-03,3.213198e-03,3.309395e-03,3.393640e-03,3.502625e-03,3.669263e-03,3.839617e-03,3.736503e-03,3.933442e-03,3.298592e-03,3.408242e-03,3.260248e-03,3.354074e-03,3.366591e-03,3.480894e-03,4.008277e-03,4.235215e-03,3.192051e-03,3.286847e-03,3.563744e-03,3.351690e-03,3.456427e-03
1.450000e+01,3.351174e-03,3.455841e-03,3.375572e-03,3.482029e-03,3.358496e-03,3.463678e-03,3.345306e-03,3.449573e-03,3.335516e-03,3.439150e-03,3.591015e-03,3.711442e-03,3.212892e-03,3.309049e-03,3.393282e-03,3.502217e-03,3.668986e-03,3.839255e-03,3.736358e-03,3.933223e-03,3.298310e-03,3.407918e-03,3.259922e-03,3.353707e-03,3.366292e-03,3.480549e-03,4.008105e-03,4.234945e-03,3.191750e-03,3.286506e-03,3.563298e-03,3.351349e-03,3.456039e-03
1.500000e+01,3.350815e-03,3.455432e-03,3.375206e-03,3.481613e-03,3.358135e-03,3.463268e-03,3.344948e-03,3.449165e-03,3.335160e-03,3.438746e-03,3.590574e-03,3.710935e-03,3.212575e-03,3.308691e-03,3.392911e-03,3.501794e-03,3.668699e-03,3.838880e-03,3.736208e-03,3.932995e-03,3.298018e-03,3.407583e-03,3.259585e-03,3.353328e-03,3.365982e-03,3.480192e-03,4.007928e-03,4.234665e-03,3.191437e-03,3.286153e-03,3.562837e-03,3.350996e-03,3.455637e-03
1.550000e+01,3.350444e-03,3.455009e-03,3.374828e-03,3.481183e-03,3.357762e-03,3.462843e-03,3.344578e-03,3.448744e-03,3.334792e-03,3.438327e-03,3.590118e-03,3.710411e-03,3.212248e-03,3.308321e-03,3.392528e-03,3.501357e-03,3.668403e-03,3.838491e-03,3.736053e-03,3.932760e-03,3.297716e-03,3.407236e-03,3.259236e-03,3.352935e-03,3.365661e-03,3.479823e-03,4.007744e-03,4.234375e-03,3.191115e-03,3.285788e-03,3.562361e-03,3.350630e-03,3.455222e-03
1.600000e+01,3.350060e-03,3.454573e-03,3.374438e-03,3.480739e-03,3.357376e-03,3.462405e-03,3.344196e-03,3.448310e-03,3.334413e-03,3.437895e-03,3.589647e-03,3.709869e-03,3.211910e-03,3.307938e-03,3.392132e-03,3.500905e-03,3.668097e-03,3.838090e-03,3.735892e-03,3.932517e-03,3.297404e-03,3.406878e-03,3.258876e-03,3.352530e-03,3.365331e-03,3.479442e-03,4.007553e-03,4.234076e-03,3.190781e-03,3.285411e-03,3.561869e-03,3.350253e-03,3.454792e-03
1.650000e+01,3.349664e-03,3.454123e-03,3.374036e-03,3.480282e-03,3.356978e-03,3.461952e-03,3.343801e-03,3.447861e-03,3.334021e-03,3.437449e-03,3.589162e-03,3.709310e-03,3.211561e-03,3.307544e-03,3.391724e-03,3.500440e-03,3.667781e-03,3.837677e-03,3.735727e-03,3.932265e-03,3.297082e-03,3.406509e-03,3.258504e-03,3.352112e-03,3.364989e-03,3.479049e-03,4.007357e-03,4.233766e-03,3.190437e-03,3.285023e-03,3.561361e-03,3.349863e-03,3.454349e-03
