width,mode,E_keV,f,BR,decays,Ne_mean,sigma_Ne,log10S2c_mean,S1c_mean,S1c_min_in_ROI,P_in_ROI,N_in_ROI
cal,LL_LM_MM,9.8,0.3,0.02,15.579340548366408,170.1658672017058,15.526783317760934,3.7686915464002237,61.487882637577876,35.16869907077911,1.0,15.579340548366408
raw,KK,64.3,0.0,0.724,563.972127850864,1118.3103491653558,270.23241543842374,4.586381439076297,403.2362730524152,481.21298250161794,0.0006243104880268857,0.3520937143721341
raw,KK,64.3,0.1,0.724,563.972127850864,1006.4793142488202,270.13414958583024,4.540623948515623,415.5376868932341,481.21298250161794,0.004194067579269017,2.36533721703067
raw,KK,64.3,0.2,0.724,563.972127850864,894.6482793322847,270.02440062511255,4.489471426068241,427.839100734053,481.21298250161794,0.019598567645247478,11.053045897719317
raw,KK,64.3,0.3,0.724,563.972127850864,782.817244415749,269.9031545483668,4.431479479090554,440.14051457487193,481.21298250161794,0.06538758522504529,36.87677557439851
raw,KL,36.7,0.0,0.2,155.7934054836641,658.2401994718194,127.29564472421877,4.356203496695672,227.95734323079313,255.32633621370684,0.011345094000973888,1.7674908299440097
raw,KL,36.7,0.1,0.2,155.7934054836641,592.4161795246375,127.1770701247657,4.310446006134997,235.19798542498316,255.32633621370684,0.05667352499423739,8.829361459615797
raw,KL,36.7,0.2,0.2,155.7934054836641,526.5921595774556,127.04361665046655,4.259293483687616,242.4386276191731,255.32633621370684,0.17580871440616974,27.3898383310421
raw,KL,36.7,0.3,0.2,155.7934054836641,460.7681396302736,126.89523735778229,4.201301536709929,249.67926981336313,255.32633621370684,0.3691093959513111,57.504809791272926
raw,KM_KN,33.2,0.0,0.056,43.622153535425944,605.910951029909,111.50616953672379,4.32022789693254,205.06851483448708,226.68129048879067,0.021970971654439952,0.958421098832471
raw,KM_KN,33.2,0.1,0.056,43.622153535425944,545.3198559269182,111.38413844812227,4.274470406371864,211.7335352958161,226.68129048879067,0.09661929236755007,4.2147416061414775
raw,KM_KN,33.2,0.2,0.056,43.622153535425944,484.72876082392725,111.2461767931817,4.223317883924483,218.3985557571451,226.68129048879067,0.2608021617639329,11.376751942837274
raw,KM_KN,33.2,0.3,0.056,43.622153535425944,424.1376657209363,111.09222522103289,4.165325936946797,225.0635762184741,226.68129048879067,0.48219530020861845,21.03439741976116
raw,LL_LM_MM,9.8,0.0,0.02,15.579340548366408,243.09409600243686,31.4384501950226,3.923593506385967,53.46577746949747,35.16869907077911,0.999988627566686,15.579163373354946
raw,LL_LM_MM,9.8,0.1,0.02,15.579340548366408,218.7846864021932,31.341274325552995,3.877836015825292,56.13981252552427,35.16869907077911,0.9999992127078463,15.579328282873835
raw,LL_LM_MM,9.8,0.2,0.02,15.579340548366408,194.4752768019495,31.213107712255454,3.8266834933779106,58.81384758155108,35.16869907077911,0.9999999611170594,15.579339942595835
raw,LL_LM_MM,9.8,0.3,0.02,15.579340548366408,170.1658672017058,31.053566635521868,3.7686915464002237,61.487882637577876,35.16869907077911,0.9999999986656063,15.579340527577434
