width,tail,line,f,rho_G_over_V,muV_best,L_best,L_bkg_floor,L_ratio_best_over_floor,N_line_assumed,muV_pred,muG_pred,P_0_in_G_pred,L_pred
cal,gauss,I125_K,0.4,14.400384073557314,0.06493344550523351,0.02388767964580161,0.00015997440204789079,149.32188737702214,500.0,0.5347443538934542,7.700524077231995,0.0004525899286454211,0.00014177986912756156
cal,exp_tail,Xe124_KK,0.2,11.879281388798752,0.0776440835332405,0.0285636620604773,0.00015997440204789079,178.55145382525845,563.972127850864,0.028763257825254674,0.3416868333647679,0.7105706969030366,0.019858829344921336
cal,exp_tail,Xe124_KK,0.3,11.887255035503847,0.0775960433191585,0.02854598905336706,0.00015997440204789079,178.44097985639843,563.972127850864,0.15030966075145885,1.786769271652654,0.16750044489137145,0.021663279511018308
cal,exp_tail,Xe124_KK,0.4,11.89505199635521,0.07754912506616106,0.02852872879267362,0.00015997440204789079,178.33308596542284,563.972127850864,0.7864799555913137,9.355219965849814,8.651264533649177e-05,3.098869913946235e-05
cal,exp_tail,I125_K,0.2,8.725100413804261,0.10282670177683238,0.03782782958716365,0.00015997440204789079,236.46176577574775,500.0,0.03631209209198404,0.3168266497378684,0.7284570223969373,0.0255085084049874
cal,exp_tail,I125_K,0.3,8.730229901215795,0.10277249460211108,0.0378078878820197,0.00015997440204789079,236.33711017529748,500.0,0.18712486312070847,1.6336430752773219,0.1952170865502603,0.030295772243288152
cal,exp_tail,I125_K,0.4,8.73586056108269,0.10271305692249906,0.0377860219816595,0.00015997440204789079,236.2004264303965,500.0,0.9654184507721999,8.43376096904241,0.0002174023075468821,7.992890038037688e-05
cal,neg_skew,Xe124_KK,0.2,16.019254262592543,0.058756981038702104,0.021615485349438763,0.00015997440204789079,135.11840064867275,563.972127850864,0.034192918961597187,0.5477450628260472,0.5782522638789376,0.0191074935952076
cal,neg_skew,Xe124_KK,0.3,12.180959588791616,0.07586701053619394,0.027909913439402953,0.00015997440204789079,174.46487114262,563.972127850864,0.24726294803864476,3.0118999778642133,0.04919811457501456,0.009499977321884843
cal,neg_skew,Xe124_KK,0.4,9.311640764045892,0.09697777714355114,0.035676130461618265,0.00015997440204789079,223.01149436981842,563.972127850864,1.3232510244248985,12.321638180100374,4.4543109402670315e-06,1.569430727044759e-06
cal,neg_skew,I125_K,0.2,11.86592029925072,0.07772471589601232,0.028593325049034134,0.00015997440204789079,178.73687716910038,500.0,0.04176479862589756,0.4955777718091564,0.60921881613436,0.024403126910589185
cal,neg_skew,I125_K,0.3,9.176692355716803,0.09826375457230418,0.036149215119467025,0.00015997440204789079,225.96874660387982,500.0,0.3036048134715191,2.7860879709429147,0.0616619660962828,0.013818857095824373
cal,neg_skew,I125_K,0.4,7.129297490857458,0.12301185940416637,0.04525353409506476,0.00015997440204789079,282.87984524872564,500.0,1.6410632144662345,11.699627857232601,8.296906219949906e-06,2.638376641623995e-06
raw,nest_skew,Xe124_KK,0.2,9.843659518961687,0.09221978966153975,0.0339257646856352,0.00015997440204789079,212.06995776411154,563.972127850864,0.6036259377709787,5.941888208231469,0.00262706452003647,0.0008671360030468804
raw,nest_skew,Xe124_KK,0.3,7.072463729207627,0.12387791801179855,0.0455721392516622,0.00015997440204789079,284.871446108106,563.972127850864,2.537544359056572,17.94669044068302,1.6063914102071063e-08,3.222726894520156e-09
raw,nest_skew,Xe124_KK,0.4,5.235823968157418,0.16036373141807647,0.05899451989824924,0.00015997440204789079,368.7747486037693,563.972127850864,7.299839702550872,38.22067567832297,2.5175114721860983e-17,1.2416656884922173e-19
raw,nest_skew,I125_K,0.2,7.534804617214306,0.11716729847371624,0.04310344028607832,0.00015997440204789079,269.43960867673474,500.0,0.7628789999014987,5.748144210833644,0.0031886928506970357,0.00113436863031909
raw,nest_skew,I125_K,0.3,5.509003569282046,0.15363334638796358,0.05651854961450268,0.00015997440204789079,353.29745816198135,500.0,3.257425377582596,17.945168031772436,1.6088388573388435e-08,2.0169965519299407e-09
