width,k,line,E_keV,tail,f,Ne_mean,sigma_Ne,z_event,z_ROI_edge,P_Ne_le_event,P_Ne_le_ROI,P_V,P_G,P_B,S1c_if_Ne_event,P_G_over_P_V
cal,0.5,Xe124_KK,64.3,exp_tail,0.4,670.9862094992135,134.88519792687086,2.9828960814360803,1.939093697194231,0.0037645978286137355,0.030361421426879042,0.001394536922575169,0.016588089204868817,0.001803127381681131,496.7002665330681,11.89505199635521
cal,0.5,Xe124_KK,64.3,neg_skew,0.0,1118.3103491653558,135.11620771921187,6.28845852284176,5.24644073998933,7.73954382974341e-07,2.172903274652476e-05,4.70452686837263e-07,1.3227878357381385e-05,2.4609573031820856e-07,496.7002665330681,28.117340441414285
cal,0.5,Xe124_KK,64.3,neg_skew,0.1,1006.4793142488202,135.06707479291512,5.46277939476115,4.4203825603670825,1.1296908127198049e-05,0.000219888815066259,6.206669700324334e-06,0.00013141457126099903,3.982114631410953e-06,496.7002665330681,21.173121433243317
cal,0.5,Xe124_KK,64.3,neg_skew,0.2,894.6482793322847,135.01220031255627,4.636696511305169,3.593876004202393,0.00012334847802351347,0.001670228333104866,6.062873903342811e-05,0.0009712271861968542,4.814497677003833e-05,496.7002665330681,16.019254262592543
cal,0.5,Xe124_KK,64.3,neg_skew,0.3,782.817244415749,134.9515772741834,3.810104139884645,2.7668151762517925,0.0010101857079068898,0.009560201777727036,0.00043843114903726346,0.005340512108890381,0.0004357062227712511,496.7002665330681,12.180959588791616
cal,0.5,Xe124_KK,64.3,neg_skew,0.4,670.9862094992135,134.88519792687086,2.9828960814360803,1.939093697194231,0.006227344648949454,0.04146095852266869,0.002346305711006373,0.021847955903520625,0.0029573588054524385,496.7002665330681,9.311640764045892
cal,0.5,I125_K,67.3,nest_skew,0.0,1178.4509267941714,143.59982923531936,6.335754370179824,5.355297137432834,2.6249160121984636e-19,8.371323806195433e-14,1.598263774048709e-18,7.364633342214696e-14,5.0967175894326454e-21,521.2531628687107,46078.96056830886
cal,0.5,I125_K,67.3,nest_skew,0.1,1060.6058341147543,143.551480112101,5.5169626418123805,4.536175184343782,1.2245370883501833e-14,5.190526874827018e-10,5.4744235153335315e-14,4.5748892688245355e-10,4.1539782137807197e-16,521.2531628687107,8356.842060192357
cal,0.5,I125_K,67.3,nest_skew,0.2,942.7607414353372,143.49740124552025,4.697806750677737,3.7166496706682692,1.0579680104834336e-10,6.126020510078051e-07,3.469285291508983e-10,5.411195323232281e-07,6.239207812108017e-12,521.2531628687107,1559.7435403989664
cal,0.5,I125_K,67.3,nest_skew,0.3,824.91564875592,143.43758615489034,3.8781882943554677,2.89662206078147,1.7301473236760197e-07,0.00014346550553626103,4.140707062879014e-07,0.00012683739437325728,1.7593972018773707e-08,521.2531628687107,306.3182022953052
cal,0.5,I125_K,67.3,nest_skew,0.4,707.0705560765028,143.37202766071977,3.0580084697874566,2.0759934038627432,5.5561004199775055e-05,0.007193293354062741,9.561564466027096e-05,0.006301787140386627,9.604379324028722e-06,521.2531628687107,65.90748995917264
cal,0.5,I125_K,67.3,gauss,0.0,1178.4509267941714,143.59982923531936,6.335754370179824,5.355297137432834,1.1809140122919335e-10,4.270796570519681e-08,2.2127850115809124e-10,3.766343407304534e-08,1.920631097247495e-11,521.2531628687107,170.20828447376775
