window,signal,case,exposure_tyr,kappa_DL,sigma_n_DL_cm2,n_crit
LZ 200-270 keV (600 phd),O1 inelastic d=300,"atm CEvNS central (Helm, 25% sys)",42.169650342858226,6.104948720906109e-05,1.8096551184279474e-42,1
LZ 200-270 keV (600 phd),O1 inelastic d=300,"atm CEvNS central (Helm, 25% sys)",48.69675251658631,8.932311583639494e-05,2.6477541607142772e-42,2
LZ 200-270 keV (600 phd),O1 inelastic d=300,"atm CEvNS central (Helm, 25% sys)",56.23413251903491,7.734591646863985e-05,2.292720873275411e-42,2
LZ 200-270 keV (600 phd),O1 inelastic d=300,"atm CEvNS central (Helm, 25% sys)",64.93816315762113,6.697408912239323e-05,1.9852747127481142e-42,2
LZ 200-270 keV (600 phd),O1 inelastic d=300,"atm CEvNS central (Helm, 25% sys)",74.98942093324558,5.799245667249337e-05,1.719037306377444e-42,2
LZ 200-270 keV (600 phd),O1 inelastic d=300,"atm CEvNS central (Helm, 25% sys)",86.59643233600653,5.021468340534702e-05,1.4884852109165275e-42,2
LZ 200-270 keV (600 phd),O1 inelastic d=300,"atm CEvNS central (Helm, 25% sys)",100.0,4.347940924081461e-05,1.2888353215714692e-42,2
LZ 200-270 keV (600 phd),O1 inelastic d=300,"atm CEvNS central (Helm, 25% sys)",115.47819846894582,3.764690210628079e-05,1.1159456402358644e-42,2
LZ 200-270 keV (600 phd),O1 inelastic d=300,"atm CEvNS central (Helm, 25% sys)",133.3521432163324,3.259615901203145e-05,9.6622934432214e-43,2
LZ 200-270 keV (600 phd),O1 inelastic d=300,"atm CEvNS central (Helm, 25% sys)",153.9926526059492,2.8222395685954303e-05,8.365803734352366e-43,2
LZ 200-270 keV (600 phd),O1 inelastic d=300,"atm CEvNS central (Helm, 25% sys)",177.82794100389228,2.443487268675083e-05,7.2430899008683e-43,2
LZ 200-270 keV (600 phd),O1 inelastic d=300,"atm CEvNS central (Helm, 25% sys)",205.3525026457146,2.1155012895534914e-05,6.270859775728289e-43,2
LZ 200-270 keV (600 phd),O1 inelastic d=300,"atm CEvNS central (Helm, 25% sys)",237.13737056616552,1.831477133071874e-05,5.428943173261147e-43,2
LZ 200-270 keV (600 phd),O1 inelastic d=300,"atm CEvNS central (Helm, 25% sys)",273.8419634264361,1.5855223465863567e-05,4.699873432280084e-43,2
LZ 200-270 keV (600 phd),O1 inelastic d=300,"atm CEvNS central (Helm, 25% sys)",316.22776601683796,1.3725342763302557e-05,4.068525047349117e-43,2
LZ 200-270 keV (600 phd),O1 inelastic d=300,"atm CEvNS central (Helm, 25% sys)",365.1741272548377,1.188094206187166e-05,3.521799870387905e-43,2
LZ 200-270 keV (600 phd),O1 inelastic d=300,"atm CEvNS central (Helm, 25% sys)",421.6965034285823,1.0283756856452219e-05,3.048355372456775e-43,2
LZ 200-270 keV (600 phd),O1 inelastic d=300,"atm CEvNS central (Helm, 25% sys)",486.9675251658631,8.900651450760469e-06,2.6383693281572998e-43,2
LZ 200-270 keV (600 phd),O1 inelastic d=300,"atm CEvNS central (Helm, 25% sys)",562.341325190349,7.702931513984963e-06,2.2833360407184344e-43,2
LZ 200-270 keV (600 phd),O1 inelastic d=300,"atm CEvNS central (Helm, 25% sys)",649.3816315762114,6.665748779360299e-06,1.9758898801911367e-43,2
LZ 200-270 keV (600 phd),O1 inelastic d=300,"atm CEvNS central (Helm, 25% sys)",749.8942093324558,5.767585534370312e-06,1.7096524738204664e-43,2
LZ 200-270 keV (600 phd),O1 inelastic d=300,"atm CEvNS central (Helm, 25% sys)",865.9643233600654,4.989808207655676e-06,1.4791003783595498e-43,2
LZ 200-270 keV (600 phd),O1 inelastic d=300,"atm CEvNS central (Helm, 25% sys)",1000.0,4.3162807912024374e-06,1.2794504890144924e-43,2
LZ 200-270 keV (600 phd),O1 inelastic d=300,"atm CEvNS central (Helm, 25% sys)",1154.781984689458,3.7330300777490543e-06,1.1065608076788874e-43,2
LZ 200-270 keV (600 phd),O1 inelastic d=300,"atm CEvNS central (Helm, 25% sys)",1333.521432163324,3.227955768324121e-06,9.56844511765163e-44,2
