UTC_h,Rrot_300,Rrot_350,Rrot_366,Rrot_380,Rrot_385,Rfull_300,Rfull_350,Rfull_366,Rfull_380,Rfull_385
2.916666666666666519e+00,1.005695456948704658e+00,1.016443273201217412e+00,1.028458642442970916e+00,1.047711487890431226e+00,1.047921920751450520e+00,1.006766444263780702e+00,1.019557032916565298e+00,1.033895061805587989e+00,1.057008190529417302e+00,1.057300837524426607e+00
3.000000000000000000e+00,1.005753145170896312e+00,1.016610879243007748e+00,1.028751020869635546e+00,1.048210465924903412e+00,1.048425084912232741e+00,1.006819339578481021e+00,1.019710936362292486e+00,1.034164025460989844e+00,1.057469161825181470e+00,1.057766115583738342e+00
3.083333333333333481e+00,1.005808076245102489e+00,1.016770486922116801e+00,1.029029473128452166e+00,1.048685784774444185e+00,1.048904415473757235e+00,1.006869471223439616e+00,1.019856808835469142e+00,1.034418976844285298e+00,1.057906205801098176e+00,1.058207262686048145e+00
3.166666666666666519e+00,1.005860223663791686e+00,1.016922017418098623e+00,1.029293857798603717e+00,1.049137187170228636e+00,1.049359649441176545e+00,1.006916812823722696e+00,1.019994571946985173e+00,1.034659775267805282e+00,1.058319067050391915e+00,1.058624017994931110e+00
3.250000000000000000e+00,1.005909562240283606e+00,1.017065395818465001e+00,1.029544040430000695e+00,1.049564428361060786e+00,1.049790536584969125e+00,1.006961339327297145e+00,1.020124151229516496e+00,1.034886287231751245e+00,1.058707502822480828e+00,1.059016137666229929e+00
3.333333333333333481e+00,1.005956068169222339e+00,1.017200551298840239e+00,1.029779893865809814e+00,1.049967276700804586e+00,1.050196840034034684e+00,1.007003027065362710e+00,1.020245476317209077e+00,1.035098386708370954e+00,1.059071283613573167e+00,1.059383387994462078e+00
3.416666666666666519e+00,1.005999718985434388e+00,1.017327417007052537e+00,1.030001298049527447e+00,1.050345513352013871e+00,1.050578335993797463e+00,1.007041853711223789e+00,1.020358480829774539e+00,1.035295954425072162e+00,1.059410192859101985e+00,1.059725546495839943e+00
3.500000000000000000e+00,1.006040493624978271e+00,1.017445930244447183e+00,1.030208140348947810e+00,1.050698932876661162e+00,1.050934814338516654e+00,1.007077798341082131e+00,1.020463102553007095e+00,1.035478878573387496e+00,1.059724027532462420e+00,1.060042404569303987e+00
3.583333333333333481e+00,1.006078372388713005e+00,1.017556032363578833e+00,1.030400315385429755e+00,1.051027342970541456e+00,1.051266078362012690e+00,1.007110841397695911e+00,1.020559283336250900e+00,1.035647054649027510e+00,1.060012597869127049e+00,1.060333767250999815e+00
3.666666666666666519e+00,1.006113336995828167e+00,1.017657668926896797e+00,1.030577725318220006e+00,1.051330564981677318e+00,1.051571945295816324e+00,1.007140964743650224e+00,1.020646969250919245e+00,1.035800385734898077e+00,1.060275727886122787e+00,1.060599453733009900e+00
