m_GeV,delta_keV,S_tot_unit,S_H_unit,S_L_unit,f_ev_unit,N_arch_unit,N_SR1_unit,N_arch_nonSR1_unit,Z_LZ,Z_joint,q0_LZ,q0_joint,llmax_LZ,llmax_joint,kappa_hat_LZ,kappa_hat_joint,mu_hat_LZ,mu_hat_joint,k68lo_LZ,k68hi_LZ,k90lo_LZ,k90hi_LZ,k68lo_joint,k68hi_joint,k90lo_joint,k90hi_joint,N_arch_at_LZfit,N_SR1_at_LZfit,UL_excl_LZ,UL_excl_joint,UL_n1_LZ,UL_n1_joint,sigma_kappa_hat_LZ,sigma_kappa_hat_joint,sigma_k90hi_joint,sigma_k90lo_joint,sigma_UL_excl_LZ,sigma_UL_excl_joint,sigma_UL_n1_LZ,sigma_UL_n1_joint
300.0,210.0,577906.2637155352,23765.017751956842,352493.27064030775,70.87379608825404,82865.55974950704,80107.41056098003,2758.14918852701,2.1178715630887957,2.0214293831446097,4.485379957740179,4.086176751040398,310.9900659880464,310.7904643846965,2.6302679918953817e-06,2.1877616239495517e-06,1.5200483477668236,1.264321145996917,7.356065977619752e-07,6.44261422331928e-06,1.8343076155885482e-07,9.954031395089836e-06,5.756373304268113e-07,5.2323177243654e-06,1.2720071703771635e-07,8.110795133296359e-06,0.21795862943962266,0.21070395791216784,6.446235819210836e-06,5.2455735256946735e-06,1.0608447910984479e-05,8.652216986609473e-06,7.763169279550115e-44,6.457122955667007e-44,2.393880616178494e-43,3.7542969077168594e-45,1.9025901556278982e-43,1.5482177243448736e-43,3.1310564999468673e-43,2.553679903242344e-43
300.0,220.0,305396.15952579945,17504.749060408387,143855.35539290993,52.27307208974715,59004.38977599937,57090.086236747535,1914.3035392518384,2.2071307650795102,2.09840345975417,4.871426214160465,4.4032970799082705,311.18308911625655,310.94902454913046,4.570881896148752e-06,3.467368504525317e-06,1.3959297767298329,1.0589210249427463,1.2546529901784819e-06,1.0792886122228069e-05,3.385678448619674e-07,1.671925246534306e-05,9.505337520616547e-07,8.45210536254532e-06,2.3187838422874545e-07,1.3130920616627198e-05,0.26970209702042003,0.26095204162912033,1.0728546218255957e-05,8.425474736584096e-06,1.782855034873369e-05,1.4007212734542613e-05,1.3490842007723888e-43,1.023385021532103e-43,3.875557922512485e-43,6.843831710620282e-45,3.166503210791874e-43,2.4867575031220187e-43,5.262051425659706e-43,4.134193319007225e-43
300.0,230.0,165985.6921889869,12558.241679279974,53623.29043064646,37.558728367838945,40741.08177256111,39459.46362959376,1281.6181429673518,2.273480568696022,2.155880270543534,5.168713896238387,4.647819740918862,311.3317329572955,311.07128587963575,7.2443596007498914e-06,5.4954087385762485e-06,1.2024600427964034,0.9121592233339859,2.0728473563982013e-06,1.7629601602891097e-05,5.853766129018964e-07,2.7352341287927632e-05,1.5326263292484638e-06,1.343096410672263e-05,3.9604853262539367e-07,2.0883417359369297e-05,0.2951430468839895,0.2858585441854887,1.7456507436462153e-05,1.3342359450566002e-05,2.917876805530003e-05,2.22783963957236e-05,2.138154365860998e-43,1.621955953892901e-43,6.163687677294582e-43,1.1689272010160434e-44,5.152243903531915e-43,3.937963558181374e-43,8.612039399787262e-43,6.5754122024764594e-43
300.0,240.0,93675.33057734613,8717.634406944624,18521.028311405433,26.10468502674101,27007.5731949298,26190.75671155057,816.8164833792307,2.3211095234550974,2.198580944601358,5.387549419873949,4.833758169964199,311.4411507191133,311.1642550941584,1.2022644346174132e-05,8.709635899560797e-06,1.1262251835417232,0.8158780220996791,3.3755411402826285e-06,2.847167353906999e-05,9.796897757366656e-07,4.419257470029714e-05,2.460173902548542e-06,2.133773454966285e-05,6.590990805797805e-07,3.31779620815723e-05,0.3247024471759068,0.31488215310014567,2.8128424737600535e-05,2.115443301491922e-05,4.715281673058188e-05,3.53972022408929e-05,3.548452991663377e-43,2.5706269497966254e-43,9.792391375455909e-43,1.9453142228482828e-44,8.30203323303656e-43,6.243677260786651e-43,1.3917034287571932e-42,1.0447394480913874e-42
300.0,250.0,53998.19235087476,5785.579113859494,6284.815970745109,17.29224468744259,16954.859692937094,16468.62793502144,486.2317579156544,2.3549119253186364,2.2310818960246066,5.545610176007926,4.977726426768754,311.5201810971803,311.2362392225607,1.995262314968883e-05,1.445439770745928e-05,1.077405582741414,0.7805113477234293,5.565502992516535e-06,4.668589697260851e-05,1.6435390033334294e-06,7.248683241588538e-05,4.037684596212689e-06,3.475126866400725e-05,1.108246434945044e-06,5.399251419265611e-05,0.3382939260090227,0.3285923269799209,4.607515473170782e-05,3.440536990539372e-05,7.732031825492606e-05,5.763771449742502e-05,5.888966126622193e-43,4.2661788297886374e-43,1.593575364934803e-42,3.2709612497457263e-44,1.3598965081347472e-42,1.0154657682187018e-42,2.282089586350997e-42,1.7011625275774848e-42
300.0,260.0,30416.0842495449,3617.0261348339154,2287.9824339597517,10.78778251457606,9854.00130908704,9591.86413613284,262.1371729542004,2.3854465401196485,2.262671313027317,5.690355195768802,5.119681470796763,311.5925536070607,311.3072167445747,3.3113112148259076e-05,2.5118864315095822e-05,1.0071712088660767,0.7640174932608415,9.66520606492735e-06,8.06596795176101e-05,2.8950870303295854e-06,0.00012519339268809095,7.02116179451513e-06,5.9994570533349136e-05,1.9687054501623965e-06,9.31898507626126e-05,0.3262966504568909,0.3176164728506309,7.954843147295142e-05,5.933687018366278e-05,0.0001335650669953513,9.947105373238083e-05,9.773251082085448e-43,7.41376910599974e-43,2.7504748141076452e-42,5.810584213576779e-44,2.3478517829744276e-42,1.751312676783644e-42,3.942139082839914e-42,2.9358629269682885e-42
300.0,270.0,15674.348605540006,2066.9025816450276,826.496688314184,6.091569787526002,5099.921018235694,4980.2559424429655,119.66507579272783,2.416587842873126,2.296399146614646,5.839896802322187,5.273449040572473,311.6673244103374,311.38410052946256,6.606934480075965e-05,4.7863009232263804e-05,1.0355939425467289,0.7502214920166826,1.8581454800225546e-05,0.0001542950850454564,5.639950646497271e-06,0.0002394645151378497,1.3567859746284899e-05,0.00011511342797879002,3.883514818211288e-06,0.0001787415982426561,0.3369484402104553,0.32904224705729646,0.00015205477491613386,0.00011374200555052396,0.0002554359170687506,0.00019079861147032218,1.9500199578813952e-42,1.4126645803531984e-42,5.275512946706109e-42,1.1462095507496357e-43,4.487858123488083e-42,3.357066451042329e-42,7.539126318656538e-42,5.6313726346943964e-42
300.0,280.0,6793.7404553155375,1032.4913182768612,224.15295627375124,3.0125293355193348,2201.0417652888673,2159.597712785024,41.44405250384294,2.4643673589137425,2.348099113237144,6.073106479679495,5.513569445585063,311.78392924901607,311.50416073196885,0.0001445439770745928,0.00010964781961431851,0.9819942646238627,0.7449188279509362,4.265735500075917e-05,0.0003517533957728919,1.318549555374784e-05,0.0005456357191565469,3.1385675714091084e-05,0.0002636506549162789,9.23683618697417e-06,0.0004091833713781051,0.3181473304621353,0.3121568422871416,0.0003463098514698763,0.00026014850157706637,0.0005821218028600238,0.00043677350089158743,4.266178829788637e-42,3.2362275913419053e-42,1.2076943445204646e-41,2.726228777748318e-43,1.0221247448626674e-41,7.678217055398835e-42,1.7181177396538884e-41,1.289125912146975e-41
300.0,290.0,2215.8419410418296,410.8669528004261,29.971113521502325,1.1737055407654091,713.1698037188625,704.2660282872467,8.90377543161576,2.529397346140058,2.4177507872399495,6.397850934660369,5.845518869199395,311.9463014765065,311.670135443776,0.0004570881896148752,0.0003311311214825914,1.012835181303521,0.7337342269653433,0.00013038805657288106,0.0010660670841653001,4.1163782978913054e-05,0.0016532208002512422,9.67378401059347e-05,0.0008031330300048449,2.937594021965074e-05,0.0012461304017002863,0.32598149446985075,0.3219116838770761,0.0010484077270848874,0.0007914101439604773,0.0017634798041783893,0.0013296633250776766,1.3490842007723888e-41,9.773251082085467e-42,3.6779222811520583e-41,8.670234264104747e-43,3.0943488208908275e-41,2.335826971262737e-41,5.204865923581998e-41,3.924467586266414e-41
300.0,300.0,454.0647603612781,112.41265540177348,0.7399503404527346,0.3129348513531579,144.95887462352812,144.27044626332815,0.6884283601999612,2.627245917272109,2.5209668370757177,6.902421109822967,6.355273793635547,312.1985865640878,311.9250129059941,0.002187761623949552,0.0016595869074375598,0.993385457506254,0.7535599314243502,0.0006391826167903719,0.005169752312279154,0.00020696756097250745,0.008012222921420812,0.0004780239909152806,0.003911391695301891,0.00015053477742677193,0.006065818285613248,0.3171354629522694,0.31562934580498536,0.005076191305074606,0.003846859937571819,0.008546828033201328,0.006470636337761121,6.457122955667008e-41,4.898228673375153e-41,1.7903108852521486e-40,4.442995783031647e-42,1.4982249914495407e-40,1.1353909556786123e-40,2.522574620890013e-40,1.9097919068030004e-40
