m_GeV,region,delta_keV,kappa_lo_68,kappa_hi_68,sigma_lo_68_cm2,sigma_hi_68_cm2,kappa_lo_90,kappa_hi_90,sigma_lo_90_cm2,sigma_hi_90_cm2
4000.0,joint,380.0,0.022908676527677748,0.1096478196143185,6.800606924920194e-40,3.254975120324524e-39,0.005248074602497723,0.2089296130854041,1.5579290423488166e-40,6.202227229726078e-39
4000.0,joint,385.0,0.03630780547701017,0.30199517204020193,1.0778235619909927e-39,8.964945905049415e-39,0.009120108393559097,0.5248074602497723,2.707370380926496e-40,1.557929042348817e-38
4000.0,joint,390.0,0.06918309709189363,0.9120108393559097,2.0537504582690586e-39,2.7073703809264957e-38,0.018197008586099826,1.3803842646028865,5.4019140937255756e-40,4.097770893734325e-38
4000.0,joint,395.0,0.15848931924611143,3.019951720402019,4.704870491705579e-39,8.964945905049414e-38,0.04365158322401665,4.570881896148752,1.295828935374427e-39,1.3568994716209652e-37
4000.0,joint,400.0,0.47863009232263803,11.481536214968841,1.420848173569493e-38,3.4083773716872245e-37,0.13182567385564073,16.59586907437563,3.9133408227307094e-39,4.92660420674719e-37
4000.0,joint,405.0,2.5118864315095824,39.81071705534969,7.456717213715347e-38,1.1818100350125038e-36,0.6918309709189363,60.25595860743569,2.0537504582690583e-38,1.7887418720079627e-36
4000.0,joint,410.0,31.622776601683793,43.651583224016655,9.38745078890924e-37,1.2958289353744272e-36,4.7863009232263805,125.89254117941661,1.420848173569493e-37,3.73721147228285e-36
4000.0,joint,415.0,,,,,,,,
4000.0,joint,420.0,,,,,,,,
4000.0,joint,425.0,,,,,,,,
4000.0,joint,430.0,,,,,,,,
