m_GeV,delta_keV,Z_LZ,Z_joint,dZ,kappa_hat_LZ,kappa_hat_joint,kappa_ratio,mu_hat_LZ,mu_hat_joint,N_arch_at_LZfit,N_SR1_at_LZfit,k90hi_ratio,UL_excl_LZ,UL_excl_joint,UL_excl_ratio,UL_n1_ratio,sigma_kappa_hat_joint,sigma_UL_excl_LZ,sigma_UL_excl_joint
2000,370,3.2876,3.2042,-0.083398,0.021878,0.016596,0.75858,1.0079,0.76455,0.31406,0.31406,0.76237,0.049988,0.038112,0.76243,0.76228,4.9243e-40,1.4832e-39,1.1308e-39
2000,380,3.4276,3.3496,-0.077985,0.11482,0.087096,0.75858,1.0209,0.77444,0.30945,0.30945,0.76742,0.25894,0.19874,0.76751,0.7671,2.5843e-39,7.6833e-39,5.8971e-39
2000,385,3.5001,3.426,-0.074046,0.31623,0.23988,0.75858,0.99708,0.75636,0.29145,0.29145,0.7737,0.7303,0.56506,0.77374,0.77409,7.1178e-39,2.1669e-38,1.6766e-38
2000,390,3.5601,3.4927,-0.0674,1.0471,0.83176,0.79433,0.98977,0.7862,0.26583,0.26583,0.78834,2.4359,1.9203,0.78835,0.78819,2.468e-38,7.2277e-38,5.698e-38
2000,395,3.584,3.5304,-0.053583,4.3652,3.6308,0.83176,1.0057,0.83649,0.21125,0.21125,0.82626,9.996,8.2597,0.8263,0.82647,1.0773e-37,2.966e-37,2.4508e-37
4000,300,2.6811,2.5735,-0.1076,0.00015136,0.00011482,0.75858,1.014,0.76916,0.32773,0.32184,0.75078,0.00035207,0.00026453,0.75136,0.75062,3.4084e-42,1.0451e-41,7.8527e-42
4000,350,3.0087,2.9162,-0.092484,0.0026303,0.0019953,0.75858,1.0151,0.77003,0.32156,0.32105,0.75914,0.0059677,0.0045318,0.7594,0.75913,5.9231e-41,1.7715e-40,1.3453e-40
4000,370,3.2356,3.1504,-0.085141,0.019055,0.014454,0.75858,1.0039,0.76151,0.31443,0.31443,0.76127,0.043712,0.033284,0.76143,0.76135,4.2909e-40,1.2976e-39,9.8806e-40
4000,380,3.3622,3.2814,-0.08084,0.072444,0.054954,0.75858,0.98873,0.75003,0.30497,0.30497,0.76418,0.1687,0.12893,0.76425,0.76433,1.6314e-39,5.0079e-39,3.8273e-39
4000,385,3.4312,3.3531,-0.078033,0.16596,0.12589,0.75858,0.99768,0.75682,0.30265,0.30265,0.76708,0.38303,0.29385,0.76717,0.7673,3.7372e-39,1.1371e-38,8.7232e-39
4000,390,3.4944,3.4198,-0.074553,0.41687,0.33113,0.79433,0.99044,0.78674,0.29131,0.29131,0.77271,0.96909,0.74885,0.77274,0.77285,9.8299e-39,2.8768e-38,2.223e-38
4000,400,3.5855,3.5265,-0.05906,4.3652,3.4674,0.79433,1.0105,0.80266,0.23635,0.23635,0.81029,9.9476,8.0609,0.81034,0.81039,1.0293e-37,2.953e-37,2.3929e-37
10000,300,2.6815,2.5739,-0.10759,0.00033113,0.00025119,0.75858,1.0044,0.76189,0.32461,0.31873,0.75053,0.00077806,0.00058446,0.75118,0.75037,7.4588e-42,2.3104e-41,1.7355e-41
10000,350,2.991,2.8979,-0.093112,0.0050119,0.0038019,0.75858,1.0129,0.7684,0.32117,0.32048,0.75893,0.011397,0.008653,0.75921,0.75893,1.1289e-40,3.3844e-40,2.5694e-40
10000,370,3.2059,3.1198,-0.086113,0.0302,0.022909,0.75858,0.9784,0.74219,0.3071,0.3071,0.76099,0.071066,0.05409,0.76112,0.761,6.8025e-40,2.1103e-39,1.6061e-39
10000,380,3.329,3.247,-0.082054,0.10471,0.079433,0.75858,0.99569,0.75531,0.3089,0.3089,0.76306,0.24215,0.18481,0.76317,0.76318,2.3587e-39,7.1905e-39,5.4876e-39
10000,385,3.3929,3.3133,-0.07966,0.21878,0.16596,0.75858,1.0085,0.76505,0.30933,0.30933,0.7652,0.49954,0.38227,0.76525,0.76516,4.928e-39,1.4833e-38,1.1351e-38
10000,390,3.4561,3.3793,-0.076793,0.50119,0.38019,0.75858,1.0155,0.77034,0.30531,0.30531,0.76891,1.1364,0.87382,0.76893,0.76863,1.1289e-38,3.3745e-38,2.5947e-38
10000,405,3.5869,3.5312,-0.055709,12.589,10.471,0.83176,1.0051,0.83599,0.22034,0.22034,0.81998,28.846,23.654,0.82001,0.82041,3.1094e-37,8.5656e-37,7.0239e-37
