capture_set,normalisation,nuclide,half_life_d,atoms_end_irr_whole_LXe,atoms_event_whole_LXe,activity_event_Bq_whole_LXe,activity_event_uBq_per_kg,decays_FV_pm1h,decays_RFR_pm1h,decays_wall_layer_pm1h,remaining_fraction
thermal,upper,Xe-135m,0.010618055555555556,1.4706122370916024,2.016422445768506e-238,1.5235203107719958e-241,1.5235203107719957e-239,5.166562077889992e-238,7.2827277023764776e-239,2.303562709887258e-240,1.371144884362135e-238
thermal,upper,Xe-137,0.002651388888888889,27.010416534132585,0.0,0.0,0.0,0.0,0.0,0.0,0.0
thermal,upper,I-125,59.4,0.0,10795.875250654519,0.001458085969975229,0.1458085969975229,4.944661141379997,0.6969938642041678,0.02204625986602547,
thermal,upper,Cs-137,11018.29797162,0.0,26.99617057844802,1.9656191256349756e-08,1.9656191256349754e-06,6.665807578853328e-05,9.396047271157914e-06,2.972016117960083e-07,
thermal,upper,Xe-129,,0.0,1299.4414414061032,0.0,0.0,0.0,0.0,0.0,
thermal,upper,Xe-131,,0.0,2117.49284973784,0.0,0.0,0.0,0.0,0.0,
fast,central,Xe-125,0.7041666666666666,10194.237445364424,2.6402478045343516,3.0080215675420306e-05,0.0030080215675420308,0.10200802739848533,0.014378936627489913,0.0004548128610123551,0.0002589941443570101
fast,central,Xe-127,36.4,11894.262954333011,10137.988062730277,0.0022344061108032767,0.22344061108032767,7.577318002956071,1.0680902096579663,0.03378422039534555,0.8523426883745719
fast,central,Xe-129m,8.88,74368.83507533626,38634.19543666842,0.034903632330414554,3.4903632330414553,118.36519795890183,16.684624962923454,0.5277429208358682,0.519494427975531
fast,central,Xe-131m,11.84,166715.78429651758,102014.61388786136,0.06912297257441283,6.912297257441282,234.4098245943488,33.042144806274486,1.045139345325122,0.6119073506946413
fast,central,Xe-133,5.243,1147772.3502848009,430584.5279337473,0.6588556601262263,65.88556601262263,2234.311314620059,314.94600590112515,9.961897581108543,0.37514802288703397
fast,central,Xe-133m,2.19,116704.53742564324,8200.242732123852,0.030039611500501176,3.0039611500501175,101.87033052049959,14.359527030688026,0.4541989258875778,0.0702649863750887
fast,central,Xe-135,0.38083333333333336,116688.87797767308,0.027339224554861426,5.759210557651782e-07,5.7592105576517825e-05,0.0019530634843108723,0.000275301628573475,8.707926363169496e-06,2.342916054098355e-07
fast,central,Xe-135m,0.010618055555555556,431.3795895468702,5.914839174254287e-236,4.468992911597857e-239,4.4689929115978574e-237,1.5155248761810653e-235,2.136266792697102e-236,6.757117282335962e-238,1.3711448843621353e-238
fast,central,Xe-137,0.002651388888888889,171.41225877430296,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fast,central,I-125,59.4,0.0,3598.6250835515066,0.0004860286566584097,0.048602865665840975,1.648220380459999,0.23233128806805592,0.007348753288675155,
fast,central,Cs-137,11018.29797162,0.0,171.3218517478432,1.247412137422196e-07,1.247412137422196e-05,0.00042302240404261507,5.962876152850214e-05,1.8860871517823606e-06,
fast,central,Xe-129,,0.0,35734.63963866784,0.0,0.0,0.0,0.0,0.0,
fast,central,Xe-131,,0.0,64701.170408656224,0.0,0.0,0.0,0.0,0.0,
fast,upper,Xe-125,0.7041666666666666,30582.71233609327,7.920743413603054,9.024064702626091e-05,0.009024064702626091,0.30602408219545596,0.04313680988246974,0.0013644385830370652,0.0002589941443570101
fast,upper,Xe-127,36.4,35682.788862999034,30413.964188190832,0.00670321833240983,0.670321833240983,22.731954008868215,3.2042706289738994,0.10135266118603664,0.8523426883745719
fast,upper,Xe-129m,8.88,223106.50522600877,115902.58631000525,0.10471089699124364,10.471089699124365,355.09559387670544,50.053874888770345,1.583228762507604,0.519494427975531
fast,upper,Xe-131m,11.84,500147.3528895527,306043.84166358405,0.20736891772323846,20.736891772323844,703.2294737830462,99.12643441882344,3.1354180359753663,0.6119073506946413
fast,upper,Xe-133,5.243,3443317.050854402,1291753.5838012416,1.9765669803786785,197.65669803786784,6702.933943860174,944.8380177033754,29.885692743325624,0.37514802288703397
fast,upper,Xe-133m,2.19,350113.61227692966,24600.72819637155,0.0901188345015035,9.01188345015035,305.6109915614987,43.07858109206407,1.3625967776627332,0.0702649863750887
fast,upper,Xe-135,0.38083333333333336,350066.63393301924,0.08201767366458429,1.7277631672955348e-06,0.0001727763167295535,0.005859190452932617,0.0008259048857204252,2.612377908950849e-05,2.3429160540983556e-07
fast,upper,Xe-135m,0.010618055555555556,1294.1387686406106,1.774451752276286e-235,1.3406978734793571e-238,1.340697873479357e-236,4.546574628543196e-235,6.4088003780913046e-236,2.0271351847007882e-237,1.3711448843621353e-238
fast,upper,Xe-137,0.002651388888888889,514.2367763229089,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fast,upper,I-125,59.4,0.0,10795.875250654519,0.001458085969975229,0.1458085969975229,4.944661141379997,0.6969938642041678,0.02204625986602547,
fast,upper,Cs-137,11018.29797162,0.0,513.9655552435297,3.742236412266589e-07,3.7422364122665886e-05,0.0012690672121278457,0.00017888628458550648,5.658261455347084e-06,
fast,upper,Xe-129,,0.0,107203.91891600352,0.0,0.0,0.0,0.0,0.0,
fast,upper,Xe-131,,0.0,194103.51122596866,0.0,0.0,0.0,0.0,0.0,
intermediate,central,Xe-125,0.7041666666666666,10194.237445364424,2.6402478045343516,3.0080215675420306e-05,0.0030080215675420308,0.10200802739848533,0.014378936627489913,0.0004548128610123551,0.0002589941443570101
intermediate,central,Xe-127,36.4,3522.305804206403,3002.211598434644,0.0006616855237902359,0.06616855237902358,2.2439079482774478,0.3162987365706223,0.010004685119708367,0.8523426883745719
intermediate,central,Xe-129m,8.88,16940.09117089347,8800.282972676647,0.007950517354125624,0.7950517354125624,26.961794451310816,3.800504172719292,0.12021182239437944,0.519494427975531
intermediate,central,Xe-131m,11.84,36657.40068817928,22430.932938455706,0.015198731860395337,1.5198731860395338,51.54193948497266,7.265293726514572,0.22980482572917754,0.6119073506946413
intermediate,central,Xe-133,5.243,236421.6325929672,89124.67941652393,0.13637345441159762,13.637345441159763,462.4696586006098,65.18920209267574,2.0619666307033566,0.37697345390539827
intermediate,central,Xe-133m,2.19,25007.34885150681,1757.141026328216,0.006436862359660977,0.6436862359660978,21.828687634082304,3.0769472183362967,0.09732535887807399,0.0702649863750887
intermediate,central,Xe-135,0.38083333333333336,25684.02486351897,0.0060054959621069414,1.2651022957690744e-07,1.2651022957690744e-05,0.0004290214905412085,6.047438600322251e-05,1.9128346712028405e-06,2.3382222973304378e-07
intermediate,central,Xe-135m,0.010618055555555556,44.437158895748965,6.092978309549354e-237,4.6035870247188103e-240,4.60358702471881e-238,1.561168431822643e-236,2.2006054345433706e-237,6.960623581374841e-239,1.3711448843621351e-238
intermediate,central,Xe-137,0.002651388888888889,63.83457192784138,0.0,0.0,0.0,0.0,0.0,0.0,0.0
intermediate,central,I-125,59.4,0.0,3598.6250835515066,0.0004860286566584097,0.048602865665840975,1.648220380459999,0.23233128806805592,0.007348753288675155,
intermediate,central,Cs-137,11018.29797162,0.0,63.80090401007054,4.645409866209456e-08,4.645409866209456e-06,0.00015753513938289505,2.220597578012839e-05,7.023859717708698e-07,
intermediate,central,Xe-129,,0.0,8139.808198216822,0.0,0.0,0.0,0.0,0.0,
intermediate,central,Xe-131,,0.0,14226.467749723577,0.0,0.0,0.0,0.0,0.0,
intermediate,upper,Xe-125,0.7041666666666666,30582.71233609327,7.920743413603054,9.024064702626091e-05,0.009024064702626091,0.30602408219545596,0.04313680988246974,0.0013644385830370652,0.0002589941443570101
intermediate,upper,Xe-127,36.4,10566.917412619208,9006.634795303931,0.0019850565713707075,0.19850565713707075,6.731723844832343,0.9488962097118668,0.0300140553591251,0.8523426883745718
intermediate,upper,Xe-129m,8.88,50820.27351268041,26400.84891802994,0.023851552062376873,2.385155206237687,80.88538335393244,11.401512518157876,0.3606354671831384,0.519494427975531
intermediate,upper,Xe-131m,11.84,109972.20206453784,67292.7988153671,0.045596195581186,4.5596195581186,154.62581845491795,21.795881179543713,0.6894144771875325,0.6119073506946412
intermediate,upper,Xe-133,5.243,709264.8977789015,267374.03824957175,0.4091203632347928,40.91203632347928,1387.4089758018292,195.56760627802717,6.185899892110068,0.37697345390539827
intermediate,upper,Xe-133m,2.19,75022.04655452042,5271.423078984647,0.01931058707898293,1.9310587078982926,65.4860629022469,9.230841655008888,0.2919760766342219,0.0702649863750887
intermediate,upper,Xe-135,0.38083333333333336,77052.07459055692,0.018016487886320827,3.7953068873072237e-07,3.795306887307224e-05,0.0012870644716236257,0.00018142315800966755,5.738504013608523e-06,2.338222297330438e-07
intermediate,upper,Xe-135m,0.010618055555555556,133.3114766872469,1.8278934928648064e-236,1.3810761074156431e-239,1.381076107415643e-237,4.683505295467929e-236,6.601816303630112e-237,2.0881870744124525e-238,1.3711448843621351e-238
intermediate,upper,Xe-137,0.002651388888888889,191.50371578352414,0.0,0.0,0.0,0.0,0.0,0.0,0.0
intermediate,upper,I-125,59.4,0.0,10795.875250654519,0.001458085969975229,0.1458085969975229,4.944661141379997,0.6969938642041678,0.02204625986602547,
intermediate,upper,Cs-137,11018.29797162,0.0,191.40271203021163,1.393622959862837e-07,1.3936229598628369e-05,0.00047260541814868524,6.661792734038518e-05,2.1071579153126096e-06,
intermediate,upper,Xe-129,,0.0,24419.42459465047,0.0,0.0,0.0,0.0,0.0,
intermediate,upper,Xe-131,,0.0,42679.403249170726,0.0,0.0,0.0,0.0,0.0,
