multiplet,mass_TeV,v_rel,S_tot,S_WW,S_ZZ,sigv_line
"(4,3/2)",1.0,0.00022250392714919803,88.023773554666,294.79111871537106,60.8658734131322,3.0892415059468273e-25
"(4,3/2)",1.0,0.000405651399315671,88.0160440862014,294.76607126113777,60.860418579125934,3.089001648907704e-25
"(4,3/2)",1.0,0.0007395512514097,87.99036415579987,294.68285532476335,60.84229572744752,3.088204772692512e-25
"(4,3/2)",1.0,0.001348290809262159,87.90513164008244,294.4066617025686,60.78214503815002,3.08556003268712e-25
"(4,3/2)",1.0,0.0024580961804548745,87.62317517927225,293.4930198362913,60.58315742887298,3.076812304061577e-25
"(4,3/2)",1.0,0.004481404746557171,86.70054048037727,290.50367798975634,59.93197481199692,3.0482016709675984e-25
"(4,3/2)",1.0,0.008170139420154312,83.78592133257186,281.06384458264563,57.874411294124734,2.9579724920815554e-25
"(4,3/2)",1.0,0.01489514603563558,75.51695982515713,254.31817941497007,52.03227628854505,2.7035257459471566e-25
"(4,3/2)",1.0,0.027155641294884982,57.809832894692974,197.36026702811236,39.480551972903875,2.1723852595795366e-25
"(4,3/2)",1.0,0.04950799759681563,36.060465654002996,130.02558862113074,23.71859694961547,1.6391871620477321e-25
"(4,3/2)",1.0,0.0902590294013043,15.696118145003688,70.24882386992068,8.530881616110378,1.737990457096018e-25
"(4,3/2)",1.0,0.16455305776676196,4.5006311729489745,11.411887942312749,3.592870708892142,1.0788230580530929e-26
"(4,3/2)",1.0,0.29999999999999993,2.5784517624008445,5.007777406226903,2.2593714782533763,2.3160976375881055e-27
"(4,3/2)",2.4,1e-06,575.1756508323901,4951.30865679492,0.39154703868037266,4.11085575920685e-23
"(4,3/2)",2.4,1.8231201782055066e-06,575.1756374800696,4951.308541615896,0.391547060809497,4.110855671321157e-23
"(4,3/2)",2.4,3.3237671841800854e-06,575.1755930999888,4951.308158786978,0.39154713436176286,4.1108553792091623e-23
"(4,3/2)",2.4,6.059627021136012e-06,575.1754455909505,4951.306886352941,0.3915473788325565,4.110854408297024e-23
"(4,3/2)",2.4,1.104742829463239e-05,575.1749553058467,4951.3026570835855,0.3915481913962771,4.110851181214981e-23
"(4,3/2)",2.4,2.01407894412228e-05,575.1733257174762,4951.28860002139,0.3915508921713103,4.110840455179266e-23
"(4,3/2)",2.4,3.67190796352817e-05,575.1679094033727,4951.241878120885,0.39155986894198774,4.11080480471402e-23
"(4,3/2)",2.4,6.694329500821696e-05,575.1499074783239,4951.086590929349,0.3915897058974168,4.1106863150587076e-23
