multiplet,mass_GeV,S_tot_MW,S_tot_sat,S_WW_MW,sigv_tree_tot,sigv_MW_tot,sigv_sat_tot,sigv_line_MW,sigv_line_sat
"(2,1/2)",7475.11484894418,517.1117686001262,572.700949003106,692.4552232691481,1.7282798727098016e-28,8.937138616129666e-26,9.897875232438705e-26,8.456221904112277e-27,9.358955947288836e-27
"(2,1/2)",7998.049105827163,194.30847003324845,201.7135553079976,261.4945510558855,1.5096812907654423e-28,2.933438618464528e-26,3.0452318054226423e-26,2.8928312728284866e-27,3.0009996229954446e-27
"(2,1/2)",8557.566109938487,104.99949234486948,107.1226584741805,141.9515749754013,1.318730403397365e-28,1.3846602289646827e-26,1.4126590662265422e-26,1.417616973357692e-27,1.4452606028685757e-27
"(2,1/2)",9156.225069012507,68.53141215893895,69.428825819544,93.03244057829087,1.151930740117223e-28,7.8943440329525e-27,7.99771987117771e-27,8.357705995859902e-28,8.461084539407273e-28
"(2,1/2)",9796.76422447361,50.38490480759422,50.87347409083159,68.6498348207895,1.0062279346301574e-28,5.0698698701082616e-27,5.119031076187829e-27,5.528440732160311e-28,5.578026110093551e-28
"(2,1/2)",10482.113376039699,40.344938211616565,40.66920626431801,55.14677186690981,8.789538422413986e-29,3.54613384560922e-27,3.574635510693027e-27,3.967157809441151e-28,3.996170496242191e-28
"(2,1/2)",11215.407282505459,34.55641572453157,34.812912401259176,47.36381994312031,7.677777165425667e-29,2.653164595687649e-27,2.672857838963517e-27,3.0332407643502238e-28,3.0535893786714012e-28
"(2,1/2)",12000.000000000007,31.34677466807205,31.585680530075823,43.061850833007895,6.706635546593025e-29,2.1023139325993377e-27,2.1183364780633775e-27,2.4467394563845764e-28,2.463684024706259e-28
"(3,1)",499.99999999999994,2.064250401443924,2.064256270103974,3.0664624162538625,3.6112909133161414e-25,7.4546087175436395e-25,7.454629910982352e-25,8.496271473865083e-28,8.496049843960509e-28
"(3,1)",534.9783426375611,2.1855980805859665,2.1856062415810844,3.312411263818438,3.1609944465020817e-25,6.90866339501785e-25,6.908689191878095e-25,9.083381530404853e-28,9.083124580003528e-28
"(3,1)",572.4036541824642,2.32548694133562,2.3254983332962085,3.598014214525314,2.766106764918558e-25,6.4325451601582245e-25,6.432576671537474e-25,9.767784744178988e-28,9.767486279859297e-28
"(3,1)",612.4471164684367,2.487780095362075,2.4877960763514135,3.9319352411028463,2.419989620322084e-25,6.020402008420105e-25,6.020440682248427e-25,1.0571045340659352e-27,1.0570698181403636e-27
"(3,1)",655.291886642876,2.677396386576554,2.677418943481831,4.325292070399452,2.116755555549832e-25,5.667393675694966e-25,5.667441423149527e-25,1.1520861633493421e-27,1.1520457626749374e-27
"(3,1)",701.1339349200929,2.900673852636565,2.900705928905151,4.792523570004319,1.8511943728086544e-25,5.369711113354009e-25,5.369770492761916e-25,1.2653247919560849e-27,1.2652778152027832e-27
"(3,1)",750.1829409410059,3.1658866694447183,3.1659326874405194,5.352630882125174,1.6187036962003374e-25,5.124632453581541e-25,5.124706943081436e-25,1.4015661732130921e-27,1.4015117143928401e-27
"(3,1)",802.6632528391823,3.4839937371086,3.4840604476515518,6.0309856611839825,1.4152243879643407e-25,4.930632904271114e-25,4.9307273146584345e-25,1.5671567915472826e-27,1.5670940725157136e-27
"(3,1)",858.814913399959,3.8697445270464126,3.869842422675356,6.862017675309986,1.2371811641646842e-25,4.787575038991196e-25,4.787696153619378e-25,1.77072344886658e-27,1.7706521232618065e-27
