label,R_lo,R_mid,R_hi,R_hi_over_lo,N_lo,N_mid,dRdE_248,pct_248_in_1_300,node1,node2,peak_accepted,f248_over_fpeak,onset,halo,m,delta,r,rho_lo,rho_hi,rho_248,ratio_enh,r_Nlo_min,Nlo_min,r_max_rho_hi,max_rho_hi,r_max_ratio_enh,max_ratio_enh
r=+2,221789678.44406116,273727164371211.84,27821012567021.72,125438.71636496653,7.972020353671982e-06,9.838864193450696,49124982540.30911,0.9978665230498037,99.46488406653043,258.87646997196845,153.5,0.012522014647098957,54.5,sunframe,1000.0,250.0,2.0,2.337010009893141,1.9010649082600475,1.1875359377385373,0.8134603190454341,-0.7544394376030227,0.9729871146491623,2.0,1.9010649082600475,-0.9,9427.338086901364
iso,0.0,13138034780912.28,3098495008708.122,inf,0.0,4.240134240651888,9753589270.801577,0.9951589794367379,nan,265.61749604475114,168.0,0.04154710951240762,91.5,sunframe,1000.0,300.0,1.0,nan,1.0,1.0,nan,-0.823486187497756,0.22912165972837062,2.0,1.887982986404662,nan,nan
p-only,0.0,2836952867681.481,1319537260689.5444,inf,0.0,2.1499604082411343,9536860232.706558,0.9755401465437467,nan,291.1080288103084,178.5,0.17521834585221072,91.5,sunframe,1000.0,300.0,0.0,nan,0.42586392974042864,0.9777795607260376,nan,-0.823486187497756,0.22912165972837062,2.0,1.887982986404662,nan,nan
xeno,0.0,206583203541.84357,652876433465.0686,inf,0.0,0.31642006504267023,10280696398.603395,0.7919721412418042,143.44156591129888,365.43167294684406,231.0,0.9056889351974062,91.5,sunframe,1000.0,300.0,-0.7,nan,0.21070759566505712,1.0540423748803704,nan,-0.823486187497756,0.22912165972837062,2.0,1.887982986404662,nan,nan
N_mid-min,0.0,133970996157.96823,584715545081.1335,inf,0.0,0.22912165972837062,10488442882.743364,0.7271536145648573,nan,160.0240743022255,243.5,0.9954726496516099,91.5,sunframe,1000.0,300.0,-0.823486187497756,nan,0.18870953267241933,1.0753418655983036,nan,-0.823486187497756,0.22912165972837062,2.0,1.887982986404662,nan,nan
vec,0.0,234001500874.08008,513032615844.9647,inf,0.0,0.45611427742986593,10825251350.180197,0.6995690732469407,nan,180.84737028946185,252.0,0.9879873200366711,91.5,sunframe,1000.0,300.0,-1.0,nan,0.16557477562594722,1.1098736116135992,nan,-0.823486187497756,0.22912165972837062,2.0,1.887982986404662,nan,nan
r=-2,0.0,5329180680490.078,678981074174.3834,inf,0.0,7.848791200800656,13618762623.2225,0.9220297700502693,nan,223.0671907836908,153.0,0.13930839552859217,91.5,sunframe,1000.0,300.0,-2.0,nan,0.21913253765655602,1.3962821526626856,nan,-0.823486187497756,0.22912165972837062,2.0,1.887982986404662,nan,nan
r=+2,0.0,31137247240566.477,5849905859900.699,inf,0.0,5.322692020396893,11475438464.46526,0.9955484246222601,92.82284277006961,258.4007210438024,166.5,0.020788038286035034,91.5,sunframe,1000.0,300.0,2.0,nan,1.887982986404662,1.1765349294354874,nan,-0.823486187497756,0.22912165972837062,2.0,1.887982986404662,nan,nan
iso,0.0,69581312281.95685,128457700123.70708,inf,0.0,0.541667118553024,619029170.5642632,0.9701838608508826,nan,262.61741923626437,204.5,0.1517861571618401,154.0,sunframe,1000.0,350.0,1.0,nan,1.0,1.0,nan,-1.116443389948765,0.006357947609026381,2.0,1.812466838392461,nan,nan
p-only,0.0,19540401920.596832,63785332501.9841,inf,0.0,0.30634632060574446,687369370.3893151,0.9065054424015968,nan,289.57107991263274,214.0,0.46833545416223155,154.0,sunframe,1000.0,350.0,0.0,nan,0.49654736493458684,1.1103989974539614,nan,-1.116443389948765,0.006357947609026381,2.0,1.812466838392461,nan,nan
