R_lo,R_mid,R_hi,R_hi_over_lo,N_lo,N_mid,dRdE_248,pct_248_in_1_300,node1,node2,peak_accepted,f248_over_fpeak,onset,halo,m,delta,r,rho_lo,rho_hi,rho_248,ratio_enh
1.813961388501082e+18,3.3801461989296892e+16,159600315341452.8,8.798440603707349e-05,11365.650403761727,211.78819049938102,3215889006857.281,0.9999522930976252,89.43032850736093,221.4459808472071,9.5,3.2453990351952656e-05,0.5,sunframe,400.0,0.0,-1.84,0.3953061076968222,0.13346119165609938,1.137652563811513,0.3376147978934257
1.7810498093503204e+18,3.310045759923781e+16,157829226720324.16,8.8615841001042e-05,11284.66410411025,209.72324509890893,3209324878398.1104,0.9999517093186185,89.35868748387149,221.2146549419806,9.5,3.29719769128777e-05,0.5,sunframe,400.0,0.0,-1.83,0.3881338777173329,0.13198016953281166,1.1353304384039384,0.34003774756536237
1.7484398695346941e+18,3.240709962533005e+16,156096441101918.53,8.927755756533961e-05,11201.023272485132,207.60947140473752,3202797456740.1533,0.999951110840693,89.28502028521099,221.06710537117078,9.5,3.350387542988883e-05,0.5,sunframe,400.0,0.0,-1.82,0.38102738225251215,0.13053117719829024,1.1330212983905799,0.3425768941503144
1.716131569054205e+18,3.172138806757361e+16,154401958486235.7,8.99709330394346e-05,11114.70078410431,205.44679859356475,3196306741883.404,0.9999504971421593,89.2125006111162,220.91867025031138,9.5,3.4050192707817586e-05,0.5,sunframe,400.0,0.0,-1.81,0.3739866213023604,0.12911421465253492,1.1307251437714356,0.34523752267637614
1.6841249079088517e+18,3.104332292596848e+16,152745778873275.72,9.069741689346395e-05,11025.672331711845,203.2352262364207,3189852733827.8657,0.999949867677493,89.14076895530962,220.76955417588013,9.5,3.461145891809448e-05,0.5,sunframe,400.0,0.0,-1.8,0.36701159486687723,0.12772928189554578,1.128441974546507,0.34802519506740887
1.6524198860986342e+18,3.0372904200514676e+16,151127902263038.62,9.145853516678005e-05,10933.91664513805,200.97482824614698,3183435432573.54,0.9999492218760121,89.06693604239925,220.48050880936486,9.5,3.518822890567944e-05,0.5,sunframe,400.0,0.0,-1.79,0.36010230294606277,0.1263763789273228,1.1261717907157942,0.3509457670595677
1.621016503623554e+18,2.9710131891212188e+16,149548328655524.44,9.225589518751365e-05,10839.415713949355,198.66575680459584,3177054838120.4253,0.9999485591404466,88.99090553829417,220.19643295542764,9.5,3.578108358215313e-05,0.5,sunframe,400.0,0.0,-1.78,0.3532587455399173,0.12505550574786606,1.1239145922792968,0.35400540631126465
1.589914760483609e+18,2.9055005998061016e+16,148007058050733.0,9.309119062817761e-05,10742.15501221994,196.3082462466196,3170710950468.52,0.9999478788454287,88.9125750111608,219.98959245812352,9.5,3.639063141152514e-05,0.5,sunframe,400.0,0.0,-1.77,0.3464809226484403,0.12376666235717536,1.1216703792370142,0.3572106118025904
1.559114656678801e+18,2.840752652106117e+16,146504090448664.53,9.39662069246049e-05,10642.123724355119,193.90261687618374,3164403769617.826,0.9999471803358744,88.83183543472937,219.77077470202505,9.5,3.7017509995883565e-05,0.5,sunframe,400.0,0.0,-1.76,0.33976883427163224,0.12250984875525091,1.1194391515889472,0.36056823462892706
1.5286161922091282e+18,2.776769346021264e+16,145039425849319.0,9.488282708801525e-05,10539.314970794236,191.4492786882679,3158133295568.3447,0.999946462925254,88.74862827358476,219.55088301437044,9.5,3.766238776863078e-05,0.5,sunframe,400.0,0.0,-1.75,0.3331224804094927,0.1212850649420927,1.117220909335096,0.3640855003030788
