r,A,N,ab,Z_plus_rN,share_20,share_248,Fp_248,rFn_248,amp_248,interference_248,amp2_248_over_iso,Fp_20,rFn_20,amp_20,interference_20,amp2_20_over_iso
-1.0,134,80,0.10436,-26.0,0.12247416428306872,0.14035547792944886,-0.6020744920976583,-0.19492096429085848,-0.7969954563885168,constructive,3.8317334194451473,32.899728210764756,-45.40377561236687,-12.504047401602115,destructive,0.025499920783933493
-1.0,136,82,0.08857,-28.0,0.11914029253089051,0.1526066706933798,-0.4997747905992241,-0.3812334916162163,-0.8810082822154404,constructive,55.23579618212267,32.56797792189446,-45.842974755935955,-13.274996834041495,destructive,0.02866258735853344
0.0,128,74,0.0191,54.0,0.019283366490939192,0.020921105626628772,-0.7296961946485344,-0.0,-0.7296961946485344,destructive,0.5919967262052341,33.958646932368495,0.0,33.958646932368495,destructive,0.18793205667286084
0.0,129,75,0.26401,54.0,0.2658487601021576,0.34440723265203343,-0.7912948069077935,-0.0,-0.7912948069077935,destructive,0.6603514956080897,33.76470374955337,0.0,33.76470374955337,destructive,0.18613878068725637
0.0,130,76,0.04071,54.0,0.04093911581059023,0.04085863946481712,-0.6880324133601526,-0.0,-0.6880324133601526,destructive,0.7039724478950639,33.61479687006825,0.0,33.61479687006825,destructive,0.18381522692230307
0.0,131,77,0.21232,54.0,0.21293617264382164,0.23182366311818675,,,,,,,,,,
0.0,132,78,0.26909,54.0,0.2694800054521337,0.22589662774297464,-0.6199301108604313,0.0,-0.6199301108604313,destructive,1.3665672898725536,33.27409865786408,0.0,33.27409865786408,destructive,0.17991669558947218
0.0,134,80,0.10436,54.0,0.10381029610546827,0.08510203389989496,-0.6020744920976583,0.0,-0.6020744920976583,destructive,2.186674053341373,32.899728210764756,0.0,32.899728210764756,destructive,0.17653150710028587
0.0,136,82,0.08857,54.0,0.08770228339488953,0.05099069749546431,-0.4997747905992241,0.0,-0.4997747905992241,destructive,17.774988475559724,32.56797792189446,0.0,32.56797792189446,destructive,0.17251550307346275
1.0,128,74,0.0191,128.0,0.018602687686426058,0.032564162939755635,-0.7296961946485344,-0.21868389741096383,-0.9483800920594982,constructive,1.0,33.958646932368495,44.37528825920385,78.33393519157235,constructive,1.0
1.0,129,75,0.26401,129.0,0.2589027660421997,0.4901062197341688,-0.7912948069077935,-0.18246250694151242,-0.973757313849306,constructive,1.0,33.76470374955337,44.496137369556976,78.26084111911035,constructive,1.0
1.0,130,76,0.04071,130.0,0.040373166383616654,0.04845133984795077,-0.6880324133601526,-0.13200009131219756,-0.8200325046723502,constructive,1.0,33.61479687006825,44.78947913750712,78.40427600757536,constructive,1.0
1.0,131,77,0.21232,131.0,0.21192527830580662,0.23507376614384048,,,,,,,,,,
1.0,132,78,0.26909,132.0,0.2714960655107572,0.15887746084350868,-0.6199301108604313,0.08962328092998836,-0.5303068299304429,destructive,1.0,33.27409865786408,45.171858589657774,78.44595724752185,constructive,1.0
1.0,134,80,0.10436,134.0,0.10656455972853651,0.03596500926666408,-0.6020744920976583,0.19492096429085848,-0.4071535278067998,destructive,1.0,32.899728210764756,45.40377561236687,78.30350382313162,constructive,1.0
1.0,136,82,0.08857,136.0,0.09213547634265735,-0.0010379587758883573,-0.4997747905992241,0.3812334916162163,-0.1185412989830078,destructive,1.0,32.56797792189446,45.842974755935955,78.41095267783041,constructive,1.0
