halo,delta,target,r,R_lo,R_mid,R_hi,R_hi_over_lo,N_lo,N_mid,dRdE_248,pct_248_in_1_300,node1,node2,peak_accepted,f248_over_fpeak,onset,R_hi_over_natural,dRdE248_over_natural,R_lo_over_natural,R_mid_over_natural
sunframe,300.0,pure 129Xe,0.0,0.0,2233806791914.5176,1335191248983.2646,inf,0.0,1.6730238410531375,11174985285.564074,0.9634458953403218,nan,299.43819363381624,184.0,0.2393623104008639,101.5,1.0118632408193915,1.171767753001096,nan,0.7873965117157944
sunframe,300.0,pure 129Xe,-0.7,0.0,142819478961.46152,482535466406.4613,inf,0.0,0.29597716417627684,7724233637.006134,0.78370729566057,142.30589749515903,371.5684621350722,231.0,0.9190596718848906,101.5,0.7390915672135052,0.7513336973996674,nan,0.6913411957644143
sunframe,300.0,pure 129Xe,-1.0,0.0,124553385425.42786,288499352801.96796,inf,0.0,0.4317284743128139,6423351237.618366,0.6671411373916386,nan,185.31640783872632,254.0,0.9693404970395084,101.5,0.5623411531580882,0.5933673990407108,nan,0.5322760108810243
sunframe,300.0,pure 131Xe,1.0,0.0,12986978943787.984,3374555097419.062,inf,0.0,3.8485010820302583,11435539229.47528,0.9955674781599543,nan,268.398123703352,170.5,0.04834684830237387,98.5,1.0890948954040884,1.1724442061251035,nan,0.9885024024031541
sunframe,300.0,pure 131Xe,0.0,0.0,2832452976568.1265,1400761021015.8567,inf,0.0,2.022081521453232,10479483068.630585,0.9735440355997237,nan,293.3311557371877,180.0,0.18769564550479406,98.5,1.0615547303937953,1.0988399549666579,nan,0.9984138294419279
sunframe,300.0,pure 131Xe,-0.7,0.0,195513749514.0757,635445430254.969,inf,0.0,0.30767984189551395,10082133055.576757,0.7893734241661282,142.6870286910456,367.3286444545095,231.0,0.9086496116956058,98.5,0.973301221614653,0.9806858081079398,nan,0.9464164857646535
sunframe,300.0,pure 131Xe,-1.0,0.0,192597513549.69656,462832932379.6363,inf,0.0,0.41612750536022675,9980383713.731203,0.6824371248996177,nan,181.87199268714784,252.5,0.9827801853682395,98.5,0.9021510876405986,0.9219539935730979,nan,0.8230610181143083
sunframe,300.0,pure 132Xe,1.0,0.0,12616702779638.076,2757557275889.8887,inf,0.0,4.575318485657402,6362494241.005415,0.9974479108913159,nan,263.3018721363362,168.0,0.02786416240968407,97.0,0.8899666670883607,0.6523233718742114,nan,0.960318874933135
sunframe,300.0,pure 132Xe,0.0,0.0,2666449871834.147,1212130594696.4238,inf,0.0,2.1998041164054234,8406292030.056825,0.9775949525435419,nan,289.6072549693256,179.0,0.1618413812077139,97.0,0.9186027790249791,0.8814527868645424,nan,0.9398992497232854
sunframe,300.0,pure 132Xe,-0.7,0.0,187002286716.53534,628415182317.824,inf,0.0,0.29757760789101695,10045721774.349184,0.7826197724618773,146.2465055809163,368.8864212986602,228.5,0.9162955029925652,97.0,0.962533107501799,0.9771440946076249,nan,0.9052153491203746
sunframe,300.0,pure 132Xe,-1.0,0.0,255238057047.25757,503818643682.4975,inf,0.0,0.5066070107721273,10800965940.043316,0.7000207871897755,nan,182.79448242769587,252.5,0.9827201879023472,97.0,0.9820401824798375,0.9977565961887364,nan,1.0907539314656158
sunframe,300.0,pure 136Xe,1.0,0.0,20015183937487.83,2407988979638.5493,inf,0.0,8.311991502756879,-153289294.57497838,0.9963388401755637,94.77308445842532,251.0884720036691,160.0,-0.0004461503917233731,91.5,0.7771479291949964,-0.015716193323197077,nan,1.5234534137911617
sunframe,300.0,pure 136Xe,0.0,0.0,4424855522384.816,1370481301152.252,inf,0.0,3.2286872638572706,6997651127.530222,0.9902097846778598,101.72290566508715,278.63729787607133,171.0,0.08866283546717935,91.5,1.0386075042974428,0.7337478957206328,nan,1.5597211969196583
sunframe,300.0,pure 136Xe,-0.7,0.0,423925531044.92596,1127531647472.4326,inf,0.0,0.3759766140446986,16840521739.44695,0.815993241556123,140.8917604791015,352.66227561144547,221.5,0.8386578738928099,91.5,1.7270215153703505,1.6380720805776046,nan,2.052081310468494
sunframe,300.0,pure 136Xe,-1.0,0.0,451837862293.9346,1145252145792.9946,inf,0.0,0.39453133875691043,22278360148.699444,0.7251680313223526,nan,173.20044592429963,247.5,0.9999908600801434,91.5,2.23231839540409,2.0579993413574273,nan,1.930918650547783
sunframe,350.0,natural,1.0,0.0,69581312281.95685,128457700123.70708,inf,0.0,0.541667118553024,619029170.5642632,0.9701838608508826,nan,262.61741923626437,204.5,0.1517861571618401,154.0,1.0,1.0,nan,1.0
sunframe,350.0,natural,0.0,0.0,19540401920.596832,63785332501.9841,inf,0.0,0.30634632060574446,687369370.3893151,0.9065054424015968,nan,289.57107991263274,214.0,0.46833545416223155,154.0,1.0,1.0,nan,1.0
sunframe,350.0,natural,-0.7,0.0,2930230222.0017095,42133351216.42452,inf,0.0,0.06954657385191426,817963148.6943674,0.6577727934799223,nan,363.7151415920899,248.0,1.0,154.0,1.0,1.0,nan,1.0
sunframe,350.0,natural,-1.0,0.0,454895852.27359885,38808218745.213234,inf,0.0,0.011721636987776141,894794676.8152342,0.4967478591506869,nan,nan,255.0,0.9245143870984188,154.0,1.0,1.0,nan,1.0
sunframe,350.0,136Xe-depleted,1.0,0.0,50323575993.654625,123003039262.33778,inf,0.0,0.40912465493088973,683419397.4184885,0.9687929685206135,nan,266.3997687829395,208.0,0.18418693823139812,160.5,0.9575372993902557,1.1040180817255052,nan,0.7232340745419377
sunframe,350.0,136Xe-depleted,0.0,0.0,13803280992.725983,58809757664.453766,inf,0.0,0.2347107272824058,675191937.3442279,0.8914856797026179,nan,291.80264476334713,214.0,0.5131153555418777,160.5,0.9219950003807605,0.9822840039581774,nan,0.7063969845050343
sunframe,350.0,136Xe-depleted,-0.7,0.0,1879026812.6093152,35313327000.91472,inf,0.0,0.053210132609726714,704088510.9730301,0.6390265272129654,nan,366.018309531091,248.0,1.0,160.5,0.8381324053603596,0.8607826796315897,nan,0.6412556933242288
