halo,delta_keV,m_A_GeV,S_prop,sigma_p_q0_N1_cm2,eps_req_alphaD0p1,eps_req_alphaD_thermal,N_exo_if_f2_1,eps_floor_chi2_decay_alphaD0p1,eps_req_over_floor,tau_at_eps_req_s,mA_floor_GeV,mA_babar_ceiling_GeV
annual,330.0,1.0,0.9098190886302234,5.2852491109361e-41,2.05214104700198e-06,3.4687514743535123e-06,,,,2.810580824913749e+17,,22.60148775631398
annual,330.0,3.043219887107722,0.9896191851577781,4.859061547527423e-41,1.822289375193886e-05,3.0802312375833656e-05,,,,3564312776565648.0,,22.60148775631398
annual,330.0,10.0,0.9990316336061295,4.813281549392249e-41,0.00019583716313689416,0.0003310252233182174,,,,30861730513073.918,,22.60148775631398
annual,350.0,0.05011872336272722,0.0022151477282537934,1.3200584138437484e-37,2.5761494321294924e-07,4.354487306761385e-07,32397.040692023307,4.586156850305318e-06,0.05617229231830543,1.3289170359754342e+19,0.9334235353666394,14.391611737144316
annual,350.0,0.1,0.026893576131043657,1.0872947436740942e-38,2.9433921045505434e-07,4.975240720990429e-07,28364.237095027376,4.5567110357048655e-06,0.06459466227915499,1.01799051123179e+19,0.9334235353666394,14.391611737144316
annual,350.0,0.19952623149688797,0.19110526223055938,1.5301119197128483e-39,4.395781283132088e-07,7.430226508590125e-07,22993.83309818113,4.509826004741395e-06,0.09747119464277766,4.564233141187915e+18,0.9334235353666394,14.391611737144316
annual,350.0,0.30432198871077215,0.4131851605140501,7.077031500720734e-40,6.954512744650552e-07,1.1755272071410216e-06,20562.42140426886,4.4846625578551865e-06,0.1550732670503661,1.8235033118104297e+18,0.9334235353666394,14.391611737144316
annual,350.0,0.5011872336272722,0.6879681826372976,4.250377372655193e-40,1.4618008893303306e-06,2.4708944823669165e-06,18921.648044258676,4.4658470470537135e-06,0.32732891967151795,4.1272761471148986e+17,0.9334235353666394,14.391611737144316
annual,350.0,1.0,0.9039703147704536,3.2347571029816524e-40,5.076861478580787e-06,8.58146215857972e-06,18040.647629377716,4.455023262809703e-06,1.139581362225907,3.4217584094712396e+16,0.9334235353666394,14.391611737144316
annual,350.0,3.043219887107722,0.9889026443839968,2.9569385957196716e-40,4.495337425628882e-05,7.598507103421173e-05,17751.193849724543,4.451345439227723e-06,10.098828516011086,436430786829042.1,0.9334235353666394,14.391611737144316
annual,350.0,10.0,0.9989643230823814,2.927155984475676e-40,0.00048294470557461253,0.0008163255454299891,17718.57988731082,4.450927097391664e-06,108.50429472494127,3781334981267.468,0.9334235353666394,14.391611737144316
annual,380.0,0.05011872336272722,0.001713636852335747,3.0283200439524287e-35,3.901893054947575e-06,6.595403033769185e-06,4758039.434203001,4.543097220401933e-06,0.8588618877503067,3.8398254790313464e+16,0.11006522101366614,3.93607227141243
annual,380.0,0.1,0.021493470741467374,2.4144266370027888e-36,4.386129835100868e-06,7.4139125838543715e-06,4261799.777344018,4.5267953125355785e-06,0.9689260353687342,3.038779887610837e+16,0.11006522101366614,3.93607227141243
annual,380.0,0.19952623149688797,0.16460683114276312,3.1526278660228273e-37,6.3097308074040605e-06,1.066539167613828e-05,3452253.0390091585,4.4954512139263164e-06,1.4035811995595335,1.4683870548630166e+16,0.11006522101366614,3.93607227141243
annual,380.0,0.30432198871077215,0.3761272229732378,1.3797035978842535e-37,9.71033116228516e-06,1.641345539325641e-05,3016518.0876305606,4.47526099717022e-06,2.1697798560631796,6200034797465904.0,0.11006522101366614,3.93607227141243
annual,380.0,0.5011872336272722,0.6579946646416864,7.886752137739326e-38,1.9912398377626912e-05,3.365809642140119e-05,2697267.231998541,4.45845215302725e-06,4.4662133166791005,1474399126579245.5,0.11006522101366614,3.93607227141243
annual,380.0,1.0,0.8924760058132722,5.81465584977267e-38,6.806698027833975e-05,0.00011505419597752174,2518261.6345648505,4.448102201785284e-06,15.302476694672277,126179627723329.27,0.11006522101366614,3.93607227141243
annual,380.0,3.043219887107722,0.987475648906725,5.255259543594149e-38,0.0005992916515242163,0.0010129877782179416,2458422.246438081,4.44447184188478e-06,134.83979038329846,1627742692080.4216,0.11006522101366614,3.93607227141243
annual,380.0,10.0,0.9988300690459283,5.19551922674974e-38,0.006434117007360622,0.01087564272838388,2451650.275061987,4.444055253809985e-06,1447.803107723405,14121612844.508394,0.11006522101366614,3.93607227141243
june,300.0,0.05011872336272722,0.002992949457022343,2.032157903612686e-39,3.1963417069118415e-08,5.402803586325504e-08,1646.9378827249745,5.693863072479214e-06,0.005613660999965169,1.8658104276768687e+21,2.7532062060779534,
june,300.0,0.1,0.03474445514486755,1.750537134297156e-40,3.7347379979621326e-08,6.312859418547916e-08,1268.6792919684606,5.592664744599542e-06,0.00667792218650066,1.366638460572301e+21,2.7532062060779534,
june,300.0,0.19952623149688797,0.22466524693895418,2.7072037073245633e-41,5.8470249140995956e-08,9.883275967309825e-08,879.6798429863314,5.44748601507688e-06,0.01073343721841033,5.5757594678412195e+20,2.7532062060779534,
june,300.0,0.30432198871077215,0.455895119766831,1.3341107703262945e-41,9.548542558403399e-08,1.6139982739381895e-07,746.5095630413286,5.381133467937073e-06,0.017744481929871096,2.0907386268998238e+20,2.7532062060779534,
june,300.0,0.5011872336272722,0.7198594080248357,8.449074675414137e-42,2.0610050247409175e-07,3.483734331353276e-07,671.3786280318496,5.3378170677747016e-06,0.03861138361566475,4.487617346168934e+19,2.7532062060779534,
june,300.0,1.0,0.9156094970521255,6.642729147942637e-42,7.27524710359701e-07,1.229741208761266e-06,635.7037947013687,5.315383020491059e-06,0.1368715495299319,3.601458558838671e+18,2.7532062060779534,
june,300.0,3.043219887107722,0.9903227321548937,6.141579605031181e-42,6.478600283474887e-06,1.0950833188528349e-05,624.6637078554742,5.308164674578538e-06,1.2204972303330586,4.541627886414248e+16,2.7532062060779534,
june,300.0,10.0,0.999097661048363,6.087639008001677e-42,6.964643995197554e-05,0.00011772397010421255,623.4404027201072,5.307356391160443e-06,13.122623547190786,392985091797653.1,2.7532062060779534,
june,330.0,0.05011872336272722,0.0026472054225678233,1.0442337607086525e-38,7.245583093428292e-08,1.2247270758799856e-07,,,,2.254570450900968e+20,,25.956792693082477
june,330.0,0.1,0.031326887682676476,8.82405332370433e-40,8.385105636297918e-08,1.4173415409730502e-07,,,,1.683423621906841e+20,,25.956792693082477
june,330.0,0.19952623149688797,0.21067751478847266,1.3121007605162743e-40,1.2872356822454052e-07,2.1758254273761382e-07,,,,7.143225389508359e+19,,25.956792693082477
june,330.0,0.30432198871077215,0.4385998463629763,6.302558691479012e-41,2.075389390718904e-07,3.508048347569011e-07,,,,2.74796570786183e+19,,25.956792693082477
june,330.0,0.5011872336272722,0.7072506414007986,3.908517167692192e-41,4.4328239975774964e-07,7.492840124030585e-07,,,,6.023508352956855e+18,,25.956792693082477
june,330.0,1.0,0.9110744170882411,3.0341113985078587e-41,1.5548562271718379e-06,2.6281867117708155e-06,,,,4.895871593045259e+17,,25.956792693082477
june,330.0,3.043219887107722,0.9897722168130856,2.7928661027452974e-41,1.381548706202719e-05,2.3352435343238105e-05,,,,6201233614080748.0,,25.956792693082477
june,330.0,10.0,0.999046000951307,2.766940932794011e-41,0.00014848220913036463,0.00025098074159603413,,,,53686074863511.81,,25.956792693082477
june,350.0,0.05011872336272722,0.0022906680508551483,5.664645531878299e-38,1.6875663063164257e-07,2.8525076878396284e-07,14831.173945623765,4.410273635391427e-06,0.03826443540314814,3.09683651830901e+19,1.129968040544999,17.63369870823531
june,350.0,0.1,0.02768715040185947,4.6865865034711305e-39,1.9324256572020455e-07,3.266395532261717e-07,12876.049709849736,4.377697314992638e-06,0.04414251416113029,2.361752484783187e+19,1.129968040544999,17.63369870823531
june,350.0,0.19952623149688797,0.19478863024429155,6.661488672629165e-40,2.9004148710972885e-07,4.90259593757147e-07,10356.996692413952,4.327048115531628e-06,0.06702987333758684,1.0483824077304433e+19,1.129968040544999,17.63369870823531
june,350.0,0.30432198871077215,0.4181307750692049,3.1032928722228966e-40,4.605242722648051e-07,7.784280962207076e-07,9255.442891559214,4.3006530211170895e-06,0.10708240585872339,4.158482911768206e+18,1.129968040544999,17.63369870823531
june,350.0,0.5011872336272722,0.6918261783025553,1.875589988677516e-40,9.710541067270612e-07,1.6413810197439496e-06,8527.120684775848,4.281312313632799e-06,0.22681225652120152,9.35304690913067e+17,1.129968040544999,17.63369870823531
june,350.0,1.0,0.9054159226153772,1.4331339017996424e-40,3.3792308485416935e-06,5.7119426587097355e-06,8141.011717404468,4.270339005535147e-06,0.7913261322254713,7.723323902829371e+16,1.129968040544999,17.63369870823531
june,350.0,3.043219887107722,0.9890806364940498,1.3119074482428256e-40,2.9942822915130135e-05,5.0612608370609514e-05,8014.88981271535,4.2666351751414945e-06,7.017900918640681,983681462944355.2,1.129968040544999,17.63369870823531
june,350.0,10.0,0.9989810529165721,1.2989057701754668e-40,0.00032170906566332357,0.0005437875712601873,8000.701485147917,4.266214660469607e-06,75.40855096773569,8521447493630.782,1.129968040544999,17.63369870823531
june,380.0,0.05011872336272722,0.0017311454965559985,7.733390273492684e-36,1.9717844632032595e-06,3.3329240569676376e-06,1274448.1705467338,4.34411902269786e-06,0.453897430733541,1.5036381266424992e+17,0.2698934915532788,5.52806323459405
june,380.0,0.1,0.021687146749172246,6.173068269378405e-37,2.217813467138402e-06,3.7487889758924465e-06,1134397.773171782,4.326095291556491e-06,0.5126594117025222,1.1885355522521592e+17,0.2698934915532788,5.52806323459405
june,380.0,0.19952623149688797,0.16561659662251335,8.083503717674485e-38,3.195025270689271e-06,5.400578402976335e-06,912059.6755425428,4.292115493959919e-06,0.7443940581714241,5.726821077779024e+16,0.2698934915532788,5.52806323459405
june,380.0,0.30432198871077215,0.3776022806131094,3.5454297901298317e-38,4.922385102876933e-06,8.320349426217414e-06,794926.0639761243,4.270566150251687e-06,1.1526305716132816,2.412742833290749e+16,0.2698934915532788,5.52806323459405
june,380.0,0.5011872336272722,0.6592340735972477,2.0307845545686784e-38,1.010430395659846e-05,1.7079390959978747e-05,709969.1354323777,4.25276474216453e-06,2.375937670950421,5725974445329380.0,0.2698934915532788,5.52806323459405
june,380.0,1.0,0.8929628719840376,1.4992363249461213e-38,3.456284823805001e-05,5.842187648784795e-05,662597.4456161271,4.241852265377223e-06,8.14805563130011,489376556754627.3,0.2698934915532788,5.52806323459405
june,380.0,3.043219887107722,0.9875366098819528,1.355658474946781e-38,0.0003043801240469958,0.0005144963137862244,646798.9954530508,4.238032087139093e-06,71.82109946045011,6310003939161.0625,0.2698934915532788,5.52806323459405
june,380.0,10.0,0.9988358099810204,1.3403227648917805e-38,0.0032679783695165818,0.005523891646715399,645012.2100372273,4.23759394906584e-06,771.1872370964174,54739882786.578926,0.2698934915532788,5.52806323459405
