halo,iso,m_med_GeV,delta_peak,Z_peak,d68_lo,d68_hi,edge_lo,edge_hi,Z_300,Z_330,Z_350,Z_380,dq0_peak_minus_300,dq0_peak_minus_330,dq0_peak_minus_350,LR_peak_over_300,shift_vs_contact_keV
annual,p,1.0,390.0,3.7498809695288062,375.0,390.0,False,True,3.033412195746525,3.18918863650991,3.3557914018040775,3.6659354742766865,4.860017736330546,3.8906831263903623,2.800271353212125,11.358982812891716,0.0
annual,p,inf,390.0,3.7497984500918626,375.0,390.0,False,True,3.0420834962984618,3.1956944180622244,3.360137826946043,3.666789385280492,4.806716417859862,3.8485256026772774,2.7704622002376578,11.060256736943094,0.0
june,iso,0.05,380.0,3.478706873963071,371.0,390.0,False,True,2.3832252136208965,2.645501445398537,2.9325685912619304,3.478706873963071,6.421639096119555,5.102723617352174,3.5014429725019394,24.799402200448295,0.0
june,iso,0.1,380.0,3.4811954052424094,371.0,390.0,False,True,2.421938455304511,2.672320124824856,2.948957073957439,3.4811954052424094,6.252935568198063,4.977426599936931,3.4223736254372437,22.79332623448721,0.0
june,iso,0.2,380.0,3.486773926008732,370.0,390.0,False,True,2.5045270283212577,2.7314143287163213,2.986285776567997,3.486773926008732,5.884936775502635,4.696968175977513,3.2396896717620187,18.96259562958243,0.0
june,iso,0.3,380.0,3.490491935818872,370.0,390.0,False,True,2.5584323363853665,2.7712358677561557,3.0123208287940932,3.490491935818872,5.637957934154294,4.503785719278365,3.109457178429846,16.75972969728872,0.0
june,iso,0.5,380.0,3.493768212524837,369.0,390.0,False,True,2.607164196528585,2.8080011781977925,3.0369384114480558,3.493768212524837,5.409111175188452,4.321545706088805,2.9834214079203534,14.947672283206789,0.0
june,iso,1.0,380.0,3.4956271176012828,369.0,389.0,False,False,2.6363929853365695,2.8303759445448304,3.0521762312079175,3.4956271176012828,5.268840972177582,4.208380957851411,2.9036291989588854,13.935234460505656,0.0
june,iso,inf,380.0,3.4963218918142607,369.0,389.0,False,False,2.647854096775049,2.839212270366784,3.0582448684453323,3.4963218918142607,5.2131354533712395,4.1631404549783415,2.871405095807443,13.552455202736093,0.0
june,p,0.05,390.0,3.7463247970539366,378.0,390.0,False,True,2.827486599591293,3.008773153131909,3.2138796682792377,3.63593161968491,6.040269014152886,4.982233598013888,3.7059269628425575,20.494048093304034,0.0
june,p,0.1,390.0,3.746416508068357,378.0,390.0,False,True,2.856091239058833,3.029500292889531,3.2268924422454055,3.6382951956666676,5.878379486098483,4.857764627309349,3.622801818106584,18.900525823905323,0.0
june,p,0.2,390.0,3.746571141792287,378.0,390.0,False,True,2.9179776704130673,3.07549556768287,3.256608087296866,3.6438679185908973,5.5222016354814905,4.578122333673782,3.43129908626341,15.817245272315011,0.0
june,p,0.3,390.0,3.74661621073983,377.0,390.0,False,True,2.9589653332656902,3.106721397098977,3.2773887641935153,3.647892455538887,5.281657187110346,4.385415191385864,3.295855918916585,14.024819669762774,0.0
june,p,0.5,390.0,3.7465916695840735,377.0,390.0,False,True,2.9963938182510717,3.1357009115583785,3.297074124309085,3.6517833243313595,5.058573224543538,4.20432893184873,3.166251357408255,12.544553813062631,0.0
june,p,1.0,390.0,3.746534392637207,376.0,390.0,False,True,3.0190038372312613,3.1534027683791295,3.309274564413373,3.654224729374776,4.922135785996366,4.092570935592287,3.0852218125401247,11.717317702702756,0.0
june,p,inf,390.0,3.746500931835585,376.0,390.0,False,True,3.027901169778431,3.1604065285427776,3.314136572312081,3.655202582040344,4.868083738299315,4.048099806589095,3.0527680123084355,11.404886103547478,0.0
sun,iso,0.05,370.0,3.4658830707288195,360.0,379.0,False,False,2.422794370415407,2.7530397994595925,3.113351195898528,3.311278463084781,6.142412898648043,4.433117322556117,2.3193897909618375,21.567907572564135,0.0
sun,iso,0.1,370.0,3.4677820399487915,360.0,379.0,False,False,2.4594086773012287,2.7753724580578,3.124687108321639,3.307872090098698,5.976821234606823,4.322819995645607,2.2618427516799553,19.854101635583934,0.0
sun,iso,0.2,370.0,3.4718811819304136,359.0,379.0,False,False,2.5379434761939126,2.8252944740341235,3.150930084436161,3.2991473133864506,5.612801853087285,4.07167007643477,2.1255985444376524,16.55024535094407,0.0
sun,iso,0.3,370.0,3.474434952308009,359.0,378.0,False,False,2.5894727598522302,2.859432399856459,3.169553581066732,3.2921364684701984,5.366329063802829,3.895344588470687,2.02562833456661,14.631321395470307,0.0
sun,iso,0.5,370.0,3.4764887672668148,358.0,378.0,False,False,2.636215699048942,2.8912672190324566,3.187381351897257,3.2846700403747717,5.136340937020235,3.7265480170806615,1.9265742665099523,13.041941957218194,0.0
sun,iso,1.0,370.0,3.4775217232216273,358.0,378.0,False,False,2.6643173459076896,2.910778253531665,3.1985133373622996,3.279576709810729,4.994570415773721,3.6205272942454663,1.862669766193802,12.149465874659349,0.0
sun,iso,inf,370.0,3.4778710269820667,358.0,378.0,False,False,2.675349108291171,2.9185105112852234,3.202965915268079,3.277436398531403,4.9380940290869315,3.5778832758389605,1.8365962259522117,11.811185598493603,0.0
sun,p,0.05,380.0,3.765148712598231,370.0,385.0,False,False,2.8542300715287783,3.0843411666036045,3.345837281909654,3.765148712598231,6.029715526760942,4.663184395974433,2.9817177109635367,20.38619107141724,0.0
sun,p,0.1,380.0,3.764943282763197,369.0,385.0,False,False,2.881435965822645,3.1018727209291757,3.3548554526751477,3.764943282763197,5.872124697287438,4.5531835455791505,2.919742814079548,18.841508758104744,0.0
sun,p,0.2,380.0,3.764377439157047,369.0,385.0,False,False,2.9406040993846743,3.141251826207434,3.3757614533777724,3.764377439157047,5.5233850351166165,4.303074468783027,2.7747721143233566,15.82660710288057,0.0
sun,p,0.3,380.0,3.7638830812177044,368.0,385.0,False,False,2.979977219643568,3.168318497582266,3.390619819588771,3.7638830812177044,5.286551619482271,4.128573746954935,2.67051308808869,14.059183466133153,0.0
sun,p,0.5,380.0,3.7633196734086356,368.0,385.0,False,False,3.016036748429438,3.1936503119257535,3.404859820790301,3.7633196734086356,5.066097296387662,3.963172649401015,2.569504565032318,12.591835757555673,0.0
sun,p,1.0,380.0,3.7629144230491525,368.0,385.0,False,False,3.037862572678077,3.2092156798772775,3.4137599224281088,3.7629144230491525,4.930915944713069,3.8604596752211595,2.505768147214967,11.768870735439512,0.0
sun,p,inf,380.0,3.7627392334689107,367.0,385.0,False,False,3.0464594310805295,3.215392130667108,3.4173217104885607,3.7627392334689107,4.8772914738667,3.8194599851302407,2.480118866109743,11.457513743648516,0.0
