m_GeV,delta_keV,N_iso_unit,N_p_unit,G_LZ_iso,G_LZ_p,G_relic_BL,N_th_BL,f_th_BL,NT_fraction_BL,dilution_D_BL,T_RH_NT_BL,G_relic_UB,N_th_UB,f_th_UB,NT_fraction_UB,dilution_D_UB,T_RH_NT_UB,G_relic_Ap,N_th_Ap,f_th_Ap,NT_fraction_Ap,dilution_D_Ap,T_RH_NT_Ap
6451.2,360.0,123.11036547942908,44.26754773282477,1.486882303101376e-06,2.479597390788667e-06,6.724032640157214e-09,2.0450618204346295e-05,2.0450618204346295e-05,0.9999795493817957,1.0,0.014591348919337749,1.212192223099017e-08,6.646450916412546e-05,6.646450916412546e-05,0.9999335354908359,1.0,0.04629558829859206,6.060961115495085e-09,5.974762605292806e-06,5.974762605292806e-06,0.9999940252373947,1.0,0.004297712403620589
6451.2,362.5,97.23095670430902,35.950608452743595,1.6730989370723842e-06,2.7515080026062374e-06,6.724032640157214e-09,1.615163081889642e-05,1.615163081889642e-05,0.9999838483691811,1.0,0.011581226335218714,1.212192223099017e-08,5.249280016141336e-05,5.249280016141336e-05,0.9999475071998386,1.0,0.03673676388997006,6.060961115495085e-09,4.852230629927182e-06,4.852230629927182e-06,0.99999514776937,1.0,0.0034902632391321294
6451.2,365.0,75.09744451437962,28.64665805802096,1.9037561682102316e-06,3.082385270941024e-06,6.724032640157214e-09,1.2474897299710135e-05,1.2474897299710135e-05,0.9999875251027003,1.0,0.00897332268274928,1.212192223099017e-08,4.054341622405794e-05,4.054341622405794e-05,0.9999594565837759,1.0,0.02852257192691401,6.060961115495085e-09,3.866421116540845e-06,3.866421116540845e-06,0.9999961335788835,1.0,0.002781159782062036
6451.2,367.5,58.00237253389471,22.8266238934977,2.1662123307186737e-06,3.4530515446492245e-06,6.724032640157214e-09,9.635129999148172e-06,9.635129999148172e-06,0.9999903648700008,1.0,0.006930651575492943,1.212192223099017e-08,3.131417249723156e-05,3.131417249723156e-05,0.9999686858275028,1.0,0.022146223564348335,6.060961115495085e-09,3.0808948276758438e-06,3.0808948276758438e-06,0.9999969191051723,1.0,0.002216122090361148
6451.2,370.0,43.9240713651543,17.891437347585857,2.4892734586521587e-06,3.900329401533972e-06,6.724032640157214e-09,7.296497008769955e-06,7.296497008769955e-06,0.9999927035029912,1.0,0.00524844963816574,1.212192223099017e-08,2.3713615278502357e-05,2.3713615278502357e-05,0.9999762863847215,1.0,0.016867410398624567,6.060961115495085e-09,2.414795855972613e-06,2.414795855972613e-06,0.9999975852041441,1.0,0.001737038679146398
6451.2,372.5,32.99674690290508,13.92942775146951,2.872025820326229e-06,4.420356182583953e-06,6.724032640157214e-09,5.481292093227625e-06,5.481292093227625e-06,0.9999945187079068,1.0,0.003942753859325682,1.212192223099017e-08,1.7814199302989784e-05,1.7814199302989784e-05,0.999982185800697,1.0,0.012747071029890679,6.060961115495085e-09,1.880045954768256e-06,1.880045954768256e-06,0.9999981199540452,1.0,0.001352303489959362
6451.2,375.0,24.04823493951103,10.573670795463112,3.3642038210707426e-06,5.073539085180077e-06,6.724032640157214e-09,3.99479986369253e-06,3.99479986369253e-06,0.9999960052001363,1.0,0.002873504015418075,1.212192223099017e-08,1.2983099557000724e-05,1.2983099557000724e-05,0.999987016900443,1.0,0.00933887710669926,6.060961115495085e-09,1.4271215846583864e-06,1.4271215846583864e-06,0.9999985728784153,1.0,0.0010265443597357678
6451.2,377.5,17.524436939558868,8.025558457727115,3.940958543027568e-06,5.823529389715762e-06,6.724032640157214e-09,2.9110917484600034e-06,2.9110917484600034e-06,0.9999970889082516,1.0,0.0020939808564488737,1.212192223099017e-08,9.461048182495011e-06,9.461048182495011e-06,0.9999905389518176,1.0,0.006805432839487063,6.060961115495085e-09,1.0832044921310028e-06,1.0832044921310028e-06,0.9999989167955079,1.0,
6451.2,380.0,12.425281590323134,5.952877139493379,4.680268654071426e-06,6.761770761321326e-06,6.724032640157214e-09,2.064039765422111e-06,2.064039765422111e-06,0.9999979359602346,1.0,0.0014846213975229258,1.212192223099017e-08,6.708129237621861e-06,6.708129237621861e-06,0.9999932918707624,1.0,0.0048252306596193225,6.060961115495085e-09,8.034560202343034e-07,8.034560202343034e-07,0.9999991965439797,1.0,
6451.2,382.5,8.724679225283374,4.379623899892755,5.585334254052259e-06,7.883253535839977e-06,6.724032640157214e-09,1.4493099999892028e-06,1.4493099999892028e-06,0.99999855069,1.0,0.0010425044301248974,1.212192223099017e-08,4.710257499964909e-06,4.710257499964909e-06,0.9999952897425001,1.0,0.0033881404412158434,6.060961115495085e-09,5.911150366913743e-07,5.911150366913743e-07,0.9999994088849633,1.0,
