m_GeV,delta_keV,alpha_D_thermal,sigma_p_N1_cm2,eps_mA1GeV,eps_mA10GeV,mA_ceiling_GeV,mA_floor_planck_GeV,mA_floor_chi2_GeV,window_open,window_ratio,k_alphaD_to_open,dilution_D_to_open,alpha_D_diluted
401.8,265.0,0.013929638890149306,2.9733649265266256e-42,1.3059733979112813e-06,0.00013059733979112813,27.671508469388385,3.6338188409085146,4.036721877236486,True,6.854945500563472,1.0,1.0,0.013929638890149306
401.8,267.5,0.013929638890149306,3.372674553372132e-42,1.3909049140587427e-06,0.00013909049140587427,26.81336247781019,3.6338188409085146,3.8952795633522452,True,6.883552782726289,1.0,1.0,0.013929638890149306
401.8,270.0,0.013929638890149306,3.8550191386971947e-42,1.487042882973207e-06,0.00014870428829732069,25.932133792755238,3.6338188409085146,3.7587932332502274,True,6.899058336957718,1.0,1.0,0.013929638890149306
401.8,272.5,0.013929638890149306,4.407045218376095e-42,1.5899518663152632e-06,0.0001589951866315263,25.07887273496771,3.6338188409085146,3.6270892346861,True,6.901519815087309,1.0,1.0,0.013929638890149306
401.8,275.0,0.013929638890149306,5.038119619653906e-42,1.6999825399419488e-06,0.00016999825399419488,24.25368705418367,3.6338188409085146,3.5,True,6.674434834544434,1.0,1.0,0.013929638890149306
401.8,277.5,0.013929638890149306,5.793346408237601e-42,1.8229509039046954e-06,0.00018229509039046954,23.421381806629824,3.6338188409085146,3.377363832919362,True,6.445390602018589,1.0,1.0,0.013929638890149306
401.8,280.0,0.013929638890149306,6.726128171724373e-42,1.9642320495800734e-06,0.00019642320495800737,22.56335121260519,3.6338188409085146,3.259024702831932,True,6.209266944899207,1.0,1.0,0.013929638890149306
401.8,282.5,0.013929638890149306,7.829287857713015e-42,2.1191971147923086e-06,0.00021191971147923084,21.722725936959133,3.6338188409085146,3.1448320462672394,True,5.977933102335969,1.0,1.0,0.013929638890149306
401.8,285.0,0.013929638890149306,9.120798061975578e-42,2.2873185059285914e-06,0.00022873185059285912,20.90916444004484,3.6338188409085146,3.034640575333932,True,5.754047010999922,1.0,1.0,0.013929638890149306
401.8,287.5,0.013929638890149306,1.0772359942657892e-41,2.485796954936915e-06,0.00024857969549369147,20.057055403817767,3.6338188409085146,2.9283100928692645,True,5.519552922677668,1.0,1.0,0.013929638890149306
401.8,290.0,0.013929638890149306,1.2883717275554113e-41,2.7185092589886787e-06,0.00027185092589886785,19.179381230146628,3.6338188409085146,2.825705314065541,True,5.278023498098069,1.0,1.0,0.013929638890149306
401.8,292.5,0.013929638890149306,1.5459868555905494e-41,2.977920655283659e-06,0.0002977920655283659,18.32497703104895,3.6338188409085146,2.726695694346572,True,5.042897797972615,1.0,1.0,0.013929638890149306
401.8,295.0,0.013929638890149306,1.862818351418773e-41,3.268853651382668e-06,0.0003268853651382668,17.490501469981393,3.6338188409085146,2.6311552632751596,True,4.8132563112608215,1.0,1.0,0.013929638890149306
401.8,297.5,0.013929638890149306,2.29815506452217e-41,3.630779610360613e-06,0.0003630779610360613,16.595871216612156,3.6338188409085146,2.5389624642802704,True,4.5670606992788105,1.0,1.0,0.013929638890149306
401.8,300.0,0.013929638890149306,2.8830375926016513e-41,4.066636704537345e-06,0.0004066636704537345,15.681308972663862,3.6338188409085146,2.45,True,4.3153799512865305,1.0,1.0,0.013929638890149306
401.8,302.5,0.013929638890149306,3.622391632407227e-41,4.55835269030306e-06,0.00045583526903030604,14.811397510061255,3.6338188409085146,2.3329056316913084,True,4.075986767231952,1.0,1.0,0.013929638890149306
401.8,305.0,0.013929638890149306,4.600380344932177e-41,5.136970753670107e-06,0.0005136970753670106,13.952320805165702,3.6338188409085146,2.221407627092662,True,3.839575228157877,1.0,1.0,0.013929638890149306
401.8,307.5,0.013929638890149306,6.063164218379104e-41,5.897390543700335e-06,0.0005897390543700335,13.02177105575117,3.6338188409085146,2.1152385157251006,True,3.5834948372097473,1.0,1.0,0.013929638890149306
401.8,310.0,0.013929638890149306,8.167804720993037e-41,6.844833627189018e-06,0.0006844833627189018,12.087000825091861,3.6338188409085146,2.0141436104920203,True,3.326253001118215,1.0,1.0,0.013929638890149306
401.8,312.5,0.013929638890149306,1.1008923591510215e-40,7.94662377503706e-06,0.000794662377503706,11.217825341205396,3.6338188409085146,1.9178803967150608,True,3.087062352948986,1.0,1.0,0.013929638890149306
401.8,315.0,0.013929638890149306,1.5137032740530063e-40,9.318169340232695e-06,0.0009318169340232696,10.359402341780758,3.6338188409085146,1.8262179503701736,True,2.8508307087732354,1.0,1.0,0.013929638890149306
401.8,317.5,0.013929638890149306,2.228035989118245e-40,1.1305019722794538e-05,0.001130501972279454,9.405119929278804,3.6338188409085146,1.7389363841283003,True,2.5882192649227855,1.0,1.0,0.013929638890149306
401.8,320.0,0.013929638890149306,3.3385353094036884e-40,1.3838474265222359e-05,0.0013838474265222358,8.500723588321154,3.6338188409085146,1.6558263198717678,True,2.3393360980526574,1.0,1.0,0.013929638890149306
401.8,322.5,0.013929638890149306,5.0505950315643095e-40,1.702085990379153e-05,0.0017020859903791531,7.664948680423726,3.6338188409085146,1.5766883864210368,True,2.10933704072803,1.0,1.0,0.013929638890149306
401.8,325.0,0.013929638890149306,8.020221702825422e-40,2.1448820283787484e-05,0.0021448820283787484,6.828075189260979,3.6338188409085146,1.5013327412669053,True,1.8790356614348576,1.0,1.0,0.013929638890149306
401.8,327.5,0.013929638890149306,1.4261893920187923e-39,2.8602159519182445e-05,0.002860215951918245,5.912900729444699,3.6338188409085146,1.4295786151608625,True,1.6271864361753312,1.0,1.0,0.013929638890149306
401.8,330.0,0.013929638890149306,2.588881556965657e-39,3.853597169781519e-05,0.0038535971697815194,5.094092688656314,3.6338188409085146,1.3612538784711172,True,1.4018565348686196,1.0,1.0,0.013929638890149306
401.8,332.5,0.013929638890149306,4.896216371161259e-39,5.2995686749658494e-05,0.005299568674965849,4.343899189006884,3.6338188409085146,1.2961946282640426,True,1.1954088465017805,1.0,1.0,0.013929638890149306
401.8,335.0,0.013929638890149306,1.0404610555074524e-38,7.725438474111145e-05,0.007725438474111145,3.597811709633829,3.6338188409085146,1.2342447951204925,False,0.9900911044685753,0.9963853430681585,1.0072687008679133,0.01387928802437698
401.8,337.5,0.013929638890149306,2.7388147206627243e-38,0.00012534053677830135,0.012534053677830134,2.824582245059888,3.6338188409085146,1.1752557687437883,False,0.7773040893677836,0.9124622201051639,1.2010752461075884,0.012710269226968867
401.8,340.0,0.013929638890149306,7.227563111014532e-38,0.0002036133127403839,0.02036133127403839,2.216138584034658,3.6338188409085146,1.1190860414612578,False,0.6098649055054672,0.8354166812213565,1.4328268603547811,0.011637052692220472
401.8,342.5,0.013929638890149306,2.199216948850028e-37,0.00035517653041038723,0.035517653041038724,1.6779455734862667,3.6338188409085146,1.0656008687641227,False,0.46175817974094513,0.7550382345412622,1.7541313523796969,0.010517409955415639
