name,cls,op,tau,mass,delta,distinct,on_LZ_grid,f_lo,f_L2,f_M,f_hi,N_lo,N_L2,N_M,rho,rho_sig32,physical,grid_model,class4,q2spin,SIlike,B_logu,B_flat,B_jeff,B_P016flat,B_logu_rho,B_flat_rho,B_jeff_rho,B_P016flat_rho,B_logu_rho32,B_flat_rho32,B_jeff_rho32,B_P016flat_rho32,Bmu_logu,Bmu_flat,Bmu_jeff,Bmu_logu_rho,post_uniform,post_uniform_rho,post_classes,post_classes_rho,post_physics,post_physics_rho,post_raw,post_raw_rho,post_heavy,post_heavy_rho
O1v_m200,elastic,O1,v,200,0,True,True,0.988056,0.00934111,0.00201036,0.000592454,1667.73,15.7668,3.39328,1.20266,1.1257,True,True,elastic-isovector,False,True,0.171564,0.000481667,0.0252475,1.0003,0.198274,0.000542249,0.028131,1.0003,0.188131,0.000519243,0.027036,1.0003,0.967698,0.857686,1.01794,1.02012,3.50103e-05,4.17506e-05,1.60575e-05,1.84685e-05,1.24699e-05,1.41756e-05,2.67545e-05,3.20904e-05,3.50103e-05,4.17506e-05
O1v_m400,elastic,O1,v,400,0,True,True,0.983616,0.011983,0.00304602,0.00135451,726.181,8.84677,2.2488,1.24569,1.17293,True,True,elastic-isovector,False,True,0.533184,0.00225469,0.0656462,1.00189,0.641476,0.00272013,0.0776867,1.00189,0.609407,0.00258229,0.074121,1.00189,1.29865,1.62861,1.74184,1.44359,0.000108804,0.000135076,4.99032e-05,5.97509e-05,3.87537e-05,4.58622e-05,8.3147e-05,0.000103822,0.000108804,0.000135076
O1v_m1000,elastic,O1,v,1000,0,False,True,0.980811,0.0134926,0.00370524,0.00199146,492.509,6.77523,1.86057,1.26418,1.19259,True,True,elastic-isovector,False,True,0.832544,0.00470171,0.107293,1.00418,1.02021,0.00580698,0.130313,1.00418,0.969355,0.00550746,0.124075,1.00418,1.57428,2.26901,2.34392,1.80298,0,0,0,0,0,0,0.00012983,0.000165119,0,0
O1v_m4000,elastic,O1,v,4000,0,False,True,0.979418,0.0142063,0.00403047,0.0023454,417.591,6.05708,1.71846,1.27178,1.20062,True,True,elastic-isovector,False,True,0.996715,0.00643383,0.133081,1.00583,1.23078,0.00801766,0.163308,1.00583,1.1695,0.00760295,0.155393,1.00583,1.72706,2.62342,2.67739,2.00391,0,0,0,0,0,0,0.000155432,0.0001992,0,0
O3s_m10,elastic,O3,s,10,0,True,True,1,0,0,0,inf,inf,inf,0,0,True,True,elastic-isoscalar,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0.709412,0.2542,0.452113,0.709412,0,0,0,0,0,0,0,0,0,0
O3s_m12,elastic,O3,s,12,0,True,True,1,0,0,0,inf,inf,inf,0,6.37887e-78,True,True,elastic-isoscalar,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0.709412,0.2542,0.452113,0.709412,0,0,0,0,0,0,0,0,0,0
O3s_m14,elastic,O3,s,14,0,True,True,1,0,0,0,inf,inf,inf,1.38643e-117,3.76587e-58,True,True,elastic-isoscalar,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0.709412,0.2542,0.452113,0.709412,0,0,0,0,0,0,0,0,0,0
O3s_m17,elastic,O3,s,17,0,True,True,1,0,0,0,inf,inf,inf,3.43216e-78,1.50871e-38,True,True,elastic-isoscalar,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0.709412,0.2542,0.452113,0.709412,0,0,0,0,0,0,0,0,0,0
O3s_m21,elastic,O3,s,21,0,True,True,1,0,0,0,inf,inf,inf,1.83346e-51,2.44931e-25,True,True,elastic-isoscalar,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0.709412,0.2542,0.452113,0.709412,0,0,0,0,0,0,0,0,0,0
O3s_m30,elastic,O3,s,30,0,True,True,0.998653,0.00134737,0,0,inf,inf,inf,1.58019e-22,2.51226e-11,True,True,elastic-isoscalar,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0.709412,0.2542,0.452113,0.709412,0,0,0,0,0,0,0,0,0,0
O3s_m40,elastic,O3,s,40,0,True,True,0.964028,0.0359721,0,0,inf,inf,inf,4.73103e-11,6.25376e-06,True,True,elastic-isoscalar,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0.709412,0.2542,0.452113,0.709412,0,0,0,0,0,0,0,0,0,0
O3s_m50,elastic,O3,s,50,0,True,True,0.908743,0.0912533,4.05981e-06,0,inf,inf,inf,2.31212e-06,0.00118188,True,True,elastic-isoscalar,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0.709411,0.254198,0.452111,0.709411,0,0,0,0,0,0,0,0,0,0
O3s_m100,elastic,O3,s,100,0,True,True,0.739966,0.253834,0.00419194,0.00200778,368.549,126.425,2.08785,0.621332,0.692723,True,True,elastic-isoscalar,False,False,0.83952,0.00477011,0.108352,1.00425,0.568106,0.00316135,0.0749831,1.00425,0.619277,0.00346465,0.0812741,1.00425,1.58068,2.28296,2.35746,1.2504,0.000171317,0.000119626,4.97105e-05,3.3478e-05,6.10192e-05,4.06166e-05,0.000130918,9.19471e-05,0.000171317,0.000119626
O3s_m200,elastic,O3,s,200,0,True,True,0.647875,0.318402,0.0165866,0.0171363,37.8073,18.5806,0.967921,0.827512,0.861547,True,True,elastic-isoscalar,False,False,7.31083,0.298618,2.13736,1.29441,6.10361,0.247836,1.77868,1.29441,6.34182,0.257856,1.84946,1.29441,7.86874,16.4953,15.9009,6.63297,0.00149188,0.00128524,0.000432896,0.00035968,0.000531376,0.000436376,0.00114008,0.00098786,0.00149188,0.00128524
O3s_m400,elastic,O3,s,400,0,True,True,0.603829,0.337001,0.0258035,0.0333666,18.0968,10.0999,0.773334,0.886194,0.910174,True,True,elastic-isoscalar,False,False,13.6854,1.05518,5.45515,2.04726,12.1703,0.935996,4.84336,2.04726,12.4895,0.961109,4.97227,2.04726,14.1778,30.0783,29.1574,12.644,0.00279271,0.00256269,0.000810354,0.000717182,0.000994703,0.00087011,0.00213416,0.00196974,0.00279271,0.00256269
O3s_m1000,elastic,O3,s,1000,0,True,True,0.57963,0.343684,0.0315174,0.0451684,12.8327,7.60896,0.697775,0.912913,0.932357,True,True,elastic-isoscalar,False,False,18.0617,1.84841,8.27862,2.83794,16.5235,1.68835,7.56561,2.83794,16.8669,1.72408,7.7248,2.83794,18.5232,39.0506,38.0965,16.9709,0.00368576,0.00347934,0.00106949,0.000973712,0.00131279,0.00118134,0.00281662,0.0026743,0.00368576,0.00347934
O3s_m4000,elastic,O3,s,4000,0,True,True,0.568448,0.346055,0.0342338,0.0512634,11.0888,6.75053,0.667802,0.924096,0.941721,True,True,elastic-isoscalar,False,False,20.2469,2.32878,9.83208,3.31703,18.7412,2.15291,9.09312,3.31703,19.0908,2.19374,9.26471,3.31703,20.6952,43.4189,42.5058,19.1773,0.00413168,0.00394632,0.00119888,0.0011044,0.00147161,0.00133989,0.00315738,0.00303323,0.00413168,0.00394632
O3v_m10,elastic,O3,v,10,0,False,True,1,0,0,0,inf,inf,inf,0,0,True,True,elastic-isovector,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0.709412,0.2542,0.452113,0.709412,0,0,0,0,0,0,0,0,0,0
O3v_m12,elastic,O3,v,12,0,True,True,1,0,0,0,inf,inf,inf,0,6.37887e-78,True,True,elastic-isovector,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0.709412,0.2542,0.452113,0.709412,0,0,0,0,0,0,0,0,0,0
O3v_m14,elastic,O3,v,14,0,True,True,1,0,0,0,inf,inf,inf,1.38822e-117,3.76557e-58,True,True,elastic-isovector,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0.709412,0.2542,0.452113,0.709412,0,0,0,0,0,0,0,0,0,0
O3v_m17,elastic,O3,v,17,0,True,True,1,0,0,0,inf,inf,inf,3.43182e-78,1.50191e-38,True,True,elastic-isovector,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0.709412,0.2542,0.452113,0.709412,0,0,0,0,0,0,0,0,0,0
O3v_m21,elastic,O3,v,21,0,True,True,1,0,0,0,inf,inf,inf,1.82957e-51,2.41696e-25,True,True,elastic-isovector,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0.709412,0.2542,0.452113,0.709412,0,0,0,0,0,0,0,0,0,0
O3v_m30,elastic,O3,v,30,0,True,True,0.999089,0.000910937,0,0,inf,inf,inf,1.65016e-22,2.90123e-11,True,True,elastic-isovector,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0.709412,0.2542,0.452113,0.709412,0,0,0,0,0,0,0,0,0,0
O3v_m40,elastic,O3,v,40,0,True,True,0.971706,0.0282941,0,0,inf,inf,inf,5.82475e-11,8.31786e-06,True,True,elastic-isovector,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0.709412,0.2542,0.452113,0.709412,0,0,0,0,0,0,0,0,0,0
O3v_m50,elastic,O3,v,50,0,True,True,0.915523,0.0842198,0.000256892,0,inf,inf,inf,3.41479e-06,0.00234578,True,True,elastic-isovector,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0.709373,0.254111,0.452028,0.709373,0,0,0,0,0,0,0,0,0,0
O3v_m100,elastic,O3,v,100,0,True,True,0.617649,0.284672,0.092796,0.00488238,126.506,58.306,19.0063,0.336416,0.413338,True,True,elastic-isovector,False,False,1.89974,0.0214217,0.309266,1.02032,0.763381,0.00794029,0.123673,1.02032,0.895108,0.00950305,0.145187,1.02032,2.57022,4.22655,4.34423,1.32612,0.000387671,0.000160745,0.000177806,7.11058e-05,0.00013808,5.45777e-05,0.000296254,0.000123552,0.000387671,0.000160745
O3v_m200,elastic,O3,v,200,0,True,True,0.419999,0.324768,0.226067,0.0291665,14.4,11.135,7.7509,0.478318,0.545733,True,True,elastic-isovector,False,False,9.44738,0.515173,3.16855,1.50972,4.69349,0.24926,1.5498,1.50972,5.30782,0.283623,1.75899,1.50972,9.95243,17.2803,18.3749,5.11306,0.00192788,0.000988307,0.000884224,0.000437179,0.000686668,0.00033556,0.00147326,0.000759634,0.00192788,0.000988307
O3v_m400,elastic,O3,v,400,0,True,True,0.343587,0.320527,0.287542,0.0483436,7.10718,6.63019,5.94788,0.524797,0.589992,True,True,elastic-isovector,False,False,14.3155,1.19441,5.91238,2.18613,7.69068,0.630762,3.14121,2.18613,8.59958,0.708092,3.5214,2.18613,14.7694,24.3292,26.7141,8.06799,0.0029213,0.00161943,0.00133986,0.000716355,0.0010405,0.000549843,0.00223243,0.00124472,0.0029213,0.00161943
O3v_m1000,elastic,O3,v,1000,0,True,True,0.307917,0.314365,0.317542,0.0601754,5.11699,5.22414,5.27694,0.54683,0.611083,True,True,elastic-isovector,False,False,17.0548,1.70261,7.69467,2.69273,9.50334,0.935519,4.24767,2.69273,10.574,1.04428,4.73641,2.69273,17.4857,27.9359,31.2003,9.86214,0.00348028,0.00200112,0.00159624,0.000885197,0.0012396,0.000679439,0.00265959,0.0015381,0.00348028,0.00200112
O3v_m4000,elastic,O3,v,4000,0,True,True,0.292879,0.311111,0.330184,0.0658262,4.44928,4.72625,5.01599,0.556159,0.620226,True,True,elastic-isovector,False,False,18.3116,1.96622,8.56424,2.95561,10.3608,1.09825,4.80368,2.95561,11.5085,1.22353,5.3465,2.95561,18.733,29.522,33.2177,10.712,0.00373675,0.00218168,0.00171387,0.000965069,0.00133095,0.000740745,0.00285559,0.00167688,0.00373675,0.00218168
O4s_m10,elastic,O4,s,10,0,False,True,1,0,0,0,inf,inf,inf,0,0,True,True,elastic-isoscalar,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0.709412,0.2542,0.452113,0.709412,0,0,0,0,0,0,0,0,0,0
O4s_m12,elastic,O4,s,12,0,False,True,1,0,0,0,inf,inf,inf,0,6.37887e-78,True,True,elastic-isoscalar,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0.709412,0.2542,0.452113,0.709412,0,0,0,0,0,0,0,0,0,0
O4s_m14,elastic,O4,s,14,0,False,True,1,0,0,0,inf,inf,inf,1.3864e-117,3.7659e-58,True,True,elastic-isoscalar,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0.709412,0.2542,0.452113,0.709412,0,0,0,0,0,0,0,0,0,0
O4s_m17,elastic,O4,s,17,0,False,True,1,0,0,0,inf,inf,inf,3.43224e-78,1.51038e-38,True,True,elastic-isoscalar,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0.709412,0.2542,0.452113,0.709412,0,0,0,0,0,0,0,0,0,0
O4s_m21,elastic,O4,s,21,0,False,True,1,0,0,0,inf,inf,inf,1.83414e-51,2.4549e-25,True,True,elastic-isoscalar,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0.709412,0.2542,0.452113,0.709412,0,0,0,0,0,0,0,0,0,0
O4s_m30,elastic,O4,s,30,0,False,True,0.999867,0.000132916,0,0,inf,inf,inf,1.59172e-22,2.57617e-11,True,True,elastic-isoscalar,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0.709412,0.2542,0.452113,0.709412,0,0,0,0,0,0,0,0,0,0
O4s_m40,elastic,O4,s,40,0,True,True,0.994604,0.0053961,0,0,inf,inf,inf,4.71699e-11,6.54882e-06,True,True,elastic-isoscalar,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0.709412,0.2542,0.452113,0.709412,0,0,0,0,0,0,0,0,0,0
O4s_m50,elastic,O4,s,50,0,True,True,0.980956,0.0190234,2.09296e-05,0,inf,inf,inf,3.32922e-06,0.00221388,True,True,elastic-isoscalar,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0.709409,0.254192,0.452106,0.709409,0,0,0,0,0,0,0,0,0,0
O4s_m100,elastic,O4,s,100,0,True,True,0.888984,0.0984278,0.01159,0.000997709,891.026,98.6538,11.6166,0.500052,0.534547,True,True,elastic-isoscalar,False,False,0.357391,0.00123698,0.0446662,1.00097,0.213702,0.000754139,0.0294318,1.00097,0.223617,0.000787454,0.030483,1.00097,1.13705,1.24403,1.38445,0.922298,7.2931e-05,4.49993e-05,2.11622e-05,1.25933e-05,2.59764e-05,1.52786e-05,5.57331e-05,3.45874e-05,7.2931e-05,4.49993e-05
O4s_m200,elastic,O4,s,200,0,True,True,0.797995,0.152333,0.0404038,0.00926837,86.0987,16.4357,4.35932,0.713388,0.729763,True,True,elastic-isoscalar,False,False,3.87845,0.0848899,0.843765,1.08266,2.83906,0.0611984,0.614006,1.08266,2.89845,0.062552,0.627133,1.08266,4.49376,8.71017,8.55516,3.40702,0.000791456,0.000597821,0.000229654,0.000167303,0.000281899,0.000202978,0.000604822,0.000459498,0.000791456,0.000597821
O4s_m400,elastic,O4,s,400,0,True,True,0.747209,0.173566,0.0606307,0.0185948,40.1838,9.33412,3.26063,0.778803,0.791274,True,True,elastic-isoscalar,False,False,7.46182,0.313779,2.21066,1.30948,5.88062,0.245323,1.7346,1.30948,5.96977,0.249182,1.76144,1.30948,8.01159,16.1192,15.8641,6.39383,0.0015227,0.00123828,0.000441836,0.000346539,0.000542351,0.000420434,0.00116363,0.00095177,0.0015227,0.00123828
O4s_m1000,elastic,O4,s,1000,0,True,True,0.718223,0.183274,0.0729019,0.0256007,28.0548,7.15894,2.84765,0.808873,0.820073,True,True,elastic-isoscalar,False,False,9.99692,0.565645,3.42067,1.55988,8.15148,0.458638,2.77983,1.55988,8.25962,0.464909,2.81738,1.55988,10.5155,21.1733,20.9555,8.63858,0.00204002,0.00171646,0.000591947,0.000480359,0.000726611,0.000582788,0.00155896,0.0013193,0.00204002,0.00171646
O4s_m4000,elastic,O4,s,4000,0,True,True,0.704631,0.187392,0.0787209,0.0292555,24.0855,6.40537,2.69081,0.82178,0.832494,True,True,elastic-isoscalar,False,False,11.2754,0.721248,4.09651,1.71474,9.32881,0.593868,3.37925,1.71474,9.44583,0.601526,3.42237,1.71474,11.7808,23.6616,23.4947,9.80489,0.00230092,0.00196437,0.000667652,0.000549737,0.000819538,0.00066696,0.00175834,0.00150985,0.00230092,0.00196437
O4v_m10,elastic,O4,v,10,0,False,True,1,0,0,0,inf,inf,inf,0,0,True,True,elastic-isovector,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0.709412,0.2542,0.452113,0.709412,0,0,0,0,0,0,0,0,0,0
O4v_m12,elastic,O4,v,12,0,False,True,1,0,0,0,inf,inf,inf,0,6.37887e-78,True,True,elastic-isovector,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0.709412,0.2542,0.452113,0.709412,0,0,0,0,0,0,0,0,0,0
O4v_m14,elastic,O4,v,14,0,False,True,1,0,0,0,inf,inf,inf,1.3864e-117,3.7659e-58,True,True,elastic-isovector,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0.709412,0.2542,0.452113,0.709412,0,0,0,0,0,0,0,0,0,0
O4v_m17,elastic,O4,v,17,0,False,True,1,0,0,0,inf,inf,inf,3.43224e-78,1.51035e-38,True,True,elastic-isovector,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0.709412,0.2542,0.452113,0.709412,0,0,0,0,0,0,0,0,0,0
O4v_m21,elastic,O4,v,21,0,False,True,1,0,0,0,inf,inf,inf,1.83412e-51,2.45475e-25,True,True,elastic-isovector,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0.709412,0.2542,0.452113,0.709412,0,0,0,0,0,0,0,0,0,0
O4v_m30,elastic,O4,v,30,0,False,True,0.999862,0.000137857,0,0,inf,inf,inf,1.59343e-22,2.58558e-11,True,True,elastic-isovector,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0.709412,0.2542,0.452113,0.709412,0,0,0,0,0,0,0,0,0,0
O4v_m40,elastic,O4,v,40,0,False,True,0.994394,0.00560567,0,0,inf,inf,inf,4.7546e-11,6.59394e-06,True,True,elastic-isovector,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0.709412,0.2542,0.452113,0.709412,0,0,0,0,0,0,0,0,0,0
O4v_m50,elastic,O4,v,50,0,False,True,0.980232,0.0197466,2.12202e-05,0,inf,inf,inf,3.3168e-06,0.00220072,True,True,elastic-isovector,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0.709409,0.254192,0.452106,0.709409,0,0,0,0,0,0,0,0,0,0
O4v_m100,elastic,O4,v,100,0,False,True,0.885899,0.101653,0.0114977,0.000950251,932.279,106.975,12.0997,0.500671,0.532556,True,True,elastic-isovector,False,False,0.33506,0.00112876,0.0421858,1.00087,0.201097,0.000695045,0.0280389,1.00087,0.209652,0.000722741,0.0289423,1.00087,1.11671,1.1971,1.34018,0.912395,0,0,0,0,0,0,5.22507e-05,3.25473e-05,0,0
O4v_m200,elastic,O4,v,200,0,False,True,0.794354,0.156967,0.0398421,0.00883694,89.8902,17.7626,4.50858,0.717591,0.732261,True,True,elastic-isovector,False,False,3.7026,0.077452,0.788931,1.07532,2.7269,0.05618,0.577754,1.07532,2.77759,0.0572849,0.588723,1.07532,4.32225,8.33457,8.19168,3.29992,0,0,0,0,0,0,0.000577399,0.000441345,0,0
O4v_m400,elastic,O4,v,400,0,False,True,0.743821,0.178764,0.0596772,0.0177381,41.9335,10.0779,3.36435,0.78405,0.795459,True,True,elastic-isovector,False,False,7.13718,0.286975,2.06927,1.28287,5.66268,0.22589,1.63475,1.28287,5.74058,0.229117,1.65771,1.28287,7.69149,15.4498,15.2015,6.18128,0,0,0,0,0,0,0.001113,0.000916496,0,0
O4v_m1000,elastic,O4,v,1000,0,False,True,0.715108,0.188754,0.0717028,0.0244351,29.2656,7.72473,2.93442,0.814578,0.825081,True,True,elastic-isovector,False,False,9.57411,0.518483,3.20667,1.51296,7.86138,0.423369,2.62437,1.51296,7.9584,0.428757,2.65735,1.51296,10.0973,20.3261,20.1037,8.35399,0,0,0,0,0,0,0.00149303,0.00127235,0,0
