op,tau,mass,ceiling_keV,Bcol,B_delta_uniform,B_delta_loguniform,B_LZgrid_mean,B_LZgrid_ge300_mean,B_max,delta_at_Bmax,tuning_penalty_Bmax_over_Bunif,delta_post_16,delta_post_50,delta_post_84,frac_delta_prior_with_B_gt_10
O1,v,4000,417.0802066425876,B_logu_rho32,93.96838239572028,37.148949435237625,73.7671444053686,185.77323922767215,258.56736511843724,410.0,2.75164218566152,230.55274296188423,330.00446553288407,390.14231940977186,0.7209302325581395
O4,s,400,329.1365613094608,B_logu,38.16951042990269,20.682092943620496,35.005059972211576,94.5489521747539,158.6009239960989,320.0,4.155173126659966,145.2647004157836,256.34478874861423,311.176594112227,0.7941176470588235
O4,s,400,329.1365613094608,B_logu_rho,33.222144980243165,17.272750322581786,29.435492901117232,84.60589648494891,173.25944142872353,320.0,5.215179258646875,153.54526537220994,265.19860677904165,313.7810944313852,0.7352941176470589
O4,s,400,329.1365613094608,B_flat,15.656601802755691,5.7647942017091385,12.164130806134128,53.71955529307669,151.46282592678688,320.0,9.674054934457628,230.52321040858314,300.6393924867133,319.4119780593768,0.3235294117647059
O4,s,400,329.1365613094608,B_flat_rho,14.604033545665557,5.232576507106516,10.5147751742444,48.04262775802639,165.50677940634188,320.0,11.332949824363004,240.59100945928674,304.4601451142691,320.68203763039816,0.29411764705882354
O4,s,400,329.1365613094608,B_logu_rho32,33.78696828604745,17.566860262227735,30.058546486571498,86.76017794477013,172.94452693267192,320.0,5.118675504368663,153.56221461488346,265.06578379706724,313.616451435907,0.7352941176470589
O4,s,1000,382.9709025000762,B_logu,52.79685894251225,28.334417083013633,52.62718231616195,121.54791458864617,170.77080971437817,370.0,3.234488057335411,166.97364041636504,296.29016194308025,355.558618340151,0.9
O4,s,1000,382.9709025000762,B_logu_rho,54.61928655547336,26.73402969223807,53.05314445938471,137.00851425756895,268.7985983908334,370.0,4.921312879431913,189.15866604771546,317.10022010625534,361.938200017084,0.825
O4,s,1000,382.9709025000762,B_flat,29.336124493409685,10.749662713389506,29.591119646814313,97.49730964447858,175.60138794164075,370.0,5.985841380687123,263.82670111366207,338.9779671975546,364.575031172368,0.475
O4,s,1000,382.9709025000762,B_flat_rho,34.083372262874704,11.857837931196578,32.83895701888375,113.52225227031732,276.7083110715818,370.0,8.1185719810063,285.92820540866353,347.21886978089054,367.17985549323225,0.425
O4,s,1000,382.9709025000762,B_logu_rho32,54.24742991865337,26.775456580863885,53.07663046432825,136.01574952905258,252.9714218230868,370.0,4.663288605606379,187.0344933003819,314.8138426914219,361.21557746437185,0.825
O4,s,4000,417.0802066425876,B_logu,60.46989480577413,32.19598926297253,50.922043812452095,108.60154123251678,170.77080971437817,380.0,2.8240632841000357,178.3530431998339,317.23269554124016,381.2044992481763,0.9534883720930233
O4,s,4000,417.0802066425876,B_logu_rho,65.20968234117824,31.40890725534597,48.88591866248281,113.80201534663995,267.03357876512035,390.0,4.094998920068278,204.57170994975192,339.71554621618196,387.34394647060776,0.8837209302325582
O4,s,4000,417.0802066425876,B_flat,36.8614948213416,13.467017849122852,24.603287491443815,75.09111810348563,175.60138794164075,380.0,4.763816247624697,279.1795863414541,359.082533059301,390.89366245318405,0.5348837209302325
O4,s,4000,417.0802066425876,B_flat_rho,44.16928757676478,15.302227503153514,25.06218678012575,79.97344514630572,274.8878507099918,390.0,6.223506553784588,302.6617108522608,367.81981645665013,393.21902042205704,0.4883720930232558
O4,s,4000,417.0802066425876,B_logu_rho32,65.17986091427044,31.5532189439386,49.34783710044129,114.56218123079941,253.7596843358604,400.0,3.893222243441493,203.1008899512496,338.24704689514584,387.6229408954228,0.8837209302325582
