name,op,tau,mass,delta,physical,on_LZ_grid,distinct,N_lo,N_L2,N_M,f_hi,rho,rho_sig32,B_logu,B_flat,B_jeff,B_logu_rho,B_flat_rho,Bmu_logu
O1v_m4000_d410,O1,v,4000,410.0,True,False,False,0.0,0.0,0.0,1.0,1.4913480860248176,1.51597492788549,170.77080971437817,175.60138794164075,246.2824262730936,254.37694467551336,261.8336612065919,170.77080971437817
O1v_m4000_d420,O1,v,4000,420.0,False,False,False,inf,inf,inf,0.0,1.1378367892968206,1.4750227935771896,0.0,0.0,0.0,0.0,0.0,0.9999999999999999
O4s_m400_d0,O4,s,400,0.0,True,True,False,40.165146621165334,9.332686444949415,3.256901134528161,0.018603012643824773,0.7779269548423453,0.7906806278703913,7.46543365687755,0.31408149811603525,2.2122461953149126,5.877181934041117,0.24528715599404977,8.015163721009827
O4s_m400_d10,O4,s,400,10.0,True,False,False,40.232684107327245,9.434614597689592,3.2747686159565887,0.018538407029335083,0.7766344029349304,0.7895180634531287,7.43914219589247,0.311875377466557,2.2007039600708507,5.847443406737217,0.24316999333215,7.989206608907143
O4s_m400_d20,O4,s,400,20.0,True,False,False,38.668373096549296,9.481606430630027,3.2875782397156197,0.019070300803202614,0.7758861861469968,0.7887521285012506,7.626032974421126,0.32789499342735295,2.283652343506757,5.987643394699885,0.25539352867311604,8.17335838289422
O4s_m400_d30,O4,s,400,30.0,True,False,False,35.58126184851543,9.453133010465432,3.2921149030920405,0.02027307435339564,0.7754016953684049,0.7882808799630991,8.048503905903651,0.3655985824468845,2.474962080596768,6.312833058694131,0.28452725567718573,8.589891850915462
O4s_m400_d40,O4,s,400,40.0,True,False,False,31.36486233965842,9.373392169378487,3.293342307992222,0.022206629804027746,0.7751716624653229,0.7879831651412467,8.71625309422507,0.42948949784276846,2.7880179223634762,6.830374557589606,0.33405779306967814,9.248752289146047
O4s_m400_d50,O4,s,400,50.0,True,True,True,26.654902145590906,9.238790786860541,3.2946505885138295,0.024882836971828026,0.7747502045918816,0.7876501835261532,9.615934591117226,0.5239486912853387,3.2297881302606077,7.52596763392041,0.4071789235480608,10.137253367059088
O4s_m400_d60,O4,s,400,60.0,True,False,False,21.919809764128065,9.027151292722989,3.2851886002517205,0.028383167355171608,0.7746420993597073,0.7876986899738104,10.755734616097284,0.6574742471445738,3.8208634025057093,8.410300042084174,0.5107067953213617,11.26401205487107
O4s_m400_d70,O4,s,400,70.0,True,False,False,17.585619094930454,8.751408915179066,3.2642963984368625,0.03267832420091984,0.7751500444029382,0.7883676386921726,12.101170560495817,0.8351371532507686,4.5614631287922665,9.461021306971436,0.6489291427781706,12.595350191616923
O4s_m400_d80,O4,s,400,80.0,True,False,False,13.856155231396317,8.428864661387466,3.246352879869429,0.037691227233848,0.7757995442548612,0.7890431908957106,13.595506509882991,1.0581441595300156,5.435723881433411,10.630435620715264,0.8226709958582842,14.07525537164291
