m_GeV,alpha_D,mA_GeV,eps_phi,S_sat,S_GC,S_dSph,S_allowed_CMB,CMB_ok,dSph_ok
1000.0,0.03463814136252493,4.5467086039383275,0.13126306508054789,216.25572985302622,185.68299617967995,216.12604751438838,22.727272727272723,False,False
1000.0,0.03463814136252493,4.590154292894652,0.13251733818087444,243.69800825157608,205.0791985060652,243.53088726057538,22.727272727272723,False,False
1000.0,0.03463814136252493,4.634015123451926,0.1337835963815736,277.4954154053153,227.95481548121478,277.2758289824863,22.727272727272723,False,False
1000.0,0.03463814136252493,4.678295062460555,0.13506195420525685,319.7594088722045,255.10092680659037,319.46436132288284,22.727272727272723,False,False
1000.0,0.03463814136252493,4.722998114675847,0.13635252726884667,373.56239050481514,287.51279922585405,373.15547227518215,22.727272727272723,False,False
1000.0,0.03463814136252493,4.768128323120212,0.1376554322940335,443.51530011888127,326.4355700312284,442.9365168456043,22.727272727272723,False,False
1000.0,0.03463814136252493,4.813689769448812,0.13897078711783167,536.7953534778947,373.40530479970533,535.9410495509561,22.727272727272723,False,False
1000.0,0.03463814136252493,4.859686574318728,0.1402987107032374,665.0748193075472,430.26273848767494,663.7553450266183,22.727272727272723,False,False
1000.0,0.03463814136252493,4.906122897761624,0.1416393231499877,848.381901490419,499.0886335016962,846.2248684597057,22.727272727272723,False,False
1000.0,0.03463814136252493,4.9530029395599975,0.14299274570542228,1123.471078600844,581.9565430397234,1119.67688270729,22.727272727272723,False,False
1000.0,0.03463814136252493,5.000330939627014,0.14435910077544983,1563.910199975918,680.3140706475348,1556.5487962555685,22.727272727272723,False,False
1000.0,0.03463814136252493,5.048111178389959,0.14573851193561788,2335.219443199626,793.7146905503698,2318.8231723149574,22.727272727272723,False,False
1000.0,0.03463814136252493,5.0963479771774,0.1471311039422903,3877.5083289486483,917.6752770460918,3832.509668816377,22.727272727272723,False,False
1000.0,0.03463814136252493,5.145045698609968,0.14853700274392903,7711.1208307184215,1041.0157881179828,7535.385909355463,22.727272727272723,False,False
1000.0,0.03463814136252493,5.194208746994961,0.14995633549248646,22384.878056373796,1144.5862176496275,20968.76083529422,22.727272727272723,False,False
1000.0,0.03463814136252493,5.243841568724661,0.1513892305549045,262648.2255446367,1204.9585782204529,146771.3533668462,22.727272727272723,False,False
1000.0,0.03463814136252493,5.2939486526784725,0.1528358175247245,127041.87820202424,1204.6921716706636,92057.36627294499,22.727272727272723,False,False
1000.0,0.03463814136252493,5.344534530628909,0.15429622723380795,17392.3705337819,1143.0042266283253,16537.171503971025,22.727272727272723,False,False
1000.0,0.03463814136252493,5.39560377765145,0.15577059176416908,6529.128866147119,1036.4724821705734,6405.665467461396,22.727272727272723,False,False
1000.0,0.03463814136252493,5.447161012538324,0.15725904445992062,3387.7036389567957,908.9134413667372,3354.4363707050475,22.727272727272723,False,False
1000.0,0.03463814136252493,5.4992108982162335,0.1587617199393337,2067.207559790179,780.4539744099799,2054.8893641610125,22.727272727272723,False,False
1000.0,0.03463814136252493,5.551758142168086,0.16027875410701287,1391.0946117324131,663.0677986081654,1385.5642160343389,22.727272727272723,False,False
1000.0,0.03463814136252493,5.604807496858741,0.16181028416618773,999.6001601365131,561.5977280222738,996.7745177712803,22.727272727272723,False,False
1000.0,0.03463814136252493,5.658363760164841,0.16335644863112184,752.9574278423999,476.51933706317834,751.3733710737913,22.727272727272723,False,False
1000.0,0.03463814136252493,5.712431775808712,0.16491738733963948,587.7057338798139,406.2534233512165,586.7534929487049,22.727272727272723,False,False
1000.0,0.03463814136252493,5.767016433796479,0.16649324146577402,471.6643631487935,348.55071381733086,471.0598999788174,22.727272727272723,False,False
1000.0,0.03463814136252493,5.822122670860299,0.1680841535325352,387.10686789375313,301.16672386378576,386.7060463365526,22.727272727272723,False,False
1000.0,0.03463814136252493,5.877755470904855,0.16969026742479923,323.61899067490134,262.1278876571193,323.343522407505,22.727272727272723,False,False
1000.0,0.03463814136252493,5.933919865458109,0.17131172840232206,274.7579854067873,229.7976176760084,274.5629282971542,22.727272727272723,False,False
1000.0,0.03463814136252493,5.990620934126364,0.17294868311287703,236.36549402754778,202.85762607890857,236.22383579309346,22.727272727272723,False,False
1000.0,0.03463814136252493,6.047863805053667,0.1746012796055178,205.66079177522994,180.26066151268628,205.5556551339132,22.727272727272723,False,False
1000.0,0.03463814136252493,6.105653655385614,0.17626966734396818,180.72763659940253,161.17927299672988,180.64812117955398,22.727272727272723,False,False
1000.0,0.03463814136252493,6.163995711737579,0.17795399722014002,160.21094777073898,144.9599742825403,160.14980859486118,22.727272727272723,False,False
1000.0,0.03463814136252493,6.222895250667418,0.17965442156778016,143.13071216603538,131.08537629745854,143.0830116083774,22.727272727272723,False,False
1000.0,0.03463814136252493,6.282357599152673,0.18137109417624717,128.76407218788322,119.14409265773389,128.7263699674583,22.727272727272723,False,False
