r,m_A_GeV,m_h_GeV,eps,Y_h,mY_GeV,tau_h_s,excluded,reason
0.7,0.17747683298777853,0.12423378309144496,0.001,7.404286312009051e-10,9.198624996330875e-11,0.0010419352760946542,False,decays before 1 s
0.7,0.17747683298777853,0.12423378309144496,0.01,7.404286312009051e-10,9.198624996330875e-11,1.0419352760946542e-07,False,decays before 1 s
0.7,0.6299605249474366,0.44097236746320556,1e-10,1.3324784770908471e-09,5.875861886365176e-10,2.344248182935238e+24,True,overclosure (quasi-stable)
0.7,0.6299605249474366,0.44097236746320556,1e-09,1.3324784770908471e-09,5.875861886365176e-10,2.3442481829352374e+20,True,overclosure (quasi-stable)
0.7,0.6299605249474366,0.44097236746320556,1e-08,1.3324784770908471e-09,5.875861886365176e-10,2.3442481829352384e+16,True,Planck (post-recombination injection)
0.7,0.6299605249474366,0.44097236746320556,1e-07,1.3324784770908471e-09,5.875861886365176e-10,2344248182935.239,True,FIRAS y
0.7,0.6299605249474366,0.44097236746320556,1e-06,1.3324784770908471e-09,5.875861886365176e-10,234424818.29352385,True,FIRAS mu
0.7,0.6299605249474366,0.44097236746320556,1e-05,1.3324784770908471e-09,5.875861886365176e-10,23442.481829352368,True,BBN envelope
0.7,0.6299605249474366,0.44097236746320556,0.0001,1.3324784770908471e-09,5.875861886365176e-10,2.3442481829352375,False,BBN envelope
0.7,0.6299605249474366,0.44097236746320556,0.001,1.3324784770908471e-09,5.875861886365176e-10,0.00023442481829352377,False,decays before 1 s
0.7,0.6299605249474366,0.44097236746320556,0.01,1.3324784770908471e-09,5.875861886365176e-10,2.344248182935238e-08,False,decays before 1 s
0.7,2.2360679774997894,1.5652475842498526,1e-10,1.9392023318405405e-09,3.035331765285087e-09,5.934560161192864e+22,True,overclosure (quasi-stable)
0.7,2.2360679774997894,1.5652475842498526,1e-09,1.9392023318405405e-09,3.035331765285087e-09,5.934560161192866e+18,True,overclosure (quasi-stable)
0.7,2.2360679774997894,1.5652475842498526,1e-08,1.9392023318405405e-09,3.035331765285087e-09,593456016119286.8,True,Planck (post-recombination injection)
0.7,2.2360679774997894,1.5652475842498526,1e-07,1.9392023318405405e-09,3.035331765285087e-09,59345601611.92869,True,FIRAS y
0.7,2.2360679774997894,1.5652475842498526,1e-06,1.9392023318405405e-09,3.035331765285087e-09,5934560.161192868,True,FIRAS mu
0.7,2.2360679774997894,1.5652475842498526,1e-05,1.9392023318405405e-09,3.035331765285087e-09,593.4560161192863,True,BBN envelope
0.7,2.2360679774997894,1.5652475842498526,0.0001,1.9392023318405405e-09,3.035331765285087e-09,0.05934560161192865,False,decays before 1 s
0.7,2.2360679774997894,1.5652475842498526,0.001,1.9392023318405405e-09,3.035331765285087e-09,5.934560161192867e-06,False,decays before 1 s
0.7,2.2360679774997894,1.5652475842498526,0.01,1.9392023318405405e-09,3.035331765285087e-09,5.934560161192865e-10,False,decays before 1 s
0.7,7.9370052598409995,5.555903681888699,1e-10,1.2623777056142725e-09,7.0136489425565455e-09,5.078389377816837e+22,True,overclosure (quasi-stable)
0.7,7.9370052598409995,5.555903681888699,1e-09,1.2623777056142725e-09,7.0136489425565455e-09,5.078389377816837e+18,True,overclosure (quasi-stable)
0.7,7.9370052598409995,5.555903681888699,1e-08,1.2623777056142725e-09,7.0136489425565455e-09,507838937781683.7,True,Planck (post-recombination injection)
0.7,7.9370052598409995,5.555903681888699,1e-07,1.2623777056142725e-09,7.0136489425565455e-09,50783893778.16837,True,FIRAS y
0.7,7.9370052598409995,5.555903681888699,1e-06,1.2623777056142725e-09,7.0136489425565455e-09,5078389.377816839,True,FIRAS mu
0.7,7.9370052598409995,5.555903681888699,1e-05,1.2623777056142725e-09,7.0136489425565455e-09,507.83893778168357,True,BBN envelope
0.7,7.9370052598409995,5.555903681888699,0.0001,1.2623777056142725e-09,7.0136489425565455e-09,0.05078389377816835,False,decays before 1 s
0.7,7.9370052598409995,5.555903681888699,0.001,1.2623777056142725e-09,7.0136489425565455e-09,5.0783893778168365e-06,False,decays before 1 s
0.7,7.9370052598409995,5.555903681888699,0.01,1.2623777056142725e-09,7.0136489425565455e-09,5.078389377816838e-10,False,decays before 1 s
0.7,28.172691138478395,19.720883796934874,1e-10,2.0583559678221277e-09,4.0592598854147596e-08,8.598455268405268e+21,True,overclosure (quasi-stable)
0.7,28.172691138478395,19.720883796934874,1e-09,2.0583559678221277e-09,4.0592598854147596e-08,8.598455268405267e+17,True,overclosure (quasi-stable)
0.7,28.172691138478395,19.720883796934874,1e-08,2.0583559678221277e-09,4.0592598854147596e-08,85984552684052.7,True,Planck (post-recombination injection)
0.7,28.172691138478395,19.720883796934874,1e-07,2.0583559678221277e-09,4.0592598854147596e-08,8598455268.405272,True,FIRAS y
0.7,28.172691138478395,19.720883796934874,1e-06,2.0583559678221277e-09,4.0592598854147596e-08,859845.5268405272,True,BBN envelope
0.7,28.172691138478395,19.720883796934874,1e-05,2.0583559678221277e-09,4.0592598854147596e-08,85.98455268405266,True,BBN envelope
0.7,28.172691138478395,19.720883796934874,0.0001,2.0583559678221277e-09,4.0592598854147596e-08,0.00859845526840527,False,decays before 1 s
0.7,28.172691138478395,19.720883796934874,0.001,2.0583559678221277e-09,4.0592598854147596e-08,8.598455268405268e-07,False,decays before 1 s
0.7,28.172691138478395,19.720883796934874,0.01,2.0583559678221277e-09,4.0592598854147596e-08,8.59845526840527e-11,False,decays before 1 s
0.7,100.0,70.0,1e-10,3.5184591783574992e-09,2.4629214248502494e-07,2.160030234614345e+21,True,overclosure (quasi-stable)
0.7,100.0,70.0,1e-09,3.5184591783574992e-09,2.4629214248502494e-07,2.1600302346143446e+17,True,Planck (post-recombination injection)
0.7,100.0,70.0,1e-08,3.5184591783574992e-09,2.4629214248502494e-07,21600302346143.453,True,Planck (post-recombination injection)
0.7,100.0,70.0,1e-07,3.5184591783574992e-09,2.4629214248502494e-07,2160030234.614346,True,FIRAS y
0.7,100.0,70.0,1e-06,3.5184591783574992e-09,2.4629214248502494e-07,216003.02346143455,True,BBN envelope
0.7,100.0,70.0,1e-05,3.5184591783574992e-09,2.4629214248502494e-07,21.600302346143447,True,BBN envelope
0.7,100.0,70.0,0.0001,3.5184591783574992e-09,2.4629214248502494e-07,0.0021600302346143447,False,decays before 1 s
0.7,100.0,70.0,0.001,3.5184591783574992e-09,2.4629214248502494e-07,2.1600302346143444e-07,False,decays before 1 s
0.7,100.0,70.0,0.01,3.5184591783574992e-09,2.4629214248502494e-07,2.1600302346143448e-11,False,decays before 1 s
0.9,0.049999999999999996,0.045,1e-10,9.764779245816646e-15,4.3941506606174904e-16,8.838880221942958e+23,False,Planck decaying DM (tau > t_U)
0.9,0.049999999999999996,0.045,1e-09,9.764779245816646e-15,4.3941506606174904e-16,8.838880221942956e+19,False,Planck decaying DM (tau > t_U)
0.9,0.049999999999999996,0.045,1e-08,9.764779245816646e-15,4.3941506606174904e-16,8838880221942960.0,True,Planck (post-recombination injection)
0.9,0.049999999999999996,0.045,1e-07,9.764779245816646e-15,4.3941506606174904e-16,883888022194.2963,False,BBN envelope
0.9,0.049999999999999996,0.045,1e-06,9.764779245816646e-15,4.3941506606174904e-16,88388802.21942961,False,BBN envelope
0.9,0.049999999999999996,0.045,1e-05,9.764779245816646e-15,4.3941506606174904e-16,8838.880221942954,False,BBN envelope
0.9,0.049999999999999996,0.045,0.0001,9.764779245816646e-15,4.3941506606174904e-16,0.883888022194296,False,decays before 1 s
0.9,0.049999999999999996,0.045,0.001,9.764779245816646e-15,4.3941506606174904e-16,8.838880221942959e-05,False,decays before 1 s
0.9,0.049999999999999996,0.045,0.01,9.764779245816646e-15,4.3941506606174904e-16,8.838880221942961e-09,False,decays before 1 s
0.9,0.17747683298777853,0.15972914968900068,1e-10,2.589080121538907e-14,4.135515662901041e-15,2.4902479351991975e+23,False,Planck decaying DM (tau > t_U)
0.9,0.17747683298777853,0.15972914968900068,1e-09,2.589080121538907e-14,4.135515662901041e-15,2.490247935199198e+19,True,Planck decaying DM (tau > t_U)
0.9,0.17747683298777853,0.15972914968900068,1e-08,2.589080121538907e-14,4.135515662901041e-15,2490247935199198.5,True,Planck (post-recombination injection)
0.9,0.17747683298777853,0.15972914968900068,1e-07,2.589080121538907e-14,4.135515662901041e-15,249024793519.9199,False,BBN envelope
0.9,0.17747683298777853,0.15972914968900068,1e-06,2.589080121538907e-14,4.135515662901041e-15,24902479.351991992,False,BBN envelope
0.9,0.17747683298777853,0.15972914968900068,1e-05,2.589080121538907e-14,4.135515662901041e-15,2490.247935199197,False,BBN envelope
0.9,0.17747683298777853,0.15972914968900068,0.0001,2.589080121538907e-14,4.135515662901041e-15,0.24902479351991974,False,decays before 1 s
0.9,0.17747683298777853,0.15972914968900068,0.001,2.589080121538907e-14,4.135515662901041e-15,2.490247935199198e-05,False,decays before 1 s
0.9,0.17747683298777853,0.15972914968900068,0.01,2.589080121538907e-14,4.135515662901041e-15,2.4902479351991985e-09,False,decays before 1 s
0.9,0.6299605249474366,0.566964472452693,1e-10,6.782305626869223e-14,3.845326331750841e-14,6.940453518870877e+22,False,Planck decaying DM (tau > t_U)
0.9,0.6299605249474366,0.566964472452693,1e-09,6.782305626869223e-14,3.845326331750841e-14,6.940453518870876e+18,True,Planck decaying DM (tau > t_U)
0.9,0.6299605249474366,0.566964472452693,1e-08,6.782305626869223e-14,3.845326331750841e-14,694045351887087.9,True,Planck (post-recombination injection)
0.9,0.6299605249474366,0.566964472452693,1e-07,6.782305626869223e-14,3.845326331750841e-14,69404535188.7088,False,BBN envelope
0.9,0.6299605249474366,0.566964472452693,1e-06,6.782305626869223e-14,3.845326331750841e-14,6940453.518870879,False,BBN envelope
0.9,0.6299605249474366,0.566964472452693,1e-05,6.782305626869223e-14,3.845326331750841e-14,694.0453518870876,False,BBN envelope
0.9,0.6299605249474366,0.566964472452693,0.0001,6.782305626869223e-14,3.845326331750841e-14,0.06940453518870877,False,decays before 1 s
0.9,0.6299605249474366,0.566964472452693,0.001,6.782305626869223e-14,3.845326331750841e-14,6.940453518870878e-06,False,decays before 1 s
0.9,0.6299605249474366,0.566964472452693,0.01,6.782305626869223e-14,3.845326331750841e-14,6.940453518870879e-10,False,decays before 1 s
0.9,2.2360679774997894,2.0124611797498106,1e-10,1.4893259327245129e-13,2.99721062360276e-13,1.3277183725410464e+22,False,Planck decaying DM (tau > t_U)
0.9,2.2360679774997894,2.0124611797498106,1e-09,1.4893259327245129e-13,2.99721062360276e-13,1.3277183725410465e+18,True,Planck decaying DM (tau > t_U)
0.9,2.2360679774997894,2.0124611797498106,1e-08,1.4893259327245129e-13,2.99721062360276e-13,132771837254104.67,True,Planck (post-recombination injection)
0.9,2.2360679774997894,2.0124611797498106,1e-07,1.4893259327245129e-13,2.99721062360276e-13,13277183725.410471,True,FIRAS y
0.9,2.2360679774997894,2.0124611797498106,1e-06,1.4893259327245129e-13,2.99721062360276e-13,1327718.3725410472,True,BBN envelope
0.9,2.2360679774997894,2.0124611797498106,1e-05,1.4893259327245129e-13,2.99721062360276e-13,132.7718372541046,False,BBN envelope
0.9,2.2360679774997894,2.0124611797498106,0.0001,1.4893259327245129e-13,2.99721062360276e-13,0.013277183725410464,False,decays before 1 s
0.9,2.2360679774997894,2.0124611797498106,0.001,1.4893259327245129e-13,2.99721062360276e-13,1.3277183725410467e-06,False,decays before 1 s
0.9,2.2360679774997894,2.0124611797498106,0.01,1.4893259327245129e-13,2.99721062360276e-13,1.3277183725410465e-10,False,decays before 1 s
0.9,7.9370052598409995,7.143304733856899,1e-10,1.6570552445530846e-13,1.183685057267845e-12,1.3196055669354177e+21,True,Planck decaying DM (tau > t_U)
0.9,7.9370052598409995,7.143304733856899,1e-09,1.6570552445530846e-13,1.183685057267845e-12,1.3196055669354181e+17,True,Planck (post-recombination injection)
0.9,7.9370052598409995,7.143304733856899,1e-08,1.6570552445530846e-13,1.183685057267845e-12,13196055669354.182,True,Planck (post-recombination injection)
0.9,7.9370052598409995,7.143304733856899,1e-07,1.6570552445530846e-13,1.183685057267845e-12,1319605566.9354186,True,FIRAS y
0.9,7.9370052598409995,7.143304733856899,1e-06,1.6570552445530846e-13,1.183685057267845e-12,131960.55669354188,False,BBN envelope
0.9,7.9370052598409995,7.143304733856899,1e-05,1.6570552445530846e-13,1.183685057267845e-12,13.196055669354179,False,BBN envelope
0.9,7.9370052598409995,7.143304733856899,0.0001,1.6570552445530846e-13,1.183685057267845e-12,0.001319605566935418,False,decays before 1 s
0.9,7.9370052598409995,7.143304733856899,0.001,1.6570552445530846e-13,1.183685057267845e-12,1.3196055669354182e-07,False,decays before 1 s
0.9,7.9370052598409995,7.143304733856899,0.01,1.6570552445530846e-13,1.183685057267845e-12,1.3196055669354181e-11,False,decays before 1 s
0.9,28.172691138478395,25.355422024630556,1e-10,3.908570074270749e-13,9.910344374597643e-12,1.8331108689661074e+20,True,Planck decaying DM (tau > t_U)
0.9,28.172691138478395,25.355422024630556,1e-09,3.908570074270749e-13,9.910344374597643e-12,1.8331108689661076e+16,True,Planck (post-recombination injection)
0.9,28.172691138478395,25.355422024630556,1e-08,3.908570074270749e-13,9.910344374597643e-12,1833110868966.1077,True,FIRAS y
0.9,28.172691138478395,25.355422024630556,1e-07,3.908570074270749e-13,9.910344374597643e-12,183311086.8966108,True,FIRAS mu
0.9,28.172691138478395,25.355422024630556,1e-06,3.908570074270749e-13,9.910344374597643e-12,18331.10868966108,False,BBN envelope
0.9,28.172691138478395,25.355422024630556,1e-05,3.908570074270749e-13,9.910344374597643e-12,1.8331108689661069,False,BBN envelope
0.9,28.172691138478395,25.355422024630556,0.0001,3.908570074270749e-13,9.910344374597643e-12,0.00018331108689661075,False,decays before 1 s
0.9,28.172691138478395,25.355422024630556,0.001,3.908570074270749e-13,9.910344374597643e-12,1.8331108689661077e-08,False,decays before 1 s
0.9,28.172691138478395,25.355422024630556,0.01,3.908570074270749e-13,9.910344374597643e-12,1.833110868966108e-12,False,decays before 1 s
0.9,100.0,90.0,1e-10,9.503411119294362e-13,8.553070007364926e-11,5.1656403013009285e+19,True,Planck decaying DM (tau > t_U)
0.9,100.0,90.0,1e-09,9.503411119294362e-13,8.553070007364926e-11,5165640301300929.0,True,Planck (post-recombination injection)
0.9,100.0,90.0,1e-08,9.503411119294362e-13,8.553070007364926e-11,516564030130.093,True,FIRAS y
0.9,100.0,90.0,1e-07,9.503411119294362e-13,8.553070007364926e-11,51656403.0130093,True,FIRAS mu
0.9,100.0,90.0,1e-06,9.503411119294362e-13,8.553070007364926e-11,5165.640301300931,False,BBN envelope
0.9,100.0,90.0,1e-05,9.503411119294362e-13,8.553070007364926e-11,0.5165640301300928,False,decays before 1 s
0.9,100.0,90.0,0.0001,9.503411119294362e-13,8.553070007364926e-11,5.165640301300928e-05,False,decays before 1 s
0.9,100.0,90.0,0.001,9.503411119294362e-13,8.553070007364926e-11,5.165640301300929e-09,False,decays before 1 s
0.9,100.0,90.0,0.01,9.503411119294362e-13,8.553070007364926e-11,5.16564030130093e-13,False,decays before 1 s
1.2,0.049999999999999996,0.05999999999999999,1e-10,1.2710944841070628e-17,7.626566904642375e-19,85010.30315042382,False,BBN envelope
1.2,0.049999999999999996,0.05999999999999999,1e-09,1.2710944841070628e-17,7.626566904642375e-19,850.1030315042383,False,BBN envelope
1.2,0.049999999999999996,0.05999999999999999,1e-08,1.2710944841070628e-17,7.626566904642375e-19,8.501030315042383,False,BBN envelope
1.2,0.049999999999999996,0.05999999999999999,1e-07,1.2710944841070628e-17,7.626566904642375e-19,0.08501030315042384,False,decays before 1 s
1.2,0.049999999999999996,0.05999999999999999,1e-06,1.2710944841070628e-17,7.626566904642375e-19,0.000850103031504238,False,decays before 1 s
1.2,0.049999999999999996,0.05999999999999999,1e-05,1.2710944841070628e-17,7.626566904642375e-19,8.501030315041918e-06,False,decays before 1 s
1.2,0.049999999999999996,0.05999999999999999,0.0001,1.2710944841070628e-17,7.626566904642375e-19,8.501030314995998e-08,False,decays before 1 s
1.2,0.049999999999999996,0.05999999999999999,0.001,1.2710944841070628e-17,7.626566904642375e-19,8.501030310403852e-10,False,decays before 1 s
1.2,0.049999999999999996,0.05999999999999999,0.01,1.2710944841070628e-17,7.626566904642375e-19,8.501029851189164e-12,False,decays before 1 s
1.2,0.17747683298777853,0.21297219958533423,1e-10,4.184922080757216e-17,8.91272060632098e-18,23949.690142453084,False,BBN envelope
1.2,0.17747683298777853,0.21297219958533423,1e-09,4.184922080757216e-17,8.91272060632098e-18,239.4969014245308,False,BBN envelope
1.2,0.17747683298777853,0.21297219958533423,1e-08,4.184922080757216e-17,8.91272060632098e-18,2.3949690142453077,False,BBN envelope
