m_A_GeV,eps,tau_s,Y_FI,mY_GeV,excluded,reason,T_dec,drho_over_rhog,xi,xi_max,mu
0.48896638427146427,3.9810717055349693e-14,149719.32123126526,1.6634945788685822e-12,8.133929294845528e-13,False,BBN envelope,2.9672946517368836e-06,7.159488953813679e-07,8.133929294845528e-13,2.1121373207962548e-12,
0.48896638427146427,6.309573444801943e-14,59604.33535256887,4.178509461549756e-12,2.043150663058087e-12,False,BBN envelope,4.702964535112517e-06,1.1346737138776635e-06,2.043150663058087e-12,6.87200118498101e-12,
0.48896638427146427,1e-13,23728.91329993306,1.0495941220401195e-11,5.132162428065393e-12,False,BBN envelope,7.453937609643363e-06,1.7982784728482618e-06,5.132162428065393e-12,2.7357929477930566e-11,
0.48896638427146427,1.584893192461111e-13,9446.650534145634,2.6364612337447778e-11,1.2891409167360679e-11,False,BBN envelope,1.1814420625596972e-05,2.8499042655199107e-06,1.2891409167360679e-11,1.0585762608507918e-10,
0.48896638427146427,2.511886431509582e-13,3760.7793153563825,6.622491200244547e-11,3.238175577053165e-11,False,BBN envelope,1.872724999362225e-05,4.5161535070811865e-06,3.238175577053165e-11,2.6590233463492626e-10,
0.48896638427146427,3.981071705534969e-13,1497.1932123126528,1.6634945788685817e-10,8.133929294845525e-11,False,BBN envelope,2.96909313046104e-05,7.155264282614862e-06,8.133929294845525e-11,6.67916466476189e-10,
0.48896638427146427,6.309573444801942e-13,596.0433535256889,4.1785094615497536e-10,2.043150663058086e-10,False,BBN envelope,4.706043822230216e-05,1.13756454573575e-05,2.043150663058086e-10,1.6777303095233708e-09,
0.48896638427146427,1e-12,237.2891329993306,1.0495941220401198e-09,5.132162428065394e-10,False,BBN envelope,7.354832546833161e-05,1.9388468510581332e-05,5.132162428065394e-10,4.21426800022411e-09,
0.48896638427146427,1.584893192461111e-12,94.46650534145631,2.6364612337447787e-09,1.2891409167360683e-09,False,BBN envelope,0.00011030057041532282,3.973040825189315e-05,1.2891409167360683e-09,1.0891387896661024e-08,
0.48896638427146427,2.5118864315095823e-12,37.60779315356382,6.622491200244549e-09,3.238175577053167e-09,False,BBN envelope,0.00016188191979544096,8.867401064140744e-05,3.238175577053167e-09,4.3359396189403573e-08,
0.48896638427146427,3.9810717055349695e-12,14.971932123126525,1.678180352818907e-08,8.205737792732712e-09,False,BBN envelope,0.00024029439665780456,0.00018857058465678573,8.205737792732712e-09,1.7261686533871463e-07,
0.48896638427146427,6.309573444801943e-12,5.960433535256888,4.2153163791551035e-08,2.0611480084757517e-08,False,BBN envelope,0.00036529759424181146,0.00035758129778408845,2.0611480084757517e-08,6.872001184981023e-07,
0.48896638427146427,1e-11,2.3728913299933065,1.0588396017319763e-07,5.177369715823217e-08,False,BBN envelope,0.0005666356095841664,0.0006215255247431271,5.177369715823217e-08,2.735792947793062e-06,
0.6299605249474366,1e-14,1352204.4084177534,7.832677870117176e-14,4.934277862803186e-14,False,BBN envelope,9.872718488453507e-07,1.3053565480007862e-07,4.934277862803186e-14,2.719435898579864e-13,1.8274991672011004e-07
0.6299605249474366,1.584893192461111e-14,538322.2710451591,1.9674797264332632e-13,1.2394345612873375e-13,False,BBN envelope,1.564800549650662e-06,2.0687447830895936e-07,1.2394345612873375e-13,5.874320700179795e-13,
0.6299605249474366,2.5118864315095823e-14,214309.95617172008,4.942085629097919e-13,3.1133188572417073e-13,False,BBN envelope,2.4801263531012704e-06,3.2786276653782934e-07,3.1133188572417073e-13,1.4755626461117555e-12,
0.6299605249474366,3.9810717055349693e-14,85318.33027296778,1.2413957835089506e-12,7.820303394468329e-13,False,BBN envelope,3.930837851608875e-06,5.196139205003539e-07,7.820303394468329e-13,4.012698030439787e-12,
0.6299605249474366,6.309573444801943e-14,33965.83906131982,3.118245224729352e-12,1.96437139868534e-12,False,BBN envelope,6.2301317248389355e-06,8.235096229732388e-07,1.96437139868534e-12,1.5974838591839865e-11,
0.6299605249474366,1e-13,13522.044084177534,7.832677870117176e-12,4.934277862803186e-12,False,BBN envelope,9.874549978828845e-06,1.3051144451237206e-06,4.934277862803186e-12,6.359697791846152e-11,
0.6299605249474366,1.584893192461111e-13,5383.222710451592,1.9674797264332626e-11,1.2394345612873371e-11,False,BBN envelope,1.5651690746561532e-05,2.068257712456254e-06,1.2394345612873371e-11,1.8576233118843236e-10,
0.6299605249474366,2.511886431509582e-13,2143.099561717201,4.942085629097918e-11,3.113318857241707e-11,False,BBN envelope,2.481232708570045e-05,3.277168563583889e-06,3.113318857241707e-11,4.666138791978144e-10,
0.6299605249474366,3.981071705534969e-13,853.1833027296777,1.2413957835089506e-10,7.820303394468328e-11,False,BBN envelope,3.93434920358996e-05,5.19446436901003e-06,7.820303394468328e-11,1.1720810719110366e-09,
0.6299605249474366,6.309573444801942e-13,339.6583906131983,3.118245224729352e-10,1.9643713986853401e-10,False,BBN envelope,6.205298860989225e-05,8.47344789352909e-06,1.9643713986853401e-10,2.9441345411625517e-09,
0.6299605249474366,1e-12,135.22044084177534,7.832677870117177e-10,4.934277862803186e-10,False,BBN envelope,9.465023236290475e-05,1.6129788646626222e-05,4.934277862803186e-10,7.395331606484873e-09,
0.6299605249474366,1.584893192461111e-12,53.83222710451591,1.9674797264332635e-09,1.2394345612873376e-09,False,BBN envelope,0.000139426408338998,3.5570894149524475e-05,1.2394345612873376e-09,2.5318412934871886e-08,
0.6299605249474366,2.5118864315095823e-12,21.43099561717201,4.942085629097919e-09,3.1133188572417076e-09,False,BBN envelope,0.00020549985291166875,7.751459961467279e-05,3.1133188572417076e-09,1.0079441736406987e-07,
0.6299605249474366,3.9810717055349695e-12,8.531833027296777,1.241395783508951e-08,7.820303394468331e-09,False,BBN envelope,0.00030944805623053334,0.00015323491085558448,7.820303394468331e-09,4.012698030439795e-07,
0.6299605249474366,6.309573444801943e-12,3.3965839061319825,3.132505067744196e-08,1.9733545368766392e-08,False,BBN envelope,0.00047670502720385127,0.00027561451657896145,1.9733545368766392e-08,1.59748385918399e-06,
0.6299605249474366,1e-11,1.3522044084177538,7.868496976301616e-08,4.9568424857382837e-08,False,BBN envelope,0.0007455077842201174,0.0004625849497372325,4.9568424857382837e-08,6.359697791846152e-06,
0.811610523253735,1e-14,514446.11284218985,8.512670438332521e-14,6.908972908741658e-14,False,BBN envelope,1.6007042186635936e-06,1.1273134899205961e-07,6.908972908741658e-14,6.146956078057553e-13,
0.811610523253735,1.584893192461111e-14,204804.68638585007,2.1382861369960093e-13,1.7354555305135387e-13,False,BBN envelope,2.5370302505413352e-06,1.7866115950993888e-07,1.7354555305135387e-13,1.544045556755806e-12,
0.811610523253735,2.5118864315095823e-14,81534.21421316672,5.371131934205339e-13,4.35926719958524e-13,False,BBN envelope,4.021026122898902e-06,2.8315152161974976e-07,4.35926719958524e-13,4.2952669956730695e-12,
0.811610523253735,3.9810717055349693e-14,32459.35532370665,1.3491673427378151e-12,1.0949984129962894e-12,False,BBN envelope,6.373077169846151e-06,4.4875222808913934e-07,1.0949984129962894e-12,1.709976590419218e-11,
0.811610523253735,6.309573444801943e-14,12922.302105911389,3.3889551420589697e-12,2.750511656129916e-12,False,BBN envelope,1.0101129805860022e-05,7.111903323157254e-07,2.750511656129916e-12,6.807539421245162e-11,
0.811610523253735,1e-13,5144.4611284219,8.512670438332519e-12,6.908972908741657e-12,False,BBN envelope,1.6010901406506814e-05,1.1270417785873455e-06,6.908972908741657e-12,1.9438381883677635e-10,
