source,thr_keV,fv,p_ss_roi,p_ss_200_270,p_ss_200_270_err,F_200_270_of_roiSS,F_200_270_of_allSS,companions_lt55_per_200_270,companions_lt55_per_gt200,p_single_nonel_fv
alpha_n (f_C=5e-4),3.0,fv60x115,0.0034325043333333334,3.833333333333333e-08,3.574601764921203e-09,1.1167745066211618e-05,1.2267258570070843e-06,86189.95217391304,53004.51604278075,0.027815987833333337
alpha_n (f_C=5e-4),5.0,fv63x131,0.012616804333333335,9.866666666666666e-08,5.7348835113617515e-09,7.82025813034061e-06,1.4603736551010128e-06,124201.27871621624,77888.93750000001,0.05494581316666667
alpha_n (f_C=5e-4),5.0,fv60x115,0.005984985333333333,5.0666666666666664e-08,4.10960933531265e-09,8.46562921123282e-06,1.211305170124205e-06,114599.04276315791,68850.01778656126,0.03584317483333334
alpha_n iso-angles (f_C=2.5e-3),1.0,fv63x131,0.004817755833333334,8.155e-06,1.1658330355015108e-07,0.0016926968244377959,0.00020391479312223285,562.8900470059269,462.73874327957,0.035174438333333335
alpha_n iso-angles (f_C=2.5e-3),1.0,fv60x115,0.0018878641666666667,3.89e-06,8.051914886120775e-08,0.0020605296020149754,0.00016564222556723944,461.30441302485,376.72655703289007,0.021596485833333335
alpha_n iso-angles (f_C=2.5e-3),3.0,fv63x131,0.0079004725,8.283333333333334e-06,1.1749704488009711e-07,0.0010484604981959413,0.00015959897177800464,917.4501006036215,754.2972704714639,0.04400044666666667
alpha_n iso-angles (f_C=2.5e-3),3.0,fv60x115,0.0034358766666666664,3.958333333333333e-06,8.122328620674137e-08,0.0011520592027459272,0.00012659462925883322,833.0263157894736,680.8112525808671,0.027831905833333333
alpha_n iso-angles (f_C=2.5e-3),5.0,fv63x131,0.012614121666666667,8.415e-06,1.1842719282327011e-07,0.0006671094684489196,0.00012455530653402607,1453.316201227966,1195.4697784294558,0.0549462275
alpha_n iso-angles (f_C=2.5e-3),5.0,fv60x115,0.00598306,4.0200000000000005e-06,8.18535277187245e-08,0.000671896989166079,9.612011284070859e-05,1441.4160447761194,1177.3435489332883,0.03583961250000001
fission_238U,1.0,fv63x131,0.005043857290173995,1.2164493403003326e-06,1.1871329999372897e-07,0.000241174416784177,3.1572199806520174e-05,4000.0932487844475,2641.5710133482203,0.03348527111250119
fission_238U,1.0,fv60x115,0.0019837185634020106,6.256025178687425e-07,8.513371947660081e-08,0.00031536858575132516,2.7635421862783834e-05,3044.857725661588,1911.8874091363464,0.020653986081564206
fission_238U,3.0,fv63x131,0.008383856698154467,1.6103472219213926e-06,1.3658786865746205e-07,0.000192077140616666,3.16045660169986e-05,5056.048957899207,3395.124662550675,0.04256913601357152
fission_238U,3.0,fv60x115,0.003635402311906632,9.268185449907295e-07,1.0362146347033593e-07,0.00025494249754840696,3.022287752521198e-05,3804.327638284126,2515.25794266719,0.027030722851641275
fission_238U,5.0,fv63x131,0.013852355860837063,2.050586030791989e-06,1.5413148451228852e-07,0.00014803157321343008,3.0135807731447244e-05,6607.179684753563,4315.390421407309,0.05419247801471779
fission_238U,5.0,fv60x115,0.006667557545477163,1.170108413050796e-06,1.1643013875631334e-07,0.0001754928105336746,2.7717681069176732e-05,5570.932307853584,3516.651019332575,0.035547677204157344
muon_E-1,1.0,fv63x131,0.007238,0.00015333333333333334,1.0110500592068735e-05,0.021184489269595656,0.0011313942220188991,40.28260869565217,5.144364242087728,0.128288
muon_E-1,1.0,fv60x115,0.003174,6.266666666666667e-05,6.463573143221773e-06,0.01974375131274942,0.0007800247284435188,43.28723404255319,5.079900124843945,0.07716533333333334
muon_E-1,3.0,fv63x131,0.008916,0.00019266666666666667,1.1333333333333334e-05,0.021609092268580828,0.0012905818782655294,39.49826989619377,5.30190431955411,0.14037066666666667
muon_E-1,3.0,fv60x115,0.004040666666666666,8.933333333333333e-05,7.71722460186015e-06,0.02210856294340868,0.0009950027102685764,38.64179104477613,5.121661721068249,0.08574133333333334
muon_E-1,5.0,fv63x131,0.010796666666666666,0.000234,1.2489995996796796e-05,0.02167335597406607,0.0014327758705848254,39.35897435897436,5.519376747902517,0.15252266666666667
muon_E-1,5.0,fv60x115,0.005071333333333333,0.00011133333333333333,8.615231988880058e-06,0.021953463914815303,0.001118860504224201,38.982035928143716,5.3316953316953315,0.09443466666666667
muon_E-2,1.0,fv63x131,0.005316666666666667,0.000194,1.1372481406154653e-05,0.036489028213166144,0.0018744685784957875,22.065292096219935,4.693713450292398,0.09817933333333333
muon_E-2,1.0,fv60x115,0.001914,7.6e-05,7.118052168020874e-06,0.03970741901776385,0.0013404352887227064,20.350877192982455,4.0701754385964914,0.054784
muon_E-2,3.0,fv63x131,0.006978,0.00024133333333333334,1.2684198393626964e-05,0.034584885831661416,0.0020497488774510637,23.464088397790054,5.02603550295858,0.11076
muon_E-2,3.0,fv60x115,0.0026666666666666666,9.666666666666667e-05,8.027729719194864e-06,0.036250000000000004,0.0014645133270712765,22.531034482758617,4.506206896551724,0.06333933333333333
muon_E-2,5.0,fv63x131,0.009016666666666666,0.00028133333333333336,1.3695092389449425e-05,0.031201478743068396,0.00212302475688348,26.232227488151658,5.562814070351759,0.12349866666666667
muon_E-2,5.0,fv60x115,0.003658666666666667,0.00011866666666666667,8.894442709417556e-06,0.032434402332361514,0.0015640376774919162,25.286516853932582,5.0459641255605385,0.07221333333333334
