doy,vE_lz_cosine_kms,vE_wimpydd_kms,vE_wimprates_kms
4.375000000000000000e+01,2.459970439921222010e+02,2.481177381007822476e+02,2.479437553546245567e+02
4.400000000000000000e+01,2.460585482088231686e+02,2.481786335259270686e+02,2.480044458038805999e+02
4.425000000000000000e+01,2.461201355414223428e+02,2.482395912820796013e+02,2.480652018717365763e+02
4.450000000000000000e+01,2.461818048508507104e+02,2.483006101947788409e+02,2.481260223866638057e+02
4.475000000000000000e+01,2.462435549965231303e+02,2.483616890892624838e+02,2.481869061767641540e+02
4.500000000000000000e+01,2.463053848363593374e+02,2.484228267904915981e+02,2.482478520697940780e+02
4.525000000000000000e+01,2.463672932268050886e+02,2.484840221231742419e+02,2.483088588931889831e+02
4.550000000000000000e+01,2.464292790228533931e+02,2.485452739117897352e+02,2.483699254740874096e+02
4.575000000000000000e+01,2.464913410780656307e+02,2.486065809806125628e+02,2.484310506393545666e+02
4.600000000000000000e+01,2.465534782445926680e+02,2.486679421537363908e+02,2.484922332156079392e+02
4.625000000000000000e+01,2.466156893731962896e+02,2.487293562550976276e+02,2.485534720292390887e+02
4.650000000000000000e+01,2.466779733132702290e+02,2.487908221084994125e+02,2.486147659064387767e+02
4.675000000000000000e+01,2.467403289128616564e+02,2.488523385376351769e+02,2.486761136732206410e+02
4.700000000000000000e+01,2.468027550186922952e+02,2.489139043661123196e+02,2.487375141554446714e+02
4.725000000000000000e+01,2.468652504761799094e+02,2.489755184174757403e+02,2.487989661788414821e+02
4.750000000000000000e+01,2.469278141294595912e+02,2.490371795152314860e+02,2.488604685690349640e+02
4.775000000000000000e+01,2.469904448214050774e+02,2.490988864828698013e+02,2.489220201515668691e+02
4.800000000000000000e+01,2.470531413936502645e+02,2.491606381438888604e+02,2.489836197519194343e+02
4.825000000000000000e+01,2.471159026866105535e+02,2.492224333218178742e+02,2.490452661955393694e+02
4.850000000000000000e+01,2.471787275395043650e+02,2.492842708402402536e+02,2.491069583078610208e+02
4.875000000000000000e+01,2.472416147903745696e+02,2.493461495228169156e+02,2.491686949143294214e+02
4.900000000000000000e+01,2.473045632761098602e+02,2.494080681933091626e+02,2.492304748404238524e+02
4.925000000000000000e+01,2.473675718324665240e+02,2.494700256756018462e+02,2.492922969116803529e+02
4.950000000000000000e+01,2.474306392940897865e+02,2.495320207937261898e+02,2.493541599537165325e+02
4.975000000000000000e+01,2.474937644945353554e+02,2.495940523718826967e+02,2.494160627922520632e+02
5.000000000000000000e+01,2.475569462662911349e+02,2.496561192344639153e+02,2.494780042531331219e+02
5.025000000000000000e+01,2.476201834407986269e+02,2.497182202060771772e+02,2.495399831623550710e+02
5.050000000000000000e+01,2.476834748484747593e+02,2.497803541115671919e+02,2.496019983460851392e+02
5.075000000000000000e+01,2.477468193187333441e+02,2.498425197760387277e+02,2.496640486306849596e+02
5.100000000000000000e+01,2.478102156800067917e+02,2.499047160248789510e+02,2.497261328427336196e+02
5.125000000000000000e+01,2.478736627597677966e+02,2.499669416837799361e+02,2.497882498090497450e+02
5.150000000000000000e+01,2.479371593845509949e+02,2.500291955787611187e+02,2.498503983567144644e+02
5.175000000000000000e+01,2.480007043799747066e+02,2.500914765361912657e+02,2.499125773130933794e+02
5.200000000000000000e+01,2.480642965707625933e+02,2.501537833828110138e+02,2.499747855058593302e+02
5.225000000000000000e+01,2.481279347807654574e+02,2.502161149457548674e+02,2.500370217630143372e+02
5.250000000000000000e+01,2.481916178329829279e+02,2.502784700525731978e+02,2.500992849129115712e+02
5.275000000000000000e+01,2.482553445495852884e+02,2.503408475312542691e+02,2.501615737842791987e+02
5.300000000000000000e+01,2.483191137519352480e+02,2.504032462102461238e+02,2.502238872062397093e+02
5.325000000000000000e+01,2.483829242606097694e+02,2.504656649184785238e+02,2.502862240083339032e+02
5.350000000000000000e+01,2.484467748954217541e+02,2.505281024853844940e+02,2.503485830205420086e+02
5.375000000000000000e+01,2.485106644754420699e+02,2.505905577409222360e+02,2.504109630733057941e+02
5.400000000000000000e+01,2.485745918190212080e+02,2.506530295155964723e+02,2.504733629975501401e+02
5.425000000000000000e+01,2.486385557438112528e+02,2.507155166404802742e+02,2.505357816247049527e+02
5.450000000000000000e+01,2.487025550667876814e+02,2.507780179472362363e+02,2.505982177867265079e+02
5.475000000000000000e+01,2.487665886042713339e+02,2.508405322681379914e+02,2.506606703161191376e+02
5.500000000000000000e+01,2.488306551719501840e+02,2.509030584360915270e+02,2.507231380459567163e+02
5.525000000000000000e+01,2.488947535849013093e+02,2.509655952846563025e+02,2.507856198099038352e+02
5.550000000000000000e+01,2.489588826576128611e+02,2.510281416480664518e+02,2.508481144422373745e+02
5.575000000000000000e+01,2.490230412040058923e+02,2.510906963612519007e+02,2.509106207778676207e+02
5.600000000000000000e+01,2.490872280374563275e+02,2.511532582598592853e+02,2.509731376523589006e+02
5.625000000000000000e+01,2.491514419708169328e+02,2.512158261802728418e+02,2.510356639019524323e+02
5.650000000000000000e+01,2.492156818164392575e+02,2.512783989596353251e+02,2.510981983635848565e+02
5.675000000000000000e+01,2.492799463861956042e+02,2.513409754358686996e+02,2.511607398749106892e+02
5.700000000000000000e+01,2.493442344915009414e+02,2.514035544476948303e+02,2.512232872743229279e+02
5.725000000000000000e+01,2.494085449433350448e+02,2.514661348346561169e+02,2.512858394009735719e+02
5.750000000000000000e+01,2.494728765522642959e+02,2.515287154371359293e+02,2.513483950947946255e+02
5.775000000000000000e+01,2.495372281284638234e+02,2.515912950963791559e+02,2.514109531965183351e+02
5.800000000000000000e+01,2.496015984817394155e+02,2.516538726545125542e+02,2.514735125476981921e+02
5.825000000000000000e+01,2.496659864215496327e+02,2.517164469545649297e+02,2.515360719907288853e+02
5.850000000000000000e+01,2.497303907570277488e+02,2.517790168404874009e+02,2.515986303688669636e+02
5.875000000000000000e+01,2.497948102970037496e+02,2.518415811571737208e+02,2.516611865262511571e+02
5.900000000000000000e+01,2.498592438500264450e+02,2.519041387504798877e+02,2.517237393079224717e+02
5.925000000000000000e+01,2.499236902243855241e+02,2.519666884672445804e+02,2.517862875598444532e+02
5.950000000000000000e+01,2.499881482281334115e+02,2.520292291553087978e+02,2.518488301289226285e+02
5.975000000000000000e+01,2.500526166691076071e+02,2.520917596635356688e+02,2.519113658630263615e+02
6.000000000000000000e+01,2.501170943549524566e+02,2.521542788418302052e+02,2.519738936110062468e+02
6.025000000000000000e+01,2.501815800931413207e+02,2.522167855411591404e+02,2.520364122227154553e+02
6.050000000000000000e+01,2.502460726909987159e+02,2.522792786135702272e+02,2.520989205490292022e+02
6.075000000000000000e+01,2.503105709557221985e+02,2.523417569122118493e+02,2.521614174418643302e+02
6.100000000000000000e+01,2.503750736944045912e+02,2.524042192913525184e+02,2.522239017541989767e+02
6.125000000000000000e+01,2.504395797140558955e+02,2.524666646064000872e+02,2.522863723400920435e+02
6.150000000000000000e+01,2.505040878216254612e+02,2.525290917139209910e+02,2.523488280547026079e+02
6.175000000000000000e+01,2.505685968240240413e+02,2.525914994716596595e+02,2.524112677543092502e+02
6.200000000000000000e+01,2.506331055281458475e+02,2.526538867385571905e+02,2.524736902963294938e+02
6.225000000000000000e+01,2.506976127408905199e+02,2.527162523747708178e+02,2.525360945393387624e+02
6.250000000000000000e+01,2.507621172691854383e+02,2.527785952416925568e+02,2.525984793430895934e+02
6.275000000000000000e+01,2.508266179200074646e+02,2.528409142019681042e+02,2.526608435685307654e+02
6.300000000000000000e+01,2.508911135004052539e+02,2.529032081195157105e+02,2.527231860778258294e+02
6.325000000000000000e+01,2.509556028175212816e+02,2.529654758595448243e+02,2.527855057343732881e+02
6.350000000000000000e+01,2.510200846786137845e+02,2.530277162885746804e+02,2.528478014028234497e+02
6.375000000000000000e+01,2.510845578910789584e+02,2.530899282744529160e+02,2.529100719490984659e+02
6.400000000000000000e+01,2.511490212624729281e+02,2.531521106863738453e+02,2.529723162404105494e+02
6.425000000000000000e+01,2.512134736005338027e+02,2.532142623948971334e+02,2.530345331452807045e+02
6.450000000000000000e+01,2.512779137132038159e+02,2.532763822719657298e+02,2.530967215335570302e+02
6.475000000000000000e+01,2.513423404086512960e+02,2.533384691909244566e+02,2.531588802764331945e+02
6.500000000000000000e+01,2.514067524952926647e+02,2.534005220265378568e+02,2.532210082464667664e+02
6.525000000000000000e+01,2.514711487818146338e+02,2.534625396550083565e+02,2.532831043175974628e+02
6.550000000000000000e+01,2.515355280771960906e+02,2.535245209539943403e+02,2.533451673651651959e+02
6.575000000000000000e+01,2.515998891907301527e+02,2.535864648026278303e+02,2.534071962659283486e+02
6.600000000000000000e+01,2.516642309320462516e+02,2.536483700815325335e+02,2.534691898980815097e+02
6.625000000000000000e+01,2.517285521111320747e+02,2.537102356728413497e+02,2.535311471412732089e+02
6.650000000000000000e+01,2.517928515383556771e+02,2.537720604602142771e+02,2.535930668766252722e+02
6.675000000000000000e+01,2.518571280244873662e+02,2.538338433288557496e+02,2.536549479867482830e+02
6.700000000000000000e+01,2.519213803807217573e+02,2.538955831655323436e+02,2.537167893557605964e+02
6.725000000000000000e+01,2.519856074186997432e+02,2.539572788585899445e+02,2.537785898693058186e+02
6.750000000000000000e+01,2.520498079505305213e+02,2.540189292979714253e+02,2.538403484145702009e+02
6.775000000000000000e+01,2.521139807888134783e+02,2.540805333752336139e+02,2.539020638803000622e+02
6.800000000000000000e+01,2.521781247466602167e+02,2.541420899835645173e+02,2.539637351568192685e+02
6.825000000000000000e+01,2.522422386377165253e+02,2.542035980178005730e+02,2.540253611360463708e+02
6.850000000000000000e+01,2.523063212761841783e+02,2.542650563744435317e+02,2.540869407115118577e+02
6.875000000000000000e+01,2.523703714768431325e+02,2.543264639516774537e+02,2.541484727783753215e+02
6.900000000000000000e+01,2.524343880550731285e+02,2.543878196493855341e+02,2.542099562334424832e+02
6.925000000000000000e+01,2.524983698268758587e+02,2.544491223691669290e+02,2.542713899751821032e+02
6.950000000000000000e+01,2.525623156088967391e+02,2.545103710143533249e+02,2.543327729037429208e+02
6.975000000000000000e+01,2.526262242184468221e+02,2.545715644900258781e+02,2.543941039209700250e+02
7.000000000000000000e+01,2.526900944735246526e+02,2.546327017030313016e+02,2.544553819304232150e+02
7.025000000000000000e+01,2.527539251928381816e+02,2.546937815619987759e+02,2.545166058373912961e+02
7.050000000000000000e+01,2.528177151958265654e+02,2.547548029773560074e+02,2.545777745489100994e+02
7.075000000000000000e+01,2.528814633026820218e+02,2.548157648613457411e+02,2.546388869737787388e+02
7.100000000000000000e+01,2.529451683343716297e+02,2.548766661280418759e+02,2.546999420225758115e+02
7.125000000000000000e+01,2.530088291126591571e+02,2.549375056933656651e+02,2.547609386076760245e+02
7.150000000000000000e+01,2.530724444601268885e+02,2.549982824751017461e+02,2.548218756432661962e+02
7.175000000000000000e+01,2.531360132001973113e+02,2.550589953929141984e+02,2.548827520453615136e+02
7.200000000000000000e+01,2.531995341571549147e+02,2.551196433683623468e+02,2.549435667318217327e+02
7.225000000000000000e+01,2.532630061561679611e+02,2.551802253249168189e+02,2.550043186223670659e+02
7.250000000000000000e+01,2.533264280233102568e+02,2.552407401879749500e+02,2.550650066385940420e+02
7.275000000000000000e+01,2.533897985855826960e+02,2.553011868848768415e+02,2.551256297039916490e+02
7.300000000000000000e+01,2.534531166709351737e+02,2.553615643449207084e+02,2.551861867439569096e+02
7.325000000000000000e+01,2.535163811082880727e+02,2.554218714993785682e+02,2.552466766858102574e+02
7.350000000000000000e+01,2.535795907275540628e+02,2.554821072815114462e+02,2.553070984588127033e+02
7.375000000000000000e+01,2.536427443596596447e+02,2.555422706265850934e+02,2.553674509941790518e+02
7.400000000000000000e+01,2.537058408365668356e+02,2.556023604718848787e+02,2.554277332250950110e+02
7.425000000000000000e+01,2.537688789912947414e+02,2.556623757567314783e+02,2.554879440867320568e+02
7.450000000000000000e+01,2.538318576579411570e+02,2.557223154224955408e+02,2.555480825162628093e+02
7.475000000000000000e+01,2.538947756717040818e+02,2.557821784126130069e+02,2.556081474528765227e+02
7.500000000000000000e+01,2.539576318689033485e+02,2.558419636726000874e+02,2.556681378377936937e+02
7.525000000000000000e+01,2.540204250870020815e+02,2.559016701500680711e+02,2.557280526142818076e+02
7.550000000000000000e+01,2.540831541646282403e+02,2.559612967947383311e+02,2.557878907276697191e+02
7.575000000000000000e+01,2.541458179415959933e+02,2.560208425584568204e+02,2.558476511253631713e+02
7.600000000000000000e+01,2.542084152589273458e+02,2.560803063952089360e+02,2.559073327568592902e+02
7.625000000000000000e+01,2.542709449588734287e+02,2.561396872611340996e+02,2.559669345737613355e+02
