name,cls,op,tau,mass,delta,physical,frac_above_200keV,frac_in_ROI_of_true_rate,distinct_rep_1pct
O4s_m200,elastic,4,s,200,0.0,True,0.009765621239709957,0.6798794913957287,True
O4s_m400,elastic,4,s,400,0.0,True,0.01901177539978065,0.698384076791285,True
O4s_m1000,elastic,4,s,1000,0.0,True,0.02587707422540468,0.7068032922963573,True
O4s_m4000,elastic,4,s,4000,0.0,True,0.02944400408578902,0.7101437735431634,True
O4v_m10,elastic,4,v,10,0.0,True,0.0,0.06745512066938755,False
O4v_m12,elastic,4,v,12,0.0,True,3.1144844693472416e-259,0.10466909566241947,False
O4v_m14,elastic,4,v,14,0.0,True,3.986633766020849e-189,0.145845422045416,False
O4v_m17,elastic,4,v,17,0.0,True,2.753629852474152e-122,0.2083279853296792,False
O4v_m21,elastic,4,v,21,0.0,True,5.64564958340069e-78,0.28329586549247643,False
O4v_m30,elastic,4,v,30,0.0,True,2.2600066455821012e-33,0.40524227183084116,False
O4v_m40,elastic,4,v,40,0.0,True,9.87379262437819e-17,0.4860085897096997,False
O4v_m50,elastic,4,v,50,0.0,True,1.8854900861826385e-09,0.536082582889715,False
O4v_m100,elastic,4,v,100,0.0,True,0.0011843046205498343,0.6358520501993924,False
O4v_m200,elastic,4,v,200,0.0,True,0.009346275268379797,0.6821018886247735,False
O4v_m400,elastic,4,v,400,0.0,True,0.01821311326996078,0.7001873631192339,False
O4v_m1000,elastic,4,v,1000,0.0,True,0.02481156286228776,0.7081219188493808,False
O4v_m4000,elastic,4,v,4000,0.0,True,0.028239605201126467,0.7111583160373338,False
O5s_m10,elastic,5,s,10,0.0,True,0.0,0.0912034557910354,True
O5s_m12,elastic,5,s,12,0.0,True,1.0791982228333033e-259,0.15696604350742954,True
O5s_m14,elastic,5,s,14,0.0,True,1.980510552472604e-189,0.23231862337833403,True
O5s_m17,elastic,5,s,17,0.0,True,1.4678166820642223e-122,0.34507836274884995,True
O5s_m21,elastic,5,s,21,0.0,True,4.62719230179707e-78,0.4723276476331863,True
O5s_m30,elastic,5,s,30,0.0,True,1.403831555829381e-33,0.64929148277441,True
O5s_m40,elastic,5,s,40,0.0,True,7.745648820794679e-17,0.7415223168833255,True
O5s_m50,elastic,5,s,50,0.0,True,2.114881799891417e-09,0.7875008193728947,True
O5s_m100,elastic,5,s,100,0.0,True,0.002248721990442204,0.8546956415115594,True
O5s_m200,elastic,5,s,200,0.0,True,0.01863280453037696,0.8690644259514239,True
O5s_m400,elastic,5,s,400,0.0,True,0.036391734238060226,0.8609649678994965,True
O5s_m1000,elastic,5,s,1000,0.0,True,0.04944693137629531,0.8494215784457301,True
O5s_m4000,elastic,5,s,4000,0.0,True,0.05615615455317068,0.8421256648861608,True
O5v_m10,elastic,5,v,10,0.0,True,0.0,0.0983559689712936,True
O5v_m12,elastic,5,v,12,0.0,True,5.278957494660771e-259,0.17200370772148005,True
O5v_m14,elastic,5,v,14,0.0,True,1.0098791713812577e-188,0.25717167777590927,True
O5v_m17,elastic,5,v,17,0.0,True,1.085235680008775e-121,0.3849834442209348,True
O5v_m21,elastic,5,v,21,0.0,True,3.915631297158246e-77,0.528210973572824,True
O5v_m30,elastic,5,v,30,0.0,True,3.1038345704756227e-32,0.7222001721804683,True
O5v_m40,elastic,5,v,40,0.0,True,1.9006221745233558e-15,0.8184813449199936,True
O5v_m50,elastic,5,v,50,0.0,True,2.8659760208433384e-08,0.8642933448344218,True
O5v_m100,elastic,5,v,100,0.0,True,0.017831737364932956,0.9232963039455774,True
O5v_m200,elastic,5,v,200,0.0,True,0.09972270951896091,0.8840997647619484,True
O5v_m400,elastic,5,v,400,0.0,True,0.16008164904022468,0.821213186258154,True
O5v_m1000,elastic,5,v,1000,0.0,True,0.19592322697028386,0.7763707601449281,True
O5v_m4000,elastic,5,v,4000,0.0,True,0.2124091275768771,0.7541144294039736,True
O6s_m10,elastic,6,s,10,0.0,True,0.0,0.168660270427373,False
O6s_m12,elastic,6,s,12,0.0,True,2.416778737653828e-258,0.29207673126603517,True
O6s_m14,elastic,6,s,14,0.0,True,3.925516334263541e-188,0.4164128597553937,True
O6s_m17,elastic,6,s,17,0.0,True,3.95018834312191e-121,0.5724286326557908,True
O6s_m21,elastic,6,s,21,0.0,True,1.2034770084567966e-76,0.7134479719956244,True
O6s_m30,elastic,6,s,30,0.0,True,8.186961325479506e-32,0.8588513266676938,True
O6s_m40,elastic,6,s,40,0.0,True,3.9711119757041605e-15,0.912322655029345,False
O6s_m50,elastic,6,s,50,0.0,True,7.71340613635856e-08,0.9328483084841489,True
O6s_m100,elastic,6,s,100,0.0,True,0.029751508575604005,0.9496007455449973,True
O6s_m200,elastic,6,s,200,0.0,True,0.13049212706268795,0.8738904379833011,True
O6s_m400,elastic,6,s,400,0.0,True,0.19335081231593512,0.7886798139487016,True
O6s_m1000,elastic,6,s,1000,0.0,True,0.22859057036601424,0.7328729144976093,True
O6s_m4000,elastic,6,s,4000,0.0,True,0.24437047278779356,0.7060800397190785,True
O6v_m10,elastic,6,v,10,0.0,True,0.0,0.1691280141885237,False
O6v_m12,elastic,6,v,12,0.0,True,2.4439289171916504e-258,0.2930307012692937,False
O6v_m14,elastic,6,v,14,0.0,True,3.986673317574786e-188,0.41785026923054236,False
O6v_m17,elastic,6,v,17,0.0,True,4.043257778070804e-121,0.5743871549448507,False
O6v_m21,elastic,6,v,21,0.0,True,1.2436254325266731e-76,0.7156818309411039,False
O6v_m30,elastic,6,v,30,0.0,True,8.661397867844419e-32,0.8608104634579364,False
O6v_m40,elastic,6,v,40,0.0,True,4.122675329505108e-15,0.9137483002773708,False
O6v_m50,elastic,6,v,50,0.0,True,7.837364769894614e-08,0.9338814937797943,False
O6v_m100,elastic,6,v,100,0.0,True,0.028650322931907883,0.9500646521836817,False
O6v_m200,elastic,6,v,200,0.0,True,0.1260047747672697,0.8744903076460782,False
O6v_m400,elastic,6,v,400,0.0,True,0.18730513639203294,0.7882196924020602,False
O6v_m1000,elastic,6,v,1000,0.0,True,0.22188220394652672,0.7314373528076031,False
O6v_m4000,elastic,6,v,4000,0.0,True,0.23737706768215266,0.7041363886003801,False
O7s_m10,elastic,7,s,10,0.0,True,0.0,0.05925167652707038,True
O7s_m12,elastic,7,s,12,0.0,True,3.5823228437965436e-260,0.09158101068971577,True
O7s_m14,elastic,7,s,14,0.0,True,4.812011134254295e-190,0.12738201911080935,True
O7s_m17,elastic,7,s,17,0.0,True,2.010849658830007e-123,0.1814808804987086,True
O7s_m21,elastic,7,s,21,0.0,True,2.7731075939366846e-79,0.24616602205370702,True
O7s_m30,elastic,7,s,30,0.0,True,6.297247963048457e-36,0.3490071311533618,True
O7s_m40,elastic,7,s,40,0.0,True,2.7275501277399226e-18,0.413593086576379,False
O7s_m50,elastic,7,s,50,0.0,True,1.617900704180143e-10,0.4512248338094725,True
O7s_m100,elastic,7,s,100,0.0,True,0.0007507689101004597,0.5218502118206443,True
O7s_m200,elastic,7,s,200,0.0,True,0.008321581270034437,0.558048132903035,True
O7s_m400,elastic,7,s,400,0.0,True,0.01789151068835655,0.5760377441019894,True
O7s_m1000,elastic,7,s,1000,0.0,True,0.025505004439547525,0.5858957347972822,True
O7s_m4000,elastic,7,s,4000,0.0,True,0.02965912126604579,0.5903765483845544,True
O7v_m10,elastic,7,v,10,0.0,True,0.0,0.05915896677860412,False
O7v_m12,elastic,7,v,12,0.0,True,3.517931528911328e-260,0.09136990653314737,False
O7v_m14,elastic,7,v,14,0.0,True,4.677142169164996e-190,0.12699694172143092,False
O7v_m17,elastic,7,v,17,0.0,True,1.891999033200656e-123,0.18074753898133375,False
O7v_m21,elastic,7,v,21,0.0,True,2.3709374330399532e-79,0.2448635309744837,False
O7v_m30,elastic,7,v,30,0.0,True,2.186587447906555e-36,0.34630136496007113,False
O7v_m40,elastic,7,v,40,0.0,True,2.4018609236500534e-18,0.4094412486069448,False
O7v_m50,elastic,7,v,50,0.0,True,1.3457406352249508e-10,0.44584621687012754,False
O7v_m100,elastic,7,v,100,0.0,True,0.000670266669103368,0.5127249198563891,True
O7v_m200,elastic,7,v,200,0.0,True,0.007624513585245499,0.5460454423914685,True
O7v_m400,elastic,7,v,400,0.0,True,0.016586861884798007,0.5621243380563767,True
O7v_m1000,elastic,7,v,1000,0.0,True,0.02379870847788944,0.5705911544134852,True
O7v_m4000,elastic,7,v,4000,0.0,True,0.02775796170092157,0.574302927297499,True
O8s_m10,elastic,8,s,10,0.0,True,0.0,0.0604724774919057,False
O8s_m12,elastic,8,s,12,0.0,True,3.724733866815271e-260,0.09518609414851485,False
O8s_m14,elastic,8,s,14,0.0,True,6.221326473284906e-190,0.1346610385112711,True
O8s_m17,elastic,8,s,17,0.0,True,3.980747726473424e-123,0.1961269202460704,False
O8s_m21,elastic,8,s,21,0.0,True,1.084517002848213e-78,0.2723051608276897,False
O8s_m30,elastic,8,s,30,0.0,True,2.4034762247829445e-34,0.39945302945889394,True
O8s_m40,elastic,8,s,40,0.0,True,1.0892910401355386e-17,0.48305217685701907,False
O8s_m50,elastic,8,s,50,0.0,True,2.509587820872454e-10,0.5324962668956674,False
O8s_m100,elastic,8,s,100,0.0,True,0.00022300221429057043,0.619153484102447,True
O8s_m200,elastic,8,s,200,0.0,True,0.0020276433243701653,0.6522273477494658,True
O8s_m400,elastic,8,s,400,0.0,True,0.004219613954771556,0.6650115494329711,True
O8s_m1000,elastic,8,s,1000,0.0,True,0.005963556183365811,0.6711670849117722,True
O8s_m4000,elastic,8,s,4000,0.0,True,0.006903509570259749,0.6737878006738055,False
O8v_m10,elastic,8,v,10,0.0,True,0.0,0.06431306467944548,False
O8v_m12,elastic,8,v,12,0.0,True,1.8933840139573304e-259,0.10303182404132276,False
O8v_m14,elastic,8,v,14,0.0,True,3.3366816682850778e-189,0.14789706814141848,False
O8v_m17,elastic,8,v,17,0.0,True,3.152779391210867e-122,0.21914951330532853,True
O8v_m21,elastic,8,v,21,0.0,True,1.009690120188357e-77,0.3093461182209074,True
O8v_m30,elastic,8,v,30,0.0,True,6.272331909122585e-33,0.4639838462595662,True
O8v_m40,elastic,8,v,40,0.0,True,3.332492454708366e-16,0.5689754750986052,True
O8v_m50,elastic,8,v,50,0.0,True,4.6360310023217794e-09,0.6330358127925602,True
O8v_m100,elastic,8,v,100,0.0,True,0.0031438533623474193,0.7522356208257233,True
O8v_m200,elastic,8,v,200,0.0,True,0.023856406578066522,0.7952209016824937,True
O8v_m400,elastic,8,v,400,0.0,True,0.04486441228011,0.80211173790951,True
O8v_m1000,elastic,8,v,1000,0.0,True,0.0597599450839597,0.7998422014851035,True
O8v_m4000,elastic,8,v,4000,0.0,True,0.06727704501471603,0.7971454453462999,True
O9s_m10,elastic,9,s,10,0.0,True,0.0,0.10180299460178888,False
O9s_m12,elastic,9,s,12,0.0,True,7.610041218409858e-259,0.16926777612761962,False
O9s_m14,elastic,9,s,14,0.0,True,9.860767640034556e-189,0.24265762161497664,True
O9s_m17,elastic,9,s,17,0.0,True,6.618288374632386e-122,0.34701304509420267,False
O9s_m21,elastic,9,s,21,0.0,True,1.0042002338530655e-77,0.4584216425634028,True
O9s_m30,elastic,9,s,30,0.0,True,1.8689265488478928e-33,0.6057901709346206,True
O9s_m40,elastic,9,s,40,0.0,True,2.1070193353174496e-16,0.6819367791843824,True
O9s_m50,elastic,9,s,50,0.0,True,1.0352865454813387e-08,0.7227538441072899,True
O9s_m100,elastic,9,s,100,0.0,True,0.013525250313989868,0.8084928249000952,True
O9s_m200,elastic,9,s,200,0.0,True,0.08346236549840536,0.8406662257858295,True
O9s_m400,elastic,9,s,400,0.0,True,0.13731088858721938,0.830626252552886,True
O9s_m1000,elastic,9,s,1000,0.0,True,0.16941966731806019,0.8151566406126407,True
O9s_m4000,elastic,9,s,4000,0.0,True,0.1843158845428586,0.8056489197888642,True
O9v_m10,elastic,9,v,10,0.0,True,0.0,0.10159877002551065,False
O9v_m12,elastic,9,v,12,0.0,True,7.489916779210703e-259,0.16880059346001727,False
O9v_m14,elastic,9,v,14,0.0,True,9.611693530535468e-189,0.24182294831970405,False
O9v_m17,elastic,9,v,17,0.0,True,6.253702781536558e-122,0.3455129392310874,False
O9v_m21,elastic,9,v,21,0.0,True,8.629516155189519e-78,0.4559634110784456,False
O9v_m30,elastic,9,v,30,0.0,True,1.0209270267884613e-33,0.6012375734579993,False
O9v_m40,elastic,9,v,40,0.0,True,2.00381289573947e-16,0.6753023204792279,True
O9v_m50,elastic,9,v,50,0.0,True,8.938360099205871e-09,0.7143474836752662,True
O9v_m100,elastic,9,v,100,0.0,True,0.01289312708706233,0.796160166591267,True
O9v_m200,elastic,9,v,200,0.0,True,0.0828195686234559,0.8220586047143692,True
O9v_m400,elastic,9,v,400,0.0,True,0.13804566879441277,0.7988762259274577,True
O9v_m1000,elastic,9,v,1000,0.0,True,0.17127830148606701,0.7722920285393038,True
O9v_m4000,elastic,9,v,4000,0.0,True,0.18673735395747373,0.7569094869906746,True
O10s_m10,elastic,10,s,10,0.0,True,0.0,0.10907626148577922,False
O10s_m12,elastic,10,s,12,0.0,True,1.0343054396042966e-258,0.18584473317261943,True
O10s_m14,elastic,10,s,14,0.0,True,1.5730491331007352e-188,0.2715379174017101,True
O10s_m17,elastic,10,s,17,0.0,True,1.4174533438862104e-121,0.396235557357045,False
O10s_m21,elastic,10,s,21,0.0,True,3.910314451571309e-77,0.5323428758287954,False
O10s_m30,elastic,10,s,30,0.0,True,2.1636023221689318e-32,0.7151102537709618,True
O10s_m40,elastic,10,s,40,0.0,True,9.481393698313224e-16,0.8074236561656111,True
O10s_m50,elastic,10,s,50,0.0,True,1.7377885696885738e-08,0.8525837368693837,True
O10s_m100,elastic,10,s,100,0.0,True,0.007982530772997789,0.9149370911917545,True
O10s_m200,elastic,10,s,200,0.0,True,0.04741977408539063,0.9114436348380955,True
O10s_m400,elastic,10,s,400,0.0,True,0.08032088334120663,0.8842158293951821,True
O10s_m1000,elastic,10,s,1000,0.0,True,0.10150054025212059,0.8599372550872494,True
O10s_m4000,elastic,10,s,4000,0.0,True,0.11165228842147872,0.8465750517679413,True
O10v_m10,elastic,10,v,10,0.0,True,0.0,0.10938449401180401,False
O10v_m12,elastic,10,v,12,0.0,True,1.0474271168630348e-258,0.18653824444876227,False
O10v_m14,elastic,10,v,14,0.0,True,1.6007454348335288e-188,0.2727217516499478,False
O10v_m17,elastic,10,v,17,0.0,True,1.455103119344529e-121,0.3981751553583541,False
O10v_m21,elastic,10,v,21,0.0,True,4.058181995285566e-77,0.5350766369453466,False
O10v_m30,elastic,10,v,30,0.0,True,2.306153741030575e-32,0.7185775485258455,False
O10v_m40,elastic,10,v,40,0.0,True,9.945589508795023e-16,0.8108392992037414,False
O10v_m50,elastic,10,v,50,0.0,True,1.7871362839957193e-08,0.8557169916031282,False
O10v_m100,elastic,10,v,100,0.0,True,0.007762500655908108,0.9169250191595985,False
O10v_m200,elastic,10,v,200,0.0,True,0.04587078325830838,0.9128380775911136,False
O10v_m400,elastic,10,v,400,0.0,True,0.0776820951594779,0.88520675537437,False
O10v_m1000,elastic,10,v,1000,0.0,True,0.09821036453571265,0.860572930778762,False
O10v_m4000,elastic,10,v,4000,0.0,True,0.10804665132908846,0.8470062322943877,False
O11s_m10,elastic,11,s,10,0.0,True,0.0,0.10379857460879391,True
O11s_m12,elastic,11,s,12,0.0,True,5.904467625616277e-259,0.17554074904906927,False
O11s_m14,elastic,11,s,14,0.0,True,9.086109004100936e-189,0.2550824055878234,False
O11s_m17,elastic,11,s,17,0.0,True,6.673349593285596e-122,0.3702844853049727,True
O11s_m21,elastic,11,s,21,0.0,True,1.5131548720452682e-77,0.4953584954959486,True
O11s_m30,elastic,11,s,30,0.0,True,2.4459493027220843e-33,0.6623154193782693,True
O11s_m40,elastic,11,s,40,0.0,True,1.4750237752906655e-18,0.7460926809524906,False
O11s_m50,elastic,11,s,50,0.0,True,4.57867602291487e-10,0.7868474392419071,True
O11s_m100,elastic,11,s,100,0.0,True,0.00027744422256239083,0.8435334835140352,True
O11s_m200,elastic,11,s,200,0.0,True,0.0018229084366652819,0.8605909641144076,True
O11s_m400,elastic,11,s,400,0.0,True,0.0034072886969255087,0.8662848529106643,True
O11s_m1000,elastic,11,s,1000,0.0,True,0.004567858004286187,0.8686615372661005,True
O11s_m4000,elastic,11,s,4000,0.0,True,0.005172731116015147,0.8695501911749377,False
O11v_m10,elastic,11,v,10,0.0,True,0.0,0.10093601041496286,False
O11v_m12,elastic,11,v,12,0.0,True,4.741310587580889e-259,0.16933309478853992,False
O11v_m14,elastic,11,v,14,0.0,True,6.962299852083183e-189,0.24453606621979754,False
O11v_m17,elastic,11,v,17,0.0,True,4.376606117334504e-122,0.3526739118103777,False
O11v_m21,elastic,11,v,21,0.0,True,7.598296075993845e-78,0.4692133952128874,False
O11v_m30,elastic,11,v,30,0.0,True,7.898114456607575e-35,0.6235723341282521,True
O11v_m40,elastic,11,v,40,0.0,True,5.3755420484044986e-17,0.7006459759143939,True
O11v_m50,elastic,11,v,50,0.0,True,1.2024728939092359e-09,0.7384813420639754,True
O11v_m100,elastic,11,v,100,0.0,True,0.0005679551130979764,0.7947110991406983,True
O11v_m200,elastic,11,v,200,0.0,True,0.007342284399045346,0.8114864969906317,True
O11v_m400,elastic,11,v,400,0.0,True,0.016505096219912606,0.8126177351550128,True
O11v_m1000,elastic,11,v,1000,0.0,True,0.023965229759918508,0.8100078313912601,True
O11v_m4000,elastic,11,v,4000,0.0,True,0.028041637364825685,0.8078711257927845,False
O12s_m10,elastic,12,s,10,0.0,True,0.0,0.10498481055356003,False
O12s_m12,elastic,12,s,12,0.0,True,5.83715358814527e-259,0.17854827966557052,False
O12s_m14,elastic,12,s,14,0.0,True,9.448685368110693e-189,0.26058865513164403,False
O12s_m17,elastic,12,s,17,0.0,True,7.325130068898024e-122,0.38002271443331315,False
O12s_m21,elastic,12,s,21,0.0,True,1.908461353806724e-77,0.5102158797618859,True
O12s_m30,elastic,12,s,30,0.0,True,5.220003358899714e-33,0.6843457531183497,False
O12s_m40,elastic,12,s,40,0.0,True,6.675108421212528e-17,0.7715362224586945,True
O12s_m50,elastic,12,s,50,0.0,True,4.583344664668082e-11,0.8137311012168836,False
O12s_m100,elastic,12,s,100,0.0,True,0.00032112143598583067,0.8712343266867497,False
O12s_m200,elastic,12,s,200,0.0,True,0.0026825846365860105,0.8873316391677354,True
O12s_m400,elastic,12,s,400,0.0,True,0.0053795332437179605,0.8924303839978995,True
O12s_m1000,elastic,12,s,1000,0.0,True,0.007441467774536526,0.8945909375079618,True
O12s_m4000,elastic,12,s,4000,0.0,True,0.008539738122399892,0.8954384968648499,False
O12v_m10,elastic,12,v,10,0.0,True,0.0,0.10087925493619287,False
O12v_m12,elastic,12,v,12,0.0,True,2.5066138383101557e-259,0.17127294840190269,False
O12v_m14,elastic,12,v,14,0.0,True,4.654181308782641e-189,0.24978145129480123,False
O12v_m17,elastic,12,v,17,0.0,True,3.0479648847030603e-122,0.3645918576606017,False
O12v_m21,elastic,12,v,21,0.0,True,8.661435491841155e-78,0.4900677961301027,False
O12v_m30,elastic,12,v,30,0.0,True,6.509955065678087e-33,0.6593904619123522,False
O12v_m40,elastic,12,v,40,0.0,True,2.840805299453749e-16,0.7457882322309134,False
O12v_m50,elastic,12,v,50,0.0,True,4.245186201470408e-09,0.7890902641091223,False
O12v_m100,elastic,12,v,100,0.0,True,0.001339627664328493,0.855448577145407,True
O12v_m200,elastic,12,v,200,0.0,True,0.008273710657638359,0.8790620988306536,True
O12v_m400,elastic,12,v,400,0.0,True,0.014757206264624432,0.8869746595026068,True
O12v_m1000,elastic,12,v,1000,0.0,True,0.01919794589472665,0.8900473177575985,True
O12v_m4000,elastic,12,v,4000,0.0,True,0.021432655189794373,0.8910975531654466,True
O13s_m10,elastic,13,s,10,0.0,True,0.0,0.16279520064808292,False
O13s_m12,elastic,13,s,12,0.0,True,1.5827383604947212e-258,0.28238139838708043,False
O13s_m14,elastic,13,s,14,0.0,True,2.614309218538194e-188,0.40256288370366833,False
O13s_m17,elastic,13,s,17,0.0,True,2.215090555687716e-121,0.5541829908350476,False
O13s_m21,elastic,13,s,21,0.0,True,6.063007104467136e-77,0.69176697844075,False
O13s_m30,elastic,13,s,30,0.0,True,1.0897785785934887e-32,0.8353329646999456,False
O13s_m40,elastic,13,s,40,0.0,True,9.300999245134163e-17,0.8897560286486372,True
O13s_m50,elastic,13,s,50,0.0,True,7.076461226631135e-10,0.9114826765256505,True
O13s_m100,elastic,13,s,100,0.0,True,0.005707938645898775,0.9354864557368879,True
O13s_m200,elastic,13,s,200,0.0,True,0.043065032165786554,0.9267776078003708,True
O13s_m400,elastic,13,s,400,0.0,True,0.07991377485886647,0.9053092509591767,True
O13s_m1000,elastic,13,s,1000,0.0,True,0.10546147366387895,0.8867062660589342,True
O13s_m4000,elastic,13,s,4000,0.0,True,0.11801840583895641,0.8765167178236934,True
O13v_m10,elastic,13,v,10,0.0,True,0.0,0.1648680570252152,False
O13v_m12,elastic,13,v,12,0.0,True,1.6795623579924385e-258,0.28667130081301856,False
O13v_m14,elastic,13,v,14,0.0,True,2.842895196232119e-188,0.4091748698075364,False
O13v_m17,elastic,13,v,17,0.0,True,2.5394817368209416e-121,0.5636113660336495,False
O13v_m21,elastic,13,v,21,0.0,True,7.599956353016789e-77,0.7033304197065211,True
O13v_m30,elastic,13,v,30,0.0,True,2.07179247023283e-32,0.8477022513690301,True
O13v_m40,elastic,13,v,40,0.0,True,5.182198466869448e-16,0.9012575709980677,True
O13v_m50,elastic,13,v,50,0.0,True,2.866514213209312e-09,0.9221136808873256,True
O13v_m100,elastic,13,v,100,0.0,True,0.0016851312564397669,0.943826374531252,True
O13v_m200,elastic,13,v,200,0.0,True,0.01632387913016287,0.9290018351275499,True
O13v_m400,elastic,13,v,400,0.0,True,0.03305712643210622,0.8950316862593949,True
O13v_m1000,elastic,13,v,1000,0.0,True,0.045753772395747065,0.8642859558452842,True
O13v_m4000,elastic,13,v,4000,0.0,True,0.05231765273473286,0.8470421986486536,True
O14s_m10,elastic,14,s,10,0.0,True,0.0,0.08918249595303979,False
O14s_m12,elastic,14,s,12,0.0,True,1.0610379476978172e-259,0.15059747975011917,False
