n_low,model,cls,op,tau,mass,delta,q0,s_hat,p_local,Z_local,Z_asymptotic
0,O5v_m17,elastic,5,v,17,0.0,0.0,0.0,1.0,0.0,0.0
0,O5v_m21,elastic,5,v,21,0.0,0.0,0.0,1.0,0.0,0.0
0,O5v_m30,elastic,5,v,30,0.0,0.0,0.0,1.0,0.0,0.0
0,O5v_m40,elastic,5,v,40,0.0,0.0,0.0,1.0,0.0,0.0
0,O5v_m50,elastic,5,v,50,0.0,0.0,0.0,1.0,0.0,0.0
0,O5v_m100,elastic,5,v,100,0.0,1.9549940824508667,0.8370957781880861,0.05069333333333333,1.6381679343948357,1.3982110023498535
0,O5v_m200,elastic,5,v,200,0.0,5.74240779876709,0.9787186156463576,0.00682,2.4666069194885605,2.396332263946533
0,O5v_m400,elastic,5,v,400,0.0,6.817625522613525,0.9876795187155949,0.0036133333333333334,2.6862145556336983,2.611058235168457
0,O5v_m1000,elastic,5,v,1000,0.0,7.278543472290039,0.9902404821332311,0.002586666666666667,2.7960378998642814,2.6978776454925537
0,O5v_m4000,elastic,5,v,4000,0.0,7.463903427124023,0.9911120941251284,0.0022733333333333334,2.8375117964697716,2.7320144176483154
0,O6s_m10,elastic,6,s,10,0.0,0.0,0.0,1.0,0.0,0.0
0,O6s_m12,elastic,6,s,12,0.0,0.0,0.0,1.0,0.0,0.0
0,O6s_m14,elastic,6,s,14,0.0,0.0,0.0,1.0,0.0,0.0
0,O6s_m17,elastic,6,s,17,0.0,0.0,0.0,1.0,0.0,0.0
0,O6s_m21,elastic,6,s,21,0.0,0.0,0.0,1.0,0.0,0.0
0,O6s_m30,elastic,6,s,30,0.0,0.0,0.0,1.0,0.0,0.0
0,O6s_m40,elastic,6,s,40,0.0,0.0,0.0,1.0,0.0,0.0
0,O6s_m50,elastic,6,s,50,0.0,0.0,0.0,1.0,0.0,0.0
0,O6s_m100,elastic,6,s,100,0.0,2.7535111904144287,0.8970837039378239,0.02994,1.8816761492401983,1.65937077999115
0,O6s_m200,elastic,6,s,200,0.0,6.188859462738037,0.9830498677765718,0.00596,2.514503853259784,2.4877419471740723
0,O6s_m400,elastic,6,s,400,0.0,7.116857528686523,0.9894099331431789,0.0030266666666666667,2.7448783434093724,2.6677439212799072
0,O6s_m1000,elastic,6,s,1000,0.0,7.513345241546631,0.9913310159608955,0.00208,2.865767230794601,2.7410480976104736
0,O6s_m4000,elastic,6,s,4000,0.0,7.6725311279296875,0.9919996109529166,0.0017933333333333334,2.9123968249700862,2.7699334621429443
0,O6v_m10,elastic,6,v,10,0.0,0.0,0.0,1.0,0.0,0.0
0,O6v_m12,elastic,6,v,12,0.0,0.0,0.0,1.0,0.0,0.0
0,O6v_m14,elastic,6,v,14,0.0,0.0,0.0,1.0,0.0,0.0
0,O6v_m17,elastic,6,v,17,0.0,0.0,0.0,1.0,0.0,0.0
0,O6v_m21,elastic,6,v,21,0.0,0.0,0.0,1.0,0.0,0.0
0,O6v_m30,elastic,6,v,30,0.0,0.0,0.0,1.0,0.0,0.0
0,O6v_m40,elastic,6,v,40,0.0,0.0,0.0,1.0,0.0,0.0
0,O6v_m50,elastic,6,v,50,0.0,0.0,0.0,1.0,0.0,0.0
0,O6v_m100,elastic,6,v,100,0.0,2.6749701499938965,0.8924663429061184,0.031053333333333332,1.8655334598694546,1.6355335712432861
0,O6v_m200,elastic,6,v,200,0.0,6.113840579986572,0.9823903919459553,0.006266666666666667,2.4967611816924062,2.4726181030273438
0,O6v_m400,elastic,6,v,400,0.0,7.049068927764893,0.9890407917700941,0.0031533333333333335,2.731395872127959,2.655008316040039
0,O6v_m1000,elastic,6,v,1000,0.0,7.449935436248779,0.9910492409107974,0.00216,2.8537979283714714,2.729456901550293
0,O6v_m4000,elastic,6,v,4000,0.0,7.61070442199707,0.9917463391175261,0.0018466666666666666,2.9032316542082737,2.7587504386901855
0,O7s_m10,elastic,7,s,10,0.0,0.0,0.0,1.0,0.0,0.0
0,O7s_m12,elastic,7,s,12,0.0,0.0,0.0,1.0,0.0,0.0
0,O7s_m14,elastic,7,s,14,0.0,0.0,0.0,1.0,0.0,0.0
0,O7s_m17,elastic,7,s,17,0.0,0.0,0.0,1.0,0.0,0.0
0,O7s_m21,elastic,7,s,21,0.0,0.0,0.0,1.0,0.0,0.0
0,O7s_m30,elastic,7,s,30,0.0,0.0,0.0,1.0,0.0,0.0
0,O7s_m40,elastic,7,s,40,0.0,0.0,0.0,1.0,0.0,0.0
0,O7s_m50,elastic,7,s,50,0.0,0.0,0.0,1.0,0.0,0.0
0,O7s_m100,elastic,7,s,100,0.0,0.0,0.0,1.0,0.0,0.0
0,O7s_m200,elastic,7,s,200,0.0,0.861245334148407,0.6660042047005845,0.14416666666666667,1.0617849286654855,0.9280330538749695
0,O7s_m400,elastic,7,s,400,0.0,2.1861908435821533,0.8578620944026625,0.052193333333333335,1.623949126052472,1.4785772562026978
0,O7s_m1000,elastic,7,s,1000,0.0,2.8796870708465576,0.9040463348646881,0.03281333333333333,1.8409651448630218,1.6969640254974365
