k,j,q0,mu_bkg,sig_frac
11,21,0.0,0.0001181544460630353,1.6447459922689472e-06
11,22,0.0,0.00014633081179611554,4.034168270427499e-07
11,23,0.0,0.0002649736592048772,1.0883998969866877e-07
12,5,0.0,1.2090939427649078e-05,3.1668330872233464e-09
12,6,0.0,1.039700800133449e-05,1.3867701474397701e-08
12,7,0.0,1.116326460078172e-05,5.0190922016008953e-08
12,8,0.0,1.0887321438942464e-05,4.491064700323667e-07
12,9,0.0,1.1169718116557068e-05,6.574557880532283e-07
12,10,0.012132326110076974,1.1137539557819808e-05,5.099431067979335e-06
12,11,0.248866431933493,9.181114875178122e-06,6.6269673209439186e-06
12,12,1.7671904870458093,1.0088390814763744e-05,2.286893096498517e-05
12,13,2.1216833367998333,1.195901800580017e-05,3.269025266399801e-05
12,14,2.9418643934241118,1.0882482328903309e-05,4.785590335699015e-05
12,15,3.5565929726872128,9.66044147969593e-06,6.072727513139335e-05
12,16,3.0307677369110024,1.165662851192239e-05,5.653915477249223e-05
12,17,2.139680876658531,1.3100561894752469e-05,3.955276946313465e-05
12,18,0.0,9.458769796182387e-05,3.192077666858105e-05
12,19,0.0,0.00023911856468940965,1.0928390580780176e-05
12,20,0.0,0.000250743857940145,6.6269673209439186e-06
12,21,0.0,0.00011782525027065663,1.704745907700416e-06
12,22,0.0,0.00014598790145597823,4.1813337027797937e-07
12,23,0.0,0.0002646563969621754,1.1281044483774669e-07
13,5,0.0,1.1408059630073813e-05,3.091824176817897e-09
13,6,0.0,9.805144450776642e-06,1.3539234154279272e-08
13,7,0.0,1.0496544360244072e-05,4.900211090125373e-08
13,8,0.0,1.0266268250268779e-05,4.3846903318447083e-07
13,9,0.0,1.0532265515213433e-05,6.418834351873348e-07
13,10,0.017204800171384704,1.0523383670713412e-05,4.978647067824719e-06
13,11,0.2632149280179874,8.719345642463216e-06,6.470002433832561e-06
13,12,1.798044189446955,9.580818614897484e-06,2.232726250738894e-05
13,13,2.1728608754601737,1.1241801565989003e-05,3.191595854565681e-05
13,14,3.0051730050072365,1.0166567627302877e-05,4.6722398979459575e-05
13,15,3.6240271802471398,8.991199431502117e-06,5.9288902279386926e-05
13,16,3.078857357882953,1.0943207988092927e-05,5.519998081607505e-05
13,17,2.1664778855556506,1.2427049649666655e-05,3.861593128466628e-05
13,18,0.0,9.413111232802402e-05,3.116470818904356e-05
13,19,0.0,0.00023867759320658205,1.0669543130544577e-05
13,20,0.0,0.0002503822117853782,6.470002433832561e-06
13,21,0.0,0.00011752744778948391,1.6643676719258005e-06
13,22,0.0,0.00014567501634900305,4.082295554431378e-07
14,5,0.0,1.0783463679795678e-05,2.848878039437955e-09
14,6,0.0,9.263797772363594e-06,1.2475362325626297e-08
14,7,0.0,9.886741095195619e-06,4.51516741085718e-08
14,8,0.0,9.698310477098162e-06,4.040154705363776e-07
14,9,0.0,9.949711925364426e-06,5.914461876891838e-07
14,10,0.008711834912901395,9.963788106329e-06,4.587440128059195e-06
14,11,0.2254046850175655,8.304279367596651e-06,5.961609326642294e-06
14,12,1.7266820317126985,9.135987900065383e-06,2.0572854147072392e-05
14,13,2.114914523834159,1.0626285871405237e-05,2.940809962289428e-05
14,14,2.9476204738039087,9.577823908713312e-06,4.3051095013893615e-05
14,15,3.562564160709371,8.46347329494274e-06,5.4630160716307975e-05
14,16,3.0040093160987453,1.0375074004820479e-05,5.086253426162235e-05
14,17,2.0816867004668893,1.1877089341741392e-05,3.558160888778456e-05
14,18,0.0,9.375398262359676e-05,2.871588023373156e-05
14,19,0.0,0.0002382936788435787,9.831162891910726e-06
14,20,0.0,0.00025005872309276085,5.961609326642294e-06
14,21,0.0,0.00011725720489628605,1.5335867238673057e-06
14,22,0.0,0.00014538932844706612,3.7615211895665727e-07
