config,model,cls,Z_LZ,q0,Z,s_hat,frac_top,frac_mid,frac_bot,f_in_roi,b_event_cell,s_event_cell_per_unit,LR_event_per_unit,diff
base,O1s_400_d150,inelastic O1 (s/v),2.2,0.24820074662784464,0.4981974976129895,0.959566190352773,0.9437057255843843,0.05555282498164219,0.0007430201958396664,0.9991864927091336,1.1585390509605713e-05,8.60670157820286e-06,0.742892660464647,-1.7018025023870107
base,O1v_400_d150,inelastic O1 (s/v),2.8,6.590001069323989,2.5670997388734214,1.9672263798758682,0.8711235195126222,0.09556828688883844,0.03331086233297301,0.9713891336280448,1.1585390509605713e-05,0.00038077579940069936,32.86689379050188,-0.23290026112657847
base,O1s_400_d200,inelastic O1 (s/v),2.6,2.325163404660998,1.524848649755443,1.5148977275209008,0.7263247798816025,0.2696012058969159,0.004075929113776931,0.9953630010975302,1.1585390509605713e-05,4.724556446770568e-05,4.078029517307449,-1.075151350244557
base,O1v_400_d200,inelastic O1 (s/v),2.8,8.44796579195281,2.9065384552681923,1.571835736599565,0.629911603851342,0.26119961373917494,0.1088941307026362,0.9111851945107223,1.1585390509605713e-05,0.001242120907941492,107.21441861727673,0.1065384552681925
base,O1s_400_d250,inelastic O1 (s/v),2.9,3.9142902890143887,1.9784565421091231,1.0560722421799051,0.16772198346533487,0.817122136456495,0.015158883539084426,0.9820610584023277,1.1585390509605713e-05,0.00017568438671395852,15.164304264780249,-0.9215434578908768
base,O1v_400_d250,inelastic O1 (s/v),2.8,9.370249858768148,3.061086385381528,1.333170272503863,0.4271653062398873,0.3670495796722958,0.2057939125122335,0.843719531364076,1.1585390509605713e-05,0.0023415482526884554,202.1121558869357,0.2610863853815282
base,O1s_400_d300,inelastic O1 (s/v),2.9,5.176439080309137,2.2751789117142276,0.9877294998266573,0.019741665038170535,0.9481485280256464,0.032114164742819765,0.9605535242437581,1.1585390509605713e-05,0.0003711380455516697,32.03500522869304,-0.6248210882857723
base,O1v_400_d300,inelastic O1 (s/v),3.1,10.728558284399696,3.2754477990649913,1.019116143906157,0.03190445245977594,0.43587258777975046,0.5322433569421168,0.6879381884007506,1.1585390509605713e-05,0.006061684126969955,523.2179374483816,0.1754477990649912
base,O1s_1000_d100,inelastic O1 (s/v),0.8,0.0,0.0,0.0,0.9827006830426358,0.01705364452506661,0.00024718933564225605,0.9991975416865414,1.1585390509605713e-05,2.8760799863191454e-06,0.24825058628231148,-0.8
base,O1v_1000_d100,inelastic O1 (s/v),2.6,4.398260667026989,2.097203058129324,2.129570000660803,0.9647278330393341,0.02549215329755127,0.009781851226687628,0.9898112673256538,1.1585390509605713e-05,0.00011079332341844916,9.563192826913161,-0.5027969418706761
base,O1s_1000_d150,inelastic O1 (s/v),2.2,0.5955774852700415,0.7717366683461668,1.307084689294793,0.9324978811243697,0.06645841063593858,0.001045304756970895,0.9986068208130785,1.1585390509605713e-05,1.2170733613332988e-05,1.050524244585623,-1.4282633316538333
base,O1v_1000_d150,inelastic O1 (s/v),2.8,7.177077791233387,2.679006866589443,1.9205187866483486,0.8451680571786003,0.10814297225983834,0.04669211593876033,0.9559358189720912,1.1585390509605713e-05,0.0005275255504002844,45.53368744565847,-0.12099313341055673
base,O1s_1000_d200,inelastic O1 (s/v),2.7,2.692828439950972,1.6409839852816883,1.5393845736963718,0.7150949524296357,0.2798688013332456,0.005038227097500591,0.9928116034865511,1.1585390509605713e-05,5.8739690973774435e-05,5.070152009556519,-1.0590160147183119
base,O1v_1000_d200,inelastic O1 (s/v),2.9,8.843646935516517,2.973826984798631,1.5260638363292478,0.5948382345944485,0.2662027455597475,0.1389654420417896,0.8759849484050015,1.1585390509605713e-05,0.0015638308445002245,134.98300667583166,0.07382698479863103
base,O1s_1000_d250,inelastic O1 (s/v),2.9,4.225032935046329,2.055488490613929,1.0960873253154246,0.21210620043590878,0.7707097529675474,0.017187119922986095,0.9731496856135388,1.1585390509605713e-05,0.00020077273176433543,17.329819965746527,-0.8445115093860709
