k,j,q0,mu_bkg,sig_frac
12,13,5.700192145599431,1.195901800580017e-05,0.000266147572475048
12,14,6.82743671422395,1.0882482328903309e-05,0.00043431303221654077
12,15,7.501479938287957,9.66044147969593e-06,0.0005547996697912195
12,16,7.084196740108382,1.165662851192239e-05,0.0005547996697912195
12,17,6.32533269520718,1.3100561894752469e-05,0.00043431303221654077
12,18,1.7570786046326248,9.458769796182387e-05,0.0002661475724750479
12,19,0.0015534919093624922,0.00023911856468940965,0.00012766391567535488
12,20,0.0,0.000250743857940145,4.792921473608691e-05
12,21,0.0,0.00011782525027065663,1.4082119659977182e-05
12,22,0.0,0.00014598790145597823,3.2375038001852852e-06
12,23,0.0,0.0002646563969621754,5.823143658552396e-07
12,24,0.0,0.000638824212808425,1.7295019455210438e-08
13,6,0.0,9.805144450776642e-06,7.608834319587621e-09
13,7,0.0,1.0496544360244072e-05,6.915056558463132e-08
13,8,0.0,1.0266268250268779e-05,4.914960769379998e-07
13,9,0.0,1.0532265515213433e-05,2.7325797029342534e-06
13,10,0.5278211920285685,1.0523383670713412e-05,1.188585920885792e-05
13,11,2.6737512743839034,8.719345642463216e-06,4.045412992500964e-05
13,12,4.318616771173765,9.580818614897484e-06,0.00010775333290778474
13,13,5.475039967712291,1.1241801565989003e-05,0.00022463895007286601
13,14,6.609400778328563,1.0166567627302877e-05,0.0003665771686466665
13,15,7.285134897578246,8.991199431502117e-06,0.0004682725984072488
13,16,6.849346501448963,1.0943207988092927e-05,0.0004682725984072488
13,17,6.071332349509248,1.2427049649666655e-05,0.0003665771686466665
13,18,1.4930461214444222,9.413111232802402e-05,0.00022463895007286593
13,19,0.0,0.00023867759320658205,0.00010775333290778475
13,20,0.0,0.0002503822117853782,4.045412992500961e-05
13,21,0.0,0.00011752744778948391,1.1885859208857956e-05
13,22,0.0,0.00014567501634900305,2.7325797029342415e-06
13,23,0.0,0.0002643663493371839,4.808414986536136e-07
14,6,0.0,9.263797772363594e-06,6.425740345559185e-09
14,7,0.0,9.886741095195619e-06,5.839837753485007e-08
14,8,0.0,9.698310477098162e-06,4.1507358927953826e-07
14,9,0.0,9.949711925364426e-06,2.3076922044942632e-06
14,10,0.39246223598820507,9.963788106329e-06,1.0037732700182365e-05
14,11,2.443293461225039,8.304279367596651e-06,3.416393679836573e-05
14,12,4.070738005253588,9.135987900065383e-06,9.099881920829479e-05
14,13,5.240431740437998,1.0626285871405237e-05,0.00018970994820472094
14,14,6.376298770510402,9.577823908713312e-06,0.0003095782617147855
14,15,7.048595326707073,8.46347329494274e-06,0.00039546111821086053
14,16,6.597913921816144,1.0375074004820479e-05,0.00039546111821086053
14,17,5.805778181476853,1.1877089341741392e-05,0.0003095782617147855
14,18,1.2406670807013143,9.375398262359676e-05,0.00018970994820472086
14,19,0.0,0.0002382936788435787,9.099881920829481e-05
14,20,0.0,0.00025005872309276085,3.4163936798365705e-05
14,21,0.0,0.00011725720489628605,1.0037732700182398e-05
14,22,0.0,0.00014538932844706612,2.3076922044942535e-06
14,23,0.0,0.00026410114583260216,3.7626976627831154e-07
