model,delta_keV,sigma_ref_cm2,C_total,C_1H,C_4He,C_3He,C_12C,C_13C,C_14N,C_15N,C_16O,C_17O,C_18O,C_20Ne,C_23Na,C_24Mg,C_27Al,C_28Si,C_32S,C_40Ar,C_40Ca,C_56Fe,C_58Ni,C_elastic_same_coupling,C_inel_over_C_el
Z',220.0,2.8342962511883838e-43,1.7458587118109485e+20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7806692002694806.0,1.409339217409789e+18,8.288387262492479e+17,1.3753047946676208e+19,1.3860496393929802e+19,5.130255704694714e+18,4.933305020295846e+18,1.2754352932165288e+20,7.119252158183677e+18,7.200309073783933e+20,0.24246996815283353
Z',230.0,2.8342962511883838e-43,1.5699724002490027e+20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7671371936421734e+17,5.127001788321382e+17,9.430750322759651e+18,1.1375522105446801e+19,4.625860392081704e+18,4.4482785232441124e+18,1.1973145521487536e+20,6.695959568296291e+18,7.200309073783933e+20,0.21804236237097321
Z',240.0,2.8342962511883838e-43,1.409595934138739e+20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6341601579342157e+17,5.788215755915945e+18,9.023794550268856e+18,4.1187080088007066e+18,3.960600923375592e+18,1.115530422409369e+20,6.251815918782477e+18,7.200309073783933e+20,0.19576880932389795
Z',250.0,2.8342962511883838e-43,1.2591951113162308e+20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.233054914223254e+16,2.940327830878306e+18,6.866582317891907e+18,3.6157063877240986e+18,3.476915385011815e+18,1.0313391529367028e+20,5.793733367304438e+18,7.200309073783933e+20,0.1748807028160659
Z',260.0,4.170575199221662e-43,1.6484781356061003e+20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6953199935293876e+16,1.4882887351881009e+18,7.277005185078425e+18,4.6003612218998825e+18,4.4237839557015813e+18,1.3920066958601535e+20,7.840751676791396e+18,1.0595021757963027e+21,0.15558987732773025
Z',270.0,6.136866421451127e-43,2.15587148336076e+20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2237471427845.854,2.7506727123342445e+17,7.136938598213314e+18,5.756227123074177e+18,5.535295256015731e+18,1.8635534483352168e+20,1.0528273016546249e+19,1.559023159997735e+21,0.13828348023796463
Z',280.0,9.03020031427869e-43,2.815029224815649e+20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94118680430284.81,6.219159571512961e+18,7.066673564181609e+18,6.795453259489911e+18,2.4739754555202283e+20,1.4023996415677174e+19,2.2940521208298264e+21,0.12270990703547616
Z',290.0,1.4042915310975471e-42,3.859534469432614e+20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.693080987291565e+18,8.970225066442927e+18,8.625968545142034e+18,3.4408508438849375e+20,1.957908795589111e+19,3.567493359016387e+21,0.10818617110185026
Z',300.0,2.183821660294824e-42,5.2545073966243375e+20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.357608131820978e+18,1.1098523461382474e+19,1.067263397085838e+19,4.7422140383350555e+20,2.710057026486638e+19,5.547828992665734e+21,0.0947128580129422
Z',310.0,3.8995645352046736e-42,8.166391087168723e+20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.786097705417354e+17,1.529662400726445e+19,1.470970613996852e+19,7.43364914740053e+20,4.268925405904463e+19,9.906540254875426e+21,0.08243434011333772
Z',320.0,6.963299174426775e-42,1.2601252427829637e+21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4018058776747259.5,2.0311085685311824e+19,1.9531928618002407e+19,1.1536578598135976e+21,6.662035060727512e+19,1.7689719699581547e+22,0.07123489033083844
Z',330.0,1.5919455502796236e-41,2.464601895836193e+21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2930255537654915e+19,3.1667384515806237e+19,2.268188692801314e+21,1.3181556298141763e+20,4.04421379234519e+22,0.06094143441430183
Z',340.0,3.6394969849384394e-41,4.766308444173809e+21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.013151855379538e+19,4.8209767115294654e+19,4.4098174618377975e+21,2.5814969666692127e+20,9.245858880727054e+22,0.05155073753190366
Z',350.0,1.11866632953461e-40,1.2246792310891206e+22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3788120434277e+19,9.019496953062443e+19,1.139040555591325e+22,6.724036650130553e+20,2.8418847605317797e+23,0.04309390894724232
Z',360.0,4.707275669335913e-40,4.2549455617707615e+22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.101473652843592e+20,2.021027786351007e+20,3.9766715179542015e+22,2.370490294246137e+21,1.1958467538638723e+24,0.03558102698378958
Z',365.0,1.1589688317095825e-39,9.473512923277584e+22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.499833554349433e+20,3.3659432095696696e+20,8.873042859497165e+22,5.318122961412274e+21,2.9442701311453764e+24,0.03217609968278355
Z',366.0,1.3878169308833059e-39,1.1113921076042601e+23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8443557623988e+20,3.697308989431128e+20,1.0413644115626472e+23,6.248603128978302e+21,3.5256409191524077e+24,0.03152312254962844
Z',370.0,3.142139874755039e-39,2.3150724653107327e+23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.972344340329056e+20,5.74404184855249e+20,2.1723840150585988e+23,1.3097206406325232e+22,7.982361844429957e+24,0.029002349310012502
Z',380.0,4.333898594075407e-38,2.568659554222703e+24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.441635977664205e+21,2.348496399952899e+21,2.4162458882656326e+24,1.4762353357945322e+23,1.1009932133486949e+26,0.023330384993110617
