model,delta_keV,C,Gamma_A_lo,Gamma_A_hi,Gamma_A_eq,limit_used,Gamma_lim_central,Gamma_lim_lo,Gamma_lim_hi,ratio_lo,ratio_hi,status,channel,status_U1B,ratio_hi_U1B
Higgsino,300.0,4.427614754596673e+23,9.729926113428102e+22,2.2138073772983366e+23,2.2138073772983366e+23,WW 1 TeV (SD),3.809512250812951e+19,1.2698374169376504e+19,1.2698374169376503e+20,2554.1133543675396,5811.261997716137,excluded,chi1 chi1 -> WW (54%) + ZZ (46%),,
Higgsino,310.0,3.856298333851823e+23,6.953918357676823e+22,1.9281491669259116e+23,1.9281491669259116e+23,WW 1 TeV (SD),3.809512250812951e+19,1.2698374169376504e+19,1.2698374169376503e+20,1825.4091074763849,5061.406920307039,excluded,chi1 chi1 -> WW (54%) + ZZ (46%),,
Higgsino,320.0,3.333268566614589e+23,4.680941639406797e+22,1.6666342833072943e+23,1.6666342833072943e+23,WW 1 TeV (SD),3.809512250812951e+19,1.2698374169376504e+19,1.2698374169376503e+20,1228.7509085731074,4374.928267921003,excluded,chi1 chi1 -> WW (54%) + ZZ (46%),,
Higgsino,330.0,2.852097542743818e+23,3.063229913530469e+22,1.426048771371909e+23,1.426048771371909e+23,WW 1 TeV (SD),3.809512250812951e+19,1.2698374169376504e+19,1.2698374169376503e+20,804.1002920719772,3743.389382899582,excluded,chi1 chi1 -> WW (54%) + ZZ (46%),,
Higgsino,340.0,2.413022532817634e+23,1.9502709690873714e+22,1.206511266408817e+23,1.206511266408817e+23,WW 1 TeV (SD),3.809512250812951e+19,1.2698374169376504e+19,1.2698374169376503e+20,511.94768271743527,3167.101683821458,excluded,chi1 chi1 -> WW (54%) + ZZ (46%),,
Higgsino,350.0,2.0175091336055602e+23,1.1692693670977641e+22,1.0087545668027801e+23,1.0087545668027801e+23,WW 1 TeV (SD),3.809512250812951e+19,1.2698374169376504e+19,1.2698374169376503e+20,306.934140150945,2647.988772283149,excluded,chi1 chi1 -> WW (54%) + ZZ (46%),,
Higgsino,360.0,1.6660353830772116e+23,6.845614894430141e+21,8.330176915386058e+22,8.330176915386058e+22,WW 1 TeV (SD),3.809512250812951e+19,1.2698374169376504e+19,1.2698374169376503e+20,179.69793621136893,2186.678075023488,excluded,chi1 chi1 -> WW (54%) + ZZ (46%),,
Higgsino,365.0,1.5067024635904748e+23,5.110612274643677e+21,7.533512317952374e+22,7.533512317952374e+22,WW 1 TeV (SD),3.809512250812951e+19,1.2698374169376504e+19,1.2698374169376503e+20,134.15397925424892,1977.552983677824,excluded,chi1 chi1 -> WW (54%) + ZZ (46%),,
Higgsino,366.0,1.4761431858867325e+23,4.75718789710311e+21,7.380715929433662e+22,7.380715929433662e+22,WW 1 TeV (SD),3.809512250812951e+19,1.2698374169376504e+19,1.2698374169376503e+20,124.87656119462339,1937.4438099939475,excluded,chi1 chi1 -> WW (54%) + ZZ (46%),,
Higgsino,370.0,1.35815949844198e+23,3.796172678729648e+21,6.7907974922099e+22,6.7907974922099e+22,WW 1 TeV (SD),3.809512250812951e+19,1.2698374169376504e+19,1.2698374169376503e+20,99.64983517035662,1782.5897503704684,excluded,chi1 chi1 -> WW (54%) + ZZ (46%),,
